claim_scope,family,group_seed,method,dependent_scramble_count,independent_training_group_count,mean_relative_delta_change,max_relative_delta_change,mean_distance_from_oracle,max_distance_from_oracle,minimum_output_rank,maximum_output_rank,output_rank_cap
primary_well_conditioned,orthogonal,2,canonical_svd_factor_average,20,1,1.0029030242815925e-15,1.3210541144947317e-15,1.0849657181070973,1.0849657181070975,4,4,4
primary_well_conditioned,orthogonal,2,cycle_aware_alignment,20,1,1.0473223580901149e-15,1.7585538171114857e-15,2.885302345832867,2.8853023458328697,4,4,4
primary_well_conditioned,orthogonal,2,full_delta_svd,20,1,1.0473223580901149e-15,1.7585538171114857e-15,2.885302345832867,2.8853023458328697,4,4,4
primary_well_conditioned,orthogonal,2,global_synchronization,20,1,6.4979756043326205e-15,1.1302433610486726e-14,2.4634949232347894,2.4634949232347965,4,4,4
primary_well_conditioned,orthogonal,2,naive_factor_average,20,1,1.124599537579916,1.2687388019351018,1.124599537579916,1.2687388019351018,4,4,4
primary_well_conditioned,orthogonal,2,oracle_alignment,20,1,2.301563105810774e-16,2.631464791723127e-16,0.0,0.0,4,4,4
primary_well_conditioned,orthogonal,2,pairwise_reference_alignment,20,1,1.2600589087403745e-15,1.7387339031592825e-15,1.8698239962422811,1.8698239962422811,4,4,4
primary_well_conditioned,orthogonal,3,canonical_svd_factor_average,20,1,1.1187678566853588e-15,1.5371128175621781e-15,1.0849918380634822,1.0849918380634826,4,4,4
primary_well_conditioned,orthogonal,3,cycle_aware_alignment,20,1,1.0746951395180898e-15,1.938250571097371e-15,2.9045379397720787,2.9045379397720814,4,4,4
primary_well_conditioned,orthogonal,3,full_delta_svd,20,1,1.0746951395180898e-15,1.938250571097371e-15,2.9045379397720787,2.9045379397720814,4,4,4
primary_well_conditioned,orthogonal,3,global_synchronization,20,1,3.720818139064669e-15,6.258197770381348e-15,2.6533406282171237,2.6533406282171277,4,4,4
primary_well_conditioned,orthogonal,3,naive_factor_average,20,1,1.1310043544686086,1.4320655631543804,1.1310043544686086,1.4320655631543806,4,4,4
primary_well_conditioned,orthogonal,3,oracle_alignment,20,1,2.406763593148536e-16,2.6645820695730696e-16,0.0,0.0,4,4,4
primary_well_conditioned,orthogonal,3,pairwise_reference_alignment,20,1,1.0206124397142791e-15,2.0975994863523956e-15,1.9963740656678166,1.9963740656678177,4,4,4
primary_well_conditioned,orthogonal,4,canonical_svd_factor_average,20,1,1.2754015355945247e-15,1.970998825632614e-15,1.3829696753313125,1.382969675331313,4,4,4
primary_well_conditioned,orthogonal,4,cycle_aware_alignment,20,1,8.224202236554309e-16,1.1494184207823243e-15,3.1266480963679397,3.1266480963679415,4,4,4
primary_well_conditioned,orthogonal,4,full_delta_svd,20,1,8.224202236554309e-16,1.1494184207823243e-15,3.1266480963679397,3.1266480963679415,4,4,4
primary_well_conditioned,orthogonal,4,global_synchronization,20,1,3.655838045719325e-15,5.967925334282237e-15,3.0304157580633357,3.03041575806334,4,4,4
primary_well_conditioned,orthogonal,4,naive_factor_average,20,1,1.1794202139722796,1.3354651026258606,1.1794202139722791,1.3354651026258604,4,4,4
primary_well_conditioned,orthogonal,4,oracle_alignment,20,1,2.4884650049193177e-16,3.0745079765866335e-16,0.0,0.0,4,4,4
primary_well_conditioned,orthogonal,4,pairwise_reference_alignment,20,1,1.3337071151110411e-15,1.886417470946341e-15,2.214129953690376,2.214129953690377,4,4,4
primary_well_conditioned,positive_diagonal,0,canonical_svd_factor_average,20,1,7.774265509873645e-16,7.774265509873645e-16,1.680082629420255,1.680082629420255,4,4,4
primary_well_conditioned,positive_diagonal,0,cycle_aware_alignment,20,1,1.1851315722056737e-15,1.1851315722056737e-15,3.5670895390460258,3.567089539046026,4,4,4
primary_well_conditioned,positive_diagonal,0,full_delta_svd,20,1,1.1851315722056737e-15,1.1851315722056737e-15,3.5670895390460258,3.567089539046026,4,4,4
primary_well_conditioned,positive_diagonal,0,global_synchronization,20,1,5.605796939496579e-15,1.1377183236831261e-14,3.2669576936407823,3.2669576936407987,4,4,4
primary_well_conditioned,positive_diagonal,0,naive_factor_average,20,1,1.8104123100477345,2.2360951326254495,1.8104123100477345,2.2360951326254495,4,4,4
primary_well_conditioned,positive_diagonal,0,oracle_alignment,20,1,7.340954037507678e-17,7.340954037507678e-17,0.0,0.0,4,4,4
primary_well_conditioned,positive_diagonal,0,pairwise_reference_alignment,20,1,1.6113978865757243e-15,2.960325971033478e-15,2.124830303365717,2.124830303365718,4,4,4
primary_well_conditioned,positive_diagonal,1,canonical_svd_factor_average,20,1,1.1383704298375632e-15,1.138370429837563e-15,1.192977262027454,1.1929772620274537,4,4,4
primary_well_conditioned,positive_diagonal,1,cycle_aware_alignment,20,1,1.1947438463698442e-15,1.1947438463698444e-15,3.736672636802708,3.736672636802708,4,4,4
