claim_scope,family,group_seed,method,dependent_scramble_count,independent_training_group_count,median_merge_seconds,p25_merge_seconds,p75_merge_seconds,minimum_merge_seconds,maximum_merge_seconds,maximum_dense_allocation_count,maximum_temporary_dense_bytes,stored_factor_bytes,output_rank_cap,failure_rate
primary_well_conditioned,dense,2,canonical_svd_factor_average,20,1,0.0014720204053446,0.001446427253540575,0.001506114960648075,0.0014006251003593,0.0017996248789131,8,262144,4096,4,0.0
primary_well_conditioned,dense,2,cycle_aware_alignment,20,1,0.00287472887430335,0.002824344090185975,0.00294032279634845,0.0027499580755829,0.0039607079233974,9,294912,4096,4,0.0
primary_well_conditioned,dense,2,full_delta_svd,20,1,0.00037439598236230004,0.000360187259502625,0.00039047875907267503,0.0003438750281929,0.0004366661887615,9,294912,4096,4,0.0
primary_well_conditioned,dense,2,global_synchronization,20,1,0.0025753960944711997,0.002544614719226925,0.002615801757201475,0.0024697089102119,0.0031127920374274,0,0,4096,4,0.0
primary_well_conditioned,dense,2,naive_factor_average,20,1,3.962509799748659e-05,3.3833784982562065e-05,4.2208004742860794e-05,3.2250070944428444e-05,4.287483170628548e-05,0,0,4096,4,0.0
primary_well_conditioned,dense,2,oracle_alignment,20,1,0.0003325419966131,0.0003212493611499,0.000344771542586325,0.000307667069137,0.0003670831210911,0,0,4096,4,0.0
primary_well_conditioned,dense,2,pairwise_reference_alignment,20,1,0.00214410398621105,0.0020731040858663003,0.00224380171857765,0.0020400001667439,0.0024198340252041,0,0,4096,4,0.0
primary_well_conditioned,dense,3,canonical_svd_factor_average,20,1,0.0015013959491625428,0.0014406247064471245,0.0015478644636459649,0.0013966250699013472,0.0022381250746548176,8,262144,4096,4,0.0
primary_well_conditioned,dense,3,cycle_aware_alignment,20,1,0.0028864999767392874,0.0028432394028641284,0.002962167200166732,0.00274787493981421,0.010287666926160455,9,294912,4096,4,0.0
primary_well_conditioned,dense,3,full_delta_svd,20,1,0.00037158350460231304,0.0003598962794058025,0.00039808335714042187,0.0003459579311311245,0.00045466702431440353,9,294912,4096,4,0.0
primary_well_conditioned,dense,3,global_synchronization,20,1,0.002592187491245568,0.002528791665099561,0.002813083992805332,0.002468666061758995,0.0052640000358223915,0,0,4096,4,0.0
primary_well_conditioned,dense,3,naive_factor_average,20,1,3.8770842365920544e-05,3.449979703873396e-05,4.223920404911041e-05,3.320886753499508e-05,4.645809531211853e-05,0,0,4096,4,0.0
primary_well_conditioned,dense,3,oracle_alignment,20,1,0.00032514589838683605,0.000313552503939718,0.0003489479422569275,0.0003054169937968254,0.0012349169701337814,0,0,4096,4,0.0
primary_well_conditioned,dense,3,pairwise_reference_alignment,20,1,0.00214395800139755,0.0020829056738875806,0.002219823538325727,0.0020345840603113174,0.013980749994516373,0,0,4096,4,0.0
primary_well_conditioned,dense,4,canonical_svd_factor_average,20,1,0.0014382704393938184,0.0014247290091589093,0.001474375487305224,0.0014094158541411161,0.0015736250206828117,8,262144,4096,4,0.0
primary_well_conditioned,dense,4,cycle_aware_alignment,20,1,0.0027834795182570815,0.002769333601463586,0.0028493227437138557,0.0027512500528246164,0.002992207882925868,9,294912,4096,4,0.0
primary_well_conditioned,dense,4,full_delta_svd,20,1,0.00036222953349351883,0.0003536668955348432,0.00037189561408013105,0.0003425420727580786,0.0004089169669896364,9,294912,4096,4,0.0
primary_well_conditioned,dense,4,global_synchronization,20,1,0.002493124920874834,0.0024794272030703723,0.002517000073567033,0.0024615409784018993,0.0027173750568181276,0,0,4096,4,0.0
primary_well_conditioned,dense,4,naive_factor_average,20,1,3.889563959091902e-05,3.4396303817629814e-05,3.942713374271989e-05,3.237486816942692e-05,4.4999876990914345e-05,0,0,4096,4,0.0
primary_well_conditioned,dense,4,oracle_alignment,20,1,0.0003090000245720148,0.00030337448697537184,0.0003175211022607982,0.0002969170454889536,0.0004411248955875635,0,0,4096,4,0.0
primary_well_conditioned,dense,4,pairwise_reference_alignment,20,1,0.0020585624733939767,0.002046260517090559,0.002089968416839838,0.00203300011344254,0.002159917028620839,0,0,4096,4,0.0
primary_well_conditioned,orthogonal,0,canonical_svd_factor_average,20,1,0.0014760000631212499,0.00145036441972475,0.001534176524728475,0.0014130419585853,0.0030274579767137,8,262144,4096,4,0.0
primary_well_conditioned,orthogonal,0,cycle_aware_alignment,20,1,0.0029262293828650997,0.002859812462702375,0.003002104116603675,0.0027630410622805,0.012996417004615,9,294912,4096,4,0.0
primary_well_conditioned,orthogonal,0,full_delta_svd,20,1,0.0003774374490603,0.0003636149922385,0.00040975061710919996,0.0003585831727832,0.0004866670351475,9,294912,4096,4,0.0
primary_well_conditioned,orthogonal,0,global_synchronization,20,1,0.0026148959295824,0.0025409480440429753,0.0027241986826993,0.0024964998010545,0.0031849169172346,0,0,4096,4,0.0
primary_well_conditioned,orthogonal,0,naive_factor_average,20,1,3.866653423756361e-05,3.576086601242423e-05,4.1739665903151035e-05,3.258301876485348e-05,0.0001327500212937,0,0,4096,4,0.0
primary_well_conditioned,orthogonal,0,oracle_alignment,20,1,0.0003301465185359,0.0003212082665413,0.000347760273143625,0.0003037909045815,0.0004497501067817,0,0,4096,4,0.0
primary_well_conditioned,orthogonal,0,pairwise_reference_alignment,20,1,0.00215683341957625,0.0020950314938089753,0.002298802370205475,0.002036458812654,0.0032533749472349,0,0,4096,4,0.0
primary_well_conditioned,orthogonal,1,canonical_svd_factor_average,20,1,0.0014490829780697502,0.001425801950972475,0.0015394692891277,0.0013993331231176,0.0023955418728291,8,262144,4096,4,0.0
primary_well_conditioned,orthogonal,1,cycle_aware_alignment,20,1,0.00287847907748065,0.002812041551806,0.003011093882378175,0.0027628331445157,0.0037710419856011,9,294912,4096,4,0.0
primary_well_conditioned,orthogonal,1,full_delta_svd,20,1,0.0003742706030607,0.0003640827490016,0.00039199960883702504,0.0003484999760985,0.0004217918030917,9,294912,4096,4,0.0
