setting_id,group,noise,context_budget,seed,method,accuracy,loss,ece,training_time_seconds,epochs,trainable_parameters,stored_parameters,parameter_multiplier,branch_count,candidate_count,transition_samples,router_samples,selector_validation_samples,calibration_samples,test_samples,context_mode,certificate_activated,output_type,logits_sha256,label_permutation_hash_passed,execution_commit,source_sha256,command
S3_noise0.2_budget64_seed40,S3,0.2,64,40,structured_group_retransport,1.0,0.0021089708408319908,0.00202601850892709,0.062174499966204166,24,268,268,1.0,1,1,128,64,128,128,512,supplied,False,single_model,1f3b97a5927aec190ff8c29e9752ae93504b8c356636dacf7efd4958958bb095,True,1237f70e2276c249ee5cbc1eedb977fc1043db26,f87d5114e11ff167bda1f1736f9b11d6f92766f9c250e1bc1eb2e14fe1a8b144,python experiments/end_to_end_controlled_cost.py
S3_noise0.2_budget64_seed40,S3,0.2,64,40,twistedmerge_diagnostic_retransport,1.0,0.002092416753845859,0.0019746532171953345,0.06703908392228186,24,268,268,1.0,1,1,128,64,128,128,512,supplied,True,single_model,1f3b97a5927aec190ff8c29e9752ae93504b8c356636dacf7efd4958958bb095,True,1237f70e2276c249ee5cbc1eedb977fc1043db26,f87d5114e11ff167bda1f1736f9b11d6f92766f9c250e1bc1eb2e14fe1a8b144,python experiments/end_to_end_controlled_cost.py
S3_noise0.2_budget64_seed40,S3,0.2,64,40,generic_mixture_of_experts,1.0,0.006686011640001039,0.0065576967997177,0.21322100004181266,24,852,852,3.1791044776119404,6,1,128,64,128,128,512,supplied,False,router,1f3b97a5927aec190ff8c29e9752ae93504b8c356636dacf7efd4958958bb095,True,1237f70e2276c249ee5cbc1eedb977fc1043db26,f87d5114e11ff167bda1f1736f9b11d6f92766f9c250e1bc1eb2e14fe1a8b144,python experiments/end_to_end_controlled_cost.py
S3_noise0.2_budget64_seed40,S3,0.2,64,40,generic_low_rank_context_adapter,1.0,0.01693922799743401,0.015327065798567815,0.07638866594061255,24,358,358,1.335820895522388,1,1,128,64,128,128,512,supplied,False,single_model,1f3b97a5927aec190ff8c29e9752ae93504b8c356636dacf7efd4958958bb095,True,1237f70e2276c249ee5cbc1eedb977fc1043db26,f87d5114e11ff167bda1f1736f9b11d6f92766f9c250e1bc1eb2e14fe1a8b144,python experiments/end_to_end_controlled_cost.py
S3_noise0.2_budget64_seed40,S3,0.2,64,40,unconstrained_learned_matrix_action,0.998046875,0.00543527821900097,0.004397267649857804,0.0657966670114547,24,484,484,1.8059701492537314,1,1,128,64,128,128,512,supplied,False,single_model,1f3b97a5927aec190ff8c29e9752ae93504b8c356636dacf7efd4958958bb095,True,1237f70e2276c249ee5cbc1eedb977fc1043db26,f87d5114e11ff167bda1f1736f9b11d6f92766f9c250e1bc1eb2e14fe1a8b144,python experiments/end_to_end_controlled_cost.py
S3_noise0.2_budget64_seed40,S3,0.2,64,40,context_blind_synchronization,0.994140625,0.03506796933893691,0.01990765021299694,0.051191958133131266,24,268,268,1.0,1,1,128,64,128,128,512,supplied,False,single_model,1f3b97a5927aec190ff8c29e9752ae93504b8c356636dacf7efd4958958bb095,True,1237f70e2276c249ee5cbc1eedb977fc1043db26,f87d5114e11ff167bda1f1736f9b11d6f92766f9c250e1bc1eb2e14fe1a8b144,python experiments/end_to_end_controlled_cost.py
S3_noise0.2_budget64_seed40,S3,0.2,64,40,ensemble_reference,0.9921875,0.04096285063009884,0.024178202565156293,0.1372848330065608,24,720,720,2.6865671641791047,4,1,128,64,128,128,512,supplied,False,ensemble,1f3b97a5927aec190ff8c29e9752ae93504b8c356636dacf7efd4958958bb095,True,1237f70e2276c249ee5cbc1eedb977fc1043db26,f87d5114e11ff167bda1f1736f9b11d6f92766f9c250e1bc1eb2e14fe1a8b144,python experiments/end_to_end_controlled_cost.py
S3_noise0.2_budget64_seed41,S3,0.2,64,41,structured_group_retransport,1.0,0.0013262932730775997,0.001313660370986236,0.059371500043198466,24,268,268,1.0,1,1,128,64,128,128,512,supplied,False,single_model,838d34f999c1cb16bea3f0c48a3d3eac1b078656615aff2d27b356e771238c54,True,1237f70e2276c249ee5cbc1eedb977fc1043db26,f87d5114e11ff167bda1f1736f9b11d6f92766f9c250e1bc1eb2e14fe1a8b144,python experiments/end_to_end_controlled_cost.py
S3_noise0.2_budget64_seed41,S3,0.2,64,41,twistedmerge_diagnostic_retransport,1.0,0.002028474590159307,0.0019998023917253017,0.06273416709154844,24,268,268,1.0,1,1,128,64,128,128,512,supplied,True,single_model,838d34f999c1cb16bea3f0c48a3d3eac1b078656615aff2d27b356e771238c54,True,1237f70e2276c249ee5cbc1eedb977fc1043db26,f87d5114e11ff167bda1f1736f9b11d6f92766f9c250e1bc1eb2e14fe1a8b144,python experiments/end_to_end_controlled_cost.py
S3_noise0.2_budget64_seed41,S3,0.2,64,41,generic_mixture_of_experts,1.0,0.008458987602523758,0.008135802620111387,0.1876054999884218,24,852,852,3.1791044776119404,6,1,128,64,128,128,512,supplied,False,router,838d34f999c1cb16bea3f0c48a3d3eac1b078656615aff2d27b356e771238c54,True,1237f70e2276c249ee5cbc1eedb977fc1043db26,f87d5114e11ff167bda1f1736f9b11d6f92766f9c250e1bc1eb2e14fe1a8b144,python experiments/end_to_end_controlled_cost.py
S3_noise0.2_budget64_seed41,S3,0.2,64,41,generic_low_rank_context_adapter,1.0,0.010902199651658867,0.010410419770000123,0.06656970805488527,24,358,358,1.335820895522388,1,1,128,64,128,128,512,supplied,False,single_model,838d34f999c1cb16bea3f0c48a3d3eac1b078656615aff2d27b356e771238c54,True,1237f70e2276c249ee5cbc1eedb977fc1043db26,f87d5114e11ff167bda1f1736f9b11d6f92766f9c250e1bc1eb2e14fe1a8b144,python experiments/end_to_end_controlled_cost.py
S3_noise0.2_budget64_seed41,S3,0.2,64,41,unconstrained_learned_matrix_action,0.998046875,0.0043276484549737634,0.0033480175976918873,0.06406191596761346,24,484,484,1.8059701492537314,1,1,128,64,128,128,512,supplied,False,single_model,838d34f999c1cb16bea3f0c48a3d3eac1b078656615aff2d27b356e771238c54,True,1237f70e2276c249ee5cbc1eedb977fc1043db26,f87d5114e11ff167bda1f1736f9b11d6f92766f9c250e1bc1eb2e14fe1a8b144,python experiments/end_to_end_controlled_cost.py
S3_noise0.2_budget64_seed41,S3,0.2,64,41,context_blind_synchronization,1.0,0.025532782283237486,0.02276565147662612,0.05421291710808873,24,268,268,1.0,1,1,128,64,128,128,512,supplied,False,single_model,838d34f999c1cb16bea3f0c48a3d3eac1b078656615aff2d27b356e771238c54,True,1237f70e2276c249ee5cbc1eedb977fc1043db26,f87d5114e11ff167bda1f1736f9b11d6f92766f9c250e1bc1eb2e14fe1a8b144,python experiments/end_to_end_controlled_cost.py
S3_noise0.2_budget64_seed41,S3,0.2,64,41,ensemble_reference,1.0,0.029424667027056067,0.026625350890380768,0.13250133395195007,24,720,720,2.6865671641791047,4,1,128,64,128,128,512,supplied,False,ensemble,838d34f999c1cb16bea3f0c48a3d3eac1b078656615aff2d27b356e771238c54,True,1237f70e2276c249ee5cbc1eedb977fc1043db26,f87d5114e11ff167bda1f1736f9b11d6f92766f9c250e1bc1eb2e14fe1a8b144,python experiments/end_to_end_controlled_cost.py
S3_noise0.2_budget64_seed42,S3,0.2,64,42,structured_group_retransport,1.0,0.001876163715692733,0.0018418542732262678,0.08044112497009337,24,268,268,1.0,1,1,128,64,128,128,512,supplied,False,single_model,d4cd8c65f26166856302988291a5903032817cf6660bb19876a6596a5612e018,True,1237f70e2276c249ee5cbc1eedb977fc1043db26,f87d5114e11ff167bda1f1736f9b11d6f92766f9c250e1bc1eb2e14fe1a8b144,python experiments/end_to_end_controlled_cost.py
S3_noise0.2_budget64_seed42,S3,0.2,64,42,twistedmerge_diagnostic_retransport,1.0,0.0021393885027356846,0.00210753359022966,0.19936620816588402,24,268,268,1.0,1,1,128,64,128,128,512,supplied,True,single_model,d4cd8c65f26166856302988291a5903032817cf6660bb19876a6596a5612e018,True,1237f70e2276c249ee5cbc1eedb977fc1043db26,f87d5114e11ff167bda1f1736f9b11d6f92766f9c250e1bc1eb2e14fe1a8b144,python experiments/end_to_end_controlled_cost.py
S3_noise0.2_budget64_seed42,S3,0.2,64,42,generic_mixture_of_experts,1.0,0.011209796620209439,0.010694112054726071,0.3362260421272367,24,852,852,3.1791044776119404,6,1,128,64,128,128,512,supplied,False,router,d4cd8c65f26166856302988291a5903032817cf6660bb19876a6596a5612e018,True,1237f70e2276c249ee5cbc1eedb977fc1043db26,f87d5114e11ff167bda1f1736f9b11d6f92766f9c250e1bc1eb2e14fe1a8b144,python experiments/end_to_end_controlled_cost.py
S3_noise0.2_budget64_seed42,S3,0.2,64,42,generic_low_rank_context_adapter,1.0,0.013471652394124534,0.012234359618706014,0.10964004206471145,24,358,358,1.335820895522388,1,1,128,64,128,128,512,supplied,False,single_model,d4cd8c65f26166856302988291a5903032817cf6660bb19876a6596a5612e018,True,1237f70e2276c249ee5cbc1eedb977fc1043db26,f87d5114e11ff167bda1f1736f9b11d6f92766f9c250e1bc1eb2e14fe1a8b144,python experiments/end_to_end_controlled_cost.py
