setting_id,group,noise,context_budget,seed,method,batch_size,preprocessing_latency_ms,router_latency_ms,total_inference_latency_ms,cold_start_ms,latency_median_ms,latency_q1_ms,latency_q3_ms,peak_process_memory_mb,peak_mps_memory_mb,warmups,timed_repetitions,stored_parameters,trainable_parameters,branch_count,calibration_cost_samples,context_training_samples,training_time_seconds,flops,measurement_type,execution_commit,source_sha256,command
S3_noise0.2_budget16_seed40,S3,0.2,16,40,context_blind_synchronization,1,0.000500120222568512,0.0013329554349184036,0.010249903425574303,0.11474988423287868,0.010249903425574303,0.009916955605149269,0.01033395528793335,219.8125,0.375,10,100,268,268,1,128,16,0.05771212512627244,unavailable_no_model_aware_counter_installed,end_to_end_torch_cpu,1237f70e2276c249ee5cbc1eedb977fc1043db26,f87d5114e11ff167bda1f1736f9b11d6f92766f9c250e1bc1eb2e14fe1a8b144,python experiments/end_to_end_controlled_cost.py
S3_noise0.2_budget16_seed40,S3,0.2,16,40,context_blind_synchronization,8,0.0005420297384262085,0.0013748649507761002,0.010875053703784943,0.10541686788201332,0.010875053703784943,0.010614516213536263,0.011041993275284767,219.8125,0.375,10,100,268,268,1,128,16,0.05771212512627244,unavailable_no_model_aware_counter_installed,end_to_end_torch_cpu,1237f70e2276c249ee5cbc1eedb977fc1043db26,f87d5114e11ff167bda1f1736f9b11d6f92766f9c250e1bc1eb2e14fe1a8b144,python experiments/end_to_end_controlled_cost.py
S3_noise0.2_budget16_seed40,S3,0.2,16,40,context_blind_synchronization,32,0.000500120222568512,0.0013329554349184036,0.013625016435980797,0.11429190635681152,0.013625016435980797,0.012833101209253073,0.014427292626351118,219.8125,0.375,10,100,268,268,1,128,16,0.05771212512627244,unavailable_no_model_aware_counter_installed,end_to_end_torch_cpu,1237f70e2276c249ee5cbc1eedb977fc1043db26,f87d5114e11ff167bda1f1736f9b11d6f92766f9c250e1bc1eb2e14fe1a8b144,python experiments/end_to_end_controlled_cost.py
S3_noise0.2_budget16_seed40,S3,0.2,16,40,context_blind_synchronization,128,0.000500120222568512,0.0014170072972774506,0.01593749038875103,0.30916696414351463,0.01593749038875103,0.01491699367761612,0.016219215467572212,219.8125,0.375,10,100,268,268,1,128,16,0.05771212512627244,unavailable_no_model_aware_counter_installed,end_to_end_torch_cpu,1237f70e2276c249ee5cbc1eedb977fc1043db26,f87d5114e11ff167bda1f1736f9b11d6f92766f9c250e1bc1eb2e14fe1a8b144,python experiments/end_to_end_controlled_cost.py
S3_noise0.2_budget16_seed40,S3,0.2,16,40,ensemble_reference,1,0.0005420297384262085,0.001375097781419754,0.046083470806479454,0.26879110373556614,0.046083470806479454,0.044812215492129326,0.04796881694346666,219.8125,0.375,10,100,720,720,4,128,16,0.14740499993786216,unavailable_no_model_aware_counter_installed,end_to_end_torch_cpu,1237f70e2276c249ee5cbc1eedb977fc1043db26,f87d5114e11ff167bda1f1736f9b11d6f92766f9c250e1bc1eb2e14fe1a8b144,python experiments/end_to_end_controlled_cost.py
S3_noise0.2_budget16_seed40,S3,0.2,16,40,ensemble_reference,8,0.000541098415851593,0.0013329554349184036,0.045479508116841316,0.21337508223950863,0.045479508116841316,0.04529161378741264,0.046354078222066164,219.8125,0.375,10,100,720,720,4,128,16,0.14740499993786216,unavailable_no_model_aware_counter_installed,end_to_end_torch_cpu,1237f70e2276c249ee5cbc1eedb977fc1043db26,f87d5114e11ff167bda1f1736f9b11d6f92766f9c250e1bc1eb2e14fe1a8b144,python experiments/end_to_end_controlled_cost.py
S3_noise0.2_budget16_seed40,S3,0.2,16,40,ensemble_reference,32,0.0005420297384262085,0.0013544922694563866,0.057042110711336136,0.30625006183981895,0.057042110711336136,0.05670799873769283,0.057969242334365845,219.8125,0.375,10,100,720,720,4,128,16,0.14740499993786216,unavailable_no_model_aware_counter_installed,end_to_end_torch_cpu,1237f70e2276c249ee5cbc1eedb977fc1043db26,f87d5114e11ff167bda1f1736f9b11d6f92766f9c250e1bc1eb2e14fe1a8b144,python experiments/end_to_end_controlled_cost.py
S3_noise0.2_budget16_seed40,S3,0.2,16,40,ensemble_reference,128,0.000500120222568512,0.0013544922694563866,0.06879144348204136,0.28945785015821457,0.06879144348204136,0.0672291498631239,0.07315626135095954,219.8125,0.375,10,100,720,720,4,128,16,0.14740499993786216,unavailable_no_model_aware_counter_installed,end_to_end_torch_cpu,1237f70e2276c249ee5cbc1eedb977fc1043db26,f87d5114e11ff167bda1f1736f9b11d6f92766f9c250e1bc1eb2e14fe1a8b144,python experiments/end_to_end_controlled_cost.py
S3_noise0.2_budget16_seed41,S3,0.2,16,41,structured_group_retransport,1,0.0005830079317092896,0.0013748649507761002,0.018582912161946297,0.2000001259148121,0.018582912161946297,0.01850002445280552,0.018677208572626114,219.8125,0.375,10,100,268,268,1,128,16,0.06908591696992517,unavailable_no_model_aware_counter_installed,end_to_end_torch_cpu,1237f70e2276c249ee5cbc1eedb977fc1043db26,f87d5114e11ff167bda1f1736f9b11d6f92766f9c250e1bc1eb2e14fe1a8b144,python experiments/end_to_end_controlled_cost.py
S3_noise0.2_budget16_seed41,S3,0.2,16,41,structured_group_retransport,8,0.0005420297384262085,0.0013748649507761002,0.01952052116394043,0.30570803210139275,0.01952052116394043,0.01941714435815811,0.01970818266272545,219.8125,0.375,10,100,268,268,1,128,16,0.06908591696992517,unavailable_no_model_aware_counter_installed,end_to_end_torch_cpu,1237f70e2276c249ee5cbc1eedb977fc1043db26,f87d5114e11ff167bda1f1736f9b11d6f92766f9c250e1bc1eb2e14fe1a8b144,python experiments/end_to_end_controlled_cost.py
S3_noise0.2_budget16_seed41,S3,0.2,16,41,structured_group_retransport,32,0.0005830079317092896,0.0014159595593810081,0.025417073629796505,0.5362499505281448,0.025417073629796505,0.02403068356215954,0.026052293833345175,219.8125,0.375,10,100,268,268,1,128,16,0.06908591696992517,unavailable_no_model_aware_counter_installed,end_to_end_torch_cpu,1237f70e2276c249ee5cbc1eedb977fc1043db26,f87d5114e11ff167bda1f1736f9b11d6f92766f9c250e1bc1eb2e14fe1a8b144,python experiments/end_to_end_controlled_cost.py
S3_noise0.2_budget16_seed41,S3,0.2,16,41,structured_group_retransport,128,0.0005420297384262085,0.001375097781419754,0.05287444218993187,0.28849998489022255,0.05287444218993187,0.04785432247444987,0.06247952114790678,219.8125,0.375,10,100,268,268,1,128,16,0.06908591696992517,unavailable_no_model_aware_counter_installed,end_to_end_torch_cpu,1237f70e2276c249ee5cbc1eedb977fc1043db26,f87d5114e11ff167bda1f1736f9b11d6f92766f9c250e1bc1eb2e14fe1a8b144,python experiments/end_to_end_controlled_cost.py
S3_noise0.2_budget16_seed41,S3,0.2,16,41,twistedmerge_diagnostic_retransport,1,0.000541098415851593,0.0013329554349184036,0.03437441773712635,0.2354998141527176,0.03437441773712635,0.03345869481563568,0.03476062556728721,219.8125,0.375,10,100,268,268,1,128,16,0.07832679199054837,unavailable_no_model_aware_counter_installed,end_to_end_torch_cpu,1237f70e2276c249ee5cbc1eedb977fc1043db26,f87d5114e11ff167bda1f1736f9b11d6f92766f9c250e1bc1eb2e14fe1a8b144,python experiments/end_to_end_controlled_cost.py
S3_noise0.2_budget16_seed41,S3,0.2,16,41,twistedmerge_diagnostic_retransport,8,0.0005420297384262085,0.0013748649507761002,0.03585405647754669,0.23529212921857834,0.03585405647754669,0.035041943192481995,0.03691698657348752,219.8125,0.375,10,100,268,268,1,128,16,0.07832679199054837,unavailable_no_model_aware_counter_installed,end_to_end_torch_cpu,1237f70e2276c249ee5cbc1eedb977fc1043db26,f87d5114e11ff167bda1f1736f9b11d6f92766f9c250e1bc1eb2e14fe1a8b144,python experiments/end_to_end_controlled_cost.py
S3_noise0.2_budget16_seed41,S3,0.2,16,41,twistedmerge_diagnostic_retransport,32,0.0005420297384262085,0.001375097781419754,0.04737498238682747,0.36583305336534977,0.04737498238682747,0.04712509689852595,0.04775007255375385,219.8125,0.375,10,100,268,268,1,128,16,0.07832679199054837,unavailable_no_model_aware_counter_installed,end_to_end_torch_cpu,1237f70e2276c249ee5cbc1eedb977fc1043db26,f87d5114e11ff167bda1f1736f9b11d6f92766f9c250e1bc1eb2e14fe1a8b144,python experiments/end_to_end_controlled_cost.py
S3_noise0.2_budget16_seed41,S3,0.2,16,41,twistedmerge_diagnostic_retransport,128,0.000541098415851593,0.001333886757493019,0.10499986819922924,0.35454193130135536,0.10499986819922924,0.10001094778999686,0.12907321797683835,219.8125,0.375,10,100,268,268,1,128,16,0.07832679199054837,unavailable_no_model_aware_counter_installed,end_to_end_torch_cpu,1237f70e2276c249ee5cbc1eedb977fc1043db26,f87d5114e11ff167bda1f1736f9b11d6f92766f9c250e1bc1eb2e14fe1a8b144,python experiments/end_to_end_controlled_cost.py
S3_noise0.2_budget16_seed41,S3,0.2,16,41,generic_mixture_of_experts,1,0.000500120222568512,0.005417037755250931,0.07485388778150082,0.26145786978304386,0.07485388778150082,0.0739587121643126,0.07604138227179646,219.8125,0.375,10,100,852,852,6,128,16,0.23887441703118384,unavailable_no_model_aware_counter_installed,end_to_end_torch_cpu,1237f70e2276c249ee5cbc1eedb977fc1043db26,f87d5114e11ff167bda1f1736f9b11d6f92766f9c250e1bc1eb2e14fe1a8b144,python experiments/end_to_end_controlled_cost.py
S3_noise0.2_budget16_seed41,S3,0.2,16,41,generic_mixture_of_experts,8,0.0005417969077825546,0.022521009668707848,0.09899993892759085,0.4121251404285431,0.09899993892759085,0.09239604696631432,0.11055241338908672,219.8125,0.375,10,100,852,852,6,128,16,0.23887441703118384,unavailable_no_model_aware_counter_installed,end_to_end_torch_cpu,1237f70e2276c249ee5cbc1eedb977fc1043db26,f87d5114e11ff167bda1f1736f9b11d6f92766f9c250e1bc1eb2e14fe1a8b144,python experiments/end_to_end_controlled_cost.py
S3_noise0.2_budget16_seed41,S3,0.2,16,41,generic_mixture_of_experts,32,0.0005420297384262085,0.02187490463256836,0.10720849968492985,0.3816669341176748,0.10720849968492985,0.09969738312065601,0.11913536582142115,219.8125,0.375,10,100,852,852,6,128,16,0.23887441703118384,unavailable_no_model_aware_counter_installed,end_to_end_torch_cpu,1237f70e2276c249ee5cbc1eedb977fc1043db26,f87d5114e11ff167bda1f1736f9b11d6f92766f9c250e1bc1eb2e14fe1a8b144,python experiments/end_to_end_controlled_cost.py
S3_noise0.2_budget16_seed41,S3,0.2,16,41,generic_mixture_of_experts,128,0.0005417969077825546,0.02806249540299177,0.12641656212508678,1.4310840051621199,0.12641656212508678,0.12350012548267841,0.134906149469316,219.8125,0.375,10,100,852,852,6,128,16,0.23887441703118384,unavailable_no_model_aware_counter_installed,end_to_end_torch_cpu,1237f70e2276c249ee5cbc1eedb977fc1043db26,f87d5114e11ff167bda1f1736f9b11d6f92766f9c250e1bc1eb2e14fe1a8b144,python experiments/end_to_end_controlled_cost.py
