setting_id,phase,seed,threshold,coverage,covered_task_accuracy
FashionMNIST_discovery_seed2,discovery,2,0.6576405763626099,0.5115000009536743,0.80840665102005
FashionMNIST_discovery_seed2,discovery,2,0.7026622891426086,0.4684999883174896,0.8217716217041016
FashionMNIST_discovery_seed2,discovery,2,0.748526930809021,0.42500001192092896,0.8282352685928345
FashionMNIST_discovery_seed2,discovery,2,0.7914978265762329,0.37950000166893005,0.8405796885490417
FashionMNIST_discovery_seed2,discovery,2,0.8264293670654297,0.34599998593330383,0.852601170539856
FashionMNIST_discovery_seed2,discovery,2,0.8626042008399963,0.30649998784065247,0.8531810641288757
FashionMNIST_discovery_seed2,discovery,2,0.9099029302597046,0.23149999976158142,0.8812094926834106
FashionMNIST_discovery_seed2,discovery,2,0.9327684640884399,0.19099999964237213,0.8979057669639587
FashionMNIST_discovery_seed2,discovery,2,0.9544666409492493,0.14650000631809235,0.9044368863105774
FashionMNIST_discovery_seed2,discovery,2,0.9700014591217041,0.10199999809265137,0.906862735748291
FashionMNIST_discovery_seed2,discovery,2,0.982086718082428,0.0689999982714653,0.9492753744125366
FashionMNIST_discovery_seed2,discovery,2,0.9916059374809265,0.04100000113248825,0.9512194991111755
FashionMNIST_discovery_seed2,discovery,2,0.9999459981918335,0.0005000000237487257,1.0
FashionMNIST_discovery_seed3,discovery,3,0.2350650429725647,0.9714999794960022,0.6860525012016296
FashionMNIST_discovery_seed3,discovery,3,0.35920634865760803,0.8364999890327454,0.7286311984062195
FashionMNIST_discovery_seed3,discovery,3,0.4411281943321228,0.7639999985694885,0.7558900713920593
FashionMNIST_discovery_seed3,discovery,3,0.49698567390441895,0.7080000042915344,0.7725988626480103
FashionMNIST_discovery_seed3,discovery,3,0.5207483172416687,0.671500027179718,0.7736411094665527
FashionMNIST_discovery_seed3,discovery,3,0.5507776141166687,0.625,0.7799999713897705
FashionMNIST_discovery_seed3,discovery,3,0.5794897675514221,0.5874999761581421,0.7855319380760193
FashionMNIST_discovery_seed3,discovery,3,0.6117754578590393,0.5360000133514404,0.7966417670249939
FashionMNIST_discovery_seed3,discovery,3,0.6491764187812805,0.48899999260902405,0.8057259917259216
FashionMNIST_discovery_seed3,discovery,3,0.6854642629623413,0.460999995470047,0.8101952075958252
FashionMNIST_discovery_seed3,discovery,3,0.7391530275344849,0.40799999237060547,0.8198529481887817
FashionMNIST_discovery_seed3,discovery,3,0.772692859172821,0.3765000104904175,0.8300132751464844
FashionMNIST_discovery_seed3,discovery,3,0.8133416771888733,0.3409999907016754,0.8416422009468079
FashionMNIST_discovery_seed3,discovery,3,0.8520365357398987,0.3009999990463257,0.8488371968269348
FashionMNIST_discovery_seed3,discovery,3,0.8981161713600159,0.2345000058412552,0.8443496823310852
FashionMNIST_discovery_seed3,discovery,3,0.9291199445724487,0.19300000369548798,0.8601036071777344
FashionMNIST_discovery_seed3,discovery,3,0.9540411829948425,0.1420000046491623,0.8802816867828369
FashionMNIST_discovery_seed3,discovery,3,0.9633946418762207,0.12099999934434891,0.8842975497245789
FashionMNIST_discovery_seed3,discovery,3,0.9786572456359863,0.07750000059604645,0.896774172782898
FashionMNIST_discovery_seed3,discovery,3,0.9892578125,0.039500001817941666,0.8987341523170471
FashionMNIST_discovery_seed3,discovery,3,0.9999964237213135,0.0,nan
FashionMNIST_discovery_seed4,discovery,4,0.17430426180362701,0.9940000176429749,0.6921529173851013
FashionMNIST_discovery_seed4,discovery,4,0.3932165801525116,0.8165000081062317,0.7636252045631409
FashionMNIST_discovery_seed4,discovery,4,0.45781636238098145,0.7664999961853027,0.7788649797439575
FashionMNIST_discovery_seed4,discovery,4,0.5022220015525818,0.718999981880188,0.7837274074554443
FashionMNIST_discovery_seed4,discovery,4,0.5292210578918457,0.6800000071525574,0.7889705896377563
FashionMNIST_discovery_seed4,discovery,4,0.5521826148033142,0.6520000100135803,0.7921779155731201
FashionMNIST_discovery_seed4,discovery,4,0.5834790468215942,0.6029999852180481,0.8051409721374512
FashionMNIST_discovery_seed4,discovery,4,0.6245352625846863,0.546999990940094,0.811700165271759
FashionMNIST_discovery_seed4,discovery,4,0.6602026224136353,0.5044999718666077,0.8235877156257629
FashionMNIST_discovery_seed4,discovery,4,0.7158463001251221,0.45649999380111694,0.8335158824920654
FashionMNIST_discovery_seed4,discovery,4,0.760059654712677,0.41749998927116394,0.8431137800216675
FashionMNIST_discovery_seed4,discovery,4,0.7963686585426331,0.38499999046325684,0.8480519652366638
FashionMNIST_discovery_seed4,discovery,4,0.8484852910041809,0.335999995470047,0.8452380895614624
FashionMNIST_discovery_seed4,discovery,4,0.883678138256073,0.2985000014305115,0.837520956993103
FashionMNIST_discovery_seed4,discovery,4,0.9171283841133118,0.25600001215934753,0.84765625
FashionMNIST_discovery_seed4,discovery,4,0.9384438395500183,0.22349999845027924,0.8501118421554565
FashionMNIST_discovery_seed4,discovery,4,0.9669293761253357,0.16449999809265137,0.8844984769821167
FashionMNIST_discovery_seed4,discovery,4,0.9828497767448425,0.11249999701976776,0.8799999952316284
FashionMNIST_discovery_seed4,discovery,4,0.9927682280540466,0.06449999660253525,0.8682170510292053
FashionMNIST_discovery_seed4,discovery,4,0.9978371858596802,0.02199999988079071,0.9090909361839294
FashionMNIST_discovery_seed4,discovery,4,0.9999904632568359,0.0,nan
FashionMNIST_confirmation_seed5,confirmation,5,0.23980894684791565,0.9614999890327454,0.6838273406028748
FashionMNIST_confirmation_seed5,confirmation,5,0.38682693243026733,0.8125,0.7304615378379822
FashionMNIST_confirmation_seed5,confirmation,5,0.49602749943733215,0.7325000166893005,0.7549487948417664
FashionMNIST_confirmation_seed5,confirmation,5,0.5262371897697449,0.6945000290870667,0.7631389498710632
FashionMNIST_confirmation_seed5,confirmation,5,0.5552074313163757,0.6470000147819519,0.770479142665863
FashionMNIST_confirmation_seed5,confirmation,5,0.5854278206825256,0.6065000295639038,0.7790601849555969
FashionMNIST_confirmation_seed5,confirmation,5,0.6133519411087036,0.5680000185966492,0.7878521084785461
FashionMNIST_confirmation_seed5,confirmation,5,0.6522985696792603,0.5264999866485596,0.7996201515197754
FashionMNIST_confirmation_seed5,confirmation,5,0.6942774057388306,0.484499990940094,0.8008255958557129
FashionMNIST_confirmation_seed5,confirmation,5,0.7394829988479614,0.4440000057220459,0.8141891956329346
FashionMNIST_confirmation_seed5,confirmation,5,0.7862684726715088,0.40450000762939453,0.8269468545913696
FashionMNIST_confirmation_seed5,confirmation,5,0.8276926875114441,0.3630000054836273,0.8402203917503357
FashionMNIST_confirmation_seed5,confirmation,5,0.874804675579071,0.32199999690055847,0.8586956262588501
FashionMNIST_confirmation_seed5,confirmation,5,0.9140058755874634,0.26750001311302185,0.8616822361946106
FashionMNIST_confirmation_seed5,confirmation,5,0.9359338879585266,0.2329999953508377,0.8605149984359741
FashionMNIST_confirmation_seed5,confirmation,5,0.9552953839302063,0.1979999989271164,0.8535353541374207
