setting_id,phase,seed,method,batch_size,latency_ms,peak_process_memory_mb,peak_mps_memory_mb,training_time_seconds,trainable_parameters,stored_parameters
FashionMNIST_confirmation_seed7,confirmation,7,uncertainty_weighted_structured_retransport,128,21.75591711420566,688.828125,1099.28125,14.230379333719611,3913,61937
FashionMNIST_confirmation_seed7,confirmation,7,chart_abstaining_structured_retransport,128,17.127125058323145,688.828125,1099.28125,14.230379333719611,3913,61937
FashionMNIST_confirmation_seed7,confirmation,7,supplied_chart_oracle,128,0.0,688.828125,,4.538932749768719,0,58024
FashionMNIST_confirmation_seed7,confirmation,7,random_action_control,128,0.0,688.828125,,4.538932749768719,0,58024
FashionMNIST_confirmation_seed7,confirmation,7,wrong_action_control,128,0.0,688.828125,,14.230379333719611,0,58024
FashionMNIST_confirmation_seed7,confirmation,7,ensemble_reference,128,0.0,688.828125,,4.538932749768719,0,58024
FashionMNIST_confirmation_seed8,confirmation,8,context_blind_synchronization,128,0.0,688.828125,,3.6271067911293358,0,58024
FashionMNIST_confirmation_seed8,confirmation,8,standard_cnn_chart_classifier,128,1.619728864170611,688.828125,1099.28125,3.937330124201253,12152,70176
FashionMNIST_confirmation_seed8,confirmation,8,parameter_matched_standard_cnn_chart_classifier,128,1.4712290139868855,688.828125,1099.28125,3.8995904992334545,9768,67792
FashionMNIST_confirmation_seed8,confirmation,8,generic_mixture_of_experts,128,1.379145891405642,688.828125,1099.28125,3.937330124201253,12152,70176
FashionMNIST_confirmation_seed8,confirmation,8,generic_low_rank_context_adapter,128,1.6469788970425725,688.828125,1099.28125,5.113876707153395,19282,77306
FashionMNIST_confirmation_seed8,confirmation,8,trained_d4_equivariant_cnn_chart_classifier,128,17.92622951325029,688.828125,1099.28125,11.292181416181847,3913,61937
FashionMNIST_confirmation_seed8,confirmation,8,structured_group_router,128,17.84618746023625,688.828125,1099.28125,11.292181416181847,3913,61937
FashionMNIST_confirmation_seed8,confirmation,8,canonicalize_pool_retransport_inferred,128,17.124416423030198,688.828125,1099.28125,11.292181416181847,3913,61937
FashionMNIST_confirmation_seed8,confirmation,8,uncertainty_weighted_structured_retransport,128,18.639771034941077,688.828125,1099.28125,11.292181416181847,3913,61937
FashionMNIST_confirmation_seed8,confirmation,8,chart_abstaining_structured_retransport,128,21.823687595315278,688.828125,1099.28125,11.292181416181847,3913,61937
FashionMNIST_confirmation_seed8,confirmation,8,supplied_chart_oracle,128,0.0,688.828125,,3.6271067911293358,0,58024
FashionMNIST_confirmation_seed8,confirmation,8,random_action_control,128,0.0,688.828125,,3.6271067911293358,0,58024
FashionMNIST_confirmation_seed8,confirmation,8,wrong_action_control,128,0.0,688.828125,,11.292181416181847,0,58024
FashionMNIST_confirmation_seed8,confirmation,8,ensemble_reference,128,0.0,688.828125,,3.6271067911293358,0,58024
FashionMNIST_confirmation_seed9,confirmation,9,context_blind_synchronization,128,0.0,688.828125,,4.5663292072713375,0,58024
FashionMNIST_confirmation_seed9,confirmation,9,standard_cnn_chart_classifier,128,1.8550624372437596,688.828125,1099.28125,4.867003457387909,12152,70176
FashionMNIST_confirmation_seed9,confirmation,9,parameter_matched_standard_cnn_chart_classifier,128,1.6756874974817038,688.828125,1099.28125,4.82814020733349,9768,67792
FashionMNIST_confirmation_seed9,confirmation,9,generic_mixture_of_experts,128,1.6431455733254552,688.828125,1099.28125,4.867003457387909,12152,70176
FashionMNIST_confirmation_seed9,confirmation,9,generic_low_rank_context_adapter,128,1.7566254828125238,688.828125,1099.28125,6.339925832347944,19282,77306
FashionMNIST_confirmation_seed9,confirmation,9,trained_d4_equivariant_cnn_chart_classifier,128,12.269770493730903,688.828125,1099.28125,10.917278457200155,3913,61937
FashionMNIST_confirmation_seed9,confirmation,9,structured_group_router,128,12.231375090777874,688.828125,1099.28125,10.917278457200155,3913,61937
FashionMNIST_confirmation_seed9,confirmation,9,canonicalize_pool_retransport_inferred,128,11.509520467370749,688.828125,1099.28125,10.917278457200155,3913,61937
FashionMNIST_confirmation_seed9,confirmation,9,uncertainty_weighted_structured_retransport,128,11.490290984511375,688.828125,1099.28125,10.917278457200155,3913,61937
FashionMNIST_confirmation_seed9,confirmation,9,chart_abstaining_structured_retransport,128,11.579666519537568,688.828125,1099.28125,10.917278457200155,3913,61937
FashionMNIST_confirmation_seed9,confirmation,9,supplied_chart_oracle,128,0.0,688.828125,,4.5663292072713375,0,58024
FashionMNIST_confirmation_seed9,confirmation,9,random_action_control,128,0.0,688.828125,,4.5663292072713375,0,58024
FashionMNIST_confirmation_seed9,confirmation,9,wrong_action_control,128,0.0,688.828125,,10.917278457200155,0,58024
FashionMNIST_confirmation_seed9,confirmation,9,ensemble_reference,128,0.0,688.828125,,4.5663292072713375,0,58024
FashionMNIST_confirmation_seed10,confirmation,10,context_blind_synchronization,128,0.0,688.828125,,2.176456709392369,0,58024
FashionMNIST_confirmation_seed10,confirmation,10,standard_cnn_chart_classifier,128,1.6247080639004707,688.828125,1099.28125,2.3879605843685567,12152,70176
FashionMNIST_confirmation_seed10,confirmation,10,parameter_matched_standard_cnn_chart_classifier,128,1.4226454077288508,688.828125,1099.28125,2.387057750253007,9768,67792
FashionMNIST_confirmation_seed10,confirmation,10,generic_mixture_of_experts,128,1.6209165332838893,688.828125,1099.28125,2.3879605843685567,12152,70176
FashionMNIST_confirmation_seed10,confirmation,10,generic_low_rank_context_adapter,128,1.5237500192597508,688.828125,1099.28125,3.242946667363867,19282,77306
FashionMNIST_confirmation_seed10,confirmation,10,trained_d4_equivariant_cnn_chart_classifier,128,11.611166410148144,688.828125,1099.28125,7.259646334452555,3913,61937
FashionMNIST_confirmation_seed10,confirmation,10,structured_group_router,128,11.596124968491495,688.828125,1099.28125,7.259646334452555,3913,61937
FashionMNIST_confirmation_seed10,confirmation,10,canonicalize_pool_retransport_inferred,128,11.572833522222936,688.828125,1099.28125,7.259646334452555,3913,61937
FashionMNIST_confirmation_seed10,confirmation,10,uncertainty_weighted_structured_retransport,128,11.470395955257118,688.828125,1099.28125,7.259646334452555,3913,61937
FashionMNIST_confirmation_seed10,confirmation,10,chart_abstaining_structured_retransport,128,11.748979100957513,688.828125,1099.28125,7.259646334452555,3913,61937
FashionMNIST_confirmation_seed10,confirmation,10,supplied_chart_oracle,128,0.0,688.828125,,2.176456709392369,0,58024
FashionMNIST_confirmation_seed10,confirmation,10,random_action_control,128,0.0,688.828125,,2.176456709392369,0,58024
FashionMNIST_confirmation_seed10,confirmation,10,wrong_action_control,128,0.0,688.828125,,7.259646334452555,0,58024
FashionMNIST_confirmation_seed10,confirmation,10,ensemble_reference,128,0.0,688.828125,,2.176456709392369,0,58024
FashionMNIST_confirmation_seed11,confirmation,11,context_blind_synchronization,128,0.0,688.828125,,2.8871141250710934,0,58024
FashionMNIST_confirmation_seed11,confirmation,11,standard_cnn_chart_classifier,128,1.5771046746522188,688.828125,1099.28125,3.0832954172510654,12152,70176
FashionMNIST_confirmation_seed11,confirmation,11,parameter_matched_standard_cnn_chart_classifier,128,1.380708534270525,688.828125,1099.28125,3.120397875085473,9768,67792
FashionMNIST_confirmation_seed11,confirmation,11,generic_mixture_of_experts,128,1.3896453892812133,688.828125,1099.28125,3.0832954172510654,12152,70176
FashionMNIST_confirmation_seed11,confirmation,11,generic_low_rank_context_adapter,128,1.5407295431941748,688.828125,1099.28125,4.028975584311411,19282,77306
FashionMNIST_confirmation_seed11,confirmation,11,trained_d4_equivariant_cnn_chart_classifier,128,10.811437503434718,688.828125,1099.28125,7.251213500043377,3913,61937
FashionMNIST_confirmation_seed11,confirmation,11,structured_group_router,128,11.560791521333158,688.828125,1099.28125,7.251213500043377,3913,61937
FashionMNIST_confirmation_seed11,confirmation,11,canonicalize_pool_retransport_inferred,128,11.504646041430533,688.828125,1099.28125,7.251213500043377,3913,61937
FashionMNIST_confirmation_seed11,confirmation,11,uncertainty_weighted_structured_retransport,128,11.795958620496094,688.828125,1099.28125,7.251213500043377,3913,61937
FashionMNIST_confirmation_seed11,confirmation,11,chart_abstaining_structured_retransport,128,11.55958347953856,688.828125,1099.28125,7.251213500043377,3913,61937
FashionMNIST_confirmation_seed11,confirmation,11,supplied_chart_oracle,128,0.0,688.828125,,2.8871141250710934,0,58024
FashionMNIST_confirmation_seed11,confirmation,11,random_action_control,128,0.0,688.828125,,2.8871141250710934,0,58024
FashionMNIST_confirmation_seed11,confirmation,11,wrong_action_control,128,0.0,688.828125,,7.251213500043377,0,58024
FashionMNIST_confirmation_seed11,confirmation,11,ensemble_reference,128,0.0,688.828125,,2.8871141250710934,0,58024
FashionMNIST_confirmation_seed12,confirmation,12,context_blind_synchronization,128,0.0,688.828125,,2.1362632079981267,0,58024
FashionMNIST_confirmation_seed12,confirmation,12,standard_cnn_chart_classifier,128,1.5397709794342518,688.828125,1099.28125,2.326531124068424,12152,70176
FashionMNIST_confirmation_seed12,confirmation,12,parameter_matched_standard_cnn_chart_classifier,128,1.4763545477762818,688.828125,1099.28125,2.326590833021328,9768,67792
FashionMNIST_confirmation_seed12,confirmation,12,generic_mixture_of_experts,128,1.5201461501419544,688.828125,1099.28125,2.326531124068424,12152,70176
FashionMNIST_confirmation_seed12,confirmation,12,generic_low_rank_context_adapter,128,1.615270972251892,688.828125,1099.28125,3.1901127079036087,19282,77306
FashionMNIST_confirmation_seed12,confirmation,12,trained_d4_equivariant_cnn_chart_classifier,128,11.604520957916975,688.828125,1099.28125,6.5061733750626445,3913,61937
FashionMNIST_confirmation_seed12,confirmation,12,structured_group_router,128,11.865062522701919,688.828125,1099.28125,6.5061733750626445,3913,61937
FashionMNIST_confirmation_seed12,confirmation,12,canonicalize_pool_retransport_inferred,128,11.167166521772742,688.828125,1099.28125,6.5061733750626445,3913,61937
FashionMNIST_confirmation_seed12,confirmation,12,uncertainty_weighted_structured_retransport,128,11.766917072236538,688.828125,1099.28125,6.5061733750626445,3913,61937
FashionMNIST_confirmation_seed12,confirmation,12,chart_abstaining_structured_retransport,128,10.965020512230694,688.828125,1099.28125,6.5061733750626445,3913,61937
FashionMNIST_confirmation_seed12,confirmation,12,supplied_chart_oracle,128,0.0,688.828125,,2.1362632079981267,0,58024
FashionMNIST_confirmation_seed12,confirmation,12,random_action_control,128,0.0,688.828125,,2.1362632079981267,0,58024
FashionMNIST_confirmation_seed12,confirmation,12,wrong_action_control,128,0.0,688.828125,,6.5061733750626445,0,58024
FashionMNIST_confirmation_seed12,confirmation,12,ensemble_reference,128,0.0,688.828125,,2.1362632079981267,0,58024
FashionMNIST_confirmation_seed13,confirmation,13,context_blind_synchronization,128,0.0,688.828125,,2.1382481658365577,0,58024
FashionMNIST_confirmation_seed13,confirmation,13,standard_cnn_chart_classifier,128,1.4341254718601704,688.828125,1099.28125,2.3245815818663687,12152,70176
FashionMNIST_confirmation_seed13,confirmation,13,parameter_matched_standard_cnn_chart_classifier,128,1.5445210738107562,688.828125,1099.28125,2.3287630828563124,9768,67792
FashionMNIST_confirmation_seed13,confirmation,13,generic_mixture_of_experts,128,1.3750414364039898,688.828125,1099.28125,2.3245815818663687,12152,70176
FashionMNIST_confirmation_seed13,confirmation,13,generic_low_rank_context_adapter,128,1.4323334908112884,688.828125,1099.28125,3.5288514990825206,19282,77306
FashionMNIST_confirmation_seed13,confirmation,13,trained_d4_equivariant_cnn_chart_classifier,128,17.800854635424912,688.828125,1099.28125,7.891524665756151,3913,61937
FashionMNIST_confirmation_seed13,confirmation,13,structured_group_router,128,18.037583446130157,688.828125,1099.28125,7.891524665756151,3913,61937
FashionMNIST_confirmation_seed13,confirmation,13,canonicalize_pool_retransport_inferred,128,18.13116658013314,688.828125,1099.28125,7.891524665756151,3913,61937
FashionMNIST_confirmation_seed13,confirmation,13,uncertainty_weighted_structured_retransport,128,17.569208052009344,688.828125,1099.28125,7.891524665756151,3913,61937
FashionMNIST_confirmation_seed13,confirmation,13,chart_abstaining_structured_retransport,128,18.23556248564273,688.828125,1099.28125,7.891524665756151,3913,61937
FashionMNIST_confirmation_seed13,confirmation,13,supplied_chart_oracle,128,0.0,688.828125,,2.1382481658365577,0,58024
FashionMNIST_confirmation_seed13,confirmation,13,random_action_control,128,0.0,688.828125,,2.1382481658365577,0,58024
FashionMNIST_confirmation_seed13,confirmation,13,wrong_action_control,128,0.0,688.828125,,7.891524665756151,0,58024
FashionMNIST_confirmation_seed13,confirmation,13,ensemble_reference,128,0.0,688.828125,,2.1382481658365577,0,58024
FashionMNIST_confirmation_seed14,confirmation,14,context_blind_synchronization,128,0.0,688.828125,,3.424551374046132,0,58024
FashionMNIST_confirmation_seed14,confirmation,14,standard_cnn_chart_classifier,128,1.3122709933668375,688.828125,1099.28125,3.793177207931876,12152,70176
