family,claim_scope,scramble_index,scramble_seed,maximum_delta_error,maximum_relative_delta_error,maximum_logit_error,maximum_prediction_disagreement,maximum_gauge_condition_number,accepted_for_primary_claim,numerically_unstable
ill_conditioned,numerical_boundary_only,5,20660724,1.485599681327887e-07,3.3286675162867146e-07,8.058553437884086e-07,0.0,10000003202.716722,False,False
ill_conditioned,numerical_boundary_only,6,20660725,1.3875151578038314e-07,3.5759887114665815e-07,6.206237841421824e-07,0.0,10000005350.341928,False,False
ill_conditioned,numerical_boundary_only,7,20660726,8.256354736002613e-08,2.2979973981528032e-07,3.275090927346014e-07,0.0,10000000879.16885,False,False
ill_conditioned,numerical_boundary_only,8,20660727,1.2188655640343882e-07,2.813546519755842e-07,6.43999023330899e-07,0.0,10000006309.542648,False,False
ill_conditioned,numerical_boundary_only,9,20660728,1.0957869761574202e-07,2.334777882629763e-07,5.511737980468112e-07,0.0,10000005511.825489,False,False
ill_conditioned,numerical_boundary_only,10,20660729,1.1331016944171601e-07,3.9810885038783793e-07,7.473045924299981e-07,0.0,10000004017.99868,False,False
ill_conditioned,numerical_boundary_only,11,20660730,1.5503942724093278e-07,3.41423263421676e-07,6.082089651221478e-07,0.0,10000001838.50026,False,False
ill_conditioned,numerical_boundary_only,12,20660731,1.2946948439729322e-07,4.2280725705635693e-07,6.711030977601951e-07,0.0,10000002775.931797,False,False
ill_conditioned,numerical_boundary_only,13,20660732,1.0677036528516926e-07,2.47431349350373e-07,4.6330419275174284e-07,0.0,10000000509.593027,False,False
ill_conditioned,numerical_boundary_only,14,20660733,1.1544200297086693e-07,4.4689909328712427e-07,6.831443892241218e-07,0.0,10000002322.826605,False,False
ill_conditioned,numerical_boundary_only,15,20660734,9.157161420803028e-08,3.034567713858104e-07,3.7288178386662985e-07,0.0,10000000181.426245,False,False
ill_conditioned,numerical_boundary_only,16,20660735,1.842906927063126e-07,4.3539214582902474e-07,8.431789912388687e-07,0.0,10000002928.403397,False,False
ill_conditioned,numerical_boundary_only,17,20660736,7.788295400268375e-08,2.151109496802343e-07,3.51977630819178e-07,0.0,10000002089.053219,False,False
ill_conditioned,numerical_boundary_only,18,20660737,1.1398161908759974e-07,2.861011572230827e-07,5.181747667615255e-07,0.0,10000002100.792616,False,False
ill_conditioned,numerical_boundary_only,19,20660738,1.680599148318196e-07,3.901112477280227e-07,7.973458593379945e-07,0.0,10000002315.617222,False,False
