family,scramble_index,scramble_seed,i,j,k,normalized_frobenius_defect,spectral_defect,holonomy_condition_number
orthogonal,12,20360731,0,1,3,4.3316592316078706e-16,8.881784197001252e-16,1.0
orthogonal,12,20360731,0,2,3,7.242661735548573e-16,6.661338147750939e-16,1.0000000000000004
orthogonal,12,20360731,1,2,3,4.983344915294441e-16,5.551115123125783e-16,1.000000000000001
orthogonal,13,20360732,0,1,2,7.396564759689375e-15,2.4424906541753444e-15,1.0000000000000069
orthogonal,13,20360732,0,1,3,7.160709934657602e-15,2.3314683517128287e-15,1.000000000000009
orthogonal,13,20360732,0,2,3,3.842430818328389e-15,1.2975413005138016e-15,1.000000000000006
orthogonal,13,20360732,1,2,3,7.435342662831892e-15,2.220446049250313e-15,1.000000000000005
orthogonal,14,20360733,0,1,2,2.28500559596966e-15,1.5543122344752192e-15,1.0000000000000018
orthogonal,14,20360733,0,1,3,1.2840257757220225e-15,1.3322676295501878e-15,1.0000000000000018
orthogonal,14,20360733,0,2,3,2.7435191407108972e-15,3.552713678800501e-15,1.0000000000000007
orthogonal,14,20360733,1,2,3,2.407325372917562e-15,2.4424906541753444e-15,1.0000000000000047
orthogonal,15,20360734,0,1,2,1.0087379679748827e-15,8.725672525391336e-16,1.0000000000000004
orthogonal,15,20360734,0,1,3,8.284049710904536e-16,1.2212453270876722e-15,1.0000000000000009
orthogonal,15,20360734,0,2,3,9.077243848685404e-16,1.1102230246251565e-15,1.0000000000000016
orthogonal,15,20360734,1,2,3,8.599657482792025e-16,6.661338147750939e-16,1.000000000000001
orthogonal,16,20360735,0,1,2,1.2449865988123285e-15,2.1094237467877974e-15,1.0000000000000009
orthogonal,16,20360735,0,1,3,9.189875700317623e-16,9.992007221626409e-16,1.000000000000001
orthogonal,16,20360735,0,2,3,1.068529177214435e-15,1.6653345369377348e-15,1.000000000000001
orthogonal,16,20360735,1,2,3,1.2407609514134797e-15,1.7763568394002505e-15,1.0000000000000004
orthogonal,17,20360736,0,1,2,5.975345524362075e-16,1.5543122344752192e-15,1.0000000000000004
orthogonal,17,20360736,0,1,3,8.367817107865486e-16,9.992007221626409e-16,1.000000000000001
orthogonal,17,20360736,0,2,3,8.616670913362539e-16,1.1102230246251565e-15,1.0000000000000007
orthogonal,17,20360736,1,2,3,6.851360657312738e-16,8.881784197001252e-16,1.000000000000001
orthogonal,18,20360737,0,1,2,6.22803363400524e-16,7.400967856529517e-16,1.0000000000000009
orthogonal,18,20360737,0,1,3,7.391223132930932e-16,8.881784197001252e-16,1.0000000000000002
orthogonal,18,20360737,0,2,3,7.190874959386861e-16,6.661338147750939e-16,1.0000000000000013
orthogonal,18,20360737,1,2,3,3.6960065404504217e-16,5.551115123125783e-16,1.0000000000000007
orthogonal,19,20360738,0,1,2,6.796524097410416e-16,6.661338147750939e-16,1.0000000000000002
orthogonal,19,20360738,0,1,3,7.204140639490309e-16,6.661338147750939e-16,1.0000000000000013
orthogonal,19,20360738,0,2,3,6.922295416633968e-16,9.458771424589252e-16,1.000000000000001
orthogonal,19,20360738,1,2,3,8.048485679573972e-16,8.881784197001252e-16,1.0000000000000009
positive_diagonal,0,20460719,0,1,2,1.0099441657579135e-15,1.2212453270876722e-15,1.0000000000000013
positive_diagonal,0,20460719,0,1,3,1.0099441657579135e-15,1.2212453270876722e-15,1.0000000000000013
positive_diagonal,0,20460719,0,2,3,1.0318449028950293e-15,9.082158639546835e-16,1.0000000000000016
positive_diagonal,0,20460719,1,2,3,2.4582118654700087e-15,1.1102230246251565e-15,1.0000000000000027
positive_diagonal,1,20460720,0,1,2,2.090507954460566e-15,6.661338147750939e-16,1.0000000000000013
positive_diagonal,1,20460720,0,1,3,2.090507954460566e-15,6.661338147750939e-16,1.0000000000000013
positive_diagonal,1,20460720,0,2,3,1.0852193730946763e-15,9.992007221626409e-16,1.000000000000001
positive_diagonal,1,20460720,1,2,3,1.0089708088351037e-15,1.9984014443252818e-15,1.0000000000000009
positive_diagonal,2,20460721,0,1,2,1.1637409921342483e-15,9.992007221626409e-16,1.0000000000000016
positive_diagonal,2,20460721,0,1,3,1.0318449028950293e-15,9.082158639546835e-16,1.0000000000000016
positive_diagonal,2,20460721,0,2,3,1.0175409341528223e-15,1.3322676295501878e-15,1.000000000000001
positive_diagonal,2,20460721,1,2,3,1.0199903672192805e-15,1.1102230246251565e-15,1.0000000000000013
positive_diagonal,3,20460722,0,1,2,2.2083871906330468e-15,2.4424906541753444e-15,1.0000000000000016
positive_diagonal,3,20460722,0,1,3,2.1334186112488214e-15,8.004836631656837e-16,1.0000000000000022
positive_diagonal,3,20460722,0,2,3,2.1334186112488214e-15,8.004836631656837e-16,1.0000000000000022
positive_diagonal,3,20460722,1,2,3,2.1334186112488214e-15,8.004836631656837e-16,1.0000000000000022
positive_diagonal,4,20460723,0,1,2,1.77017748338382e-15,9.992007221626409e-16,1.0000000000000009
positive_diagonal,4,20460723,0,1,3,1.3093719214776288e-15,1.5543122344752192e-15,1.0000000000000013
positive_diagonal,4,20460723,0,2,3,1.787473898552039e-15,6.754093866019057e-16,1.0000000000000009
