family,method,baseline,dependent_pair_count,mean_paired_accuracy_delta,median_paired_accuracy_delta,paired_delta_std,wins,ties,losses,paired_bootstrap_ci_low,paired_bootstrap_ci_high,ci_status
ill_conditioned,global_synchronization,naive_factor_average,20,0.638720703125,0.634765625,0.04477243247838573,20,0,0,,,not_computed_dependent_scrambles_single_training_group
ill_conditioned,oracle_alignment,naive_factor_average,20,0.638720703125,0.634765625,0.04477243247838573,20,0,0,,,not_computed_dependent_scrambles_single_training_group
ill_conditioned,pairwise_reference_alignment,naive_factor_average,20,0.638720703125,0.634765625,0.04477243247838573,20,0,0,,,not_computed_dependent_scrambles_single_training_group
ill_conditioned,prediction_ensemble,naive_factor_average,20,0.638720703125,0.634765625,0.04477243247838573,20,0,0,,,not_computed_dependent_scrambles_single_training_group
ill_conditioned,separate_adapters,naive_factor_average,20,0.829150390625,0.8251953125,0.04477243247838573,20,0,0,,,not_computed_dependent_scrambles_single_training_group
ill_conditioned,task_arithmetic,naive_factor_average,20,0.638720703125,0.634765625,0.04477243247838573,20,0,0,,,not_computed_dependent_scrambles_single_training_group
ill_conditioned,ties,naive_factor_average,20,0.556689453125,0.552734375,0.04477243247838573,20,0,0,,,not_computed_dependent_scrambles_single_training_group
ill_conditioned,canonical_svd_factor_average,full_delta_svd,20,-0.021484375,-0.021484375,0.0,0,0,20,,,not_computed_dependent_scrambles_single_training_group
ill_conditioned,compress_then_merge,full_delta_svd,20,0.0,0.0,0.0,0,20,0,,,not_computed_dependent_scrambles_single_training_group
ill_conditioned,cycle_aware_alignment,full_delta_svd,20,0.0,0.0,0.0,0,20,0,,,not_computed_dependent_scrambles_single_training_group
ill_conditioned,dare,full_delta_svd,20,-0.05078125,-0.05078125,0.0,0,0,20,,,not_computed_dependent_scrambles_single_training_group
ill_conditioned,global_synchronization,full_delta_svd,20,0.0,0.0,0.0,0,20,0,,,not_computed_dependent_scrambles_single_training_group
ill_conditioned,naive_factor_average,full_delta_svd,20,-0.638720703125,-0.634765625,0.04477243247838573,0,0,20,,,not_computed_dependent_scrambles_single_training_group
ill_conditioned,oracle_alignment,full_delta_svd,20,0.0,0.0,0.0,0,20,0,,,not_computed_dependent_scrambles_single_training_group
ill_conditioned,pairwise_reference_alignment,full_delta_svd,20,0.0,0.0,0.0,0,20,0,,,not_computed_dependent_scrambles_single_training_group
ill_conditioned,prediction_ensemble,full_delta_svd,20,0.0,0.0,0.0,0,20,0,,,not_computed_dependent_scrambles_single_training_group
ill_conditioned,separate_adapters,full_delta_svd,20,0.1904296875,0.1904296875,0.0,20,0,0,,,not_computed_dependent_scrambles_single_training_group
ill_conditioned,task_arithmetic,full_delta_svd,20,0.0,0.0,0.0,0,20,0,,,not_computed_dependent_scrambles_single_training_group
ill_conditioned,ties,full_delta_svd,20,-0.08203125,-0.08203125,0.0,0,0,20,,,not_computed_dependent_scrambles_single_training_group
