architecture,dataset,domain,method,accuracy,worst_task_accuracy,forgetting,ece,latency_seconds,peak_memory_mb,lift_frequency
resnet18,CIFAR10,clean,twistedmerge_hodge_lr,0.76,0.7394899206825747,0.04356265853505117,0.5763260135187805,8.95792618393898e-06,342.046875,0.0
resnet18,CIFAR10,clean,uniform_model_soup,0.76,0.7394899206825747,0.04356265853505117,0.5763260135187805,9.499955922365189e-06,342.046875,0.0
resnet18,CIFAR10,gaussian_shift,adaptive_router,0.381,0.3080574292698296,0.0764922816761755,0.1920562431244879,9.457813575863838e-06,342.046875,0.0
resnet18,CIFAR10,gaussian_shift,c2m3_shared_feature_identity,0.398,0.3416047462141393,0.058791420249101375,0.22871667122713396,9.292038157582283e-06,342.046875,0.0
resnet18,CIFAR10,gaussian_shift,cca_shared_feature_alignment,0.398,0.3416047462141393,0.058791420249101375,0.22871667122713396,9.124865755438805e-06,342.046875,0.0
resnet18,CIFAR10,gaussian_shift,dare,0.25880000000000003,0.1864805960261055,0.19623544001811716,0.10375249044969521,9.333016350865364e-06,342.046875,0.0
resnet18,CIFAR10,gaussian_shift,ensemble_reference,0.398,0.3416047462141393,0.058791420249101375,0.22871667122713396,8.916947990655899e-06,342.046875,0.0
resnet18,CIFAR10,gaussian_shift,git_rebasin_shared_feature_identity,0.398,0.3416047462141393,0.058791420249101375,0.22871667122713396,9.207986295223236e-06,342.046875,0.0
resnet18,CIFAR10,gaussian_shift,greedy_model_soup,0.3566,0.27641655389566966,0.10237192779235874,0.11625980275940462,8.874805644154549e-06,342.046875,0.0
resnet18,CIFAR10,gaussian_shift,low_rank_task_subspace,0.3386,0.2365506227259151,0.12157798594833917,0.16054007000726794,9.041978046298027e-06,342.046875,0.0
resnet18,CIFAR10,gaussian_shift,regmean,0.398,0.3416047462141393,0.058791420249101375,0.22871667122713396,9.250128641724586e-06,342.046875,0.0
resnet18,CIFAR10,gaussian_shift,task_arithmetic,0.398,0.3416047462141393,0.058791420249101375,0.22871667122713396,9.00006853044033e-06,342.046875,0.0
resnet18,CIFAR10,gaussian_shift,ties,0.398,0.3416047462141393,0.058791420249101375,0.20348846804295656,8.916947990655899e-06,342.046875,0.0
resnet18,CIFAR10,gaussian_shift,twistedmerge_hodge_lr,0.398,0.3416047462141393,0.058791420249101375,0.22871667122713396,9.708106517791748e-06,342.046875,0.0
resnet18,CIFAR10,gaussian_shift,uniform_model_soup,0.398,0.3416047462141393,0.058791420249101375,0.22871667122713396,8.95792618393898e-06,342.046875,0.0
resnet18,CIFAR100,clean,adaptive_router,0.45840000000000003,0.43897383792045275,0.09913069670986625,0.4291464571682866,6.445799954235554e-05,358.03125,0.0
resnet18,CIFAR100,clean,c2m3_shared_feature_identity,0.514,0.4976650894162857,0.04347282475374086,0.4872588813490727,6.52919989079237e-05,358.03125,0.0
resnet18,CIFAR100,clean,cca_shared_feature_alignment,0.514,0.4976650894162857,0.04347282475374086,0.4872588813490727,6.64170365780592e-05,358.03125,0.0
resnet18,CIFAR100,clean,dare,0.0746,0.06240118703001658,0.4828679403611595,0.034559161655084145,8.433288894593716e-05,358.03125,0.0
resnet18,CIFAR100,clean,ensemble_reference,0.514,0.4976650894162857,0.04347282475374086,0.4872588813490727,6.475020200014114e-05,358.03125,0.0
resnet18,CIFAR100,clean,git_rebasin_shared_feature_identity,0.514,0.4976650894162857,0.04347282475374086,0.4872588813490727,6.991717964410782e-05,358.03125,0.0
resnet18,CIFAR100,clean,greedy_model_soup,0.4276,0.3696643886558435,0.13047395208288828,0.38098726946973704,7.7415956184268e-05,358.03125,0.0
resnet18,CIFAR100,clean,low_rank_task_subspace,0.514,0.4976650894162857,0.04347282475374086,0.4872588813559555,6.470899097621441e-05,358.03125,0.0
resnet18,CIFAR100,clean,regmean,0.514,0.4976650894162857,0.04347282475374086,0.4872588813490727,6.574997678399086e-05,358.03125,0.0
resnet18,CIFAR100,clean,task_arithmetic,0.514,0.4976650894162857,0.04347282475374086,0.4872588813490727,6.587500683963299e-05,358.03125,0.0
resnet18,CIFAR100,clean,ties,0.514,0.4976650894162857,0.04347282475374086,0.4774960305405682,7.433304563164711e-05,358.03125,0.0
resnet18,CIFAR100,clean,twistedmerge_hodge_lr,0.514,0.4976650894162857,0.04347282475374086,0.4872588813490727,6.395811215043068e-05,358.03125,0.0
