setting_id,teacher_accuracy,student_accuracy,distillation_gap,teacher_ece,student_ece
D4_s9_n0.2_b16,0.8216666666666667,0.1166666666666666,-0.7050000000000001,0.4646485883684038,0.1277294999628353
D4_s9_n0.2_b64,0.8483333333333334,0.1283333333333333,-0.7200000000000001,0.4913152550350705,0.5664006531152821
D4_s9_n0.5_b16,0.57,0.1166666666666666,-0.4533333333333333,0.2288581953143429,0.1277294999628353
D4_s9_n0.5_b64,0.5708333333333333,0.1283333333333333,-0.4425,0.2314223534036789,0.5664006531152821
S3_s0_n0.2_b16,0.8358333333333333,0.1691666666666666,-0.6666666666666667,0.4186679313280976,0.1338083081553804
S3_s0_n0.2_b64,0.8391666666666666,0.1533333333333333,-0.6858333333333333,0.4220012646614307,0.5855906419341985
S3_s0_n0.5_b16,0.5775,0.1691666666666666,-0.4083333333333334,0.17487597448026,0.1338083081553804
S3_s0_n0.5_b64,0.6025,0.1533333333333333,-0.4491666666666667,0.2082093078135933,0.5855906419341985
S3_s1_n0.2_b16,0.825,0.1733333333333333,-0.6516666666666666,0.4133267198658562,0.1148752971772987
S3_s1_n0.2_b64,0.8191666666666667,0.175,-0.6441666666666668,0.4074933865325227,0.5726724347558458
S3_s1_n0.5_b16,0.5883333333333334,0.1733333333333333,-0.415,0.2137953199896552,0.1148752971772987
S3_s1_n0.5_b64,0.5766666666666667,0.175,-0.4016666666666666,0.1770873541388554,0.5726724347558458
S3_s2_n0.2_b16,0.8208333333333333,0.1808333333333333,-0.64,0.3927377261417711,0.1072656304742756
S3_s2_n0.2_b64,0.845,0.1716666666666666,-0.6733333333333333,0.4152821202221779,0.5505984902044567
S3_s2_n0.5_b16,0.5925,0.1808333333333333,-0.4116666666666667,0.1963284088712974,0.1072656304742756
S3_s2_n0.5_b64,0.59,0.1716666666666666,-0.4183333333333333,0.1748934123034719,0.5505984902044567
S3_s3_n0.2_b16,0.8316666666666667,0.1725,-0.6591666666666667,0.4050783706863698,0.1320583071210867
S3_s3_n0.2_b64,0.8208333333333333,0.1725,-0.6483333333333333,0.3968949178781996,0.5557922815825043
S3_s3_n0.5_b16,0.585,0.1725,-0.4125,0.1879657490671674,0.1320583071210867
S3_s3_n0.5_b64,0.5891666666666666,0.1725,-0.4166666666666666,0.1937990824005006,0.5557922815825043
S3_s4_n0.2_b16,0.8308333333333333,0.1641666666666666,-0.6666666666666667,0.4266616144946984,0.134282011632705
S3_s4_n0.2_b64,0.85,0.16,-0.69,0.4441616144946984,0.5803256067392474
S3_s4_n0.5_b16,0.5891666666666666,0.1641666666666666,-0.425,0.193252026605838,0.134282011632705
S3_s4_n0.5_b64,0.58,0.16,-0.4199999999999999,0.1844821260447899,0.5803256067392474
S3_s5_n0.2_b16,0.84,0.1725,-0.6675,0.4137771859167576,0.1411449702884752
S3_s5_n0.2_b64,0.8108333333333333,0.1725,-0.6383333333333333,0.3860758060650551,0.547207199867233
S3_s5_n0.5_b16,0.5525,0.1725,-0.38,0.1570341085512822,0.1411449702884752
S3_s5_n0.5_b64,0.5766666666666667,0.1725,-0.4041666666666667,0.1642019939044162,0.547207199867233
S3_s6_n0.2_b16,0.8225,0.17,-0.6525,0.3853023539139708,0.1627036083356029
S3_s6_n0.2_b64,0.8458333333333333,0.1683333333333333,-0.6775,0.4087976813965257,0.6186444632130794
S3_s6_n0.5_b16,0.5708333333333333,0.17,-0.4008333333333332,0.1786722999591109,0.1627036083356029
S3_s6_n0.5_b64,0.5941666666666666,0.1683333333333333,-0.4258333333333333,0.1850755017732633,0.6186444632130794
S3_s7_n0.2_b16,0.8441666666666666,0.1716666666666666,-0.6725,0.4232513798979218,0.1499494867771129
S3_s7_n0.2_b64,0.82,0.1441666666666666,-0.6758333333333333,0.3990847132312551,0.6131835811792805
S3_s7_n0.5_b16,0.5816666666666667,0.1716666666666666,-0.41,0.1778063949804855,0.1499494867771129
S3_s7_n0.5_b64,0.5858333333333333,0.1441666666666666,-0.4416666666666667,0.1817643775733423,0.6131835811792805
S3_s8_n0.2_b16,0.83,0.1633333333333333,-0.6666666666666666,0.4052213933686037,0.1651480894211606
S3_s8_n0.2_b64,0.8333333333333334,0.1575,-0.6758333333333334,0.4085547267019369,0.6102308141010884
S3_s8_n0.5_b16,0.6008333333333333,0.1633333333333333,-0.4375,0.1892676612438988,0.1651480894211606
S3_s8_n0.5_b64,0.5991666666666666,0.1575,-0.4416666666666666,0.2092676612438989,0.6102308141010884
S3_s9_n0.2_b16,0.8316666666666667,0.1741666666666666,-0.6575000000000001,0.4064651395763544,0.1412766638786513
S3_s9_n0.2_b64,0.8533333333333334,0.1633333333333333,-0.6900000000000001,0.4275704524941672,0.5906399436316827
S3_s9_n0.5_b16,0.5933333333333334,0.1741666666666666,-0.4191666666666668,0.1897100326632922,0.1412766638786513
S3_s9_n0.5_b64,0.5733333333333334,0.1633333333333333,-0.41,0.1652067374074373,0.5906399436316827
