setting_id,group,width,seed,noise,context_budget,split,method,accuracy,loss,ece,trainable_parameters,stored_parameters,branch_count,latency_ms,peak_memory_mb,leakage_hash_passed,logits_sha256
S3_w64_s20_n1.0_b16,S3,64,20,1.0,16,standard,generic_mixture_of_experts,0.13583333333333333,1.810005598953613,0.060185093954002254,42,42,6,0.021625077351927757,125.25,True,993b233953144755d2369b5f7e15fb3da94ddb04775949de5a0c3bc05162fa93
S3_w64_s20_n1.0_b16,S3,64,20,1.0,16,standard,learned_unconstrained_matrix_context_action,0.15333333333333332,2.0560244964339214,0.18766854518446935,222,222,1,0.024042092263698578,125.25,True,993b233953144755d2369b5f7e15fb3da94ddb04775949de5a0c3bc05162fa93
S3_w64_s20_n1.0_b16,S3,64,20,1.0,16,standard,generic_low_rank_context_adapter,0.19916666666666666,2.1086115186608376,0.21521036810326769,462,462,1,0.021249987185001373,125.25,True,993b233953144755d2369b5f7e15fb3da94ddb04775949de5a0c3bc05162fa93
S3_w64_s20_n1.0_b16,S3,64,20,1.0,16,standard,group_structured_without_hodge,0.18583333333333332,2.1159193309367454,0.23138592828515706,0,0,1,0.021416926756501198,125.25,True,993b233953144755d2369b5f7e15fb3da94ddb04775949de5a0c3bc05162fa93
S3_w64_s20_n1.0_b16,S3,64,20,1.0,16,standard,hodge_lr_generic_retransport,0.1825,1.9288578683849853,0.1471360128327188,66,66,6,0.021249987185001373,125.25,True,993b233953144755d2369b5f7e15fb3da94ddb04775949de5a0c3bc05162fa93
S3_w64_s20_n1.0_b16,S3,64,20,1.0,16,standard,random_multiplication_table_control,0.0,2.4758496327435116,0.41721926161849043,0,0,1,0.022500054910779,125.25,True,993b233953144755d2369b5f7e15fb3da94ddb04775949de5a0c3bc05162fa93
S3_w64_s20_n1.0_b16,S3,64,20,1.0,16,standard,shuffled_context_control,0.15583333333333332,2.2077760186393727,0.2615287026857134,0,0,1,0.021707965061068535,125.25,True,993b233953144755d2369b5f7e15fb3da94ddb04775949de5a0c3bc05162fa93
S3_w64_s20_n1.0_b64,S3,64,20,1.0,64,standard,twistedmerge_hodge_lr,0.16583333333333333,2.1670539765603647,0.2513859282851571,30,30,1,0.02329191192984581,125.28125,True,5728354a2107916b2647a4f47021c5d7d404e7883ae6460977c4f01536353d2d
S3_w64_s20_n1.0_b64,S3,64,20,1.0,64,standard,generic_mixture_of_experts,0.16,1.7959651363938238,0.019812921445067244,42,42,6,0.021832995116710663,125.28125,True,5728354a2107916b2647a4f47021c5d7d404e7883ae6460977c4f01536353d2d
S3_w64_s20_n1.0_b64,S3,64,20,1.0,64,standard,learned_unconstrained_matrix_context_action,0.175,2.1841804780779004,0.23810128629452182,222,222,1,0.02333405427634716,125.28125,True,5728354a2107916b2647a4f47021c5d7d404e7883ae6460977c4f01536353d2d
