family,setting_id,seed,method,accuracy,loss,ece,residual_before,residual_after,residual_reduction,selected_rank,false_positive_lift_activation,trainable_parameters,stored_parameters,latency_ms,peak_memory_mb,context_samples,leakage_hash_passed,logits_sha256,cocycle_family,width,control_seed
controlled_mu2,mu2_w32_s3,3,low_rank_structured_router,1.0,0.3410573956398532,0.27656372479926156,1.0191805572903132,0.0,1.0191805572903132,1,False,2,2,0.01,257.140625,512,True,c153d8ec16b606d391008a1f496b7da1532de1f906daf82607a6cc0ee5cfef30,coboundary,32,3
controlled_mu2,mu2_w32_s3,3,canonicalize_pool_retransport,1.0,0.3410573956398532,0.27656372479926156,1.0191805572903132,0.0,1.0191805572903132,1,False,2,2,0.01,257.140625,512,True,c153d8ec16b606d391008a1f496b7da1532de1f906daf82607a6cc0ee5cfef30,coboundary,32,3
controlled_mu2,mu2_w32_s3,3,distilled_chart_aware_predictor,0.49333333333333335,0.7072481886799338,0.07262716924645835,1.0191805572903132,0.7226122333323041,0.29656832395800914,1,False,70,70,0.01,257.140625,512,True,c153d8ec16b606d391008a1f496b7da1532de1f906daf82607a6cc0ee5cfef30,coboundary,32,3
controlled_mu2,mu2_w32_s4,4,strict_synchronization,0.4841666666666667,0.9374825524431732,0.2425573954253073,1.0550894323402387,1.0550894323402387,0.0,0,False,0,0,0.01,257.15625,512,True,18d8ea22f3fa51429a04ca20b298c696f69dbd5c307c8343f3c1d9a8d1cb7975,nontrivial_central,32,4
controlled_mu2,mu2_w32_s4,4,synchronization_cycle_norm_only,0.4841666666666667,0.9374825524431732,0.2425573954253073,1.0550894323402387,1.0550894323402387,0.0,0,False,0,0,0.01,257.15625,512,True,18d8ea22f3fa51429a04ca20b298c696f69dbd5c307c8343f3c1d9a8d1cb7975,nontrivial_central,32,4
controlled_mu2,mu2_w32_s4,4,weighted_hodge,0.71,0.5219572379423633,0.10125958956470282,1.0550894323402387,0.5275447161701193,0.5275447161701193,0,False,0,0,0.01,257.171875,512,True,18d8ea22f3fa51429a04ca20b298c696f69dbd5c307c8343f3c1d9a8d1cb7975,nontrivial_central,32,4
controlled_mu2,mu2_w32_s4,4,hodge_full_rank_correction,1.0,0.33681588361630693,0.273275937908026,1.0550894323402387,0.0,1.0550894323402387,2,False,4,4,0.01,257.171875,512,True,18d8ea22f3fa51429a04ca20b298c696f69dbd5c307c8343f3c1d9a8d1cb7975,nontrivial_central,32,4
controlled_mu2,mu2_w32_s4,4,hodge_low_rank_correction,1.0,0.33681588361630693,0.27327593790802607,1.0550894323402387,1.655788842115838e-16,1.0550894323402384,1,False,2,2,0.01,257.171875,512,True,18d8ea22f3fa51429a04ca20b298c696f69dbd5c307c8343f3c1d9a8d1cb7975,nontrivial_central,32,4
controlled_mu2,mu2_w32_s4,4,low_rank_generic_router,0.52,0.6933686528304089,0.033456469888357765,1.0550894323402387,1.141043583325903,-0.08595415098566428,1,False,70,70,0.01,257.171875,512,True,18d8ea22f3fa51429a04ca20b298c696f69dbd5c307c8343f3c1d9a8d1cb7975,nontrivial_central,32,4
controlled_mu2,mu2_w32_s4,4,low_rank_structured_router,1.0,0.33681588361630693,0.273275937908026,1.0550894323402387,0.0,1.0550894323402387,1,False,2,2,0.01,257.171875,512,True,18d8ea22f3fa51429a04ca20b298c696f69dbd5c307c8343f3c1d9a8d1cb7975,nontrivial_central,32,4
