setting_id,selector_accuracy,greedy_accuracy,selector_minus_greedy
mnist_mlp_N4_W16_S1816,0.8157,0.8157,0.0
mnist_mlp_N4_W16_S1817,0.8187,0.8367,-0.018000000000000016
mnist_mlp_N4_W16_S1818,0.8332,0.8273,0.005900000000000016
mnist_mlp_N4_W16_S1819,0.8227,0.824,-0.0012999999999999678
mnist_mlp_N4_W32_S1800,0.8626,0.862,0.0006000000000000449
mnist_mlp_N4_W32_S1801,0.8605,0.8612,-0.0006999999999999229
mnist_mlp_N4_W32_S1802,0.8625,0.8625,0.0
mnist_mlp_N4_W32_S1803,0.8567,0.865,-0.008299999999999974
mnist_mlp_N4_W32_S1804,0.8549,0.8596,-0.0047000000000000375
mnist_mlp_N4_W32_S1805,0.864,0.8635,0.0004999999999999449
mnist_mlp_N4_W32_S1806,0.861,0.8608,0.00019999999999997797
mnist_mlp_N4_W32_S1807,0.8561,0.8563,-0.00019999999999997797
mnist_mlp_N4_W32_S1808,0.8647,0.8647,0.0
mnist_mlp_N4_W32_S1809,0.8621,0.8621,0.0
mnist_mlp_N4_W32_S1810,0.8572,0.8571,9.999999999998899e-05
mnist_mlp_N4_W32_S1811,0.8658,0.8658,0.0
mnist_mlp_N4_W32_S1812,0.861,0.8569,0.0040999999999999925
mnist_mlp_N4_W32_S1813,0.8559,0.8557,0.00019999999999997797
mnist_mlp_N4_W32_S1814,0.8605,0.8603,0.000200000000000089
mnist_mlp_N4_W32_S1815,0.8656,0.8656,0.0
mnist_mlp_N4_W32_S1816,0.8664,0.8664,0.0
mnist_mlp_N4_W32_S1817,0.8667,0.8678,-0.0010999999999999899
mnist_mlp_N4_W32_S1818,0.8577,0.8621,-0.0043999999999999595
mnist_mlp_N4_W32_S1819,0.8626,0.8626,0.0
mnist_mlp_N4_W64_S1800,0.8766,0.879,-0.0023999999999999577
mnist_mlp_N4_W64_S1801,0.88,0.8782,0.0018000000000000238
mnist_mlp_N4_W64_S1802,0.8732,0.8851,-0.011900000000000022
mnist_mlp_N4_W64_S1803,0.8772,0.8772,0.0
mnist_mlp_N4_W64_S1804,0.8834,0.8849,-0.0015000000000000568
mnist_mlp_N4_W64_S1805,0.8728,0.8778,-0.0050000000000000044
mnist_mlp_N4_W64_S1806,0.8788,0.8817,-0.0029000000000000137
mnist_mlp_N4_W64_S1807,0.8784,0.8787,-0.000300000000000078
mnist_mlp_N4_W64_S1808,0.8788,0.8772,0.0016000000000000458
mnist_mlp_N4_W64_S1809,0.8773,0.8801,-0.0028000000000000247
mnist_mlp_N4_W64_S1810,0.8787,0.8784,0.000300000000000078
mnist_mlp_N4_W64_S1811,0.8818,0.8819,-9.999999999998899e-05
mnist_mlp_N4_W64_S1812,0.8832,0.8832,0.0
mnist_mlp_N4_W64_S1813,0.8786,0.8818,-0.0031999999999999806
mnist_mlp_N4_W64_S1814,0.8668,0.8837,-0.016900000000000026
mnist_mlp_N4_W64_S1815,0.8843,0.8843,0.0
mnist_mlp_N4_W64_S1816,0.8758,0.8759,-9.999999999998899e-05
mnist_mlp_N4_W64_S1817,0.8754,0.8763,-0.0009000000000000119
mnist_mlp_N4_W64_S1818,0.8828,0.8818,0.0010000000000000009
mnist_mlp_N4_W64_S1819,0.8783,0.8783,0.0
