setting_id,group,seed,noise,validation_samples,test_samples,method,accuracy,nll,brier,ece,classwise_ece,leakage_hash_passed,logits_sha256
S3_s21_n1.0,S3,21,1.0,400,800,generic_mixture_of_experts_uncalibrated,0.17375,1.793607848240234,0.8339559171126382,0.008503013330184035,0.018151473306087237,True,d7041c468e4433272ffbf551a98b2d077f5ccb352bd8ad04d4d4bc5e9cbac40c
S3_s21_n1.0,S3,21,1.0,400,800,generic_mixture_of_experts_temperature,0.17375,1.79167572216332,0.8333054901074556,0.004051603216894767,0.01719434916085405,True,d7041c468e4433272ffbf551a98b2d077f5ccb352bd8ad04d4d4bc5e9cbac40c
S3_s21_n1.0,S3,21,1.0,400,800,learned_unconstrained_matrix_context_action_uncalibrated,0.1575,2.3098802356354016,0.9854443275987841,0.26254176403838264,0.11474895490393179,True,d7041c468e4433272ffbf551a98b2d077f5ccb352bd8ad04d4d4bc5e9cbac40c
S3_s21_n1.0,S3,21,1.0,400,800,learned_unconstrained_matrix_context_action_temperature,0.1575,1.8246678455582575,0.8446315356101618,0.05698106400370822,0.026861722454916515,True,d7041c468e4433272ffbf551a98b2d077f5ccb352bd8ad04d4d4bc5e9cbac40c
S3_s22_n0.2,S3,22,0.2,400,800,twistedmerge_hodge_lr_uncalibrated,0.8225,1.2181158377528527,0.5763245464824841,0.421213097769565,0.09929270674045754,True,1c2f2c42a81b3884b02e612f9b025a4d7a88384ad774a9e40c2b2886c1c8d84a
S3_s22_n0.2,S3,22,0.2,400,800,twistedmerge_hodge_lr_temperature,0.8225,1.1078347888574829,0.4768923637903086,0.2791478412039045,0.06878938988953359,True,1c2f2c42a81b3884b02e612f9b025a4d7a88384ad774a9e40c2b2886c1c8d84a
S3_s22_n0.2,S3,22,0.2,400,800,twistedmerge_hodge_lr_vector,0.78375,1.114442785751602,0.4811883223504985,0.23905007265167386,0.07115273280894772,True,1c2f2c42a81b3884b02e612f9b025a4d7a88384ad774a9e40c2b2886c1c8d84a
S3_s22_n0.2,S3,22,0.2,400,800,generic_mixture_of_experts_uncalibrated,0.76375,1.6521850506409412,0.7836846454506528,0.562360139021268,0.08759084053278937,True,1c2f2c42a81b3884b02e612f9b025a4d7a88384ad774a9e40c2b2886c1c8d84a
S3_s22_n0.2,S3,22,0.2,400,800,generic_mixture_of_experts_temperature,0.76375,1.290353856645451,0.6157445332529526,0.40251991909464424,0.09403457909898173,True,1c2f2c42a81b3884b02e612f9b025a4d7a88384ad774a9e40c2b2886c1c8d84a
S3_s22_n0.2,S3,22,0.2,400,800,learned_unconstrained_matrix_context_action_uncalibrated,0.525,1.4982305697181704,0.6950259523796545,0.1217558075600046,0.04756042485639309,True,1c2f2c42a81b3884b02e612f9b025a4d7a88384ad774a9e40c2b2886c1c8d84a
S3_s22_n0.2,S3,22,0.2,400,800,learned_unconstrained_matrix_context_action_temperature,0.525,1.546917559367782,0.7368543321189711,0.234975850042232,0.06476620155864442,True,1c2f2c42a81b3884b02e612f9b025a4d7a88384ad774a9e40c2b2886c1c8d84a
S3_s22_n0.5,S3,22,0.5,400,800,twistedmerge_hodge_lr_uncalibrated,0.58125,1.5361971022455612,0.7075793846202455,0.18542281425569918,0.058655878096077495,True,aa34286189c8507c11c3ebb875f2ea6dc726d7be8f74f9dca14772d38da96e3d
S3_s22_n0.5,S3,22,0.5,400,800,twistedmerge_hodge_lr_temperature,0.58125,1.5352387613932377,0.7093498618949425,0.19376310782171843,0.055104302794434123,True,aa34286189c8507c11c3ebb875f2ea6dc726d7be8f74f9dca14772d38da96e3d
S3_s22_n0.5,S3,22,0.5,400,800,twistedmerge_hodge_lr_vector,0.5025,1.5568456852684642,0.7168250817025994,0.1092264353840594,0.0587113118246422,True,aa34286189c8507c11c3ebb875f2ea6dc726d7be8f74f9dca14772d38da96e3d
S3_s22_n0.5,S3,22,0.5,400,800,generic_mixture_of_experts_uncalibrated,0.31125,1.763125559065108,0.8234959892676962,0.1278297980220696,0.016261146332940898,True,aa34286189c8507c11c3ebb875f2ea6dc726d7be8f74f9dca14772d38da96e3d
S3_s22_n0.5,S3,22,0.5,400,800,generic_mixture_of_experts_temperature,0.31125,1.7524388219791234,0.8196353504891947,0.12021944714552264,0.026401772054275505,True,aa34286189c8507c11c3ebb875f2ea6dc726d7be8f74f9dca14772d38da96e3d
S3_s22_n0.5,S3,22,0.5,400,800,learned_unconstrained_matrix_context_action_uncalibrated,0.2775,1.873978577053134,0.850368286474852,0.09717727642577521,0.05626904410690519,True,aa34286189c8507c11c3ebb875f2ea6dc726d7be8f74f9dca14772d38da96e3d
S3_s22_n0.5,S3,22,0.5,400,800,learned_unconstrained_matrix_context_action_temperature,0.2775,1.7633150930202268,0.8232620567509812,0.07425467896820764,0.017767909867254895,True,aa34286189c8507c11c3ebb875f2ea6dc726d7be8f74f9dca14772d38da96e3d
S3_s22_n1.0,S3,22,1.0,400,800,twistedmerge_hodge_lr_uncalibrated,0.15875,2.1200011722668304,0.9402965205777838,0.2427486471937255,0.10770004688072193,True,98db5e40b648587732190472700c7637b70c1b7a1e28397f7e571a6c67fe6bfd
S3_s22_n1.0,S3,22,1.0,400,800,twistedmerge_hodge_lr_temperature,0.15875,1.8048590440827832,0.8377419976563141,0.05148324127401006,0.019779270377053473,True,98db5e40b648587732190472700c7637b70c1b7a1e28397f7e571a6c67fe6bfd
S3_s22_n1.0,S3,22,1.0,400,800,twistedmerge_hodge_lr_vector,0.14875,1.812721899410551,0.8404141578211264,0.05673495931607319,0.026853815956705707,True,98db5e40b648587732190472700c7637b70c1b7a1e28397f7e571a6c67fe6bfd
S3_s22_n1.0,S3,22,1.0,400,800,generic_mixture_of_experts_uncalibrated,0.1425,1.793253420712514,0.8338344583566285,0.03547490413372749,0.013721654332572357,True,98db5e40b648587732190472700c7637b70c1b7a1e28397f7e571a6c67fe6bfd
S3_s22_n1.0,S3,22,1.0,400,800,generic_mixture_of_experts_temperature,0.1425,1.791811155168005,0.8333507092401831,0.02638993228117728,0.01350265506188419,True,98db5e40b648587732190472700c7637b70c1b7a1e28397f7e571a6c67fe6bfd
S3_s22_n1.0,S3,22,1.0,400,800,learned_unconstrained_matrix_context_action_uncalibrated,0.16375,2.14340659843436,0.9483660949716685,0.24043675983090262,0.09671110980969695,True,98db5e40b648587732190472700c7637b70c1b7a1e28397f7e571a6c67fe6bfd
S3_s22_n1.0,S3,22,1.0,400,800,learned_unconstrained_matrix_context_action_temperature,0.16375,1.804707772832849,0.8379456159070903,0.04589386149701048,0.01943849676297267,True,98db5e40b648587732190472700c7637b70c1b7a1e28397f7e571a6c67fe6bfd
S3_s23_n0.2,S3,23,0.2,400,800,twistedmerge_hodge_lr_uncalibrated,0.84625,1.1421684204438014,0.5475424070133065,0.4406511633795162,0.10234559772614715,True,a7dc0039dc5c05a3f62662df3acd08706f354cceaf733d238a27655dfe62c7a8
S3_s23_n0.2,S3,23,0.2,400,800,twistedmerge_hodge_lr_temperature,0.84625,0.9795564943904421,0.43803852427242895,0.2825782393448738,0.07287292951908607,True,a7dc0039dc5c05a3f62662df3acd08706f354cceaf733d238a27655dfe62c7a8
S3_s23_n0.2,S3,23,0.2,400,800,twistedmerge_hodge_lr_vector,0.7825,0.9908485410351653,0.4439542063867003,0.21394510019014323,0.06738068619406634,True,a7dc0039dc5c05a3f62662df3acd08706f354cceaf733d238a27655dfe62c7a8
S3_s23_n0.2,S3,23,0.2,400,800,generic_mixture_of_experts_uncalibrated,0.78375,1.6591772926794943,0.7863525194884492,0.5873120576470986,0.07178130953189532,True,a7dc0039dc5c05a3f62662df3acd08706f354cceaf733d238a27655dfe62c7a8
S3_s23_n0.2,S3,23,0.2,400,800,generic_mixture_of_experts_temperature,0.78375,1.2891018225020887,0.6208647227680291,0.45103592780086316,0.10872998789901507,True,a7dc0039dc5c05a3f62662df3acd08706f354cceaf733d238a27655dfe62c7a8
S3_s23_n0.2,S3,23,0.2,400,800,learned_unconstrained_matrix_context_action_uncalibrated,0.42875,1.644824362772867,0.7716591233099618,0.1549830135268539,0.05164509662427707,True,a7dc0039dc5c05a3f62662df3acd08706f354cceaf733d238a27655dfe62c7a8
S3_s23_n0.2,S3,23,0.2,400,800,learned_unconstrained_matrix_context_action_temperature,0.42875,1.6045413413838177,0.7659199736698649,0.17139757982007386,0.05820289215077986,True,a7dc0039dc5c05a3f62662df3acd08706f354cceaf733d238a27655dfe62c7a8
S3_s23_n0.5,S3,23,0.5,400,800,twistedmerge_hodge_lr_uncalibrated,0.615,1.4930822696712385,0.690004133602541,0.21571132006056448,0.062025502655247346,True,b320c4d338e036760c48d77b5e1bd09cc50533a2b6608fbf12d0d1a0030860ba
S3_s23_n0.5,S3,23,0.5,400,800,twistedmerge_hodge_lr_temperature,0.615,1.5010234284046569,0.7031342706191172,0.2565208772825725,0.05145703670453542,True,b320c4d338e036760c48d77b5e1bd09cc50533a2b6608fbf12d0d1a0030860ba
S3_s23_n0.5,S3,23,0.5,400,800,twistedmerge_hodge_lr_vector,0.5525,1.5109232219695838,0.7072904081355067,0.18818930548039173,0.05621538355178604,True,b320c4d338e036760c48d77b5e1bd09cc50533a2b6608fbf12d0d1a0030860ba
S3_s23_n0.5,S3,23,0.5,400,800,generic_mixture_of_experts_uncalibrated,0.4325,1.7418958426017628,0.815851834832251,0.2453092286830442,0.025965700973257597,True,b320c4d338e036760c48d77b5e1bd09cc50533a2b6608fbf12d0d1a0030860ba
S3_s23_n0.5,S3,23,0.5,400,800,generic_mixture_of_experts_temperature,0.4325,1.6478604236854124,0.7743591048016983,0.17652408513132722,0.04755881991883464,True,b320c4d338e036760c48d77b5e1bd09cc50533a2b6608fbf12d0d1a0030860ba
S3_s23_n0.5,S3,23,0.5,400,800,learned_unconstrained_matrix_context_action_uncalibrated,0.26375,1.9951124969241072,0.8886978310496244,0.1572517018435768,0.07494730096350832,True,b320c4d338e036760c48d77b5e1bd09cc50533a2b6608fbf12d0d1a0030860ba
S3_s23_n0.5,S3,23,0.5,400,800,learned_unconstrained_matrix_context_action_temperature,0.26375,1.7660393946970612,0.8245093317658266,0.053611665983107515,0.018023128499794094,True,b320c4d338e036760c48d77b5e1bd09cc50533a2b6608fbf12d0d1a0030860ba
S3_s23_n1.0,S3,23,1.0,400,800,twistedmerge_hodge_lr_uncalibrated,0.17625,2.124426723522115,0.9413521367402563,0.23086409884533063,0.09527859431085171,True,de5cad49ae84ece8fc6ed90639a6bc4fc99fc494b34ab053f0623fe54cba740c
S3_s23_n1.0,S3,23,1.0,400,800,twistedmerge_hodge_lr_temperature,0.17625,1.8031383559970424,0.837161016430258,0.03320019624897528,0.011082171158992037,True,de5cad49ae84ece8fc6ed90639a6bc4fc99fc494b34ab053f0623fe54cba740c
S3_s23_n1.0,S3,23,1.0,400,800,twistedmerge_hodge_lr_vector,0.16625,1.8012814708079814,0.8365650062299319,0.02619310813430254,0.019416317517606075,True,de5cad49ae84ece8fc6ed90639a6bc4fc99fc494b34ab053f0623fe54cba740c
S3_s23_n1.0,S3,23,1.0,400,800,generic_mixture_of_experts_uncalibrated,0.14,1.797524405318627,0.8352595504260631,0.037347781083416395,0.011215441655711323,True,de5cad49ae84ece8fc6ed90639a6bc4fc99fc494b34ab053f0623fe54cba740c
S3_s23_n1.0,S3,23,1.0,400,800,generic_mixture_of_experts_temperature,0.14,1.7927172409886487,0.8336528281233282,0.028770171073962264,0.011003522114006023,True,de5cad49ae84ece8fc6ed90639a6bc4fc99fc494b34ab053f0623fe54cba740c
S3_s23_n1.0,S3,23,1.0,400,800,learned_unconstrained_matrix_context_action_uncalibrated,0.135,2.1906644324766167,0.959732941470381,0.25656953816714295,0.11053494351947007,True,de5cad49ae84ece8fc6ed90639a6bc4fc99fc494b34ab053f0623fe54cba740c
S3_s23_n1.0,S3,23,1.0,400,800,learned_unconstrained_matrix_context_action_temperature,0.135,1.8185343737030204,0.842603440933652,0.07254586571923965,0.02271158707469895,True,de5cad49ae84ece8fc6ed90639a6bc4fc99fc494b34ab053f0623fe54cba740c
S3_s24_n0.2,S3,24,0.2,400,800,twistedmerge_hodge_lr_uncalibrated,0.82875,1.196040004560754,0.5673081034923841,0.4242559562020142,0.09779883733743577,True,c5e98a71db8694d7ffe6a91b6a710d38764ebe4cac360bd31f4779199d722d2a
S3_s24_n0.2,S3,24,0.2,400,800,twistedmerge_hodge_lr_temperature,0.82875,1.080331768425821,0.46011886351013,0.2717343294199448,0.067959405842216,True,c5e98a71db8694d7ffe6a91b6a710d38764ebe4cac360bd31f4779199d722d2a
S3_s24_n0.2,S3,24,0.2,400,800,twistedmerge_hodge_lr_vector,0.8025,1.0848705220719437,0.45957716429201123,0.24135836747937858,0.06759207828280038,True,c5e98a71db8694d7ffe6a91b6a710d38764ebe4cac360bd31f4779199d722d2a
S3_s24_n0.2,S3,24,0.2,400,800,generic_mixture_of_experts_uncalibrated,0.65375,1.6808333649033436,0.7944127861658825,0.4582166784234683,0.057259314470836625,True,c5e98a71db8694d7ffe6a91b6a710d38764ebe4cac360bd31f4779199d722d2a
S3_s24_n0.2,S3,24,0.2,400,800,generic_mixture_of_experts_temperature,0.65375,1.3821077228784955,0.6660958400371407,0.3276766046023221,0.09316410320964968,True,c5e98a71db8694d7ffe6a91b6a710d38764ebe4cac360bd31f4779199d722d2a
S3_s24_n0.2,S3,24,0.2,400,800,learned_unconstrained_matrix_context_action_uncalibrated,0.415,1.5786044354094741,0.7447854247729313,0.07363029894687972,0.039089413571266475,True,c5e98a71db8694d7ffe6a91b6a710d38764ebe4cac360bd31f4779199d722d2a
S3_s24_n0.2,S3,24,0.2,400,800,learned_unconstrained_matrix_context_action_temperature,0.415,1.5712940022280617,0.7467104807123874,0.08755279469532903,0.04019456711558835,True,c5e98a71db8694d7ffe6a91b6a710d38764ebe4cac360bd31f4779199d722d2a
S3_s24_n0.5,S3,24,0.5,400,800,twistedmerge_hodge_lr_uncalibrated,0.58,1.5229862848481195,0.6911318760488466,0.17484485823993062,0.05203208808394811,True,9154ca01cd5ec497e92ffc224cb3b89592fd2086a1fa1cbd431e3c1053dd072b
S3_s24_n0.5,S3,24,0.5,400,800,twistedmerge_hodge_lr_temperature,0.58,1.5224375112405708,0.6988830353831186,0.20265171495840667,0.0545046896275336,True,9154ca01cd5ec497e92ffc224cb3b89592fd2086a1fa1cbd431e3c1053dd072b
S3_s24_n0.5,S3,24,0.5,400,800,twistedmerge_hodge_lr_vector,0.555,1.5375233868628404,0.7003926088830237,0.17319538062122172,0.055844879308448,True,9154ca01cd5ec497e92ffc224cb3b89592fd2086a1fa1cbd431e3c1053dd072b
S3_s24_n0.5,S3,24,0.5,400,800,generic_mixture_of_experts_uncalibrated,0.385,1.7431486813728951,0.816055845586047,0.1965354249952268,0.022805381147615707,True,9154ca01cd5ec497e92ffc224cb3b89592fd2086a1fa1cbd431e3c1053dd072b
S3_s24_n0.5,S3,24,0.5,400,800,generic_mixture_of_experts_temperature,0.385,1.653103683702505,0.7723327669836992,0.11154685085155819,0.05082127061527627,True,9154ca01cd5ec497e92ffc224cb3b89592fd2086a1fa1cbd431e3c1053dd072b
S3_s24_n0.5,S3,24,0.5,400,800,learned_unconstrained_matrix_context_action_uncalibrated,0.245,2.1177865575787305,0.9055034677287942,0.18563778543667517,0.08253182244140062,True,9154ca01cd5ec497e92ffc224cb3b89592fd2086a1fa1cbd431e3c1053dd072b
S3_s24_n0.5,S3,24,0.5,400,800,learned_unconstrained_matrix_context_action_temperature,0.245,1.7834456346326062,0.8294631263593055,0.03340554097589873,0.012443789513741118,True,9154ca01cd5ec497e92ffc224cb3b89592fd2086a1fa1cbd431e3c1053dd072b
S3_s24_n1.0,S3,24,1.0,400,800,twistedmerge_hodge_lr_uncalibrated,0.16625,2.145551386514506,0.9485965817208143,0.2424265563137987,0.10070653608782099,True,92329ef438ef2c7929206ddf72dd57564f4d6d94d070d4d643a352f88b004130
S3_s24_n1.0,S3,24,1.0,400,800,twistedmerge_hodge_lr_temperature,0.16625,1.8073527788778305,0.8386241145675306,0.04361783472393334,0.017412901671427238,True,92329ef438ef2c7929206ddf72dd57564f4d6d94d070d4d643a352f88b004130
S3_s24_n1.0,S3,24,1.0,400,800,twistedmerge_hodge_lr_vector,0.15375,1.8088488573948462,0.8383926318887391,0.042536592120718135,0.01866824582358279,True,92329ef438ef2c7929206ddf72dd57564f4d6d94d070d4d643a352f88b004130
S3_s24_n1.0,S3,24,1.0,400,800,generic_mixture_of_experts_uncalibrated,0.1425,1.7998946006454504,0.8360366814086649,0.03826601222262394,0.008924464130880638,True,92329ef438ef2c7929206ddf72dd57564f4d6d94d070d4d643a352f88b004130
S3_s24_n1.0,S3,24,1.0,400,800,generic_mixture_of_experts_temperature,0.1425,1.7930108467339176,0.8337503499459501,0.02693118133533917,0.007591978827264224,True,92329ef438ef2c7929206ddf72dd57564f4d6d94d070d4d643a352f88b004130
S3_s24_n1.0,S3,24,1.0,400,800,learned_unconstrained_matrix_context_action_uncalibrated,0.15625,2.226282113121231,0.962733674795675,0.2556634385458356,0.11071721592933308,True,92329ef438ef2c7929206ddf72dd57564f4d6d94d070d4d643a352f88b004130
S3_s24_n1.0,S3,24,1.0,400,800,learned_unconstrained_matrix_context_action_temperature,0.15625,1.8120620016871327,0.8402759569361942,0.05756086679922019,0.020473141427553725,True,92329ef438ef2c7929206ddf72dd57564f4d6d94d070d4d643a352f88b004130
S3_s25_n0.2,S3,25,0.2,400,800,twistedmerge_hodge_lr_uncalibrated,0.8425,1.1853406452429391,0.5573760429609461,0.4361424285985521,0.09957411105765025,True,ec15d6ff0990cd2cc0fdd8b7982b852bd56e2b271a3909b514cbf4999ad7fdd9
