group,noise,context_budget,method,accuracy,loss,ece,trainable_parameters,latency_ms
D4,0.5,16,hodge_lr_generic_retransport,0.3065833333333333,1.8990865431881505,0.039518933608335076,120.0,0.008750124834477901
D4,0.5,16,learned_unconstrained_matrix_context_action,0.16358333333333333,2.1212201717966304,0.06885986770102118,520.0,0.008646049536764622
D4,0.5,16,random_multiplication_table_control,0.18908333333333333,2.378950514497917,0.23125306888975072,0.0,0.008562463335692883
D4,0.5,16,shuffled_context_control,0.12341666666666666,2.5072505010959727,0.2377551530891992,0.0,0.008625094778835773
D4,0.5,16,twistedmerge_hodge_lr,0.5685,1.770647646455122,0.22190360630026662,56.0,0.00914593692868948
D4,0.5,64,generic_low_rank_context_adapter,0.13658333333333333,2.9692916625140553,0.34045850163124675,648.0,0.008541624993085861
D4,0.5,64,generic_mixture_of_experts,0.35408333333333336,2.038434648061105,0.21410957517405657,72.0,0.0087289372459054
D4,0.5,64,group_structured_without_hodge,0.5660000000000001,1.772497544695285,0.22133832776606005,0.0,0.00881205778568983
D4,0.5,64,hodge_lr_generic_retransport,0.24491666666666667,2.0648316717317887,0.09272404672274107,120.0,0.008979113772511482
D4,0.5,64,learned_unconstrained_matrix_context_action,0.20191666666666666,2.3912331051987086,0.18325415529834793,520.0,0.00858306884765625
D4,0.5,64,random_multiplication_table_control,0.09183333333333334,2.537467859646042,0.27077089846478464,0.0,0.009499955922365189
D4,0.5,64,shuffled_context_control,0.1295,2.4856811570951773,0.23217375906170812,0.0,0.008645583875477314
D4,0.5,64,twistedmerge_hodge_lr,0.5660000000000001,1.7724975446952846,0.22133832776606005,56.0,0.00897957943379879
D4,1.0,16,generic_low_rank_context_adapter,0.158,2.4278019367343413,0.20715248179748583,648.0,0.008916016668081284
D4,1.0,16,generic_mixture_of_experts,0.11733333333333333,2.087129753358457,0.02482249748554049,72.0,0.008834060281515121
D4,1.0,16,group_structured_without_hodge,0.124,2.50876531912333,0.23883345929123392,0.0,0.00858306884765625
D4,1.0,16,hodge_lr_generic_retransport,0.1405,2.257870485439695,0.1279873110823463,120.0,0.008417060598731041
D4,1.0,16,learned_unconstrained_matrix_context_action,0.12466666666666666,2.221309578636693,0.12270319886684929,520.0,0.008875038474798203
D4,1.0,16,random_multiplication_table_control,0.1395,2.4768312842410554,0.22812239297138692,0.0,0.008790986612439156
D4,1.0,16,shuffled_context_control,0.1255,2.5059200485019124,0.23758654263136192,0.0,0.008542090654373169
D4,1.0,16,twistedmerge_hodge_lr,0.124,2.50876531912333,0.23883345929123395,56.0,0.008916016668081284
D4,1.0,64,generic_low_rank_context_adapter,0.1401666666666667,3.0416213831738745,0.34428371524348517,648.0,0.008417060598731041
D4,1.0,64,generic_mixture_of_experts,0.10866666666666666,2.082324074117377,0.025837738819606538,72.0,0.009874813258647919
D4,1.0,64,group_structured_without_hodge,0.128,2.4913763653895855,0.23482159115711115,0.0,0.008874805644154549
