dimension_m,dimension_n,rank,adapter_count,precision,method,peak_rss_bytes,baseline_rss_bytes,incremental_peak_rss_bytes,accelerator_peak_bytes,temporary_allocation_bytes_analytical,dense_effective_update_allocations,dense_effective_update_bytes,stored_result_bytes,bytes_read,bytes_written
768,768,32,4,float32,cycle_aware_alignment,271515648,268369920,3145728,not_available_cpu_benchmark,851968,0,0,196608,0,0
768,768,32,4,float32,dense_deterministic_truncated_svd,270008320,260947968,9060352,not_available_cpu_benchmark,2850816,1,2359296,196608,0,0
768,768,32,4,float32,dense_randomized_svd,267239424,256999424,10240000,not_available_cpu_benchmark,2850816,1,2359296,196608,0,0
768,768,32,4,float32,global_synchronization,262799360,242532352,20267008,not_available_cpu_benchmark,851968,0,0,196608,0,0
768,768,32,4,float32,naive_factor_average,251756544,181911552,69844992,not_available_cpu_benchmark,393216,0,0,196608,0,0
768,768,32,4,float32,pairwise_reference_alignment,264814592,256917504,7897088,not_available_cpu_benchmark,851968,0,0,196608,0,0
768,768,32,8,float32,canonical_factor_space,245694464,201654272,44040192,not_available_cpu_benchmark,1769472,0,0,196608,0,0
768,768,32,8,float32,cycle_aware_alignment,258867200,237076480,21790720,not_available_cpu_benchmark,1835008,0,0,196608,0,0
768,768,32,8,float32,dense_deterministic_truncated_svd,271400960,265863168,5537792,not_available_cpu_benchmark,2850816,1,2359296,196608,0,0
768,768,32,8,float32,dense_randomized_svd,272089088,266764288,5324800,not_available_cpu_benchmark,2850816,1,2359296,196608,0,0
768,768,32,8,float32,global_synchronization,282345472,265404416,16941056,not_available_cpu_benchmark,1835008,0,0,196608,0,0
768,768,32,8,float32,naive_factor_average,251756544,156090368,95666176,not_available_cpu_benchmark,393216,0,0,196608,0,0
768,768,32,8,float32,pairwise_reference_alignment,268156928,258277376,9879552,not_available_cpu_benchmark,1835008,0,0,196608,0,0
768,768,32,16,float32,canonical_factor_space,273727488,267354112,6373376,not_available_cpu_benchmark,3538944,0,0,196608,0,0
768,768,32,16,float32,cycle_aware_alignment,368115712,259588096,108527616,not_available_cpu_benchmark,4194304,0,0,196608,0,0
768,768,32,16,float32,dense_deterministic_truncated_svd,277905408,268926976,8978432,not_available_cpu_benchmark,2850816,1,2359296,196608,0,0
768,768,32,16,float32,dense_randomized_svd,269795328,260882432,8912896,not_available_cpu_benchmark,2850816,1,2359296,196608,0,0
768,768,32,16,float32,global_synchronization,371539968,256638976,114900992,not_available_cpu_benchmark,4194304,0,0,196608,0,0
768,768,32,16,float32,naive_factor_average,270024704,268042240,1982464,not_available_cpu_benchmark,393216,0,0,196608,0,0
768,768,32,16,float32,pairwise_reference_alignment,274563072,266960896,7602176,not_available_cpu_benchmark,4194304,0,0,196608,0,0
1024,1024,4,4,float32,canonical_factor_space,265961472,264962048,999424,not_available_cpu_benchmark,132608,0,0,32768,0,0
1024,1024,4,4,float32,cycle_aware_alignment,240336896,171048960,69287936,not_available_cpu_benchmark,132096,0,0,32768,0,0
1024,1024,4,4,float32,dense_deterministic_truncated_svd,251117568,248922112,2195456,not_available_cpu_benchmark,4390912,1,4194304,32768,0,0
1024,1024,4,4,float32,dense_randomized_svd,247906304,223789056,24117248,not_available_cpu_benchmark,4390912,1,4194304,32768,0,0
1024,1024,4,4,float32,global_synchronization,233570304,153387008,80183296,not_available_cpu_benchmark,132096,0,0,32768,0,0
1024,1024,4,4,float32,naive_factor_average,231538688,165576704,65961984,not_available_cpu_benchmark,65536,0,0,32768,0,0
1024,1024,4,4,float32,pairwise_reference_alignment,249200640,246038528,3162112,not_available_cpu_benchmark,132096,0,0,32768,0,0
1024,1024,4,8,float32,canonical_factor_space,274956288,273989632,966656,not_available_cpu_benchmark,265216,0,0,32768,0,0
1024,1024,4,8,float32,cycle_aware_alignment,276873216,259276800,17596416,not_available_cpu_benchmark,266240,0,0,32768,0,0
1024,1024,4,8,float32,dense_deterministic_truncated_svd,268566528,263897088,4669440,not_available_cpu_benchmark,4390912,1,4194304,32768,0,0
1024,1024,4,8,float32,dense_randomized_svd,270630912,265912320,4718592,not_available_cpu_benchmark,4390912,1,4194304,32768,0,0
1024,1024,4,8,float32,global_synchronization,277594112,276135936,1458176,not_available_cpu_benchmark,266240,0,0,32768,0,0
1024,1024,4,8,float32,naive_factor_average,266895360,265879552,1015808,not_available_cpu_benchmark,65536,0,0,32768,0,0
1024,1024,4,8,float32,pairwise_reference_alignment,288210944,287047680,1163264,not_available_cpu_benchmark,266240,0,0,32768,0,0
1024,1024,4,16,float32,canonical_factor_space,288112640,287080448,1032192,not_available_cpu_benchmark,530432,0,0,32768,0,0
1024,1024,4,16,float32,cycle_aware_alignment,253181952,240025600,13156352,not_available_cpu_benchmark,540672,0,0,32768,0,0
1024,1024,4,16,float32,dense_deterministic_truncated_svd,266600448,261488640,5111808,not_available_cpu_benchmark,4390912,1,4194304,32768,0,0
1024,1024,4,16,float32,dense_randomized_svd,292667392,287571968,5095424,not_available_cpu_benchmark,4390912,1,4194304,32768,0,0
1024,1024,4,16,float32,global_synchronization,290783232,287178752,3604480,not_available_cpu_benchmark,540672,0,0,32768,0,0
1024,1024,4,16,float32,naive_factor_average,267173888,266223616,950272,not_available_cpu_benchmark,65536,0,0,32768,0,0
1024,1024,4,16,float32,pairwise_reference_alignment,289341440,287211520,2129920,not_available_cpu_benchmark,540672,0,0,32768,0,0
1024,1024,8,4,float32,canonical_factor_space,261111808,256638976,4472832,not_available_cpu_benchmark,268288,0,0,65536,0,0
1024,1024,8,4,float32,cycle_aware_alignment,273465344,263110656,10354688,not_available_cpu_benchmark,266240,0,0,65536,0,0
1024,1024,8,4,float32,dense_deterministic_truncated_svd,292503552,287145984,5357568,not_available_cpu_benchmark,4456448,1,4194304,65536,0,0
1024,1024,8,4,float32,dense_randomized_svd,273154048,266387456,6766592,not_available_cpu_benchmark,4456448,1,4194304,65536,0,0
1024,1024,8,4,float32,global_synchronization,288210944,286949376,1261568,not_available_cpu_benchmark,266240,0,0,65536,0,0
1024,1024,8,4,float32,naive_factor_average,288030720,286998528,1032192,not_available_cpu_benchmark,131072,0,0,65536,0,0
1024,1024,8,4,float32,pairwise_reference_alignment,282689536,281378816,1310720,not_available_cpu_benchmark,266240,0,0,65536,0,0
1024,1024,8,8,float32,canonical_factor_space,277069824,268959744,8110080,not_available_cpu_benchmark,536576,0,0,65536,0,0
1024,1024,8,8,float32,cycle_aware_alignment,268648448,265895936,2752512,not_available_cpu_benchmark,540672,0,0,65536,0,0
1024,1024,8,8,float32,dense_deterministic_truncated_svd,271269888,265551872,5718016,not_available_cpu_benchmark,4456448,1,4194304,65536,0,0
1024,1024,8,8,float32,dense_randomized_svd,270893056,264028160,6864896,not_available_cpu_benchmark,4456448,1,4194304,65536,0,0
1024,1024,8,8,float32,global_synchronization,279691264,276905984,2785280,not_available_cpu_benchmark,540672,0,0,65536,0,0
1024,1024,8,8,float32,naive_factor_average,268042240,267010048,1032192,not_available_cpu_benchmark,131072,0,0,65536,0,0
1024,1024,8,8,float32,pairwise_reference_alignment,268959744,266878976,2080768,not_available_cpu_benchmark,540672,0,0,65536,0,0
1024,1024,8,16,float32,canonical_factor_space,268206080,266420224,1785856,not_available_cpu_benchmark,1073152,0,0,65536,0,0
1024,1024,8,16,float32,cycle_aware_alignment,298024960,287719424,10305536,not_available_cpu_benchmark,1114112,0,0,65536,0,0
1024,1024,8,16,float32,dense_deterministic_truncated_svd,284377088,278183936,6193152,not_available_cpu_benchmark,4456448,1,4194304,65536,0,0
1024,1024,8,16,float32,dense_randomized_svd,271761408,265895936,5865472,not_available_cpu_benchmark,4456448,1,4194304,65536,0,0
1024,1024,8,16,float32,global_synchronization,295534592,287719424,7815168,not_available_cpu_benchmark,1114112,0,0,65536,0,0
1024,1024,8,16,float32,naive_factor_average,266764288,262995968,3768320,not_available_cpu_benchmark,131072,0,0,65536,0,0
1024,1024,8,16,float32,pairwise_reference_alignment,271040512,265486336,5554176,not_available_cpu_benchmark,1114112,0,0,65536,0,0
1024,1024,16,4,float32,canonical_factor_space,267714560,266469376,1245184,not_available_cpu_benchmark,548864,0,0,131072,0,0
1024,1024,16,4,float32,cycle_aware_alignment,289538048,287358976,2179072,not_available_cpu_benchmark,540672,0,0,131072,0,0
1024,1024,16,4,float32,dense_deterministic_truncated_svd,247709696,202407936,45301760,not_available_cpu_benchmark,4587520,1,4194304,131072,0,0
1024,1024,16,4,float32,dense_randomized_svd,269533184,263684096,5849088,not_available_cpu_benchmark,4587520,1,4194304,131072,0,0
1024,1024,16,4,float32,global_synchronization,289325056,287244288,2080768,not_available_cpu_benchmark,540672,0,0,131072,0,0
