dimension_m,dimension_n,rank,adapter_count,precision,method,trial_count,median_wall_seconds,p25_wall_seconds,p75_wall_seconds,minimum_wall_seconds,maximum_wall_seconds,median_cpu_seconds,minimum_cpu_seconds,maximum_cpu_seconds
1024,1024,8,8,float32,canonical_factor_space,3,0.00283083319664,0.0026681455783545503,0.00302183313760905,0.0025054579600691,0.0032128330785781,0.002701,0.0025049999999999,0.00278
1024,1024,8,8,float32,cycle_aware_alignment,3,0.0068482910282909,0.006833520601503501,0.0068597705103456506,0.0068187501747161,0.0068712499924004,0.0088399999999999,0.008288,0.0089529999999999
1024,1024,8,8,float32,dense_deterministic_truncated_svd,3,0.0037963748909533,0.0037634375039488,0.0038194584194570502,0.0037305001169443,0.0038425419479608,0.00357,0.00357,0.0037150000000001
1024,1024,8,8,float32,dense_randomized_svd,3,0.0063836248591542,0.00451170792803165,0.0063883124385028505,0.0026397909969091,0.0063930000178515,0.0044699999999999,0.0025709999999998,0.0046949999999998
1024,1024,8,8,float32,global_synchronization,3,0.0072873749304562,0.00726060394663355,0.0080140209756791,0.0072338329628109,0.008740667020902,0.009819,0.0089349999999999,0.0103329999999999
1024,1024,8,8,float32,naive_factor_average,3,5.962490104138851e-05,5.591695662587881e-05,0.00010339543223379426,5.220901221036911e-05,0.0001471659634262,6.000000000017103e-05,5.200000000016303e-05,0.0001459999999999
1024,1024,8,8,float32,pairwise_reference_alignment,3,0.0055464580655097,0.005484125111252,0.00569435406941915,0.0054217921569943,0.0058422500733286,0.007355,0.0071210000000001,0.0077719999999998
1024,1024,8,16,float32,canonical_factor_space,3,0.0047571251634508,0.0045890625333413,0.0047709791688247995,0.0044209999032318,0.0047848331741988,0.0046569999999999,0.0044159999999999,0.004752
1024,1024,8,16,float32,cycle_aware_alignment,3,0.0329074168112129,0.0323759168386459,0.033189958427101346,0.0318444168660789,0.0334725000429898,0.0423639999999998,0.0418919999999998,0.045152
1024,1024,8,16,float32,dense_deterministic_truncated_svd,3,0.0034681248944252,0.0033993959659709997,0.003907354548573451,0.0033306670375168,0.0043465842027217,0.0034319999999998,0.0033279999999999,0.004278
1024,1024,8,16,float32,dense_randomized_svd,3,0.0021878341212868,0.0021134170237928,0.0023359586484729498,0.0020389999262988,0.0024840831756591,0.0021859999999997,0.0020379999999999,0.0024809999999999
1024,1024,8,16,float32,global_synchronization,3,0.034372542053461,0.032988250022754004,0.034777250490151304,0.031603957992047,0.0351819589268416,0.045209,0.03902,0.0455309999999999
1024,1024,8,16,float32,naive_factor_average,3,9.9916011095047e-05,9.545800276100636e-05,0.0001387915108352735,9.099999442696571e-05,0.0001776670105755,9.900000000007124e-05,9.100000000006324e-05,0.000175
1024,1024,8,16,float32,pairwise_reference_alignment,3,0.0230100420303642,0.022818062454462,0.02337572944816195,0.0226260828785598,0.0237414168659597,0.0264329999999999,0.0259929999999999,0.0277659999999999
1024,1024,16,4,float32,canonical_factor_space,3,0.0027739577926695,0.0027530828956514,0.0030450414633378,0.0027322079986333,0.0033161251340061,0.0027719999999999,0.0027209999999999,0.003222
1024,1024,16,4,float32,cycle_aware_alignment,3,0.0042722499929368,0.0040004794718697,0.0043507915688678,0.0037287089508026,0.0044293331447988,0.005619,0.005273,0.006035
1024,1024,16,4,float32,dense_deterministic_truncated_svd,3,0.0053109170403331,0.0051025630673393,0.00547025003470475,0.0048942090943455,0.0056295830290764,0.005187,0.00489,0.005435
