dimension_m,dimension_n,rank,adapter_count,precision,method,status,warmups,process_isolated,seed,trial,wall_seconds,cpu_seconds,baseline_rss_bytes,peak_rss_bytes,incremental_peak_rss_bytes,accelerator_peak_bytes,temporary_allocation_bytes_analytical,dense_effective_update_allocations,dense_effective_update_bytes,stored_result_bytes,bytes_read,bytes_written,decision,cycle_frobenius_defect,cycle_spectral_defect
768,768,8,4,float32,dense_randomized_svd,success,1,True,21029523,1,0.0011625841725617,0.0011619999999999,286932992,290127872,3194880,,2555904,1,2359296,49152,0,0,dense_randomized_svd,0.0,0.0
768,768,8,4,float32,dense_randomized_svd,success,1,True,21029523,2,0.0011414589826017,0.00114,286932992,290127872,3194880,,2555904,1,2359296,49152,0,0,dense_randomized_svd,0.0,0.0
768,768,8,4,float32,canonical_factor_space,success,1,True,21029523,0,0.0011250420939177,0.0011209999999999,263045120,273760256,10715136,,202752,0,0,49152,0,0,per_adapter_thin_qr_core_svd,0.0,0.0
768,768,8,4,float32,canonical_factor_space,success,1,True,21029523,1,0.0009827909525483,0.000982,263045120,273760256,10715136,,202752,0,0,49152,0,0,per_adapter_thin_qr_core_svd,0.0,0.0
768,768,8,4,float32,canonical_factor_space,success,1,True,21029523,2,0.0009497920982539,0.000949,263045120,273760256,10715136,,202752,0,0,49152,0,0,per_adapter_thin_qr_core_svd,0.0,0.0
768,768,8,4,float32,pairwise_reference_alignment,success,1,True,21029523,0,0.0017697080038487,0.002587,286900224,287932416,1032192,,200704,0,0,49152,0,0,whitened_pairwise_reference_alignment,4.958262634090163e-07,7.426990009662404e-07
768,768,8,4,float32,pairwise_reference_alignment,success,1,True,21029523,1,0.0016155829653143,0.0027249999999999,286900224,287932416,1032192,,200704,0,0,49152,0,0,whitened_pairwise_reference_alignment,4.958262634090163e-07,7.426990009662404e-07
768,768,8,4,float32,pairwise_reference_alignment,success,1,True,21029523,2,0.0016262088902294,0.00273,286900224,287981568,1081344,,200704,0,0,49152,0,0,whitened_pairwise_reference_alignment,4.958262634090163e-07,7.426990009662404e-07
768,768,8,4,float32,global_synchronization,success,1,True,21029523,0,0.0026440410874783,0.003705,222625792,272269312,49643520,,200704,0,0,49152,0,0,whitened_orthogonal_global_synchronization,4.958262634090163e-07,7.426990009662404e-07
768,768,8,4,float32,global_synchronization,success,1,True,21029523,1,0.0019448751118034,0.002939,222625792,272269312,49643520,,200704,0,0,49152,0,0,whitened_orthogonal_global_synchronization,4.958262634090163e-07,7.426990009662404e-07
768,768,8,4,float32,global_synchronization,success,1,True,21029523,2,0.0020889590959995,0.003203,222625792,272269312,49643520,,200704,0,0,49152,0,0,whitened_orthogonal_global_synchronization,4.958262634090163e-07,7.426990009662404e-07
768,768,8,4,float32,cycle_aware_alignment,success,1,True,21029523,0,0.0033524590544402,0.004145,264044544,265420800,1376256,,200704,0,0,49152,0,0,cycle_gated_global_synchronization,4.958262634090163e-07,7.426990009662404e-07
768,768,8,4,float32,cycle_aware_alignment,success,1,True,21029523,1,0.0028352921362966,0.0037040000000001,264044544,265420800,1376256,,200704,0,0,49152,0,0,cycle_gated_global_synchronization,4.958262634090163e-07,7.426990009662404e-07
768,768,8,4,float32,cycle_aware_alignment,success,1,True,21029523,2,0.0024377501104027,0.003597,264044544,265420800,1376256,,200704,0,0,49152,0,0,cycle_gated_global_synchronization,4.958262634090163e-07,7.426990009662404e-07
768,768,8,8,float32,naive_factor_average,success,1,True,21029527,0,0.0001324578188359,0.0001300000000001,265338880,266354688,1015808,,98304,0,0,49152,0,0,factor_average,0.0,0.0
768,768,8,8,float32,naive_factor_average,success,1,True,21029527,1,5.841697566211224e-05,5.800000000011352e-05,265338880,266354688,1015808,,98304,0,0,49152,0,0,factor_average,0.0,0.0
768,768,8,8,float32,naive_factor_average,success,1,True,21029527,2,4.349998198449612e-05,4.399999999993298e-05,265338880,266354688,1015808,,98304,0,0,49152,0,0,factor_average,0.0,0.0
768,768,8,8,float32,dense_deterministic_truncated_svd,success,1,True,21029527,0,0.0021618341561406,0.002159,287178752,290308096,3129344,,2555904,1,2359296,49152,0,0,dense_deterministic_range_svd,0.0,0.0
