complex,class_type,trial,vertices,edges,faces,h1_dimension,exact,coexact,harmonic,distance_to_coboundaries,classified_nontrivial,expected_nontrivial,classification_correct,runtime_seconds
triangle_complex,trivial_exact,80,3,3,1,0,0.9999617525542892,0.00874605216964434,1.9135928470017574e-16,0.009988691676670719,False,False,True,5.091610364615917e-05
triangle_complex,trivial_exact,81,3,3,1,0,0.9999885565438236,0.00478401310626021,2.0662077298846265e-16,0.012102609013919931,False,False,True,5.1250215619802475e-05
triangle_complex,trivial_exact,82,3,3,1,0,0.999988119022415,0.004874609113812116,6.413361996308302e-17,0.003445047969591937,False,False,True,5.1042065024375916e-05
triangle_complex,trivial_exact,83,3,3,1,0,0.9999503661428749,0.009963194805408089,1.1767694712609394e-16,0.005276525444696804,False,False,True,5.124998278915882e-05
triangle_complex,trivial_exact,84,3,3,1,0,0.9999999868089394,0.00016242573996050336,5.408939213911802e-17,0.0005444241414871211,False,False,True,5.129189230501652e-05
triangle_complex,trivial_exact,85,3,3,1,0,0.9999912153444735,0.004191566996096039,7.89081325690485e-17,0.00632002154699103,False,False,True,5.133403465151787e-05
triangle_complex,trivial_exact,86,3,3,1,0,0.9999956560792823,0.0029475112494615078,1.2140590250751778e-16,0.00959306570524223,False,False,True,5.112495273351669e-05
triangle_complex,trivial_exact,87,3,3,1,0,0.9999982976117736,0.0018452028492774721,2.1555041727175774e-16,0.005390246733954987,False,False,True,5.137501284480095e-05
triangle_complex,trivial_exact,88,3,3,1,0,0.9999394511328199,0.011004274996356022,1.397355945979553e-16,0.018546880522574277,False,False,True,5.0958944484591484e-05
triangle_complex,trivial_exact,89,3,3,1,0,0.9999987087549762,0.0016070122526137627,1.6542837097189715e-16,0.0013208863993079865,False,False,True,6.970809772610664e-05
triangle_complex,trivial_exact,90,3,3,1,0,0.9999984564844416,0.0017569942328679,9.204555338112392e-17,0.011988165831560958,False,False,True,5.229213275015354e-05
triangle_complex,trivial_exact,91,3,3,1,0,0.999999211358136,0.0012558993217303663,1.5298503190093186e-16,0.002577870566045756,False,False,True,5.137501284480095e-05
triangle_complex,trivial_exact,92,3,3,1,0,0.9999780837120757,0.006620581207494473,1.4290603995919527e-16,0.005555625255891179,False,False,True,5.124998278915882e-05
triangle_complex,trivial_exact,93,3,3,1,0,0.9999896546115778,0.0045486997941755975,1.898892850692067e-16,0.01990174049627855,False,False,True,5.4040923714637756e-05
triangle_complex,trivial_exact,94,3,3,1,0,0.9999996287053379,0.0008617361466468381,1.262299881088025e-16,0.0018565114158030525,False,False,True,5.191704258322716e-05
