benchmark,method,mean_accuracy,actual_trainable_parameters,stored_parameters,parameter_multiplier,branch_count,measured_inference_time_seconds,inference_multiplier,peak_memory_mb,best_benchmark_accuracy,worst_case_regret,inference_overhead,lambda_regret,lambda_inference,practical_score
federated_frame,pairwise_synchronization,0.882,7850.0,7850.0,1.0,1.0,3.7207966670393944e-05,0.7161159357943699,,0.882,0.0,0.0,0.1,0.0,0.882
federated_frame,pairwise_synchronization,0.882,7850.0,7850.0,1.0,1.0,3.7207966670393944e-05,0.7161159357943699,,0.882,0.0,0.0,0.1,0.01,0.882
federated_frame,pairwise_synchronization,0.882,7850.0,7850.0,1.0,1.0,3.7207966670393944e-05,0.7161159357943699,,0.882,0.0,0.0,0.1,0.05,0.882
federated_frame,pairwise_synchronization,0.882,7850.0,7850.0,1.0,1.0,3.7207966670393944e-05,0.7161159357943699,,0.882,0.0,0.0,0.25,0.0,0.882
federated_frame,pairwise_synchronization,0.882,7850.0,7850.0,1.0,1.0,3.7207966670393944e-05,0.7161159357943699,,0.882,0.0,0.0,0.25,0.01,0.882
federated_frame,pairwise_synchronization,0.882,7850.0,7850.0,1.0,1.0,3.7207966670393944e-05,0.7161159357943699,,0.882,0.0,0.0,0.25,0.05,0.882
federated_frame,parameter_matched_control,0.882,7850.0,7850.0,1.0,1.0,3.479188308119774e-05,0.6696152501814857,,0.882,0.0,0.0,0.0,0.0,0.882
federated_frame,parameter_matched_control,0.882,7850.0,7850.0,1.0,1.0,3.479188308119774e-05,0.6696152501814857,,0.882,0.0,0.0,0.0,0.01,0.882
federated_frame,parameter_matched_control,0.882,7850.0,7850.0,1.0,1.0,3.479188308119774e-05,0.6696152501814857,,0.882,0.0,0.0,0.0,0.05,0.882
federated_frame,parameter_matched_control,0.882,7850.0,7850.0,1.0,1.0,3.479188308119774e-05,0.6696152501814857,,0.882,0.0,0.0,0.1,0.0,0.882
federated_frame,parameter_matched_control,0.882,7850.0,7850.0,1.0,1.0,3.479188308119774e-05,0.6696152501814857,,0.882,0.0,0.0,0.1,0.01,0.882
federated_frame,parameter_matched_control,0.882,7850.0,7850.0,1.0,1.0,3.479188308119774e-05,0.6696152501814857,,0.882,0.0,0.0,0.1,0.05,0.882
federated_frame,parameter_matched_control,0.882,7850.0,7850.0,1.0,1.0,3.479188308119774e-05,0.6696152501814857,,0.882,0.0,0.0,0.25,0.0,0.882
federated_frame,parameter_matched_control,0.882,7850.0,7850.0,1.0,1.0,3.479188308119774e-05,0.6696152501814857,,0.882,0.0,0.0,0.25,0.01,0.882
federated_frame,parameter_matched_control,0.882,7850.0,7850.0,1.0,1.0,3.479188308119774e-05,0.6696152501814857,,0.882,0.0,0.0,0.25,0.05,0.882
federated_frame,twistedmerge_hodge_lr,0.882,7850.0,7850.0,1.0,1.0,3.483286127448082e-05,0.6704039290547504,,0.882,0.0,0.0,0.0,0.0,0.882
federated_frame,twistedmerge_hodge_lr,0.882,7850.0,7850.0,1.0,1.0,3.483286127448082e-05,0.6704039290547504,,0.882,0.0,0.0,0.0,0.01,0.882
