setting_id,strict_accuracy,global_monomial_accuracy,monomial_over_strict_gain,selector_accuracy,hodge_lr_activated,hodge_lr_reason
mnist_mlp_N3_W64_S1805,0.8636,0.8691,0.005499999999999949,0.8761,False,no persistent natural residual passed every preregistered gate
mnist_mlp_N4_W16_S1805,0.7286,0.7287,9.999999999998899e-05,0.8189,False,no persistent natural residual passed every preregistered gate
mnist_mlp_N4_W32_S1805,0.8197,0.8314,0.011700000000000044,0.864,False,no persistent natural residual passed every preregistered gate
mnist_mlp_N4_W64_S1805,0.8695,0.8666,-0.0029000000000000137,0.8728,False,no persistent natural residual passed every preregistered gate
mnist_mlp_N3_W16_S1806,0.783,0.7839,0.0009000000000000119,0.814,False,no persistent natural residual passed every preregistered gate
mnist_mlp_N3_W32_S1806,0.8113,0.8371,0.025799999999999934,0.8613,False,no persistent natural residual passed every preregistered gate
mnist_mlp_N3_W64_S1806,0.867,0.8708,0.0038000000000000256,0.8784,False,no persistent natural residual passed every preregistered gate
mnist_mlp_N4_W16_S1806,0.7756,0.7903,0.014700000000000046,0.833,False,no persistent natural residual passed every preregistered gate
mnist_mlp_N4_W32_S1806,0.8311,0.8434,0.012300000000000089,0.861,False,no persistent natural residual passed every preregistered gate
mnist_mlp_N4_W64_S1806,0.8678,0.8698,0.0020000000000000018,0.8788,False,no persistent natural residual passed every preregistered gate
mnist_mlp_N3_W16_S1807,0.7188,0.752,0.03320000000000001,0.8163,False,no persistent natural residual passed every preregistered gate
mnist_mlp_N3_W32_S1807,0.8435,0.8482,0.0046999999999999265,0.8643,False,no persistent natural residual passed every preregistered gate
mnist_mlp_N3_W64_S1807,0.8734,0.8725,-0.0008999999999999009,0.8706,False,no persistent natural residual passed every preregistered gate
mnist_mlp_N4_W16_S1807,0.7249,0.7715,0.046599999999999975,0.8332,False,no persistent natural residual passed every preregistered gate
mnist_mlp_N4_W32_S1807,0.8154,0.8278,0.012399999999999967,0.8561,False,no persistent natural residual passed every preregistered gate
mnist_mlp_N4_W64_S1807,0.8536,0.8561,0.0024999999999999467,0.8784,False,no persistent natural residual passed every preregistered gate
mnist_mlp_N3_W16_S1808,0.6953,0.7832,0.08789999999999998,0.832,False,no persistent natural residual passed every preregistered gate
mnist_mlp_N3_W32_S1808,0.8477,0.8516,0.0039000000000000146,0.8516,False,no persistent natural residual passed every preregistered gate
mnist_mlp_N3_W64_S1808,0.8487,0.8669,0.018199999999999994,0.8727,False,no persistent natural residual passed every preregistered gate
mnist_mlp_N4_W16_S1808,0.7989,0.8054,0.00649999999999995,0.8414,False,no persistent natural residual passed every preregistered gate
mnist_mlp_N4_W32_S1808,0.8283,0.8399,0.011599999999999944,0.8647,False,no persistent natural residual passed every preregistered gate
mnist_mlp_N4_W64_S1808,0.8527,0.8636,0.01090000000000002,0.8788,False,no persistent natural residual passed every preregistered gate
mnist_mlp_N3_W16_S1809,0.7895,0.7921,0.0026000000000000467,0.838,False,no persistent natural residual passed every preregistered gate
mnist_mlp_N3_W32_S1809,0.8405,0.8528,0.012299999999999978,0.8621,False,no persistent natural residual passed every preregistered gate
mnist_mlp_N3_W64_S1809,0.8665,0.8724,0.005899999999999905,0.8719,False,no persistent natural residual passed every preregistered gate
mnist_mlp_N4_W16_S1809,0.6696,0.7584,0.08879999999999999,0.8325,False,no persistent natural residual passed every preregistered gate
mnist_mlp_N4_W32_S1809,0.8295,0.8304,0.0009000000000000119,0.8621,False,no persistent natural residual passed every preregistered gate
mnist_mlp_N4_W64_S1809,0.866,0.8695,0.0035000000000000586,0.8773,False,no persistent natural residual passed every preregistered gate
mnist_mlp_N3_W16_S1810,0.7567,0.7929,0.03620000000000001,0.8288,False,no persistent natural residual passed every preregistered gate
mnist_mlp_N3_W32_S1810,0.7753,0.8098,0.034499999999999975,0.8714,False,no persistent natural residual passed every preregistered gate
mnist_mlp_N3_W64_S1810,0.8726,0.8747,0.0020999999999999908,0.8782,False,no persistent natural residual passed every preregistered gate
mnist_mlp_N4_W16_S1810,0.7783,0.7886,0.010299999999999976,0.8278,False,no persistent natural residual passed every preregistered gate
mnist_mlp_N4_W32_S1810,0.8108,0.8236,0.012800000000000034,0.8572,False,no persistent natural residual passed every preregistered gate
mnist_mlp_N4_W64_S1810,0.8713,0.8723,0.0010000000000000009,0.8787,False,no persistent natural residual passed every preregistered gate
mnist_mlp_N3_W16_S1811,0.7607,0.7816,0.02089999999999992,0.8213,False,no persistent natural residual passed every preregistered gate
mnist_mlp_N3_W32_S1811,0.8323,0.8313,-0.0010000000000000009,0.8596,False,no persistent natural residual passed every preregistered gate
mnist_mlp_N3_W64_S1811,0.8648,0.8697,0.0049000000000000155,0.8819,False,no persistent natural residual passed every preregistered gate
mnist_mlp_N4_W16_S1811,0.6949,0.7542,0.05930000000000002,0.8315,False,no persistent natural residual passed every preregistered gate
mnist_mlp_N4_W32_S1811,0.829,0.8403,0.011300000000000088,0.8658,False,no persistent natural residual passed every preregistered gate
mnist_mlp_N4_W64_S1811,0.8682,0.8714,0.0031999999999999806,0.8818,False,no persistent natural residual passed every preregistered gate
mnist_mlp_N3_W16_S1812,0.7427,0.7646,0.02189999999999992,0.8323,False,no persistent natural residual passed every preregistered gate
mnist_mlp_N3_W32_S1812,0.8023,0.8319,0.02959999999999996,0.8534,False,no persistent natural residual passed every preregistered gate
mnist_mlp_N3_W64_S1812,0.8683,0.8729,0.0046000000000000485,0.8813,False,no persistent natural residual passed every preregistered gate
mnist_mlp_N4_W16_S1812,0.7267,0.7699,0.043200000000000016,0.8428,False,no persistent natural residual passed every preregistered gate
mnist_mlp_N4_W32_S1812,0.8492,0.8485,-0.0006999999999999229,0.861,False,no persistent natural residual passed every preregistered gate
mnist_mlp_N4_W64_S1812,0.8626,0.8716,0.009000000000000008,0.8832,False,no persistent natural residual passed every preregistered gate
mnist_mlp_N3_W16_S1813,0.7617,0.7866,0.024899999999999922,0.8207,False,no persistent natural residual passed every preregistered gate
mnist_mlp_N3_W32_S1813,0.8272,0.8273,9.999999999998899e-05,0.8577,False,no persistent natural residual passed every preregistered gate
mnist_mlp_N3_W64_S1813,0.8622,0.8706,0.008400000000000074,0.8811,False,no persistent natural residual passed every preregistered gate
mnist_mlp_N4_W16_S1813,0.7405,0.7601,0.01959999999999995,0.8446,False,no persistent natural residual passed every preregistered gate
mnist_mlp_N4_W32_S1813,0.8202,0.8416,0.021399999999999975,0.8559,False,no persistent natural residual passed every preregistered gate
mnist_mlp_N4_W64_S1813,0.8682,0.8717,0.0035000000000000586,0.8786,False,no persistent natural residual passed every preregistered gate
mnist_mlp_N3_W16_S1814,0.6458,0.7469,0.10109999999999997,0.8381,False,no persistent natural residual passed every preregistered gate
mnist_mlp_N3_W32_S1814,0.8297,0.8419,0.012199999999999989,0.8615,False,no persistent natural residual passed every preregistered gate
mnist_mlp_N3_W64_S1814,0.8651,0.8699,0.0048000000000000265,0.8812,False,no persistent natural residual passed every preregistered gate
mnist_mlp_N4_W16_S1814,0.7674,0.7869,0.019500000000000073,0.8271,False,no persistent natural residual passed every preregistered gate
mnist_mlp_N4_W32_S1814,0.8194,0.8226,0.0031999999999999806,0.8605,False,no persistent natural residual passed every preregistered gate
mnist_mlp_N4_W64_S1814,0.8674,0.8674,0.0,0.8668,False,no persistent natural residual passed every preregistered gate
mnist_mlp_N3_W16_S1815,0.7911,0.7975,0.006399999999999961,0.8304,False,no persistent natural residual passed every preregistered gate
mnist_mlp_N3_W32_S1815,0.8355,0.8359,0.00039999999999995595,0.8584,False,no persistent natural residual passed every preregistered gate
mnist_mlp_N3_W64_S1815,0.8671,0.8736,0.006500000000000061,0.8717,False,no persistent natural residual passed every preregistered gate
mnist_mlp_N4_W16_S1815,0.7424,0.7543,0.011900000000000022,0.8277,False,no persistent natural residual passed every preregistered gate
mnist_mlp_N4_W32_S1815,0.8339,0.8414,0.007500000000000062,0.8656,False,no persistent natural residual passed every preregistered gate
mnist_mlp_N4_W64_S1815,0.862,0.87,0.008000000000000007,0.8843,False,no persistent natural residual passed every preregistered gate
mnist_mlp_N3_W16_S1816,0.7213,0.7572,0.03589999999999993,0.8246,False,no persistent natural residual passed every preregistered gate
mnist_mlp_N3_W32_S1816,0.837,0.8443,0.007300000000000084,0.8648,False,no persistent natural residual passed every preregistered gate
mnist_mlp_N3_W64_S1816,0.8667,0.873,0.006299999999999972,0.8794,False,no persistent natural residual passed every preregistered gate
mnist_mlp_N4_W16_S1816,0.6533,0.6972,0.04390000000000005,0.8157,False,no persistent natural residual passed every preregistered gate
mnist_mlp_N4_W32_S1816,0.8421,0.8475,0.005400000000000071,0.8664,False,no persistent natural residual passed every preregistered gate
mnist_mlp_N4_W64_S1816,0.8621,0.865,0.0029000000000000137,0.8758,False,no persistent natural residual passed every preregistered gate
mnist_mlp_N3_W16_S1817,0.763,0.7775,0.014499999999999957,0.8037,False,no persistent natural residual passed every preregistered gate
mnist_mlp_N3_W32_S1817,0.8337,0.8407,0.007000000000000006,0.8662,False,no persistent natural residual passed every preregistered gate
mnist_mlp_N3_W64_S1817,0.8625,0.8688,0.006299999999999972,0.8809,False,no persistent natural residual passed every preregistered gate
mnist_mlp_N4_W16_S1817,0.7329,0.7567,0.023800000000000043,0.8187,False,no persistent natural residual passed every preregistered gate
mnist_mlp_N4_W32_S1817,0.8395,0.851,0.011499999999999955,0.8667,False,no persistent natural residual passed every preregistered gate
mnist_mlp_N4_W64_S1817,0.8627,0.8667,0.0040000000000000036,0.8754,False,no persistent natural residual passed every preregistered gate
mnist_mlp_N3_W16_S1818,0.7578,0.7827,0.024899999999999922,0.8318,False,no persistent natural residual passed every preregistered gate
mnist_mlp_N3_W32_S1818,0.8168,0.8373,0.020500000000000074,0.8593,False,no persistent natural residual passed every preregistered gate
mnist_mlp_N3_W64_S1818,0.8496,0.8651,0.015499999999999958,0.8651,False,no persistent natural residual passed every preregistered gate
mnist_mlp_N4_W16_S1818,0.7302,0.7736,0.043399999999999994,0.8332,False,no persistent natural residual passed every preregistered gate
mnist_mlp_N4_W32_S1818,0.8442,0.84,-0.0041999999999999815,0.8577,False,no persistent natural residual passed every preregistered gate
mnist_mlp_N4_W64_S1818,0.8737,0.8752,0.0014999999999999458,0.8828,False,no persistent natural residual passed every preregistered gate
mnist_mlp_N3_W16_S1819,0.7466,0.7507,0.0040999999999999925,0.8339,False,no persistent natural residual passed every preregistered gate
mnist_mlp_N3_W32_S1819,0.8262,0.8346,0.008399999999999963,0.8685,False,no persistent natural residual passed every preregistered gate
mnist_mlp_N3_W64_S1819,0.866,0.8722,0.006199999999999983,0.8842,False,no persistent natural residual passed every preregistered gate
mnist_mlp_N4_W16_S1819,0.749,0.7843,0.0353,0.8227,False,no persistent natural residual passed every preregistered gate
mnist_mlp_N4_W32_S1819,0.8311,0.8503,0.019199999999999995,0.8626,False,no persistent natural residual passed every preregistered gate
mnist_mlp_N4_W64_S1819,0.8735,0.8735,0.0,0.8783,False,no persistent natural residual passed every preregistered gate
