method,parameter_count,actual_trainable_parameters,stored_parameters,parameter_multiplier,branch_count,inference_multiplier,measured_inference_time_seconds,candidate_count,selector_validation_budget,is_single_model,is_branch_model,uses_supplied_context,uses_validation_data,uses_obstruction_data
c2m3_synchronized,2177,2177,2177,1.0,1,1.0,0.0006702910177409649,1,4000,True,False,False,False,False
c2m3_synchronized,577,577,577,1.0,1,1.0,0.0004906249232590199,1,4000,True,False,False,False,False
c2m3_synchronized,577,577,577,1.0,1,1.0,0.0004865000955760479,1,4000,True,False,False,False,False
c2m3_synchronized,2177,2177,2177,1.0,1,1.0,0.0008279159665107727,1,4000,True,False,False,False,False
c2m3_synchronized,577,577,577,1.0,1,1.0,0.0005145000759512186,1,4000,True,False,False,False,False
c2m3_synchronized,2177,2177,2177,1.0,1,1.0,0.0007014588918536901,1,4000,True,False,False,False,False
c2m3_synchronized,2177,2177,2177,1.0,1,1.0,0.0007223330903798342,1,4000,True,False,False,False,False
c2m3_synchronized,577,577,577,1.0,1,1.0,0.00043383287265896797,1,4000,True,False,False,False,False
c2m3_synchronized,577,577,577,1.0,1,1.0,0.0004466250538825989,1,4000,True,False,False,False,False
c2m3_synchronized,2177,2177,2177,1.0,1,1.0,0.0006972919218242168,1,4000,True,False,False,False,False
c2m3_synchronized,2177,2177,2177,1.0,1,1.0,0.0006864590104669333,1,4000,True,False,False,False,False
c2m3_synchronized,577,577,577,1.0,1,1.0,0.0004835419822484255,1,4000,True,False,False,False,False
c2m3_synchronized,577,577,577,1.0,1,1.0,0.0003897501155734062,1,4000,True,False,False,False,False
c2m3_synchronized,577,577,577,1.0,1,1.0,0.00043762498535215855,1,4000,True,False,False,False,False
c2m3_synchronized,2177,2177,2177,1.0,1,1.0,0.0007439579349011183,1,4000,True,False,False,False,False
c2m3_synchronized,577,577,577,1.0,1,1.0,0.00037895888090133667,1,4000,True,False,False,False,False
c2m3_synchronized,577,577,577,1.0,1,1.0,0.00044245808385312557,1,4000,True,False,False,False,False
c2m3_synchronized,577,577,577,1.0,1,1.0,0.00045516714453697205,1,4000,True,False,False,False,False
c2m3_synchronized,577,577,577,1.0,1,1.0,0.0006554170977324247,1,4000,True,False,False,False,False
c2m3_synchronized,2177,2177,2177,1.0,1,1.0,0.0007024579681456089,1,4000,True,False,False,False,False
c2m3_synchronized,577,577,577,1.0,1,1.0,0.0005487499292939901,1,4000,True,False,False,False,False
c2m3_synchronized,577,577,577,1.0,1,1.0,0.0004195000510662794,1,4000,True,False,False,False,False
c2m3_synchronized,2177,2177,2177,1.0,1,1.0,0.0007804168853908777,1,4000,True,False,False,False,False
c2m3_synchronized,2177,2177,2177,1.0,1,1.0,0.0007156669162213802,1,4000,True,False,False,False,False
c2m3_synchronized,577,577,577,1.0,1,1.0,0.00047570792958140373,1,4000,True,False,False,False,False
c2m3_synchronized,577,577,577,1.0,1,1.0,0.0004772499669343233,1,4000,True,False,False,False,False
c2m3_synchronized,577,577,577,1.0,1,1.0,0.0004275841638445854,1,4000,True,False,False,False,False
c2m3_synchronized,2177,2177,2177,1.0,1,1.0,0.000679834047332406,1,4000,True,False,False,False,False
c2m3_synchronized,577,577,577,1.0,1,1.0,0.00038829189725220203,1,4000,True,False,False,False,False
c2m3_synchronized,2177,2177,2177,1.0,1,1.0,0.0006857910193502903,1,4000,True,False,False,False,False
c2m3_synchronized,577,577,577,1.0,1,1.0,0.0004327078349888325,1,4000,True,False,False,False,False
c2m3_synchronized,577,577,577,1.0,1,1.0,0.0005128339398652315,1,4000,True,False,False,False,False
c2m3_synchronized,2177,2177,2177,1.0,1,1.0,0.0010883330833166838,1,4000,True,False,False,False,False
c2m3_synchronized,577,577,577,1.0,1,1.0,0.0009483341127634048,1,4000,True,False,False,False,False
c2m3_synchronized,577,577,577,1.0,1,1.0,0.0003993329592049122,1,4000,True,False,False,False,False
c2m3_synchronized,577,577,577,1.0,1,1.0,0.0009557497687637806,1,4000,True,False,False,False,False
c2m3_synchronized,2177,2177,2177,1.0,1,1.0,0.0007585410494357347,1,4000,True,False,False,False,False
c2m3_synchronized,2177,2177,2177,1.0,1,1.0,0.0006599999032914639,1,4000,True,False,False,False,False
c2m3_synchronized,577,577,577,1.0,1,1.0,0.00045191613025963306,1,4000,True,False,False,False,False
c2m3_synchronized,577,577,577,1.0,1,1.0,0.0004654999356716871,1,4000,True,False,False,False,False
c2m3_synchronized,577,577,577,1.0,1,1.0,0.000697416951879859,1,4000,True,False,False,False,False
c2m3_synchronized,577,577,577,1.0,1,1.0,0.0004019590560346842,1,4000,True,False,False,False,False
c2m3_synchronized,577,577,577,1.0,1,1.0,0.00039983284659683704,1,4000,True,False,False,False,False
c2m3_synchronized,577,577,577,1.0,1,1.0,0.0006985419895499945,1,4000,True,False,False,False,False
c2m3_synchronized,2177,2177,2177,1.0,1,1.0,0.0007485831156373024,1,4000,True,False,False,False,False
c2m3_synchronized,577,577,577,1.0,1,1.0,0.0004540418740361929,1,4000,True,False,False,False,False
c2m3_synchronized,577,577,577,1.0,1,1.0,0.0003802089486271143,1,4000,True,False,False,False,False
c2m3_synchronized,577,577,577,1.0,1,1.0,0.0005867499858140945,1,4000,True,False,False,False,False
