setting_id,n_models,width,seed,selected_source_method,selected_method,selector_val_margin,selector_validation_budget,candidate_count,selector_regret_audit,central_lift_activated,nonabelian_lift_activated
mnist_mlp_N3_W16_S1818,3,16,1818,union_candidate_soup,union_candidate_soup,0.0,1000,13,0.017000000000000015,False,False
mnist_mlp_N3_W16_S1819,3,16,1819,union_candidate_soup,union_candidate_soup,0.0,1000,13,0.01760000000000006,False,False
mnist_mlp_N3_W32_S1800,3,32,1800,union_candidate_soup,union_candidate_soup,0.0,1000,13,0.0042999999999999705,False,False
mnist_mlp_N3_W32_S1801,3,32,1801,union_candidate_soup,union_candidate_soup,0.0,1000,13,0.009800000000000031,False,False
mnist_mlp_N3_W32_S1802,3,32,1802,randomly_augmented_candidate_union,randomly_augmented_candidate_union,0.004,1000,13,0.008700000000000041,False,False
mnist_mlp_N3_W32_S1803,3,32,1803,union_candidate_soup,union_candidate_soup,0.0,1000,13,0.0,False,False
mnist_mlp_N3_W32_S1804,3,32,1804,randomly_augmented_candidate_union,randomly_augmented_candidate_union,0.002,1000,13,0.0031999999999999806,False,False
mnist_mlp_N3_W32_S1805,3,32,1805,union_candidate_soup,union_candidate_soup,0.0,1000,13,0.0027000000000000357,False,False
mnist_mlp_N3_W32_S1806,3,32,1806,union_candidate_soup,union_candidate_soup,0.0,1000,13,0.006200000000000094,False,False
mnist_mlp_N3_W32_S1807,3,32,1807,randomly_augmented_candidate_union,randomly_augmented_candidate_union,0.001,1000,13,0.0025000000000000577,False,False
mnist_mlp_N3_W32_S1808,3,32,1808,global_monomial_scale,global_monomial,0.001,1000,13,0.01759999999999995,False,False
mnist_mlp_N3_W32_S1809,3,32,1809,union_candidate_soup,union_candidate_soup,0.0,1000,13,0.005700000000000038,False,False
mnist_mlp_N3_W32_S1810,3,32,1810,union_candidate_soup,union_candidate_soup,0.0,1000,13,0.0,False,False
mnist_mlp_N3_W32_S1811,3,32,1811,union_candidate_soup,union_candidate_soup,0.0,1000,13,0.012399999999999967,False,False
mnist_mlp_N3_W32_S1812,3,32,1812,union_candidate_soup,union_candidate_soup,0.0,1000,13,0.00869999999999993,False,False
mnist_mlp_N3_W32_S1813,3,32,1813,union_candidate_soup,union_candidate_soup,0.0,1000,13,0.0027000000000000357,False,False
mnist_mlp_N3_W32_S1814,3,32,1814,union_candidate_soup,union_candidate_soup,0.0,1000,13,0.0030999999999999917,False,False
mnist_mlp_N3_W32_S1815,3,32,1815,union_candidate_soup,union_candidate_soup,0.0,1000,13,0.00759999999999994,False,False
mnist_mlp_N3_W32_S1816,3,32,1816,union_candidate_soup,union_candidate_soup,0.0,1000,13,0.0048000000000000265,False,False
mnist_mlp_N3_W32_S1817,3,32,1817,union_candidate_soup,union_candidate_soup,0.0,1000,13,0.0048000000000000265,False,False
mnist_mlp_N3_W32_S1818,3,32,1818,optimized_monomial_greedy_soup,optimized_monomial_greedy_soup,0.0,1000,13,0.006500000000000061,False,False
mnist_mlp_N3_W32_S1819,3,32,1819,monomial_scaled_greedy_soup,monomial_greedy_soup,0.0,1000,13,0.0,False,False
mnist_mlp_N3_W64_S1800,3,64,1800,global_monomial_greedy_soup,global_monomial_greedy_soup,0.004,1000,13,0.007000000000000006,False,False
mnist_mlp_N3_W64_S1801,3,64,1801,optimized_monomial_scale,optimized_monomial,0.002,1000,13,0.01100000000000001,False,False
mnist_mlp_N3_W64_S1802,3,64,1802,union_candidate_soup,union_candidate_soup,0.0,1000,13,0.0030999999999999917,False,False
mnist_mlp_N3_W64_S1803,3,64,1803,optimized_monomial_greedy_soup,optimized_monomial_greedy_soup,0.002,1000,13,0.008600000000000052,False,False
mnist_mlp_N3_W64_S1804,3,64,1804,randomly_augmented_candidate_union,randomly_augmented_candidate_union,0.001,1000,13,0.006199999999999983,False,False
mnist_mlp_N3_W64_S1805,3,64,1805,union_candidate_soup,union_candidate_soup,0.0,1000,13,0.0042999999999999705,False,False
mnist_mlp_N3_W64_S1806,3,64,1806,randomly_augmented_candidate_union,randomly_augmented_candidate_union,0.002,1000,13,0.006099999999999994,False,False
mnist_mlp_N3_W64_S1807,3,64,1807,optimized_monomial_scale,optimized_monomial,0.0,1000,13,0.011799999999999922,False,False
mnist_mlp_N3_W64_S1808,3,64,1808,optimized_monomial_scale,optimized_monomial,0.0,1000,13,0.01079999999999992,False,False
mnist_mlp_N3_W64_S1809,3,64,1809,optimized_monomial_scale,optimized_monomial,0.005,1000,13,0.011099999999999999,False,False
mnist_mlp_N3_W64_S1810,3,64,1810,union_candidate_soup,union_candidate_soup,0.0,1000,13,0.0038000000000000256,False,False
mnist_mlp_N3_W64_S1811,3,64,1811,union_candidate_soup,union_candidate_soup,0.0,1000,13,0.0022999999999999687,False,False
mnist_mlp_N3_W64_S1812,3,64,1812,union_candidate_soup,union_candidate_soup,0.0,1000,13,0.0021999999999999797,False,False
mnist_mlp_N3_W64_S1813,3,64,1813,union_candidate_soup,union_candidate_soup,0.0,1000,13,0.00019999999999997797,False,False
mnist_mlp_N3_W64_S1814,3,64,1814,randomly_augmented_candidate_union,randomly_augmented_candidate_union,0.003,1000,13,0.0010999999999999899,False,False
mnist_mlp_N3_W64_S1815,3,64,1815,shrinkage_monomial_scale,shrinkage_monomial,0.001,1000,13,0.011199999999999988,False,False
mnist_mlp_N3_W64_S1816,3,64,1816,union_candidate_soup,union_candidate_soup,0.0,1000,13,0.0014000000000000679,False,False
mnist_mlp_N3_W64_S1817,3,64,1817,union_candidate_soup,union_candidate_soup,0.0,1000,13,0.0025999999999999357,False,False
mnist_mlp_N3_W64_S1818,3,64,1818,global_monomial_scale,global_monomial,0.001,1000,13,0.015100000000000002,False,False
mnist_mlp_N3_W64_S1819,3,64,1819,union_candidate_soup,union_candidate_soup,0.0,1000,13,0.0014000000000000679,False,False
mnist_mlp_N4_W16_S1800,4,16,1800,union_candidate_soup,union_candidate_soup,0.0,1000,13,0.0048000000000000265,False,False
mnist_mlp_N4_W16_S1801,4,16,1801,union_candidate_soup,union_candidate_soup,0.0,1000,13,0.024499999999999966,False,False
mnist_mlp_N4_W16_S1802,4,16,1802,randomly_augmented_candidate_union,randomly_augmented_candidate_union,0.001,1000,13,0.021199999999999997,False,False
mnist_mlp_N4_W16_S1803,4,16,1803,randomly_augmented_candidate_union,randomly_augmented_candidate_union,0.009,1000,13,0.005600000000000049,False,False
mnist_mlp_N4_W16_S1804,4,16,1804,union_candidate_soup,union_candidate_soup,0.0,1000,13,0.021199999999999997,False,False
mnist_mlp_N4_W16_S1805,4,16,1805,union_candidate_soup,union_candidate_soup,0.0,1000,13,0.02080000000000004,False,False
mnist_mlp_N4_W16_S1806,4,16,1806,union_candidate_soup,union_candidate_soup,0.0,1000,13,0.019199999999999995,False,False
mnist_mlp_N4_W16_S1807,4,16,1807,union_candidate_soup,union_candidate_soup,0.0,1000,13,0.014899999999999913,False,False
mnist_mlp_N4_W16_S1808,4,16,1808,union_candidate_soup,union_candidate_soup,0.0,1000,13,0.011499999999999955,False,False
mnist_mlp_N4_W16_S1809,4,16,1809,union_candidate_soup,union_candidate_soup,0.0,1000,13,0.006399999999999961,False,False
mnist_mlp_N4_W16_S1810,4,16,1810,union_candidate_soup,union_candidate_soup,0.0,1000,13,0.013500000000000068,False,False
mnist_mlp_N4_W16_S1811,4,16,1811,union_candidate_soup,union_candidate_soup,0.0,1000,13,0.019000000000000017,False,False
mnist_mlp_N4_W16_S1812,4,16,1812,union_candidate_soup,union_candidate_soup,0.0,1000,13,0.0,False,False
mnist_mlp_N4_W16_S1813,4,16,1813,union_candidate_soup,union_candidate_soup,0.0,1000,13,0.0012999999999999678,False,False
mnist_mlp_N4_W16_S1814,4,16,1814,union_candidate_soup,union_candidate_soup,0.0,1000,13,0.01880000000000004,False,False
mnist_mlp_N4_W16_S1815,4,16,1815,union_candidate_soup,union_candidate_soup,0.0,1000,13,0.01629999999999998,False,False
mnist_mlp_N4_W16_S1816,4,16,1816,union_candidate_soup,union_candidate_soup,0.0,1000,13,0.021600000000000064,False,False
mnist_mlp_N4_W16_S1817,4,16,1817,c2m3_greedy_soup,c2m3_greedy_soup,0.004,1000,13,0.03959999999999997,False,False
mnist_mlp_N4_W16_S1818,4,16,1818,union_candidate_soup,union_candidate_soup,0.0,1000,13,0.019199999999999995,False,False
mnist_mlp_N4_W16_S1819,4,16,1819,union_candidate_soup,union_candidate_soup,0.0,1000,13,0.0262,False,False
mnist_mlp_N4_W32_S1800,4,32,1800,union_candidate_soup,union_candidate_soup,0.0,1000,13,0.0022999999999999687,False,False
mnist_mlp_N4_W32_S1801,4,32,1801,union_candidate_soup,union_candidate_soup,0.0,1000,13,0.006799999999999917,False,False
mnist_mlp_N4_W32_S1802,4,32,1802,union_candidate_soup,union_candidate_soup,0.0,1000,13,0.0028999999999999027,False,False
mnist_mlp_N4_W32_S1803,4,32,1803,union_candidate_soup,union_candidate_soup,0.0,1000,13,0.01100000000000001,False,False
mnist_mlp_N4_W32_S1804,4,32,1804,randomly_augmented_candidate_union,randomly_augmented_candidate_union,0.001,1000,13,0.012299999999999978,False,False
mnist_mlp_N4_W32_S1805,4,32,1805,union_candidate_soup,union_candidate_soup,0.0,1000,13,0.0010000000000000009,False,False
mnist_mlp_N4_W32_S1806,4,32,1806,union_candidate_soup,union_candidate_soup,0.0,1000,13,0.00990000000000002,False,False
mnist_mlp_N4_W32_S1807,4,32,1807,union_candidate_soup,union_candidate_soup,0.0,1000,13,0.008700000000000041,False,False
mnist_mlp_N4_W32_S1808,4,32,1808,union_candidate_soup,union_candidate_soup,0.0,1000,13,0.0045999999999999375,False,False
mnist_mlp_N4_W32_S1809,4,32,1809,monomial_scaled_greedy_soup,monomial_greedy_soup,0.0,1000,13,0.010299999999999976,False,False
mnist_mlp_N4_W32_S1810,4,32,1810,union_candidate_soup,union_candidate_soup,0.0,1000,13,0.009500000000000064,False,False
mnist_mlp_N4_W32_S1811,4,32,1811,union_candidate_soup,union_candidate_soup,0.0,1000,13,0.0030999999999999917,False,False
mnist_mlp_N4_W32_S1812,4,32,1812,union_candidate_soup,union_candidate_soup,0.0,1000,13,0.0040999999999999925,False,False
mnist_mlp_N4_W32_S1813,4,32,1813,union_candidate_soup,union_candidate_soup,0.0,1000,13,0.0039000000000000146,False,False
mnist_mlp_N4_W32_S1814,4,32,1814,union_candidate_soup,union_candidate_soup,0.0,1000,13,0.007000000000000006,False,False
mnist_mlp_N4_W32_S1815,4,32,1815,union_candidate_soup,union_candidate_soup,0.0,1000,13,0.0030000000000000027,False,False
mnist_mlp_N4_W32_S1816,4,32,1816,optimized_monomial_greedy_soup,optimized_monomial_greedy_soup,0.0,1000,13,0.005800000000000027,False,False
mnist_mlp_N4_W32_S1817,4,32,1817,union_candidate_soup,union_candidate_soup,0.0,1000,13,0.0029000000000000137,False,False
mnist_mlp_N4_W32_S1818,4,32,1818,randomly_augmented_candidate_union,randomly_augmented_candidate_union,0.002,1000,13,0.009699999999999931,False,False
mnist_mlp_N4_W32_S1819,4,32,1819,union_candidate_soup,union_candidate_soup,0.0,1000,13,0.0043999999999999595,False,False
mnist_mlp_N4_W64_S1800,4,64,1800,global_monomial_greedy_soup,global_monomial_greedy_soup,0.001,1000,13,0.006000000000000005,False,False
mnist_mlp_N4_W64_S1801,4,64,1801,monomial_scaled_greedy_soup,monomial_greedy_soup,0.002,1000,13,0.00539999999999996,False,False
mnist_mlp_N4_W64_S1802,4,64,1802,optimized_monomial_greedy_soup,optimized_monomial_greedy_soup,0.001,1000,13,0.012800000000000034,False,False
mnist_mlp_N4_W64_S1803,4,64,1803,union_candidate_soup,union_candidate_soup,0.0,1000,13,0.005600000000000049,False,False
mnist_mlp_N4_W64_S1804,4,64,1804,randomly_augmented_candidate_union,randomly_augmented_candidate_union,0.002,1000,13,0.0015000000000000568,False,False
mnist_mlp_N4_W64_S1805,4,64,1805,randomly_augmented_candidate_union,randomly_augmented_candidate_union,0.001,1000,13,0.010399999999999965,False,False
mnist_mlp_N4_W64_S1806,4,64,1806,union_candidate_soup,union_candidate_soup,0.0,1000,13,0.00539999999999996,False,False
mnist_mlp_N4_W64_S1807,4,64,1807,union_candidate_soup,union_candidate_soup,0.0,1000,13,0.0046000000000000485,False,False
mnist_mlp_N4_W64_S1808,4,64,1808,union_candidate_soup,union_candidate_soup,0.0,1000,13,0.0038000000000000256,False,False
mnist_mlp_N4_W64_S1809,4,64,1809,union_candidate_soup,union_candidate_soup,0.0,1000,13,0.0048000000000000265,False,False
mnist_mlp_N4_W64_S1810,4,64,1810,union_candidate_soup,union_candidate_soup,0.0,1000,13,0.0015999999999999348,False,False
mnist_mlp_N4_W64_S1811,4,64,1811,union_candidate_soup,union_candidate_soup,0.0,1000,13,0.005099999999999993,False,False
mnist_mlp_N4_W64_S1812,4,64,1812,union_candidate_soup,union_candidate_soup,0.0,1000,13,0.000500000000000056,False,False
mnist_mlp_N4_W64_S1813,4,64,1813,randomly_augmented_candidate_union,randomly_augmented_candidate_union,0.001,1000,13,0.0035999999999999366,False,False
mnist_mlp_N4_W64_S1814,4,64,1814,optimized_monomial_scale,optimized_monomial,0.002,1000,13,0.018399999999999972,False,False
mnist_mlp_N4_W64_S1815,4,64,1815,union_candidate_soup,union_candidate_soup,0.0,1000,13,0.0,False,False
mnist_mlp_N4_W64_S1816,4,64,1816,union_candidate_soup,union_candidate_soup,0.0,1000,13,0.0031999999999999806,False,False
mnist_mlp_N4_W64_S1817,4,64,1817,shrinkage_monomial_greedy_soup,shrinkage_monomial_greedy_soup,0.001,1000,13,0.00660000000000005,False,False
mnist_mlp_N4_W64_S1818,4,64,1818,union_candidate_soup,union_candidate_soup,0.0,1000,13,0.0011999999999999789,False,False
mnist_mlp_N4_W64_S1819,4,64,1819,optimized_monomial_greedy_soup,optimized_monomial_greedy_soup,0.0,1000,13,0.0047000000000000375,False,False
