setting_id,group,width,seed,group_order,generator_s_recovery_error,generator_r_recovery_error,generator_commutator_norm,group_action_max_error,context_changes_prediction_rate,strict_synchronization_accuracy,supplied_context_accuracy,random_control_accuracy,wrong_generator_accuracy,wrong_order_accuracy,hodge_lr_rank,hodge_lr_explained_energy,leakage_regression_passed
S3_W32_S36,S3,32,36,6,1.6455657523974765e-15,1.6455657523974765e-15,3.4641016151377544,0.0,0.851,0.144,1.0,0.173,0.098,0.7205,5,1.0,True
S3_W32_S37,S3,32,37,6,1.7817051716819394e-15,1.7817051716819394e-15,3.4641016151377544,0.0,0.84375,0.1625,1.0,0.1585,0.1,0.7165,5,1.0,True
S3_W32_S38,S3,32,38,6,2.0234779841260327e-15,2.0234779841260327e-15,3.4641016151377544,0.0,0.85925,0.1425,1.0,0.1565,0.104,0.708,5,1.0,True
S3_W32_S39,S3,32,39,6,1.595970199079785e-15,1.595970199079785e-15,3.4641016151377544,0.0,0.85275,0.141,1.0,0.162,0.1,0.713,5,1.0,True
S3_W32_S40,S3,32,40,6,1.869752030360138e-15,1.869752030360138e-15,3.4641016151377544,0.0,0.85425,0.147,1.0,0.1735,0.1085,0.7155,5,1.0,True
S3_W32_S41,S3,32,41,6,1.5490980712381093e-15,1.5490980712381093e-15,3.4641016151377544,0.0,0.85375,0.1465,1.0,0.1595,0.099,0.7105,5,1.0,True
S3_W32_S42,S3,32,42,6,4.076871818347416e-15,4.076871818347416e-15,3.4641016151377544,0.0,0.86475,0.153,1.0,0.163,0.1015,0.7295,5,1.0,True
S3_W32_S43,S3,32,43,6,2.1377877489628305e-15,2.1377877489628305e-15,3.4641016151377544,0.0,0.8535,0.1405,1.0,0.161,0.101,0.699,5,1.0,True
S3_W32_S44,S3,32,44,6,1.6952797404556828e-15,1.6952797404556828e-15,3.4641016151377544,0.0,0.861,0.135,1.0,0.1655,0.097,0.724,5,1.0,True
S3_W32_S45,S3,32,45,6,1.6276201177325814e-15,1.6276201177325814e-15,3.4641016151377544,0.0,0.8545,0.1345,1.0,0.173,0.109,0.7175,5,1.0,True
S3_W32_S46,S3,32,46,6,1.4845415484029051e-15,1.4845415484029051e-15,3.4641016151377544,0.0,0.8585,0.139,1.0,0.1785,0.0965,0.704,5,1.0,True
S3_W32_S47,S3,32,47,6,1.3963477258138322e-15,1.3963477258138322e-15,3.4641016151377544,0.0,0.85825,0.1435,1.0,0.1715,0.101,0.7125,5,1.0,True
S3_W32_S48,S3,32,48,6,1.807816993545393e-15,1.807816993545393e-15,3.4641016151377544,0.0,0.85925,0.1435,1.0,0.1625,0.0945,0.7085,5,1.0,True
S3_W32_S49,S3,32,49,6,1.5106236102358328e-15,1.5106236102358328e-15,3.4641016151377544,0.0,0.8615,0.1425,1.0,0.1605,0.111,0.716,5,1.0,True
