scope,n_models,width,method,n,mean_test_accuracy,accuracy_ci_low,accuracy_ci_high,mean_test_loss,loss_ci_low,loss_ci_high,mean_validation_accuracy,mean_inference_time_seconds_512,mean_inference_multiplier
fixed_setting,3,64,shrinkage_monomial,20,0.870415,0.8690635440747495,0.8717664559252506,0.5922336141180993,0.5869552096140302,0.5975120186221683,0.8654999999999999,0.011942004167940433,0.9926620276684492
fixed_setting,3,64,twistedmerge_exact_gauge_soup_selector,20,0.876595,0.8745046864909024,0.8786853135090976,0.5037686192560196,0.4858502915675596,0.5216869469444796,0.8731499999999999,0.01191018733661616,0.9904171406825852
fixed_setting,3,64,union_candidate_soup,20,0.879195,0.8781380265461681,0.8802519734538318,0.49325506053447715,0.4812231451388075,0.5052869759301468,0.8714000000000001,0.011921243707183707,0.9913877816607796
fixed_setting,4,16,c2m3_greedy_soup,20,0.8299949999999999,0.826561730715944,0.8334282692840559,0.8638489102649689,0.8305928961385263,0.8971049243914115,0.8201500000000002,0.012214522913563945,0.9963317527786725
fixed_setting,4,16,c2m3_strict_synchronization,20,0.736915,0.7209164712090208,0.7529135287909792,1.1808041474437714,1.15779083014346,1.2038174647440827,0.7264000000000002,0.012196999951265695,0.9945126726102954
fixed_setting,4,16,ensemble_reference,20,0.8465050000000002,0.8439434084967598,0.8490665915032406,0.8146231411790847,0.8044029757927293,0.8248433065654401,0.83395,0.048523110442329154,3.9575422349667817
fixed_setting,4,16,git_rebasin_style_pairwise,20,0.74028,0.7237493671185568,0.7568106328814433,1.1833412984228133,1.1636324159922264,1.2030501808534002,0.7296500000000001,0.012251895840745377,0.9986250843244593
fixed_setting,4,16,global_monomial,20,0.767865,0.7554133091377749,0.7803166908622251,1.1522439533472064,1.131763404840472,1.1727245018539407,0.7588,0.01208205615403125,0.9852360994174951
fixed_setting,4,16,monomial_greedy_soup,20,0.8311299999999999,0.8278797979062024,0.8343802020937975,0.8454643207645416,0.8294218764772199,0.8615067650518633,0.8197000000000001,0.012295362446457105,1.0029941687267432
fixed_setting,4,16,optimized_monomial,20,0.7589400000000001,0.75011638562946,0.7677636143705401,0.9244553952312471,0.9042624599995963,0.9446483304628979,0.75085,0.012108389707282143,0.9872132116721147
fixed_setting,4,16,ordinary_greedy_soup,20,0.8311299999999999,0.8278797979062024,0.8343802020937975,0.8454643193483353,0.8294218754538317,0.8615067632428389,0.8197000000000001,0.012071231321897295,0.9845588986077619
fixed_setting,4,16,ordinary_weight_average,20,0.53672,0.49098789097077356,0.5824521090292264,1.7752955004787445,1.7454180984154777,1.8051729025420113,0.5369499999999999,0.01226588110439474,1.0
fixed_setting,4,16,randomly_augmented_candidate_union,20,0.831025,0.8277288774438345,0.8343211225561655,0.8746446678733827,0.8411054039029096,0.9081839318438558,0.8222999999999999,0.012063937576021954,0.9838704637618253
fixed_setting,4,16,raw_monomial_alignment,20,0.7419600000000001,0.7250923184174433,0.7588276815825569,1.1727998545551301,1.1468910455403527,1.1987086635699076,0.7327000000000001,0.012106420914642462,0.987168710294372
fixed_setting,4,16,shrinkage_monomial,20,0.7688,0.7567292422005646,0.7808707577994355,1.1443989440822602,1.1238665530548972,1.164931335109623,0.7610000000000001,0.012078014435246542,0.9849589972383633
fixed_setting,4,16,twistedmerge_exact_gauge_soup_selector,20,0.8303899999999999,0.8268804187816177,0.833899581218382,0.8855542743873597,0.8482629847708093,0.92284556400391,0.8225,0.012016014638356819,0.9799508998529747
fixed_setting,4,16,union_candidate_soup,20,0.830315,0.827031433450299,0.8335985665497011,0.8711232412910462,0.8377743899260058,0.9044720926560866,0.8215499999999999,0.012090066715609232,0.986071744361303
fixed_setting,4,32,c2m3_greedy_soup,20,0.8619000000000001,0.8603675409510065,0.8634324590489937,0.6058532425904274,0.6002678609916696,0.6114386241891852,0.8528,0.011849156243260906,0.9940044638471361
fixed_setting,4,32,c2m3_strict_synchronization,20,0.827505,0.8212011586950579,0.8338088413049421,0.844354747800827,0.836006903858771,0.852702591742883,0.8147500000000001,0.01176897081313649,0.9870397562016417
fixed_setting,4,32,ensemble_reference,20,0.867385,0.8661169833215442,0.8686530166784557,0.594046765344143,0.5907404794356524,0.5973530512526336,0.85565,0.04784452093299474,4.0130660055410585
fixed_setting,4,32,git_rebasin_style_pairwise,20,0.829595,0.8240999037326568,0.8350900962673431,0.8490631117010116,0.8378699092224049,0.8602563141796182,0.8173499999999999,0.011866864620242216,0.9952093604369626
fixed_setting,4,32,global_monomial,20,0.83772,0.8332565194171271,0.842183480582873,0.8245903626155853,0.8151770670044677,0.8340036582267029,0.8282,0.011766283144243012,0.9869069063212133
fixed_setting,4,32,monomial_greedy_soup,20,0.8615750000000002,0.8600393201025709,0.8631106798974295,0.6152349119853974,0.6013690310193929,0.6291007929514019,0.8532,0.011761829140596045,0.9866343869416809
fixed_setting,4,32,optimized_monomial,20,0.835195,0.8310063143327594,0.8393836856672406,0.6352215148210525,0.6240717703425869,0.6463712592995181,0.82645,0.0117439561290666,0.9849953982724131
fixed_setting,4,32,ordinary_greedy_soup,20,0.8619000000000001,0.8603675409510065,0.8634324590489937,0.6058532427930833,0.6002678612223135,0.6114386243638531,0.8528,0.011892495944630297,0.9975171576006702
fixed_setting,4,32,ordinary_weight_average,20,0.66333,0.624094642845515,0.702565357154485,1.5786284569454192,1.5568884909415472,1.6003684229492912,0.65945,0.011923762538935935,1.0
fixed_setting,4,32,randomly_augmented_candidate_union,20,0.8612250000000001,0.8595800451517956,0.8628699548482046,0.6265591317439079,0.6003999192613344,0.6527183442264813,0.8542500000000001,0.011871843831613625,0.9956490495520681
fixed_setting,4,32,raw_monomial_alignment,20,0.835405,0.8303814382149294,0.8404285617850705,0.8294723495149612,0.8188878983041329,0.8400568007257895,0.82295,0.0117869750480167,0.9886173819936784
fixed_setting,4,32,shrinkage_monomial,20,0.8370600000000001,0.8324744817761728,0.8416455182238275,0.8235074243497849,0.8135626013214894,0.8334522473780803,0.8284500000000001,0.011820679111406166,0.9914114755404843
fixed_setting,4,32,twistedmerge_exact_gauge_soup_selector,20,0.8612250000000001,0.8595800451517956,0.8628699548482046,0.62655913159132,0.6003999189811987,0.6527183442014414,0.8542500000000001,0.011801387520972578,0.9897868018073032
fixed_setting,4,32,union_candidate_soup,20,0.8616800000000001,0.8602074507717997,0.8631525492282005,0.6207959146809578,0.5993396255280958,0.6422522038338199,0.8541000000000001,0.011777597875334282,0.9878710973774781
fixed_setting,4,64,c2m3_greedy_soup,20,0.8800250000000001,0.8786917999439419,0.8813582000560582,0.48350310441970823,0.4713597513499643,0.4956464574894522,0.8737999999999999,0.01181762708583842,0.9820925298989854
fixed_setting,4,64,c2m3_strict_synchronization,20,0.8657350000000001,0.8631230404246701,0.8683469595753301,0.6297633518767357,0.6254099268645562,0.6341167768889152,0.8572999999999998,0.011887012596707736,0.9879273676197778
fixed_setting,4,64,ensemble_reference,20,0.8832999999999999,0.8824963874198672,0.8841036125801325,0.46897069957017906,0.46694450430894513,0.470996894831413,0.8726,0.0494508730131201,4.11261404204449
fixed_setting,4,64,git_rebasin_style_pairwise,20,0.863675,0.8603480441431115,0.8670019558568884,0.634517659409046,0.6295574026401741,0.6394779161779179,0.8559999999999999,0.011909777054097449,0.989569849476401
fixed_setting,4,64,global_monomial,20,0.8692,0.8672222853167302,0.8711777146832698,0.6206509021568298,0.615249337301076,0.6260524670125837,0.86545,0.011864185519516415,0.9859551356017642
fixed_setting,4,64,monomial_greedy_soup,20,0.8796849999999999,0.878414355065538,0.8809556449344619,0.4901577771377563,0.47630465323000193,0.5040109010455107,0.87395,0.011851923004724041,0.984941680206779
fixed_setting,4,64,optimized_monomial,20,0.86751,0.8655983110823424,0.8694216889176576,0.4778335571670532,0.473427128624893,0.48223998570921345,0.8647500000000001,0.01184559584362427,0.9844193298103254
fixed_setting,4,64,ordinary_greedy_soup,20,0.8802749999999999,0.8789783187016564,0.8815716812983434,0.4778011913466453,0.47385964813236586,0.4817427345609247,0.8736,0.011885689490009049,0.9876864839024597
fixed_setting,4,64,ordinary_weight_average,20,0.731575,0.7038590261390086,0.7592909738609913,1.414117241077423,1.3871045950865522,1.4411298870682938,0.7245,0.012038299988489546,1.0
