seed,condition,method,dice,iou,boundary_dice,hausdorff95,assd,pixel_nll,pixel_ece,foreground_recall,foreground_precision,chart_accuracy,ordinary_chart_accuracy,learned_table_chart_accuracy,heldout_chart_exposed,prediction_sha256,prediction_hashes_unchanged
11,unseen,hard_retransport,4.638965591318173e-12,4.638965591318173e-12,0.0,nan,nan,0.5630562676400253,0.13117183221788764,0.0,0.0,0.4375,0.0,0.4375,False,b3c8d58367fce9ee349c538ccdb63db77765c93aa6356b80e81898349751bd01,True
11,unseen,soft_retransport,4.638965591318173e-12,4.638965591318173e-12,0.0,nan,nan,0.5630619731736933,0.1311718460423208,0.0,0.0,0.4375,0.0,0.4375,False,b3c8d58367fce9ee349c538ccdb63db77765c93aa6356b80e81898349751bd01,True
11,unseen,d4_test_time_augmentation,4.638965591318173e-12,4.638965591318173e-12,0.0,nan,nan,0.5630596485193715,0.1311738846040953,0.0,0.0,0.4375,0.0,0.4375,False,b3c8d58367fce9ee349c538ccdb63db77765c93aa6356b80e81898349751bd01,True
11,unseen,supplied_chart_oracle,4.638965591318173e-12,4.638965591318173e-12,0.0,nan,nan,0.5630582358692984,0.1311794073819783,0.0,0.0,0.4375,0.0,0.4375,False,b3c8d58367fce9ee349c538ccdb63db77765c93aa6356b80e81898349751bd01,True
11,unseen,random_chart_control,4.638965591318173e-12,4.638965591318173e-12,0.0,nan,nan,0.5630612444635237,0.13117265799598954,0.0,0.0,0.4375,0.0,0.4375,False,b3c8d58367fce9ee349c538ccdb63db77765c93aa6356b80e81898349751bd01,True
11,unseen,wrong_output_action_control,4.638965591318173e-12,4.638965591318173e-12,0.0,nan,nan,0.5623228977279713,0.13116760345462808,0.0,0.0,0.4375,0.0,0.4375,False,b3c8d58367fce9ee349c538ccdb63db77765c93aa6356b80e81898349751bd01,True
12,seen,ordinary_chart_cnn_canonicalization,0.33395307218669784,0.2132453918461833,0.04141779600529121,72.97466301159531,38.83968280688241,0.8192230664876982,0.38004114942827977,1.0,0.21324539184570312,0.5,0.5625,0.4375,False,3a3df92cec0289fb899d13ef8cc5b8bab4888cbf984b84a9b7327cbe920fd4e6,True
12,seen,d4_equivariant_chart_cnn_canonicalization,0.33395307218669784,0.2132453918461833,0.04141779600529121,72.97466301159531,38.83968280688241,0.8192227527972507,0.38004111218674547,1.0,0.21324539184570312,0.5,0.5625,0.4375,False,3a3df92cec0289fb899d13ef8cc5b8bab4888cbf984b84a9b7327cbe920fd4e6,True
12,seen,direct_d4_equivariant_unet,4.638965591318173e-12,4.638965591318173e-12,0.0,nan,nan,0.645309314618957,0.238312821810041,0.0,0.0,0.5,0.5625,0.4375,False,3a3df92cec0289fb899d13ef8cc5b8bab4888cbf984b84a9b7327cbe920fd4e6,True
12,seen,learned_multiplication_table_chart_model,0.33395307218669784,0.2132453918461833,0.04141779600529121,72.97466301159531,38.83968280688241,0.8192228293980997,0.380041179453201,1.0,0.21324539184570312,0.5,0.5625,0.4375,False,3a3df92cec0289fb899d13ef8cc5b8bab4888cbf984b84a9b7327cbe920fd4e6,True
12,seen,hard_retransport,0.33395307218669784,0.2132453918461833,0.04141779600529121,72.97466301159531,38.83968280688241,0.8192227527972507,0.38004111218674547,1.0,0.21324539184570312,0.5,0.5625,0.4375,False,3a3df92cec0289fb899d13ef8cc5b8bab4888cbf984b84a9b7327cbe920fd4e6,True
12,seen,soft_retransport,0.33395307218669784,0.2132453918461833,0.04141779600529121,72.97466301159531,38.83968280688241,0.8192227200632366,0.38004110687938913,1.0,0.21324539184570312,0.5,0.5625,0.4375,False,3a3df92cec0289fb899d13ef8cc5b8bab4888cbf984b84a9b7327cbe920fd4e6,True
12,seen,d4_test_time_augmentation,0.33395307218669784,0.2132453918461833,0.04141779600529121,72.97466301159531,38.83968280688241,0.8192219910664652,0.38004114985392334,1.0,0.21324539184570312,0.5,0.5625,0.4375,False,3a3df92cec0289fb899d13ef8cc5b8bab4888cbf984b84a9b7327cbe920fd4e6,True
12,seen,supplied_chart_oracle,0.33395307218669784,0.2132453918461833,0.04141779600529121,72.97466301159531,38.83968280688241,0.81922166578179,0.3800409021603172,1.0,0.21324539184570312,0.5,0.5625,0.4375,False,3a3df92cec0289fb899d13ef8cc5b8bab4888cbf984b84a9b7327cbe920fd4e6,True
12,seen,random_chart_control,0.33395307218669784,0.2132453918461833,0.04141779600529121,72.97466301159531,38.83968280688241,0.8192239683253015,0.3800410470016686,1.0,0.21324539184570312,0.5,0.5625,0.4375,False,3a3df92cec0289fb899d13ef8cc5b8bab4888cbf984b84a9b7327cbe920fd4e6,True
12,seen,wrong_output_action_control,0.33395307218669784,0.2132453918461833,0.04141779600529121,72.97466301159531,38.83968280688241,0.8192222715637527,0.3800411068398261,1.0,0.21324539184570312,0.5,0.5625,0.4375,False,3a3df92cec0289fb899d13ef8cc5b8bab4888cbf984b84a9b7327cbe920fd4e6,True
12,unseen,ordinary_chart_cnn_canonicalization,0.33395307218669784,0.2132453918461833,0.04141779600529121,72.97466301159531,38.83968280688241,0.8192232231673099,0.3800412167968262,1.0,0.21324539184570312,0.5,0.0,0.4375,False,78fd58895edd68f78e55e31f8fed009c06a21caa6d9e359e1d9fa78a6ef73533,True
12,unseen,d4_equivariant_chart_cnn_canonicalization,0.33395307218669784,0.2132453918461833,0.04141779600529121,72.97466301159531,38.83968280688241,0.8192227527972507,0.38004111218674547,1.0,0.21324539184570312,0.5,0.0,0.4375,False,78fd58895edd68f78e55e31f8fed009c06a21caa6d9e359e1d9fa78a6ef73533,True
