seed,condition,chart,method,dice,examples
12,seen,0,random_chart_control,0.35466053268837233,6
12,seen,0,wrong_output_action_control,0.35466053268837233,6
12,seen,1,ordinary_chart_cnn_canonicalization,0.3742342239971892,5
12,seen,1,d4_equivariant_chart_cnn_canonicalization,0.3742342239971892,5
12,seen,1,direct_d4_equivariant_unet,3.3264714925157867e-12,5
12,seen,1,learned_multiplication_table_chart_model,0.3742342239971892,5
12,seen,1,hard_retransport,0.3742342239971892,5
12,seen,1,soft_retransport,0.3742342239971892,5
12,seen,1,d4_test_time_augmentation,0.3742342239971892,5
12,seen,1,supplied_chart_oracle,0.3742342239971892,5
12,seen,1,random_chart_control,0.3742342239971892,5
12,seen,1,wrong_output_action_control,0.3742342239971892,5
12,seen,4,ordinary_chart_cnn_canonicalization,0.2688229677741971,5
12,seen,4,d4_equivariant_chart_cnn_canonicalization,0.2688229677741971,5
12,seen,4,direct_d4_equivariant_unet,4.818909590478593e-12,5
12,seen,4,learned_multiplication_table_chart_model,0.2688229677741971,5
12,seen,4,hard_retransport,0.2688229677741971,5
12,seen,4,soft_retransport,0.2688229677741971,5
12,seen,4,d4_test_time_augmentation,0.2688229677741971,5
12,seen,4,supplied_chart_oracle,0.2688229677741971,5
12,seen,4,random_chart_control,0.2688229677741971,5
12,seen,4,wrong_output_action_control,0.2688229677741971,5
12,unseen,2,ordinary_chart_cnn_canonicalization,0.2563385226106569,4
12,unseen,2,d4_equivariant_chart_cnn_canonicalization,0.2563385226106569,4
12,unseen,2,direct_d4_equivariant_unet,5.817919964104939e-12,4
12,unseen,2,learned_multiplication_table_chart_model,0.2563385226106569,4
12,unseen,2,hard_retransport,0.2563385226106569,4
12,unseen,2,soft_retransport,0.2563385226106569,4
12,unseen,2,d4_test_time_augmentation,0.2563385226106569,4
12,unseen,2,supplied_chart_oracle,0.2563385226106569,4
12,unseen,2,random_chart_control,0.2563385226106569,4
12,unseen,2,wrong_output_action_control,0.2563385226106569,4
12,unseen,3,ordinary_chart_cnn_canonicalization,0.33289071723444036,3
12,unseen,3,d4_equivariant_chart_cnn_canonicalization,0.33289071723444036,3
12,unseen,3,direct_d4_equivariant_unet,3.5804924947974137e-12,3
12,unseen,3,learned_multiplication_table_chart_model,0.33289071723444036,3
12,unseen,3,hard_retransport,0.33289071723444036,3
12,unseen,3,soft_retransport,0.33289071723444036,3
12,unseen,3,d4_test_time_augmentation,0.33289071723444036,3
12,unseen,3,supplied_chart_oracle,0.33289071723444036,3
12,unseen,3,random_chart_control,0.33289071723444036,3
12,unseen,3,wrong_output_action_control,0.33289071723444036,3
12,unseen,5,ordinary_chart_cnn_canonicalization,0.3944373265014928,3
12,unseen,5,d4_equivariant_chart_cnn_canonicalization,0.3944373265014928,3
12,unseen,5,direct_d4_equivariant_unet,5.51652290709717e-12,3
12,unseen,5,learned_multiplication_table_chart_model,0.3944373265014928,3
12,unseen,5,hard_retransport,0.3944373265014928,3
12,unseen,5,soft_retransport,0.3944373265014928,3
12,unseen,5,d4_test_time_augmentation,0.3944373265014928,3
12,unseen,5,supplied_chart_oracle,0.3944373265014928,3
12,unseen,5,random_chart_control,0.3944373265014928,3
12,unseen,5,wrong_output_action_control,0.3944373265014928,3
12,unseen,6,ordinary_chart_cnn_canonicalization,0.298141524192211,3
12,unseen,6,d4_equivariant_chart_cnn_canonicalization,0.298141524192211,3
12,unseen,6,direct_d4_equivariant_unet,5.3665160367657405e-12,3
12,unseen,6,learned_multiplication_table_chart_model,0.298141524192211,3
12,unseen,6,hard_retransport,0.298141524192211,3
12,unseen,6,soft_retransport,0.298141524192211,3
12,unseen,6,d4_test_time_augmentation,0.298141524192211,3
12,unseen,6,supplied_chart_oracle,0.298141524192211,3
12,unseen,6,random_chart_control,0.298141524192211,3
12,unseen,6,wrong_output_action_control,0.298141524192211,3
12,unseen,7,ordinary_chart_cnn_canonicalization,0.41382878692003505,3
12,unseen,7,d4_equivariant_chart_cnn_canonicalization,0.41382878692003505,3
12,unseen,7,direct_d4_equivariant_unet,2.5203917628966797e-12,3
12,unseen,7,learned_multiplication_table_chart_model,0.41382878692003505,3
12,unseen,7,hard_retransport,0.41382878692003505,3
12,unseen,7,soft_retransport,0.41382878692003505,3
12,unseen,7,d4_test_time_augmentation,0.41382878692003505,3
12,unseen,7,supplied_chart_oracle,0.41382878692003505,3
12,unseen,7,random_chart_control,0.41382878692003505,3
12,unseen,7,wrong_output_action_control,0.41382878692003505,3
13,seen,0,ordinary_chart_cnn_canonicalization,0.35466053268837233,6
13,seen,0,d4_equivariant_chart_cnn_canonicalization,0.35466053268837233,6
13,seen,0,direct_d4_equivariant_unet,5.582757341019812e-12,6
13,seen,0,learned_multiplication_table_chart_model,0.35466053268837233,6
13,seen,0,hard_retransport,0.35466053268837233,6
13,seen,0,soft_retransport,0.35466053268837233,6
13,seen,0,d4_test_time_augmentation,0.35466053268837233,6
13,seen,0,supplied_chart_oracle,0.35466053268837233,6
13,seen,0,random_chart_control,0.35466053268837233,6
13,seen,0,wrong_output_action_control,0.35466053268837233,6
13,seen,1,ordinary_chart_cnn_canonicalization,0.3742342239971892,5
13,seen,1,d4_equivariant_chart_cnn_canonicalization,0.3742342239971892,5
13,seen,1,direct_d4_equivariant_unet,3.3264714925157867e-12,5
13,seen,1,learned_multiplication_table_chart_model,0.3742342239971892,5
13,seen,1,hard_retransport,0.3742342239971892,5
13,seen,1,soft_retransport,0.3742342239971892,5
13,seen,1,d4_test_time_augmentation,0.3742342239971892,5
13,seen,1,supplied_chart_oracle,0.3742342239971892,5
13,seen,1,random_chart_control,0.3742342239971892,5
13,seen,1,wrong_output_action_control,0.3742342239971892,5
13,seen,4,ordinary_chart_cnn_canonicalization,0.2688229677741971,5
13,seen,4,d4_equivariant_chart_cnn_canonicalization,0.2688229677741971,5
13,seen,4,direct_d4_equivariant_unet,4.818909590478593e-12,5
13,seen,4,learned_multiplication_table_chart_model,0.2688229677741971,5
13,seen,4,hard_retransport,0.2688229677741971,5
13,seen,4,soft_retransport,0.2688229677741971,5
13,seen,4,d4_test_time_augmentation,0.2688229677741971,5
13,seen,4,supplied_chart_oracle,0.2688229677741971,5
13,seen,4,random_chart_control,0.2688229677741971,5
13,seen,4,wrong_output_action_control,0.2688229677741971,5
13,unseen,2,ordinary_chart_cnn_canonicalization,0.2563385226106569,4
13,unseen,2,d4_equivariant_chart_cnn_canonicalization,0.2563385226106569,4
13,unseen,2,direct_d4_equivariant_unet,5.817919964104939e-12,4
13,unseen,2,learned_multiplication_table_chart_model,0.2563385226106569,4
13,unseen,2,hard_retransport,0.2563385226106569,4
13,unseen,2,soft_retransport,0.2563385226106569,4
13,unseen,2,d4_test_time_augmentation,0.2563385226106569,4
13,unseen,2,supplied_chart_oracle,0.2563385226106569,4
13,unseen,2,random_chart_control,0.2563385226106569,4
13,unseen,2,wrong_output_action_control,0.2563385226106569,4
13,unseen,3,ordinary_chart_cnn_canonicalization,0.33289071723444036,3
13,unseen,3,d4_equivariant_chart_cnn_canonicalization,0.33289071723444036,3
13,unseen,3,direct_d4_equivariant_unet,3.5804924947974137e-12,3
13,unseen,3,learned_multiplication_table_chart_model,0.33289071723444036,3
13,unseen,3,hard_retransport,0.33289071723444036,3
13,unseen,3,soft_retransport,0.33289071723444036,3
13,unseen,3,d4_test_time_augmentation,0.33289071723444036,3
13,unseen,3,supplied_chart_oracle,0.33289071723444036,3
13,unseen,3,random_chart_control,0.33289071723444036,3
