evidence_label,corpus_seed,transition_method,triangle,scalar_real,scalar_imag,centrality_residual,normalized_centrality_residual,eigenvalue_dispersion,mean_commutator_with_local_transitions,estimated_root_order,estimated_root_exponent,root_residual,root_margin,root_confidence,bootstrap_centrality_mean,bootstrap_centrality_ci_low,bootstrap_centrality_ci_high,bootstrap_phase_instability,gauge_invariance_delta
natural_measured,0,activation_procrustes,2-5-6,0.9049918623641133,0.0,0.42542899980347704,0.47009154968076944,0.30578999732039625,0.07278896229607719,1,0,0.43590868187681886,0.6105176774416469,0.5834310957526674,0.7851998834161658,0.7088942160802562,0.8302903115530498,-0.0,5.611982933917403e-09
natural_measured,0,activation_procrustes,2-5-7,0.8782330043613911,0.0,0.47823312680577756,0.544540191300035,0.3647721671045705,0.07978011241980962,1,0,0.49349176511309834,0.5656432473185817,0.5340615131020123,0.786232042532338,0.72329117779458,0.8150433396542455,-0.0,4.190951585769653e-08
natural_measured,0,activation_procrustes,2-6-7,0.8951031509786844,0.0,0.44585932605055933,0.4981094953077606,0.3174072595222549,0.0756204319851739,1,0,0.4580326243381864,0.5931081008784709,0.5642518519641807,0.7738147911690285,0.7108361823804744,0.805793201234904,-0.0,1.0617077350616455e-07
natural_measured,0,activation_procrustes,3-4-5,0.8963492121547461,0.0,0.4433488833008293,0.4946162908305799,0.3329211483012896,0.07462753994124276,1,0,0.4553039822362165,0.59524386030472,0.5666032865909438,0.7781824370397198,0.6914341004008849,0.8266987292723044,-0.0,3.652888885818939e-08
natural_measured,0,activation_procrustes,3-4-6,0.8712113732472062,0.0,0.4909080512392525,0.5634775407493352,0.3758118468145703,0.0826030820608139,1,0,0.5075206653644648,0.554923983341415,0.5223086059281724,0.7860041973373386,0.7315362661506558,0.8102317634207683,-0.0,9.220093488693237e-08
natural_measured,0,activation_procrustes,3-4-7,0.8606095826253295,0.0,0.5092651864846306,0.5917493330792367,0.3768542285306523,0.08600701178823199,1,0,0.5279968955093781,0.5394254385412316,0.5053533370378737,0.7908076549183929,0.7165667105257642,0.8349917061414316,-0.0,6.51925802230835e-08
natural_measured,0,activation_procrustes,3-5-6,0.9050015183165669,0.0,0.42540827660718167,0.47006359105702045,0.31578502526180874,0.07163260983569282,1,0,0.43588635431660183,0.6105353997994909,0.5834505995292568,0.7778821321746572,0.7195439114699564,0.8243563228925915,-0.0,5.587935447692871e-08
natural_measured,0,activation_procrustes,3-5-7,0.8925412129610777,0.0,0.45096587111448394,0.5052605684946435,0.3198248011786393,0.07692829413073403,1,0,0.46359206996322866,0.588766605815673,0.5594733234654033,0.7872835522742218,0.7261865238792278,0.8291436109271159,-0.0,1.546920369577265e-08
natural_measured,0,activation_procrustes,3-6-7,0.8657339196652174,0.0,0.5005045319523074,0.5781274392065863,0.37092631456418323,0.08404038633619036,1,0,0.5182008941376027,0.5468183917115336,0.5134352015753002,0.7891745319185398,0.7215763361058258,0.8189840863787451,-0.0,6.146728992462158e-08
natural_measured,0,activation_procrustes,4-5-6,0.8618005746975541,0.0,0.5072473832245045,0.5885902671196179,0.390950998462245,0.08562525787523814,1,0,0.5257366121781825,0.5411276713935781,0.5072132226434031,0.8040721764064833,0.7280431776649283,0.8402124989416028,-0.0,4.0978193283081055e-08
natural_measured,0,activation_procrustes,4-5-7,0.8433062415570021,0.0,0.5374335084217592,0.6372934941928458,0.41022246358423275,0.08987890183925629,1,0,0.5598104172355056,0.515686545063039,0.47948675183695294,0.7831831390962798,0.7233577776618573,0.829201692754409,-0.0,3.91155481338501e-08
natural_measured,0,activation_procrustes,4-6-7,0.8442188501358032,0.0,0.5359987773836911,0.6349050794875635,0.40888275462827095,0.09037638774939946,1,0,0.5581777948722149,0.5168948146312748,0.48079991068696,0.7916255908187744,0.7331180482081547,0.8166748146901204,-0.0,4.190951585769653e-08
natural_measured,0,activation_procrustes,5-6-7,0.8539388747885823,0.0,0.5203732371092042,0.6093799211700713,0.3894106556805383,0.08749670216015407,1,0,0.5404832660644412,0.5300591869397118,0.49513140319868804,0.787374348863463,0.7297757884654617,0.8246987487065036,-0.0,7.82310962677002e-08
natural_measured,0,low_rank_subspace,0-1-2,1.4851544621342327,0.0,0.9999692918914717,127.59935124687365,3.0249168715207437,0.11556352808007173,1,0,0.9999725688868956,2.067674622663329e-05,2.0676885885906455e-05,0.9392739587526887,0.9255810854200722,0.9481308310070662,-0.0,1.997602521441877e-05
natural_measured,0,low_rank_subspace,0-1-3,1.6286712556611747,0.0,0.999979637326617,156.69710464963072,4.5976824474394915,0.08941760393125671,1,0,0.999982671349854,1.2502640761358208e-05,1.2502701099511048e-05,0.9411293349132249,0.922438378208746,0.9556402659539711,-0.0,1.3126758858561516e-05
