evidence_label,corpus_seed,transition_method,triangle,centrality_before,centrality_after,scalar_real_before,scalar_real_after,gauge_invariance_delta
natural_measured,0,activation_procrustes,0-3-6,0.5180949180418565,0.5180949365403524,0.8553231917321682,0.8553232466802001,5.494803190231323e-08
natural_measured,0,activation_procrustes,0-3-7,0.454072166649546,0.4540721645816478,0.8909649085253477,0.8909649951383471,8.66129994392395e-08
natural_measured,0,activation_procrustes,0-4-5,0.4289252902401501,0.4289252679154029,0.9033400807529688,0.9033400975167751,2.2324747162016934e-08
natural_measured,0,activation_procrustes,0-4-6,0.4277228483605888,0.42772283713103354,0.9039099775254726,0.9039100483059883,7.078051567077637e-08
natural_measured,0,activation_procrustes,0-4-7,0.38952759431838047,0.38952758427937306,0.9210147522389889,0.9210148090496659,5.681067705154419e-08
natural_measured,0,activation_procrustes,0-5-6,0.5128514479244773,0.5128514546126443,0.8584773410111666,0.8584773801267147,3.91155481338501e-08
natural_measured,0,activation_procrustes,0-5-7,0.4625492663771987,0.46254923194860875,0.8865935755893588,0.8865936500951648,7.450580596923828e-08
natural_measured,0,activation_procrustes,0-6-7,0.46906623830783956,0.46906627221438457,0.8831629520282149,0.8831630116328597,5.960464477539063e-08
natural_measured,0,activation_procrustes,1-2-3,0.47954438980076347,0.4795443861202597,0.8775176918134093,0.8775177085772157,1.6763806343078613e-08
natural_measured,0,activation_procrustes,1-2-4,0.45930832271681993,0.45930831478258644,0.888277055695653,0.8882770705968142,1.4901161193847656e-08
natural_measured,0,activation_procrustes,1-2-5,0.4519930553084009,0.451993054409705,0.8920215032994747,0.8920214949175715,8.381903171539307e-09
natural_measured,0,activation_procrustes,1-2-6,0.45788139758619967,0.4578814242466077,0.8890134645625949,0.8890134831890464,2.6660408047884943e-08
natural_measured,0,activation_procrustes,1-2-7,0.40517309354012626,0.40517310409546814,0.9142399383708835,0.9142399597913027,2.1420419216156006e-08
natural_measured,0,activation_procrustes,1-3-4,0.4612897914224328,0.4612898055479972,0.8872495908290148,0.887249574996531,1.5832483768463135e-08
