setting_id,dataset,relation,seed,resample,cycle_residual,residual_rank
FashionMNIST_mlp_4_independent_seeds_s15,FashionMNIST,independent_seeds,15,4,0.014259482859130835,8
FashionMNIST_mlp_4_independent_seeds_s16,FashionMNIST,independent_seeds,16,0,0.017571347621370303,8
FashionMNIST_mlp_4_independent_seeds_s16,FashionMNIST,independent_seeds,16,1,0.020790329978077383,8
FashionMNIST_mlp_4_independent_seeds_s16,FashionMNIST,independent_seeds,16,2,0.01687421255087335,8
FashionMNIST_mlp_4_independent_seeds_s16,FashionMNIST,independent_seeds,16,3,0.01749722011221199,8
FashionMNIST_mlp_4_independent_seeds_s16,FashionMNIST,independent_seeds,16,4,0.015721935000819153,8
MNIST_mlp_4_shared_base_specialization_s10,MNIST,shared_base_specialization,10,0,0.06117683533295709,10
MNIST_mlp_4_shared_base_specialization_s10,MNIST,shared_base_specialization,10,1,0.06177365049335254,10
MNIST_mlp_4_shared_base_specialization_s10,MNIST,shared_base_specialization,10,2,0.05412869761106376,10
MNIST_mlp_4_shared_base_specialization_s10,MNIST,shared_base_specialization,10,3,0.05867524470602904,10
MNIST_mlp_4_shared_base_specialization_s10,MNIST,shared_base_specialization,10,4,0.059039673823507687,10
MNIST_mlp_4_shared_base_specialization_s11,MNIST,shared_base_specialization,11,0,0.07344016334840389,10
MNIST_mlp_4_shared_base_specialization_s11,MNIST,shared_base_specialization,11,1,0.07522074953746681,10
MNIST_mlp_4_shared_base_specialization_s11,MNIST,shared_base_specialization,11,2,0.07510597138534196,10
MNIST_mlp_4_shared_base_specialization_s11,MNIST,shared_base_specialization,11,3,0.07012717471549007,10
MNIST_mlp_4_shared_base_specialization_s11,MNIST,shared_base_specialization,11,4,0.07381045344680158,10
MNIST_mlp_4_shared_base_specialization_s12,MNIST,shared_base_specialization,12,0,0.069693062515487,10
MNIST_mlp_4_shared_base_specialization_s12,MNIST,shared_base_specialization,12,1,0.0658697205695551,10
MNIST_mlp_4_shared_base_specialization_s12,MNIST,shared_base_specialization,12,2,0.06898084861698729,10
MNIST_mlp_4_shared_base_specialization_s12,MNIST,shared_base_specialization,12,3,0.06429425811898024,10
MNIST_mlp_4_shared_base_specialization_s12,MNIST,shared_base_specialization,12,4,0.06714285575806889,10
MNIST_mlp_4_shared_base_specialization_s13,MNIST,shared_base_specialization,13,0,0.07702610567724696,10
MNIST_mlp_4_shared_base_specialization_s13,MNIST,shared_base_specialization,13,1,0.08494994408719149,10
MNIST_mlp_4_shared_base_specialization_s13,MNIST,shared_base_specialization,13,2,0.0804040410158431,10
MNIST_mlp_4_shared_base_specialization_s13,MNIST,shared_base_specialization,13,3,0.08029846790106962,10
MNIST_mlp_4_shared_base_specialization_s13,MNIST,shared_base_specialization,13,4,0.076980049183173,10
MNIST_mlp_4_shared_base_specialization_s14,MNIST,shared_base_specialization,14,0,0.07629150485033362,10
MNIST_mlp_4_shared_base_specialization_s14,MNIST,shared_base_specialization,14,1,0.07753224206610138,10
MNIST_mlp_4_shared_base_specialization_s14,MNIST,shared_base_specialization,14,2,0.07908114478632425,10
MNIST_mlp_4_shared_base_specialization_s14,MNIST,shared_base_specialization,14,3,0.08017329859296099,10
MNIST_mlp_4_shared_base_specialization_s14,MNIST,shared_base_specialization,14,4,0.07633299876545335,10
MNIST_mlp_4_shared_base_specialization_s15,MNIST,shared_base_specialization,15,0,0.06918878608230364,10
MNIST_mlp_4_shared_base_specialization_s15,MNIST,shared_base_specialization,15,1,0.06857653993378753,10
MNIST_mlp_4_shared_base_specialization_s15,MNIST,shared_base_specialization,15,2,0.07323639644563484,10
MNIST_mlp_4_shared_base_specialization_s15,MNIST,shared_base_specialization,15,3,0.0709106212425284,10
MNIST_mlp_4_shared_base_specialization_s15,MNIST,shared_base_specialization,15,4,0.06754912763543776,10
MNIST_mlp_4_shared_base_specialization_s16,MNIST,shared_base_specialization,16,0,0.0617733227557659,10
MNIST_mlp_4_shared_base_specialization_s16,MNIST,shared_base_specialization,16,1,0.06407881844374774,10
MNIST_mlp_4_shared_base_specialization_s16,MNIST,shared_base_specialization,16,2,0.06538967096286263,10
MNIST_mlp_4_shared_base_specialization_s16,MNIST,shared_base_specialization,16,3,0.06972929085289073,10
MNIST_mlp_4_shared_base_specialization_s16,MNIST,shared_base_specialization,16,4,0.06300668558749031,10
