draw,null_family,null_residual,setting_id,dataset,seed
147,matched_edge_topology_shuffle,0.16098509979288253,modelnet10_s0,ModelNet10,0
148,matched_edge_topology_shuffle,0.20025080815642948,modelnet10_s0,ModelNet10,0
149,matched_edge_topology_shuffle,0.16197259807028141,modelnet10_s0,ModelNet10,0
150,matched_edge_topology_shuffle,0.1671809301255461,modelnet10_s0,ModelNet10,0
151,matched_edge_topology_shuffle,0.15129500426447468,modelnet10_s0,ModelNet10,0
152,matched_edge_topology_shuffle,0.15357750853742666,modelnet10_s0,ModelNet10,0
153,matched_edge_topology_shuffle,0.17434346203531711,modelnet10_s0,ModelNet10,0
154,matched_edge_topology_shuffle,0.15449237806894678,modelnet10_s0,ModelNet10,0
155,matched_edge_topology_shuffle,0.15365141933392767,modelnet10_s0,ModelNet10,0
156,matched_edge_topology_shuffle,0.18481468408141521,modelnet10_s0,ModelNet10,0
157,matched_edge_topology_shuffle,0.15390405007065416,modelnet10_s0,ModelNet10,0
158,matched_edge_topology_shuffle,0.16143231321841817,modelnet10_s0,ModelNet10,0
159,matched_edge_topology_shuffle,0.16098509979288253,modelnet10_s0,ModelNet10,0
160,matched_edge_topology_shuffle,0.1342789690474509,modelnet10_s0,ModelNet10,0
161,matched_edge_topology_shuffle,0.16419814527547005,modelnet10_s0,ModelNet10,0
162,matched_edge_topology_shuffle,0.16300641915275121,modelnet10_s0,ModelNet10,0
163,matched_edge_topology_shuffle,0.16450581771077818,modelnet10_s0,ModelNet10,0
164,matched_edge_topology_shuffle,0.16204520878606046,modelnet10_s0,ModelNet10,0
165,matched_edge_topology_shuffle,0.1619237839793116,modelnet10_s0,ModelNet10,0
166,matched_edge_topology_shuffle,0.167693623733747,modelnet10_s0,ModelNet10,0
167,matched_edge_topology_shuffle,0.18135619942473005,modelnet10_s0,ModelNet10,0
168,matched_edge_topology_shuffle,0.1906491288630889,modelnet10_s0,ModelNet10,0
169,matched_edge_topology_shuffle,0.16118389006724418,modelnet10_s0,ModelNet10,0
170,matched_edge_topology_shuffle,0.15441139840612178,modelnet10_s0,ModelNet10,0
171,matched_edge_topology_shuffle,0.1858721560320532,modelnet10_s0,ModelNet10,0
172,matched_edge_topology_shuffle,0.20276584172538026,modelnet10_s0,ModelNet10,0
173,matched_edge_topology_shuffle,0.16548237023289875,modelnet10_s0,ModelNet10,0
174,matched_edge_topology_shuffle,0.16106530548018302,modelnet10_s0,ModelNet10,0
175,matched_edge_topology_shuffle,0.1479853060291167,modelnet10_s0,ModelNet10,0
176,matched_edge_topology_shuffle,0.15978818518767973,modelnet10_s0,ModelNet10,0
177,matched_edge_topology_shuffle,0.15390405007065416,modelnet10_s0,ModelNet10,0
178,matched_edge_topology_shuffle,0.15132552372448277,modelnet10_s0,ModelNet10,0
179,matched_edge_topology_shuffle,0.1593902149659287,modelnet10_s0,ModelNet10,0
180,matched_edge_topology_shuffle,0.15720045167420482,modelnet10_s0,ModelNet10,0
181,matched_edge_topology_shuffle,0.16410578326912983,modelnet10_s0,ModelNet10,0
182,matched_edge_topology_shuffle,0.15516114005236684,modelnet10_s0,ModelNet10,0
183,matched_edge_topology_shuffle,0.16014149743638664,modelnet10_s0,ModelNet10,0
184,matched_edge_topology_shuffle,0.16423376130787004,modelnet10_s0,ModelNet10,0
185,matched_edge_topology_shuffle,0.16967672820732305,modelnet10_s0,ModelNet10,0
186,matched_edge_topology_shuffle,0.1817983239347602,modelnet10_s0,ModelNet10,0
187,matched_edge_topology_shuffle,0.15125100786630644,modelnet10_s0,ModelNet10,0
188,matched_edge_topology_shuffle,0.13523302375777732,modelnet10_s0,ModelNet10,0
189,matched_edge_topology_shuffle,0.15659898104131903,modelnet10_s0,ModelNet10,0
190,matched_edge_topology_shuffle,0.16022250562347687,modelnet10_s0,ModelNet10,0
191,matched_edge_topology_shuffle,0.18051469041677798,modelnet10_s0,ModelNet10,0
192,matched_edge_topology_shuffle,0.14826477371996452,modelnet10_s0,ModelNet10,0
193,matched_edge_topology_shuffle,0.1818203655152629,modelnet10_s0,ModelNet10,0
194,matched_edge_topology_shuffle,0.15424367755441987,modelnet10_s0,ModelNet10,0
195,matched_edge_topology_shuffle,0.1494170948742118,modelnet10_s0,ModelNet10,0
196,matched_edge_topology_shuffle,0.110556434525673,modelnet10_s0,ModelNet10,0
197,matched_edge_topology_shuffle,0.16824285279219492,modelnet10_s0,ModelNet10,0
198,matched_edge_topology_shuffle,0.16523283327974367,modelnet10_s0,ModelNet10,0
199,matched_edge_topology_shuffle,0.17927382091752778,modelnet10_s0,ModelNet10,0
0,matched_edge_topology_shuffle,0.15078333919509704,modelnet10_s1,ModelNet10,1
1,matched_edge_topology_shuffle,0.14623587528304896,modelnet10_s1,ModelNet10,1
2,matched_edge_topology_shuffle,0.14456288521707494,modelnet10_s1,ModelNet10,1
3,matched_edge_topology_shuffle,0.15034397297951782,modelnet10_s1,ModelNet10,1
4,matched_edge_topology_shuffle,0.14905479253441437,modelnet10_s1,ModelNet10,1
5,matched_edge_topology_shuffle,0.1527095893171152,modelnet10_s1,ModelNet10,1
6,matched_edge_topology_shuffle,0.1456050226199559,modelnet10_s1,ModelNet10,1
7,matched_edge_topology_shuffle,0.14406833624442011,modelnet10_s1,ModelNet10,1
8,matched_edge_topology_shuffle,0.14686011333832552,modelnet10_s1,ModelNet10,1
9,matched_edge_topology_shuffle,0.11492442013224298,modelnet10_s1,ModelNet10,1
10,matched_edge_topology_shuffle,0.14945006370590502,modelnet10_s1,ModelNet10,1
11,matched_edge_topology_shuffle,0.1476012032557075,modelnet10_s1,ModelNet10,1
12,matched_edge_topology_shuffle,0.14800969491123667,modelnet10_s1,ModelNet10,1
13,matched_edge_topology_shuffle,0.14798093306859217,modelnet10_s1,ModelNet10,1
14,matched_edge_topology_shuffle,0.15185908450672608,modelnet10_s1,ModelNet10,1
15,matched_edge_topology_shuffle,0.14832940544881765,modelnet10_s1,ModelNet10,1
16,matched_edge_topology_shuffle,0.14897693202875123,modelnet10_s1,ModelNet10,1
17,matched_edge_topology_shuffle,0.1489769320287513,modelnet10_s1,ModelNet10,1
18,matched_edge_topology_shuffle,0.14802354816135338,modelnet10_s1,ModelNet10,1
19,matched_edge_topology_shuffle,0.1438074962752039,modelnet10_s1,ModelNet10,1
20,matched_edge_topology_shuffle,0.15086289914274137,modelnet10_s1,ModelNet10,1
21,matched_edge_topology_shuffle,0.14668290648951318,modelnet10_s1,ModelNet10,1
22,matched_edge_topology_shuffle,0.1461961822007208,modelnet10_s1,ModelNet10,1
23,matched_edge_topology_shuffle,0.14729400348191116,modelnet10_s1,ModelNet10,1
24,matched_edge_topology_shuffle,0.14830420430342262,modelnet10_s1,ModelNet10,1
25,matched_edge_topology_shuffle,0.14945006370590516,modelnet10_s1,ModelNet10,1
26,matched_edge_topology_shuffle,0.14973272385298114,modelnet10_s1,ModelNet10,1
27,matched_edge_topology_shuffle,0.14941735552338392,modelnet10_s1,ModelNet10,1
28,matched_edge_topology_shuffle,0.14777803300635195,modelnet10_s1,ModelNet10,1
29,matched_edge_topology_shuffle,0.151152460105371,modelnet10_s1,ModelNet10,1
30,matched_edge_topology_shuffle,0.15394308537138093,modelnet10_s1,ModelNet10,1
31,matched_edge_topology_shuffle,0.15394308537138093,modelnet10_s1,ModelNet10,1
32,matched_edge_topology_shuffle,0.14582800574436436,modelnet10_s1,ModelNet10,1
33,matched_edge_topology_shuffle,0.14905479253441437,modelnet10_s1,ModelNet10,1
34,matched_edge_topology_shuffle,0.15121929459209862,modelnet10_s1,ModelNet10,1
35,matched_edge_topology_shuffle,0.14920684813337368,modelnet10_s1,ModelNet10,1
36,matched_edge_topology_shuffle,0.14478353183742837,modelnet10_s1,ModelNet10,1
37,matched_edge_topology_shuffle,0.14556009983575183,modelnet10_s1,ModelNet10,1
38,matched_edge_topology_shuffle,0.15115246010537098,modelnet10_s1,ModelNet10,1
39,matched_edge_topology_shuffle,0.15603292615206,modelnet10_s1,ModelNet10,1
40,matched_edge_topology_shuffle,0.14619873036666461,modelnet10_s1,ModelNet10,1
41,matched_edge_topology_shuffle,0.1464100620423434,modelnet10_s1,ModelNet10,1
42,matched_edge_topology_shuffle,0.1486226220308579,modelnet10_s1,ModelNet10,1
43,matched_edge_topology_shuffle,0.14973272385298117,modelnet10_s1,ModelNet10,1
44,matched_edge_topology_shuffle,0.14525148617676206,modelnet10_s1,ModelNet10,1
45,matched_edge_topology_shuffle,0.14553190236876698,modelnet10_s1,ModelNet10,1
46,matched_edge_topology_shuffle,0.14658436131969269,modelnet10_s1,ModelNet10,1
47,matched_edge_topology_shuffle,0.14800969491123678,modelnet10_s1,ModelNet10,1
48,matched_edge_topology_shuffle,0.1505145793251031,modelnet10_s1,ModelNet10,1
49,matched_edge_topology_shuffle,0.1452154911022797,modelnet10_s1,ModelNet10,1
50,matched_edge_topology_shuffle,0.14456288521707483,modelnet10_s1,ModelNet10,1
51,matched_edge_topology_shuffle,0.14765105669121237,modelnet10_s1,ModelNet10,1
52,matched_edge_topology_shuffle,0.14884382662085177,modelnet10_s1,ModelNet10,1
53,matched_edge_topology_shuffle,0.14619975472922433,modelnet10_s1,ModelNet10,1
54,matched_edge_topology_shuffle,0.14975518234370752,modelnet10_s1,ModelNet10,1
55,matched_edge_topology_shuffle,0.14816419424580357,modelnet10_s1,ModelNet10,1
56,matched_edge_topology_shuffle,0.14801822713956095,modelnet10_s1,ModelNet10,1
57,matched_edge_topology_shuffle,0.11328313801307967,modelnet10_s1,ModelNet10,1
58,matched_edge_topology_shuffle,0.14807101287034397,modelnet10_s1,ModelNet10,1
59,matched_edge_topology_shuffle,0.14982918146036636,modelnet10_s1,ModelNet10,1
60,matched_edge_topology_shuffle,0.14905479253441437,modelnet10_s1,ModelNet10,1
61,matched_edge_topology_shuffle,0.14869866536454174,modelnet10_s1,ModelNet10,1
62,matched_edge_topology_shuffle,0.14777803300635203,modelnet10_s1,ModelNet10,1
63,matched_edge_topology_shuffle,0.14625401805533117,modelnet10_s1,ModelNet10,1
64,matched_edge_topology_shuffle,0.14592871662999718,modelnet10_s1,ModelNet10,1
65,matched_edge_topology_shuffle,0.14945006370590505,modelnet10_s1,ModelNet10,1
66,matched_edge_topology_shuffle,0.14573398041262545,modelnet10_s1,ModelNet10,1
67,matched_edge_topology_shuffle,0.14881769480510113,modelnet10_s1,ModelNet10,1
68,matched_edge_topology_shuffle,0.14599992155416036,modelnet10_s1,ModelNet10,1
69,matched_edge_topology_shuffle,0.1505145793251031,modelnet10_s1,ModelNet10,1
70,matched_edge_topology_shuffle,0.14869866536454174,modelnet10_s1,ModelNet10,1
71,matched_edge_topology_shuffle,0.14697684862675386,modelnet10_s1,ModelNet10,1
72,matched_edge_topology_shuffle,0.15086289914274137,modelnet10_s1,ModelNet10,1
73,matched_edge_topology_shuffle,0.11328313801307967,modelnet10_s1,ModelNet10,1
74,matched_edge_topology_shuffle,0.1455514557418098,modelnet10_s1,ModelNet10,1
75,matched_edge_topology_shuffle,0.15089602110657813,modelnet10_s1,ModelNet10,1
76,matched_edge_topology_shuffle,0.1476530620276568,modelnet10_s1,ModelNet10,1
77,matched_edge_topology_shuffle,0.14882129116797904,modelnet10_s1,ModelNet10,1
78,matched_edge_topology_shuffle,0.15603292615206005,modelnet10_s1,ModelNet10,1
79,matched_edge_topology_shuffle,0.14905479253441442,modelnet10_s1,ModelNet10,1
80,matched_edge_topology_shuffle,0.1459742434327444,modelnet10_s1,ModelNet10,1
81,matched_edge_topology_shuffle,0.14902036294353385,modelnet10_s1,ModelNet10,1
82,matched_edge_topology_shuffle,0.15060136858717313,modelnet10_s1,ModelNet10,1
83,matched_edge_topology_shuffle,0.1494500637059051,modelnet10_s1,ModelNet10,1
84,matched_edge_topology_shuffle,0.1462127963659603,modelnet10_s1,ModelNet10,1
85,matched_edge_topology_shuffle,0.14469074305584445,modelnet10_s1,ModelNet10,1
86,matched_edge_topology_shuffle,0.11973836857861186,modelnet10_s1,ModelNet10,1
87,matched_edge_topology_shuffle,0.12000321279566827,modelnet10_s1,ModelNet10,1
88,matched_edge_topology_shuffle,0.1560329261520599,modelnet10_s1,ModelNet10,1
89,matched_edge_topology_shuffle,0.14722159871473228,modelnet10_s1,ModelNet10,1
90,matched_edge_topology_shuffle,0.14765306202765666,modelnet10_s1,ModelNet10,1
91,matched_edge_topology_shuffle,0.11492442013224295,modelnet10_s1,ModelNet10,1
92,matched_edge_topology_shuffle,0.14639643008051342,modelnet10_s1,ModelNet10,1
93,matched_edge_topology_shuffle,0.14945006370590516,modelnet10_s1,ModelNet10,1
94,matched_edge_topology_shuffle,0.1518590845067261,modelnet10_s1,ModelNet10,1
95,matched_edge_topology_shuffle,0.14945006370590505,modelnet10_s1,ModelNet10,1
96,matched_edge_topology_shuffle,0.14455542867183913,modelnet10_s1,ModelNet10,1
97,matched_edge_topology_shuffle,0.15095856055265805,modelnet10_s1,ModelNet10,1
98,matched_edge_topology_shuffle,0.1478491661152888,modelnet10_s1,ModelNet10,1
99,matched_edge_topology_shuffle,0.11328313801307968,modelnet10_s1,ModelNet10,1
100,matched_edge_topology_shuffle,0.14897693202875126,modelnet10_s1,ModelNet10,1
101,matched_edge_topology_shuffle,0.14897693202875137,modelnet10_s1,ModelNet10,1
102,matched_edge_topology_shuffle,0.1457883714423136,modelnet10_s1,ModelNet10,1
103,matched_edge_topology_shuffle,0.15055101424410103,modelnet10_s1,ModelNet10,1
104,matched_edge_topology_shuffle,0.14762768769202764,modelnet10_s1,ModelNet10,1
105,matched_edge_topology_shuffle,0.14999048855992198,modelnet10_s1,ModelNet10,1
106,matched_edge_topology_shuffle,0.15095856055265805,modelnet10_s1,ModelNet10,1
107,matched_edge_topology_shuffle,0.14712854168758951,modelnet10_s1,ModelNet10,1
108,matched_edge_topology_shuffle,0.14455542867183901,modelnet10_s1,ModelNet10,1
109,matched_edge_topology_shuffle,0.151224446113317,modelnet10_s1,ModelNet10,1
110,matched_edge_topology_shuffle,0.15076783325455653,modelnet10_s1,ModelNet10,1
111,matched_edge_topology_shuffle,0.14673483549047864,modelnet10_s1,ModelNet10,1
112,matched_edge_topology_shuffle,0.14801822713956095,modelnet10_s1,ModelNet10,1
113,matched_edge_topology_shuffle,0.14800969491123678,modelnet10_s1,ModelNet10,1
114,matched_edge_topology_shuffle,0.14780254176242774,modelnet10_s1,ModelNet10,1
115,matched_edge_topology_shuffle,0.148160909651825,modelnet10_s1,ModelNet10,1
116,matched_edge_topology_shuffle,0.15181660787204773,modelnet10_s1,ModelNet10,1
117,matched_edge_topology_shuffle,0.149990488559922,modelnet10_s1,ModelNet10,1
118,matched_edge_topology_shuffle,0.14954337952280458,modelnet10_s1,ModelNet10,1
119,matched_edge_topology_shuffle,0.1470748749428326,modelnet10_s1,ModelNet10,1
120,matched_edge_topology_shuffle,0.1462820220781943,modelnet10_s1,ModelNet10,1
121,matched_edge_topology_shuffle,0.14792636457401362,modelnet10_s1,ModelNet10,1
122,matched_edge_topology_shuffle,0.15051457932510312,modelnet10_s1,ModelNet10,1
123,matched_edge_topology_shuffle,0.11964980051942038,modelnet10_s1,ModelNet10,1
