collection,layer,alignment_family,heldout_pairwise_fit,inverse_consistency,cycle_residual,residual_rank,architecture,setting_id
1,block2_feature_subspace,orthogonal_procrustes,1.0321551509534428,4.4306514570149417e-16,0.2534051568681285,13,resnet18,resnet18_collection1
1,block2_feature_subspace,cca_whitened,1.4187724176982754,8.774420908180397e-16,1.007153611322809e-15,0,resnet18,resnet18_collection1
1,block2_feature_subspace,block_orthogonal,1.2134743646844772,1.9125380055185931e-16,0.3035508376227477,14,resnet18,resnet18_collection1
1,block2_feature_subspace,low_rank_subspace,0.9902371007257798,0.16929476186909506,0.24819297550481226,15,resnet18,resnet18_collection1
1,block3_feature_subspace,permutation_channel_matching,1.1555164240385694,0.0,0.22963966338592295,26,resnet18,resnet18_collection1
1,block3_feature_subspace,orthogonal_procrustes,0.8542849168954986,3.901967234819553e-16,0.14477920895497481,22,resnet18,resnet18_collection1
1,block3_feature_subspace,cca_whitened,1.4315391477061545,7.370494252148464e-16,9.436700632309141e-16,0,resnet18,resnet18_collection1
1,block3_feature_subspace,block_orthogonal,1.1181477088885965,2.5478059386379266e-16,0.16616007587065715,27,resnet18,resnet18_collection1
1,block3_feature_subspace,low_rank_subspace,1.081080482393092,0.1367667412014373,0.1961712085994281,24,resnet18,resnet18_collection1
1,block4_feature_subspace,permutation_channel_matching,1.1364157518051925,0.0,0.18865385704452953,39,resnet18,resnet18_collection1
1,block4_feature_subspace,orthogonal_procrustes,0.7194508056848424,4.453518666664876e-16,0.0932319404572808,29,resnet18,resnet18_collection1
1,block4_feature_subspace,cca_whitened,1.4644746467069396,7.378178953922681e-16,9.571247885347739e-16,0,resnet18,resnet18_collection1
1,block4_feature_subspace,block_orthogonal,1.0624849361666886,3.0977455299095885e-16,0.14948079068712408,40,resnet18,resnet18_collection1
1,block4_feature_subspace,low_rank_subspace,1.1602205665934548,0.12428751980895182,0.16566522697450575,24,resnet18,resnet18_collection1
1,penultimate_features,permutation_channel_matching,1.1192054872769888,0.0,0.16828640022295324,56,resnet18,resnet18_collection1
1,penultimate_features,orthogonal_procrustes,0.5430503803163012,3.657507620023135e-16,0.02216222472946138,48,resnet18,resnet18_collection1
1,penultimate_features,cca_whitened,1.494202054287274,7.188882537093913e-16,9.629640982521986e-16,0,resnet18,resnet18_collection1
1,penultimate_features,block_orthogonal,1.0082453705935956,3.0597199249022484e-16,0.1215461301450505,54,resnet18,resnet18_collection1
1,penultimate_features,low_rank_subspace,1.215498684775597,0.10624232861448325,0.13578780190810602,24,resnet18,resnet18_collection1
2,block2_feature_subspace,permutation_channel_matching,1.1739221473240178,0.0,0.33071891388307384,12,resnet18,resnet18_collection2
2,block2_feature_subspace,orthogonal_procrustes,0.9998203845630426,6.929929697521029e-16,0.24394023033296564,14,resnet18,resnet18_collection2
2,block2_feature_subspace,cca_whitened,1.4034399778642597,8.356916568838945e-16,1.0158405569540704e-15,0,resnet18,resnet18_collection2
2,block2_feature_subspace,block_orthogonal,1.1961530099869033,2.851915813476941e-16,0.2908873812161738,12,resnet18,resnet18_collection2
2,block2_feature_subspace,low_rank_subspace,0.9796678436943359,0.16838976510464035,0.24272439963046133,15,resnet18,resnet18_collection2
2,block3_feature_subspace,permutation_channel_matching,1.1413253823548717,0.0,0.23385358667337133,25,resnet18,resnet18_collection2
2,block3_feature_subspace,orthogonal_procrustes,0.8403645876862854,4.2737973952615034e-16,0.1491324431739786,24,resnet18,resnet18_collection2
2,block3_feature_subspace,cca_whitened,1.450564184321105,7.021652329377202e-16,8.296823297058449e-16,0,resnet18,resnet18_collection2
2,block3_feature_subspace,block_orthogonal,1.124507209970726,2.868027365025429e-16,0.17508964465235316,25,resnet18,resnet18_collection2
2,block3_feature_subspace,low_rank_subspace,1.0989086422402992,0.1436028964414019,0.20946920765112712,24,resnet18,resnet18_collection2
2,block4_feature_subspace,permutation_channel_matching,1.124746965627114,0.0,0.19543398999264291,42,resnet18,resnet18_collection2
2,block4_feature_subspace,orthogonal_procrustes,0.7156623578674409,4.4152504755822223e-16,0.09352510393989562,29,resnet18,resnet18_collection2
2,block4_feature_subspace,cca_whitened,1.4728662146632228,7.800834426462383e-16,9.976153483661327e-16,0,resnet18,resnet18_collection2
2,block4_feature_subspace,block_orthogonal,1.0577525525736056,2.687198687117785e-16,0.13427312103553718,42,resnet18,resnet18_collection2
2,block4_feature_subspace,low_rank_subspace,1.1707797595017946,0.12408496603214693,0.163909082173907,24,resnet18,resnet18_collection2
2,penultimate_features,permutation_channel_matching,1.1196762573768038,0.0,0.16973094517500337,57,resnet18,resnet18_collection2
2,penultimate_features,orthogonal_procrustes,0.545375997080664,3.508943655626095e-16,0.02228888442136436,50,resnet18,resnet18_collection2
2,penultimate_features,cca_whitened,1.4964242226725126,7.18400022720637e-16,9.386590638410303e-16,0,resnet18,resnet18_collection2
2,penultimate_features,block_orthogonal,1.0095092592680952,3.035134470606673e-16,0.12817132951130825,56,resnet18,resnet18_collection2
2,penultimate_features,low_rank_subspace,1.2230180705046096,0.10516980787413681,0.13309354115042404,24,resnet18,resnet18_collection2
3,block2_feature_subspace,permutation_channel_matching,1.189600437313614,0.0,0.30618621784789724,10,resnet18,resnet18_collection3
3,block2_feature_subspace,orthogonal_procrustes,1.0262543886330695,4.906523872927209e-16,0.2573084683481521,14,resnet18,resnet18_collection3
3,block2_feature_subspace,cca_whitened,1.3865107493510636,9.437118419309307e-16,1.1093664909981729e-15,0,resnet18,resnet18_collection3
3,block2_feature_subspace,block_orthogonal,1.2166372494393634,2.7323875607320435e-16,0.3224603866971808,13,resnet18,resnet18_collection3
3,block2_feature_subspace,low_rank_subspace,0.9904611447634851,0.1713881482242704,0.23159242409785163,15,resnet18,resnet18_collection3
3,block3_feature_subspace,permutation_channel_matching,1.1398734345577455,0.0,0.2460627460628691,28,resnet18,resnet18_collection3
3,block3_feature_subspace,orthogonal_procrustes,0.8504201119434517,5.102244676618555e-16,0.1432220420658131,23,resnet18,resnet18_collection3
3,block3_feature_subspace,cca_whitened,1.4155726000285667,7.280081100092992e-16,9.440248877056237e-16,0,resnet18,resnet18_collection3
3,block3_feature_subspace,block_orthogonal,1.1096623193014619,2.5318244456712935e-16,0.19115727156391074,29,resnet18,resnet18_collection3
3,block3_feature_subspace,low_rank_subspace,1.0964538425342116,0.1388590785889732,0.19226425684141307,24,resnet18,resnet18_collection3
3,block4_feature_subspace,permutation_channel_matching,1.1184612968177226,0.0,0.1998263134713633,44,resnet18,resnet18_collection3
3,block4_feature_subspace,orthogonal_procrustes,0.704428790083086,4.672954017464275e-16,0.09347006946150248,29,resnet18,resnet18_collection3
3,block4_feature_subspace,cca_whitened,1.461249486959512,7.430294982251974e-16,9.10553855815932e-16,0,resnet18,resnet18_collection3
3,block4_feature_subspace,block_orthogonal,1.0491476455501374,3.493449087451556e-16,0.14238634336498468,42,resnet18,resnet18_collection3
3,block4_feature_subspace,low_rank_subspace,1.1724666120770812,0.12230593054787679,0.16303302368666242,24,resnet18,resnet18_collection3
3,penultimate_features,permutation_channel_matching,1.1131301500265394,0.0,0.16535945694153692,54,resnet18,resnet18_collection3
3,penultimate_features,orthogonal_procrustes,0.5416997191116673,3.5350530517311317e-16,0.024481354083313464,48,resnet18,resnet18_collection3
3,penultimate_features,cca_whitened,1.4961083345691353,7.175525235817558e-16,9.268838554380248e-16,0,resnet18,resnet18_collection3
3,penultimate_features,block_orthogonal,1.0080753900801338,3.2536317127378977e-16,0.1253877441108685,55,resnet18,resnet18_collection3
3,penultimate_features,low_rank_subspace,1.2161835431967665,0.10512567126383449,0.13557329540829685,24,resnet18,resnet18_collection3
4,block2_feature_subspace,permutation_channel_matching,1.1927077141002809,0.0,0.29315098498896436,10,resnet18,resnet18_collection4
4,block2_feature_subspace,orthogonal_procrustes,1.0224164312755475,4.1318465041566614e-16,0.2239339091654688,13,resnet18,resnet18_collection4
4,block2_feature_subspace,cca_whitened,1.3962913453036718,8.255387696971961e-16,1.03377508986168e-15,0,resnet18,resnet18_collection4
4,block2_feature_subspace,block_orthogonal,1.2112922856430353,3.4489228634867496e-16,0.2232365920679332,13,resnet18,resnet18_collection4
4,block2_feature_subspace,low_rank_subspace,0.9850234871326227,0.1668955311316727,0.23445384669775268,15,resnet18,resnet18_collection4
4,block3_feature_subspace,permutation_channel_matching,1.156489464638959,0.0,0.21650635094610965,22,resnet18,resnet18_collection4
4,block3_feature_subspace,orthogonal_procrustes,0.8627654241382344,4.672310099630696e-16,0.1464543506507878,25,resnet18,resnet18_collection4
4,block3_feature_subspace,cca_whitened,1.4365609237853245,7.343107374087985e-16,9.547511752781839e-16,0,resnet18,resnet18_collection4
4,block3_feature_subspace,block_orthogonal,1.123275853740732,3.985129995396861e-16,0.1757593522087885,26,resnet18,resnet18_collection4
4,block3_feature_subspace,low_rank_subspace,1.1014704440225642,0.1429575118034836,0.19648065413194343,24,resnet18,resnet18_collection4
4,block4_feature_subspace,permutation_channel_matching,1.1282200038021901,0.0,0.19543398999264291,44,resnet18,resnet18_collection4
4,block4_feature_subspace,orthogonal_procrustes,0.7123041968573944,4.3144871660080854e-16,0.09819929336331086,29,resnet18,resnet18_collection4
4,block4_feature_subspace,cca_whitened,1.4700968252657913,7.56940726636394e-16,9.898917782789515e-16,0,resnet18,resnet18_collection4
4,block4_feature_subspace,block_orthogonal,1.06856570114418,3.197894019377766e-16,0.15376107611353848,39,resnet18,resnet18_collection4
4,block4_feature_subspace,low_rank_subspace,1.1745140689834501,0.12421206768853572,0.16369591908029565,24,resnet18,resnet18_collection4
4,penultimate_features,permutation_channel_matching,1.1137846341585127,0.0,0.16682934768798924,56,resnet18,resnet18_collection4
4,penultimate_features,orthogonal_procrustes,0.5399485749884284,3.594113774791247e-16,0.022920438887902485,50,resnet18,resnet18_collection4
4,penultimate_features,cca_whitened,1.4976426784362185,7.136020082488798e-16,9.247020294456403e-16,0,resnet18,resnet18_collection4
4,penultimate_features,block_orthogonal,1.0170595798863695,2.8889666767798504e-16,0.11466615910496311,53,resnet18,resnet18_collection4
4,penultimate_features,low_rank_subspace,1.2183522047828592,0.10641804466815928,0.13453099455713022,24,resnet18,resnet18_collection4
0,block2_feature_subspace,permutation_channel_matching,1.2007705089718932,0.0,0.31868871959954903,13,deit_tiny,deit_tiny_collection0
0,block2_feature_subspace,orthogonal_procrustes,1.0574335008498128,8.364147204746021e-16,0.23640164692414337,14,deit_tiny,deit_tiny_collection0
0,block2_feature_subspace,cca_whitened,1.4274253984898733,9.217051590177347e-16,1.1314418590361737e-15,0,deit_tiny,deit_tiny_collection0
0,block2_feature_subspace,block_orthogonal,1.223709835954899,2.378446811718976e-16,0.2847835419530658,13,deit_tiny,deit_tiny_collection0
0,block2_feature_subspace,low_rank_subspace,1.0163625970171868,0.16479386199704013,0.24769157405856287,16,deit_tiny,deit_tiny_collection0
0,block3_feature_subspace,permutation_channel_matching,1.1873644057606225,0.0,0.24206145913796356,29,deit_tiny,deit_tiny_collection0
0,block3_feature_subspace,orthogonal_procrustes,0.9213844898018083,4.541453138330548e-16,0.15970522841478801,22,deit_tiny,deit_tiny_collection0
0,block3_feature_subspace,cca_whitened,1.4396360093919067,7.475302025872687e-16,9.463617863460514e-16,0,deit_tiny,deit_tiny_collection0
0,block3_feature_subspace,block_orthogonal,1.1661156647869946,2.430998788939369e-16,0.1859313434516641,27,deit_tiny,deit_tiny_collection0
0,block3_feature_subspace,low_rank_subspace,1.118903049714259,0.1339655743466124,0.1947662752812859,24,deit_tiny,deit_tiny_collection0
0,block4_feature_subspace,permutation_channel_matching,1.1659762110722718,0.0,0.19764235376052372,41,deit_tiny,deit_tiny_collection0
0,block4_feature_subspace,orthogonal_procrustes,0.7863429910716347,4.648758919984286e-16,0.10072395614033368,31,deit_tiny,deit_tiny_collection0
0,block4_feature_subspace,cca_whitened,1.474342653707364,7.277610392325081e-16,9.17256126885463e-16,0,deit_tiny,deit_tiny_collection0
0,block4_feature_subspace,block_orthogonal,1.1021704377057868,2.804195053647105e-16,0.1469179499518092,42,deit_tiny,deit_tiny_collection0
0,block4_feature_subspace,low_rank_subspace,1.180281186809329,0.12147699119692253,0.15985243286863723,24,deit_tiny,deit_tiny_collection0
0,penultimate_features,permutation_channel_matching,1.151638519979642,0.0,0.17258376589355096,57,deit_tiny,deit_tiny_collection0
0,penultimate_features,orthogonal_procrustes,0.618703195109795,3.5349464025112214e-16,0.026750962877486274,52,deit_tiny,deit_tiny_collection0
0,penultimate_features,cca_whitened,1.5121252358448114,6.718747043150966e-16,8.591902655065396e-16,0,deit_tiny,deit_tiny_collection0
0,penultimate_features,block_orthogonal,1.0618024853820833,3.3200459409666057e-16,0.12477530794156963,56,deit_tiny,deit_tiny_collection0
0,penultimate_features,low_rank_subspace,1.2328457916206852,0.10666670493105102,0.13653401126582967,24,deit_tiny,deit_tiny_collection0
1,block2_feature_subspace,permutation_channel_matching,1.198358061752331,0.0,0.3535533905932738,15,deit_tiny,deit_tiny_collection1
1,block2_feature_subspace,orthogonal_procrustes,1.0478904587900932,7.182353306827064e-16,0.27240775055655325,12,deit_tiny,deit_tiny_collection1
1,block2_feature_subspace,cca_whitened,1.432410927832615,8.75081966816845e-16,1.0619059704385093e-15,0,deit_tiny,deit_tiny_collection1
1,block2_feature_subspace,block_orthogonal,1.2106989428522672,3.6698097110498456e-16,0.29237482483993327,13,deit_tiny,deit_tiny_collection1
1,block2_feature_subspace,low_rank_subspace,1.0140482952808985,0.17349598946947176,0.2322581380784182,15,deit_tiny,deit_tiny_collection1
1,block3_feature_subspace,permutation_channel_matching,1.1718579345162785,0.0,0.23385358667337133,26,deit_tiny,deit_tiny_collection1
1,block3_feature_subspace,orthogonal_procrustes,0.9021243946868873,5.630214932444708e-16,0.16426315713364784,24,deit_tiny,deit_tiny_collection1
1,block3_feature_subspace,cca_whitened,1.4509584309553436,7.328882694557475e-16,9.71530830618804e-16,0,deit_tiny,deit_tiny_collection1
1,block3_feature_subspace,block_orthogonal,1.1496856990514046,2.543950841799996e-16,0.20035395407625134,27,deit_tiny,deit_tiny_collection1
1,block3_feature_subspace,low_rank_subspace,1.1189940597423627,0.1328002770090221,0.19665885330804755,24,deit_tiny,deit_tiny_collection1
1,block4_feature_subspace,permutation_channel_matching,1.1558353107154926,0.0,0.19543398999264291,43,deit_tiny,deit_tiny_collection1
1,block4_feature_subspace,orthogonal_procrustes,0.7767254413078667,4.255745559340315e-16,0.10816620036383502,32,deit_tiny,deit_tiny_collection1
1,block4_feature_subspace,cca_whitened,1.4766206811507718,7.461958298118273e-16,9.46222946506228e-16,0,deit_tiny,deit_tiny_collection1
1,block4_feature_subspace,block_orthogonal,1.089881534107355,3.55409840880563e-16,0.1561168612860923,39,deit_tiny,deit_tiny_collection1
1,block4_feature_subspace,low_rank_subspace,1.180747687273381,0.11810901937752714,0.15546435875450162,24,deit_tiny,deit_tiny_collection1
1,penultimate_features,permutation_channel_matching,1.1477139092913615,0.0,0.1711632992203644,56,deit_tiny,deit_tiny_collection1
1,penultimate_features,orthogonal_procrustes,0.6196740655161677,3.778237152682208e-16,0.027608439180217315,50,deit_tiny,deit_tiny_collection1
1,penultimate_features,cca_whitened,1.5036338085868002,6.699686694888004e-16,8.560129254186026e-16,0,deit_tiny,deit_tiny_collection1
1,penultimate_features,block_orthogonal,1.0541616459379066,3.3698048614796155e-16,0.1315352100460259,52,deit_tiny,deit_tiny_collection1
1,penultimate_features,low_rank_subspace,1.2402470738841647,0.10968440671799679,0.13505113232044771,24,deit_tiny,deit_tiny_collection1
2,block2_feature_subspace,permutation_channel_matching,1.1950355083952113,0.0,0.3423265984407288,14,deit_tiny,deit_tiny_collection2
2,block2_feature_subspace,orthogonal_procrustes,1.061416911305314,5.574194034899766e-16,0.22835996513759635,13,deit_tiny,deit_tiny_collection2
2,block2_feature_subspace,cca_whitened,1.4269887894856421,8.202532423141882e-16,9.491977692776359e-16,0,deit_tiny,deit_tiny_collection2
2,block2_feature_subspace,block_orthogonal,1.2321131011725455,4.377047170581187e-16,0.31213635895392516,12,deit_tiny,deit_tiny_collection2
2,block2_feature_subspace,low_rank_subspace,1.0159625203231843,0.16413298920963815,0.2246584588224848,16,deit_tiny,deit_tiny_collection2
2,block3_feature_subspace,permutation_channel_matching,1.1793759543996127,0.0,0.23385358667337133,28,deit_tiny,deit_tiny_collection2
2,block3_feature_subspace,orthogonal_procrustes,0.9100004190507454,4.734711017148236e-16,0.14258164413677143,24,deit_tiny,deit_tiny_collection2
2,block3_feature_subspace,cca_whitened,1.462129557760533,7.5961979426537e-16,9.386527077587893e-16,0,deit_tiny,deit_tiny_collection2
2,block3_feature_subspace,block_orthogonal,1.1632070344270342,3.5510927692452685e-16,0.18546041689073273,28,deit_tiny,deit_tiny_collection2
2,block3_feature_subspace,low_rank_subspace,1.124329930764229,0.13423237928490592,0.19948526755636897,24,deit_tiny,deit_tiny_collection2
2,block4_feature_subspace,permutation_channel_matching,1.1543667596519422,0.0,0.19764235376052372,43,deit_tiny,deit_tiny_collection2
2,block4_feature_subspace,orthogonal_procrustes,0.7810109415202905,4.602479996225443e-16,0.09488248984839996,31,deit_tiny,deit_tiny_collection2
2,block4_feature_subspace,cca_whitened,1.4793094343579087,7.166968323082632e-16,9.676694011818648e-16,0,deit_tiny,deit_tiny_collection2
2,block4_feature_subspace,block_orthogonal,1.0995074322960032,2.8360600072962117e-16,0.1511051764021802,45,deit_tiny,deit_tiny_collection2
2,block4_feature_subspace,low_rank_subspace,1.1937455412859008,0.1232778433544127,0.15571785914898015,24,deit_tiny,deit_tiny_collection2
2,penultimate_features,permutation_channel_matching,1.1445954231909414,0.0,0.16828640022295324,56,deit_tiny,deit_tiny_collection2
2,penultimate_features,orthogonal_procrustes,0.6164208939678847,3.500978628587149e-16,0.025483560481345934,54,deit_tiny,deit_tiny_collection2
2,penultimate_features,cca_whitened,1.5078099808030243,6.866022454382137e-16,8.725589465739708e-16,0,deit_tiny,deit_tiny_collection2
2,penultimate_features,block_orthogonal,1.0677172970952598,3.210645147546131e-16,0.12438277793292526,52,deit_tiny,deit_tiny_collection2
2,penultimate_features,low_rank_subspace,1.242735799491572,0.10889695614281276,0.13330114652332253,24,deit_tiny,deit_tiny_collection2
3,block2_feature_subspace,permutation_channel_matching,1.2044966706188196,0.0,0.31868871959954903,12,deit_tiny,deit_tiny_collection3
3,block2_feature_subspace,orthogonal_procrustes,1.0573182059722532,4.927174878177793e-16,0.25235817650018894,13,deit_tiny,deit_tiny_collection3
3,block2_feature_subspace,cca_whitened,1.4254458013974063,7.921545599114412e-16,9.601718387050318e-16,0,deit_tiny,deit_tiny_collection3
3,block2_feature_subspace,block_orthogonal,1.2404775543836115,2.278472585617355e-16,0.2869090193359368,13,deit_tiny,deit_tiny_collection3
3,block2_feature_subspace,low_rank_subspace,1.0134051104364112,0.1664666434526152,0.2425728087513348,15,deit_tiny,deit_tiny_collection3
3,block3_feature_subspace,permutation_channel_matching,1.1734357707087397,0.0,0.23799290955824715,26,deit_tiny,deit_tiny_collection3
3,block3_feature_subspace,orthogonal_procrustes,0.9052833802891609,4.1822897447133725e-16,0.1407882964268573,25,deit_tiny,deit_tiny_collection3
3,block3_feature_subspace,cca_whitened,1.435057812856785,7.182170535335929e-16,9.086253478063989e-16,0,deit_tiny,deit_tiny_collection3
3,block3_feature_subspace,block_orthogonal,1.1562176870219134,2.3181088356782934e-16,0.1941710519759909,25,deit_tiny,deit_tiny_collection3
3,block3_feature_subspace,low_rank_subspace,1.1128289939340839,0.1300450655661872,0.19945616285815246,24,deit_tiny,deit_tiny_collection3
3,block4_feature_subspace,permutation_channel_matching,1.1673831348693369,0.0,0.19764235376052372,44,deit_tiny,deit_tiny_collection3
3,block4_feature_subspace,orthogonal_procrustes,0.7823013079970879,4.80991928841343e-16,0.09718616154175946,31,deit_tiny,deit_tiny_collection3
3,block4_feature_subspace,cca_whitened,1.470739384032262,7.050927802200599e-16,9.087917512686138e-16,0,deit_tiny,deit_tiny_collection3
3,block4_feature_subspace,block_orthogonal,1.111249257208166,3.159694120692539e-16,0.1501255911728119,42,deit_tiny,deit_tiny_collection3
3,block4_feature_subspace,low_rank_subspace,1.190775824887887,0.11923973301825995,0.1642084710045703,24,deit_tiny,deit_tiny_collection3
3,penultimate_features,permutation_channel_matching,1.1458816262499656,0.0,0.16682934768798924,54,deit_tiny,deit_tiny_collection3
3,penultimate_features,orthogonal_procrustes,0.6185827939196804,3.641464298682189e-16,0.026783617188228994,52,deit_tiny,deit_tiny_collection3
3,penultimate_features,cca_whitened,1.5014875742116611,6.861823888374378e-16,8.914645165938537e-16,0,deit_tiny,deit_tiny_collection3
3,penultimate_features,block_orthogonal,1.060032706538794,3.069891715822002e-16,0.13201064967741796,51,deit_tiny,deit_tiny_collection3
3,penultimate_features,low_rank_subspace,1.2384071601485889,0.10752729297875675,0.13204435888597096,24,deit_tiny,deit_tiny_collection3
4,block2_feature_subspace,permutation_channel_matching,1.1955758363563813,0.0,0.3535533905932738,15,deit_tiny,deit_tiny_collection4
4,block2_feature_subspace,orthogonal_procrustes,1.051598172458829,7.216138335407142e-16,0.24085686723787741,14,deit_tiny,deit_tiny_collection4
4,block2_feature_subspace,cca_whitened,1.4328174219325691,8.404095641413757e-16,9.512626962366218e-16,0,deit_tiny,deit_tiny_collection4
4,block2_feature_subspace,block_orthogonal,1.2272415523882212,1.639704718200246e-16,0.30737790282360655,14,deit_tiny,deit_tiny_collection4
4,block2_feature_subspace,low_rank_subspace,1.0175407519554305,0.1732468336399334,0.24127758662998527,15,deit_tiny,deit_tiny_collection4
4,block3_feature_subspace,permutation_channel_matching,1.1746555202059756,0.0,0.23385358667337133,27,deit_tiny,deit_tiny_collection4
4,block3_feature_subspace,orthogonal_procrustes,0.910561406063409,4.633079788882609e-16,0.15510560713664387,24,deit_tiny,deit_tiny_collection4
4,block3_feature_subspace,cca_whitened,1.4487368941350265,7.596259653013755e-16,1.0311235249069604e-15,0,deit_tiny,deit_tiny_collection4
4,block3_feature_subspace,block_orthogonal,1.151719345171381,2.790525461203054e-16,0.1847745742967746,29,deit_tiny,deit_tiny_collection4
4,block3_feature_subspace,low_rank_subspace,1.1259093470798127,0.1373424387354548,0.19864928690048486,24,deit_tiny,deit_tiny_collection4
4,block4_feature_subspace,permutation_channel_matching,1.1582786912119016,0.0,0.19320038532282716,40,deit_tiny,deit_tiny_collection4
4,block4_feature_subspace,orthogonal_procrustes,0.7745248378465822,4.3813979178210004e-16,0.1041485390990095,32,deit_tiny,deit_tiny_collection4
4,block4_feature_subspace,cca_whitened,1.4727285517920163,7.34514280159962e-16,9.742985509509976e-16,0,deit_tiny,deit_tiny_collection4
4,block4_feature_subspace,block_orthogonal,1.0985094025567914,2.4966384487289636e-16,0.1442341557376218,40,deit_tiny,deit_tiny_collection4
4,block4_feature_subspace,low_rank_subspace,1.1901489415492759,0.123183542188479,0.16366820853472605,24,deit_tiny,deit_tiny_collection4
4,penultimate_features,permutation_channel_matching,1.1468795591611112,0.0,0.16535945694153692,55,deit_tiny,deit_tiny_collection4
4,penultimate_features,orthogonal_procrustes,0.613423949647296,3.5744819726231325e-16,0.02643116297857666,52,deit_tiny,deit_tiny_collection4
4,penultimate_features,cca_whitened,1.5056811020904453,6.714993336140572e-16,8.691031983834847e-16,0,deit_tiny,deit_tiny_collection4
4,penultimate_features,block_orthogonal,1.0504347029636074,3.157686221771128e-16,0.11539602351501364,53,deit_tiny,deit_tiny_collection4
4,penultimate_features,low_rank_subspace,1.2440688326010043,0.1093081871914029,0.1366226271058791,24,deit_tiny,deit_tiny_collection4
