setting_id,dataset,phase,seed,threshold,coverage,covered_accuracy
FashionMNIST_discovery_s2,FashionMNIST,discovery,2,0.13404460547631647,0.9995,0.542271135567784
FashionMNIST_discovery_s2,FashionMNIST,discovery,2,0.1431156621603316,0.97,0.547938144329897
FashionMNIST_discovery_s2,FashionMNIST,discovery,2,0.14952269668795284,0.8895,0.5643620011242271
FashionMNIST_discovery_s2,FashionMNIST,discovery,2,0.15275653436835138,0.8435,0.5749851807943094
FashionMNIST_discovery_s2,FashionMNIST,discovery,2,0.1550836274293565,0.812,0.583128078817734
FashionMNIST_discovery_s2,FashionMNIST,discovery,2,0.1576647590661273,0.7625,0.5862295081967213
FashionMNIST_discovery_s2,FashionMNIST,discovery,2,0.16021321083115422,0.706,0.5906515580736544
FashionMNIST_discovery_s2,FashionMNIST,discovery,2,0.16252241087991592,0.6595,0.5928733889310084
FashionMNIST_discovery_s2,FashionMNIST,discovery,2,0.16560792030366372,0.601,0.6039933444259568
FashionMNIST_discovery_s2,FashionMNIST,discovery,2,0.16814163674782398,0.555,0.6072072072072072
FashionMNIST_discovery_s2,FashionMNIST,discovery,2,0.1714988661039502,0.4945,0.6238624873609707
FashionMNIST_discovery_s2,FashionMNIST,discovery,2,0.17563176324770516,0.437,0.6258581235697941
FashionMNIST_discovery_s2,FashionMNIST,discovery,2,0.17846456359211585,0.404,0.6225247524752475
FashionMNIST_discovery_s2,FashionMNIST,discovery,2,0.18210158962099485,0.3565,0.6283309957924264
FashionMNIST_discovery_s2,FashionMNIST,discovery,2,0.1868250097142768,0.296,0.6385135135135135
FashionMNIST_discovery_s2,FashionMNIST,discovery,2,0.1914760424040112,0.258,0.6414728682170543
FashionMNIST_discovery_s2,FashionMNIST,discovery,2,0.19775999132065633,0.203,0.6699507389162561
FashionMNIST_discovery_s2,FashionMNIST,discovery,2,0.20546073903224427,0.154,0.6915584415584416
FashionMNIST_discovery_s2,FashionMNIST,discovery,2,0.21449312148952043,0.1045,0.7272727272727273
FashionMNIST_discovery_s2,FashionMNIST,discovery,2,0.23285653825432265,0.0495,0.7373737373737373
FashionMNIST_discovery_s2,FashionMNIST,discovery,2,0.33101639184913234,0.0,nan
FashionMNIST_discovery_s3,FashionMNIST,discovery,3,0.1334381200127678,0.9995,0.5547773886943472
FashionMNIST_discovery_s3,FashionMNIST,discovery,3,0.14628803171309843,0.931,0.5660580021482277
FashionMNIST_discovery_s3,FashionMNIST,discovery,3,0.1493182144281787,0.894,0.569910514541387
FashionMNIST_discovery_s3,FashionMNIST,discovery,3,0.15167345028116858,0.856,0.5771028037383178
FashionMNIST_discovery_s3,FashionMNIST,discovery,3,0.15408067777740173,0.8115,0.5847196549599507
FashionMNIST_discovery_s3,FashionMNIST,discovery,3,0.15798431230264054,0.751,0.5912117177097204
FashionMNIST_discovery_s3,FashionMNIST,discovery,3,0.1601500422027452,0.706,0.5956090651558074
FashionMNIST_discovery_s3,FashionMNIST,discovery,3,0.16285380232147334,0.654,0.6001529051987767
FashionMNIST_discovery_s3,FashionMNIST,discovery,3,0.16575537860581196,0.599,0.6085141903171953
FashionMNIST_discovery_s3,FashionMNIST,discovery,3,0.16918396470674327,0.545,0.6119266055045871
FashionMNIST_discovery_s3,FashionMNIST,discovery,3,0.17166477706875122,0.514,0.6215953307392996
FashionMNIST_discovery_s3,FashionMNIST,discovery,3,0.17469837182289774,0.46,0.633695652173913
FashionMNIST_discovery_s3,FashionMNIST,discovery,3,0.17910516872083554,0.3995,0.6545682102628285
FashionMNIST_discovery_s3,FashionMNIST,discovery,3,0.18230319707916845,0.3595,0.6648122392211405
FashionMNIST_discovery_s3,FashionMNIST,discovery,3,0.18765122080131405,0.305,0.6688524590163935
FashionMNIST_discovery_s3,FashionMNIST,discovery,3,0.19317233873397566,0.2415,0.6853002070393375
FashionMNIST_discovery_s3,FashionMNIST,discovery,3,0.19831677958549787,0.201,0.7014925373134329
FashionMNIST_discovery_s3,FashionMNIST,discovery,3,0.204815845680866,0.1575,0.7301587301587301
FashionMNIST_discovery_s3,FashionMNIST,discovery,3,0.21935342412665992,0.098,0.7448979591836735
FashionMNIST_discovery_s3,FashionMNIST,discovery,3,0.2397716572861979,0.039,0.782051282051282
FashionMNIST_discovery_s3,FashionMNIST,discovery,3,0.3076590465461968,0.0005,1.0
FashionMNIST_discovery_s4,FashionMNIST,discovery,4,0.13025722682899465,1.0,0.5325
FashionMNIST_discovery_s4,FashionMNIST,discovery,4,0.1459045192360735,0.94,0.5436170212765957
FashionMNIST_discovery_s4,FashionMNIST,discovery,4,0.14885908038454176,0.9025,0.5484764542936288
FashionMNIST_discovery_s4,FashionMNIST,discovery,4,0.1523119042180701,0.852,0.5575117370892019
FashionMNIST_discovery_s4,FashionMNIST,discovery,4,0.15459106118819588,0.799,0.5638297872340425
FashionMNIST_discovery_s4,FashionMNIST,discovery,4,0.15697875773995845,0.745,0.5724832214765101
FashionMNIST_discovery_s4,FashionMNIST,discovery,4,0.15905548825445065,0.698,0.5816618911174785
FashionMNIST_discovery_s4,FashionMNIST,discovery,4,0.16207649930212953,0.644,0.5892857142857143
FashionMNIST_discovery_s4,FashionMNIST,discovery,4,0.16443720456353683,0.596,0.5931208053691275
FashionMNIST_discovery_s4,FashionMNIST,discovery,4,0.16655240676472677,0.5555,0.5922592259225923
FashionMNIST_discovery_s4,FashionMNIST,discovery,4,0.16974902009399023,0.4995,0.5935935935935935
FashionMNIST_discovery_s4,FashionMNIST,discovery,4,0.17448705334206588,0.418,0.6160287081339713
FashionMNIST_discovery_s4,FashionMNIST,discovery,4,0.1772926122743609,0.3745,0.636849132176235
FashionMNIST_discovery_s4,FashionMNIST,discovery,4,0.18096801406836485,0.3255,0.6543778801843319
FashionMNIST_discovery_s4,FashionMNIST,discovery,4,0.18508453939008826,0.2825,0.6672566371681415
FashionMNIST_discovery_s4,FashionMNIST,discovery,4,0.18972308458889617,0.2405,0.6798336798336798
FashionMNIST_discovery_s4,FashionMNIST,discovery,4,0.1958107601081456,0.1975,0.6987341772151898
FashionMNIST_discovery_s4,FashionMNIST,discovery,4,0.2053403415639506,0.1435,0.7491289198606271
FashionMNIST_discovery_s4,FashionMNIST,discovery,4,0.21791860157775156,0.097,0.7835051546391752
FashionMNIST_discovery_s4,FashionMNIST,discovery,4,0.24039931682633212,0.048,0.8541666666666666
FashionMNIST_discovery_s4,FashionMNIST,discovery,4,0.30105034034225414,0.0015,0.6666666666666666
