setting_id,phase,dataset,seed,method,implementation,evaluation_split,accuracy,loss,ece,chart_accuracy,chart_training_examples,selector_validation_examples,test_examples,trainable_parameters,stored_parameters,latency_ms,branch_count,candidate_count,abstention_threshold,coverage,logits_sha256,label_permutation_hash_passed,dataset_revision,execution_commit,source_sha256
FashionMNIST_discovery_s1,discovery,FashionMNIST,1,random_action_control,uniform_random_chart_branch,iid_random_D4_transform,0.2805,2.2108473401974806,0.129745671415795,0.46,1000,500,2000,592,3192,0.034624943509697914,1,1,0.13523733547479894,0.998,19c9be79cce833fb99cc5ac4ab6ef7b10a82fa19d459397224c6559d815063c7,True,torchvision_cached_FashionMNIST,00a00e704f8daf4f7ae158af6d03c755fbb1d1c6,6b8efdd2f53b11767b159b21ac845125032b8ba7b35fd44039fe0f81aafbd372
FashionMNIST_discovery_s1,discovery,FashionMNIST,1,wrong_action_control,cyclically_shifted_inferred_chart_branch,iid_random_D4_transform,0.163,2.299302801956557,0.0038671605107217393,0.46,1000,500,2000,592,3192,0.03466615453362465,1,1,0.13523733547479894,0.998,5c624f779518e1afde2b466778e76b9d32275716e8f3c2e92864416e989cd899,True,torchvision_cached_FashionMNIST,00a00e704f8daf4f7ae158af6d03c755fbb1d1c6,6b8efdd2f53b11767b159b21ac845125032b8ba7b35fd44039fe0f81aafbd372
FashionMNIST_discovery_s1,discovery,FashionMNIST,1,ensemble,mean_of_eight_canonicalized_branch_logits,iid_random_D4_transform,0.289,2.1979904222282975,0.16335596485690407,0.46,1000,500,2000,592,3192,0.0414170790463686,8,1,0.13523733547479894,0.998,b9cfcd107f57873bbf274e1535cd7d7f3521997e374ecec24148badc49d264b7,True,torchvision_cached_FashionMNIST,00a00e704f8daf4f7ae158af6d03c755fbb1d1c6,6b8efdd2f53b11767b159b21ac845125032b8ba7b35fd44039fe0f81aafbd372
FashionMNIST_discovery_s2,discovery,FashionMNIST,2,context_blind_synchronization,mean_of_eight_canonicalized_branch_logits,iid_random_D4_transform,0.276,2.199843369350916,0.15380274959405163,0.447,1000,500,2000,592,3192,0.029749935492873192,1,1,0.1431156621603316,0.97,4a35f30ef91a6e3ff7bc2ed344900fc9f565bc536332dadde36551d98651566e,True,torchvision_cached_FashionMNIST,00a00e704f8daf4f7ae158af6d03c755fbb1d1c6,6b8efdd2f53b11767b159b21ac845125032b8ba7b35fd44039fe0f81aafbd372
FashionMNIST_discovery_s2,discovery,FashionMNIST,2,generic_image_context_classifier,ridge_classifier_on_random_image_features,iid_random_D4_transform,0.4825,2.113561490180837,0.3506734522038196,0.447,1000,500,2000,592,3192,0.040833139792084694,1,1,0.1431156621603316,0.97,a80b1377d8f5397f0879b04751934ce46c381bc98fcd1011cc9fb0fb1f24e971,True,torchvision_cached_FashionMNIST,00a00e704f8daf4f7ae158af6d03c755fbb1d1c6,6b8efdd2f53b11767b159b21ac845125032b8ba7b35fd44039fe0f81aafbd372
FashionMNIST_discovery_s2,discovery,FashionMNIST,2,generic_mixture_of_experts,ridge_chart_router_weighted_branch_logits,iid_random_D4_transform,0.4035,2.172029175900807,0.282003020628071,0.447,1000,500,2000,592,3192,0.05408399738371372,8,1,0.1431156621603316,0.97,23d63ec71048d390792a157f95d62a6a31be35c3c4a1999ca80e66a1d1cc3a29,True,torchvision_cached_FashionMNIST,00a00e704f8daf4f7ae158af6d03c755fbb1d1c6,6b8efdd2f53b11767b159b21ac845125032b8ba7b35fd44039fe0f81aafbd372
FashionMNIST_discovery_s2,discovery,FashionMNIST,2,generic_low_rank_context_adapter,equal_blend_proxy_not_fitted_low_rank_adapter,iid_random_D4_transform,0.551,2.1408681907359304,0.4270054670916819,0.447,1000,500,2000,592,3192,0.041207997128367424,1,1,0.1431156621603316,0.97,6323e0ccf9fd9979b3314dbbe977eeff0cfa35df63a8a00895cd58f6c4404aa7,True,torchvision_cached_FashionMNIST,00a00e704f8daf4f7ae158af6d03c755fbb1d1c6,6b8efdd2f53b11767b159b21ac845125032b8ba7b35fd44039fe0f81aafbd372
FashionMNIST_discovery_s2,discovery,FashionMNIST,2,group_equivariant_cnn_chart_classifier,orbit_moment_ridge_proxy_not_cnn,iid_random_D4_transform,0.542,2.0298257420736827,0.3925223685101367,0.447,1000,500,2000,592,3192,0.13616611249744892,1,1,0.1431156621603316,0.97,bde68cb4b67a81d612ff947334658a26708b721fb9ff1d0fcb6101d1b86bb4e9,True,torchvision_cached_FashionMNIST,00a00e704f8daf4f7ae158af6d03c755fbb1d1c6,6b8efdd2f53b11767b159b21ac845125032b8ba7b35fd44039fe0f81aafbd372
FashionMNIST_discovery_s2,discovery,FashionMNIST,2,structured_group_router,hybrid_random_feature_and_orbit_moment_ridge_router,iid_random_D4_transform,0.542,2.0298257420736827,0.3925223685101367,0.447,1000,500,2000,592,3192,0.03833300434052944,8,1,0.1431156621603316,0.97,bde68cb4b67a81d612ff947334658a26708b721fb9ff1d0fcb6101d1b86bb4e9,True,torchvision_cached_FashionMNIST,00a00e704f8daf4f7ae158af6d03c755fbb1d1c6,6b8efdd2f53b11767b159b21ac845125032b8ba7b35fd44039fe0f81aafbd372
FashionMNIST_discovery_s2,discovery,FashionMNIST,2,canonicalize_pool_retransport_inferred,inferred_chart_canonicalization_and_branch_selection,iid_random_D4_transform,0.542,2.0298257420736827,0.3925223685101367,0.447,1000,500,2000,592,3192,0.03787502646446228,8,1,0.1431156621603316,0.97,bde68cb4b67a81d612ff947334658a26708b721fb9ff1d0fcb6101d1b86bb4e9,True,torchvision_cached_FashionMNIST,00a00e704f8daf4f7ae158af6d03c755fbb1d1c6,6b8efdd2f53b11767b159b21ac845125032b8ba7b35fd44039fe0f81aafbd372
FashionMNIST_discovery_s2,discovery,FashionMNIST,2,twistedmerge_diagnostic_structured_retransport,validation_thresholded_structured_branch_with_moe_fallback,iid_random_D4_transform,0.5415,2.0299781400546855,0.3925469439263222,0.447,1000,500,2000,592,3192,0.04445808008313179,8,2,0.1431156621603316,0.97,1aaf53c358a93e493e87c3bf3dac57ce1069fbc5683e526738a39a1daa2cc5b1,True,torchvision_cached_FashionMNIST,00a00e704f8daf4f7ae158af6d03c755fbb1d1c6,6b8efdd2f53b11767b159b21ac845125032b8ba7b35fd44039fe0f81aafbd372
FashionMNIST_discovery_s2,discovery,FashionMNIST,2,supplied_chart_oracle,true_chart_branch_selection_oracle,iid_random_D4_transform,0.744,1.9006581518264556,0.5848173266833223,0.447,1000,500,2000,592,3192,0.03479188308119774,8,1,0.1431156621603316,0.97,0199e843ca0a67da25cdfe8d7c135b861d4974b0af8904793218df295dcd04a5,True,torchvision_cached_FashionMNIST,00a00e704f8daf4f7ae158af6d03c755fbb1d1c6,6b8efdd2f53b11767b159b21ac845125032b8ba7b35fd44039fe0f81aafbd372
FashionMNIST_discovery_s2,discovery,FashionMNIST,2,random_action_control,uniform_random_chart_branch,iid_random_D4_transform,0.2785,2.222750103213212,0.1294338442845036,0.447,1000,500,2000,592,3192,0.03533298149704933,1,1,0.1431156621603316,0.97,59601e521a567d7ebf0f0d0154fdb656d42b943a15c7afbf4989d88d4173ce29,True,torchvision_cached_FashionMNIST,00a00e704f8daf4f7ae158af6d03c755fbb1d1c6,6b8efdd2f53b11767b159b21ac845125032b8ba7b35fd44039fe0f81aafbd372
FashionMNIST_discovery_s2,discovery,FashionMNIST,2,wrong_action_control,cyclically_shifted_inferred_chart_branch,iid_random_D4_transform,0.167,2.294047452561124,0.009376836780956316,0.447,1000,500,2000,592,3192,0.03591692075133324,1,1,0.1431156621603316,0.97,79c5e54b0b80b08967497d8661638ccd856f34273733909c9f76e157e0fe3062,True,torchvision_cached_FashionMNIST,00a00e704f8daf4f7ae158af6d03c755fbb1d1c6,6b8efdd2f53b11767b159b21ac845125032b8ba7b35fd44039fe0f81aafbd372
FashionMNIST_discovery_s2,discovery,FashionMNIST,2,ensemble,mean_of_eight_canonicalized_branch_logits,iid_random_D4_transform,0.276,2.199843369350916,0.15380274959405163,0.447,1000,500,2000,592,3192,0.03316602669656277,8,1,0.1431156621603316,0.97,4a35f30ef91a6e3ff7bc2ed344900fc9f565bc536332dadde36551d98651566e,True,torchvision_cached_FashionMNIST,00a00e704f8daf4f7ae158af6d03c755fbb1d1c6,6b8efdd2f53b11767b159b21ac845125032b8ba7b35fd44039fe0f81aafbd372
FashionMNIST_discovery_s3,discovery,FashionMNIST,3,context_blind_synchronization,mean_of_eight_canonicalized_branch_logits,iid_random_D4_transform,0.263,2.1910566775436,0.13667836139985587,0.448,1000,500,2000,592,3192,0.020958948880434036,1,1,0.1334381200127678,0.9995,02ba82da8ae047ee9451eba90ea128c4e6e2fd45eccdb4b21490e02114743ecc,True,torchvision_cached_FashionMNIST,00a00e704f8daf4f7ae158af6d03c755fbb1d1c6,6b8efdd2f53b11767b159b21ac845125032b8ba7b35fd44039fe0f81aafbd372
FashionMNIST_discovery_s3,discovery,FashionMNIST,3,generic_image_context_classifier,ridge_classifier_on_random_image_features,iid_random_D4_transform,0.49,2.1134938837364787,0.35923539504430385,0.448,1000,500,2000,592,3192,0.04000007174909115,1,1,0.1334381200127678,0.9995,1e6bb89053e8786e833bd9ba2958516da366c8c8b83c09384f62b35e35329bf2,True,torchvision_cached_FashionMNIST,00a00e704f8daf4f7ae158af6d03c755fbb1d1c6,6b8efdd2f53b11767b159b21ac845125032b8ba7b35fd44039fe0f81aafbd372
