claim_scope,family,group_seed,method,dependent_scramble_count,independent_training_group_count,mean_test_accuracy,test_accuracy_std,test_accuracy_range,worst_scramble_test_accuracy,mean_test_accuracy_change,mean_maximum_test_logit_change,max_test_logit_change,mean_prediction_disagreement,max_prediction_disagreement,mean_test_nll,mean_test_brier,mean_test_ece,worst_chart_accuracy
ill_conditioned_boundary,ill_conditioned,2,naive_factor_average,20,1,0.10916875,0.03310884688701043,0.1355,0.01975,-0.38483125000000007,14414080.257331887,26417916.270205863,0.88880625,0.971,30.768221349348767,1.781662497852821,3.124892622631652e-05,0.013
ill_conditioned_boundary,ill_conditioned,2,oracle_alignment,20,1,0.49399999999999994,5.551115123125783e-17,0.0,0.494,0.0,1.725114402717498e-09,2.652935648939092e-09,0.0,0.0,1.5311125310365328,0.6732715979280679,0.12236182132823756,0.454
ill_conditioned_boundary,ill_conditioned,2,pairwise_reference_alignment,6,1,0.4932708333333333,0.0017311735342118604,0.004750000000000032,0.4905,-0.00022916666666665994,0.23946157085819977,0.3815013463971387,0.018,0.0255,1.4787427266982656,0.657384451296895,0.08110659955230314,0.453
primary_well_conditioned,dense,0,canonical_svd_factor_average,20,1,0.50225,0.0,0.0,0.50225,0.0,2.8532731732866522e-15,3.552713678800501e-15,0.0,0.0,1.5144974767901485,0.6666630194582753,0.12474681589618986,0.456
primary_well_conditioned,dense,0,cycle_aware_alignment,20,1,0.548,0.0,0.0,0.548,0.0,7.061018436615996e-15,1.021405182655144e-14,0.0,0.0,1.3162804112080937,0.6012991824131035,0.07517174970315717,0.514
primary_well_conditioned,dense,0,full_delta_svd,20,1,0.548,0.0,0.0,0.548,0.0,7.061018436615996e-15,1.021405182655144e-14,0.0,0.0,1.3162804112080937,0.6012991824131035,0.07517174970315717,0.514
primary_well_conditioned,dense,0,global_synchronization,20,1,0.5027500000000001,1.1102230246251565e-16,0.0,0.50275,0.0,9.275774592865104e-14,1.9562129693895258e-13,0.0,0.0,1.4644434493370349,0.6496917226977672,0.07355432599027255,0.472
primary_well_conditioned,dense,0,naive_factor_average,20,1,0.39799375000000003,0.050887106590839885,0.178,0.313375,-0.08888125000000001,5.749269996991467,11.565287318270066,0.35496875,0.46,1.7575472123090112,0.7525148449123025,0.05160984501136896,0.287
primary_well_conditioned,dense,0,oracle_alignment,20,1,0.48687499999999995,5.551115123125783e-17,0.0,0.486875,0.0,2.4980018054066022e-15,3.1086244689504383e-15,0.0,0.0,1.5387064788331388,0.674276097864093,0.11319401863614328,0.449
primary_well_conditioned,dense,0,pairwise_reference_alignment,20,1,0.5039999999999999,1.1102230246251565e-16,0.0,0.504,0.0,6.203787483727297e-14,1.3145040611561853e-13,0.0,0.0,1.4683861542849008,0.6502149080896338,0.08977112535086758,0.47
primary_well_conditioned,dense,1,canonical_svd_factor_average,20,1,0.49125000000000013,1.1102230246251565e-16,0.0,0.49125,0.0,2.8976820942716587e-15,5.329070518200751e-15,0.0,0.0,1.5454807028971147,0.6783617797414472,0.12820400967819118,0.444
primary_well_conditioned,dense,1,cycle_aware_alignment,20,1,0.538375,0.0,0.0,0.538375,0.0,6.600275881396556e-15,9.769962616701378e-15,0.0,0.0,1.3354237800549416,0.6101092542347057,0.0760450372300239,0.497
primary_well_conditioned,dense,1,full_delta_svd,20,1,0.538375,0.0,0.0,0.538375,0.0,6.600275881396556e-15,9.769962616701378e-15,0.0,0.0,1.3354237800549416,0.6101092542347057,0.0760450372300239,0.497
primary_well_conditioned,dense,1,global_synchronization,20,1,0.4759999999999998,1.6653345369377348e-16,0.0,0.476,0.0,2.4610175008987767e-13,9.865441796819141e-13,0.0,0.0,1.4940654970357794,0.6673870829126887,0.04951699744976339,0.423
primary_well_conditioned,dense,1,naive_factor_average,20,1,0.3945875,0.03997413421513967,0.15137500000000004,0.31475,-0.08903750000000003,4.71731972173886,7.408137419513639,0.34750625,0.484375,1.7462181655269635,0.7502490458237127,0.04187537064896728,0.293
primary_well_conditioned,dense,1,oracle_alignment,20,1,0.4836250000000001,5.551115123125783e-17,0.0,0.483625,0.0,2.264854970235319e-15,3.1086244689504383e-15,0.0,0.0,1.5516074941931572,0.680386397055285,0.1194803584929921,0.436
