stage,group_seed,family,scramble,condition_limit,claim_scope,maximum_individual_relative_delta_error,maximum_individual_logit_error,maximum_individual_prediction_disagreement,maximum_individual_validation_accuracy_change,accepted_scramble
pilot,1,orthogonal,2,1.0,primary_well_conditioned,1.8232126197976065e-16,5.329070518200751e-15,0.0,0.0,True
pilot,1,orthogonal,3,1.0,primary_well_conditioned,1.9889430959831947e-16,5.329070518200751e-15,0.0,0.0,True
pilot,1,orthogonal,4,1.0,primary_well_conditioned,2.513458556337972e-16,7.105427357601002e-15,0.0,0.0,True
pilot,1,orthogonal,5,1.0,primary_well_conditioned,1.9807199655966517e-16,5.329070518200751e-15,0.0,0.0,True
pilot,1,orthogonal,6,1.0,primary_well_conditioned,1.8733714009673826e-16,5.329070518200751e-15,0.0,0.0,True
pilot,1,orthogonal,7,1.0,primary_well_conditioned,2.1204879975518467e-16,5.329070518200751e-15,0.0,0.0,True
pilot,1,orthogonal,8,1.0,primary_well_conditioned,2.1852960006466847e-16,5.329070518200751e-15,0.0,0.0,True
pilot,1,orthogonal,9,1.0,primary_well_conditioned,1.9568900329293526e-16,5.329070518200751e-15,0.0,0.0,True
pilot,1,orthogonal,10,1.0,primary_well_conditioned,1.9064638302554923e-16,5.329070518200751e-15,0.0,0.0,True
pilot,1,orthogonal,11,1.0,primary_well_conditioned,1.8399106382859837e-16,5.329070518200751e-15,0.0,0.0,True
pilot,1,orthogonal,12,1.0,primary_well_conditioned,2.9520896410020524e-16,5.329070518200751e-15,0.0,0.0,True
pilot,1,orthogonal,13,1.0,primary_well_conditioned,2.543797439326167e-16,4.440892098500626e-15,0.0,0.0,True
pilot,1,orthogonal,14,1.0,primary_well_conditioned,1.95996229403216e-16,5.329070518200751e-15,0.0,0.0,True
pilot,1,orthogonal,15,1.0,primary_well_conditioned,2.0562007642737393e-16,5.329070518200751e-15,0.0,0.0,True
pilot,1,orthogonal,16,1.0,primary_well_conditioned,2.3378329749603955e-16,5.329070518200751e-15,0.0,0.0,True
pilot,1,orthogonal,17,1.0,primary_well_conditioned,2.2351292748669687e-16,5.329070518200751e-15,0.0,0.0,True
pilot,1,orthogonal,18,1.0,primary_well_conditioned,1.868185118317923e-16,5.329070518200751e-15,0.0,0.0,True
pilot,1,orthogonal,19,1.0,primary_well_conditioned,2.1170384590010582e-16,7.993605777301127e-15,0.0,0.0,True
pilot,1,positive_diagonal,0,8.0,primary_well_conditioned,8.413680377927907e-17,7.105427357601002e-15,0.0,0.0,True
pilot,1,positive_diagonal,1,8.0,primary_well_conditioned,8.413680377927907e-17,7.105427357601002e-15,0.0,0.0,True
pilot,1,positive_diagonal,2,8.0,primary_well_conditioned,8.413680377927907e-17,7.105427357601002e-15,0.0,0.0,True
pilot,1,positive_diagonal,3,8.0,primary_well_conditioned,8.413680377927907e-17,7.105427357601002e-15,0.0,0.0,True
pilot,1,positive_diagonal,4,8.0,primary_well_conditioned,8.413680377927907e-17,7.105427357601002e-15,0.0,0.0,True
pilot,1,positive_diagonal,5,8.0,primary_well_conditioned,8.413680377927907e-17,7.105427357601002e-15,0.0,0.0,True
pilot,1,positive_diagonal,6,8.0,primary_well_conditioned,8.413680377927907e-17,7.105427357601002e-15,0.0,0.0,True
pilot,1,positive_diagonal,7,8.0,primary_well_conditioned,8.413680377927907e-17,7.105427357601002e-15,0.0,0.0,True
pilot,1,positive_diagonal,8,8.0,primary_well_conditioned,8.413680377927907e-17,7.105427357601002e-15,0.0,0.0,True
pilot,1,positive_diagonal,9,8.0,primary_well_conditioned,8.413680377927907e-17,7.105427357601002e-15,0.0,0.0,True
pilot,1,positive_diagonal,10,8.0,primary_well_conditioned,8.413680377927907e-17,7.105427357601002e-15,0.0,0.0,True
pilot,1,positive_diagonal,11,8.0,primary_well_conditioned,8.413680377927907e-17,7.105427357601002e-15,0.0,0.0,True
pilot,1,positive_diagonal,12,8.0,primary_well_conditioned,8.413680377927907e-17,7.105427357601002e-15,0.0,0.0,True
pilot,1,positive_diagonal,13,8.0,primary_well_conditioned,8.413680377927907e-17,7.105427357601002e-15,0.0,0.0,True
pilot,1,positive_diagonal,14,8.0,primary_well_conditioned,8.413680377927907e-17,7.105427357601002e-15,0.0,0.0,True
pilot,1,positive_diagonal,15,8.0,primary_well_conditioned,8.413680377927907e-17,7.105427357601002e-15,0.0,0.0,True
pilot,1,positive_diagonal,16,8.0,primary_well_conditioned,8.413680377927907e-17,7.105427357601002e-15,0.0,0.0,True
pilot,1,positive_diagonal,17,8.0,primary_well_conditioned,8.413680377927907e-17,7.105427357601002e-15,0.0,0.0,True
pilot,1,positive_diagonal,18,8.0,primary_well_conditioned,8.413680377927907e-17,7.105427357601002e-15,0.0,0.0,True
pilot,1,positive_diagonal,19,8.0,primary_well_conditioned,8.413680377927907e-17,7.105427357601002e-15,0.0,0.0,True
pilot,1,dense,0,30.0,primary_well_conditioned,8.316062601457751e-16,8.881784197001252e-15,0.0,0.0,True
pilot,1,dense,1,30.0,primary_well_conditioned,7.66647650242206e-16,1.0658141036401503e-14,0.0,0.0,True
pilot,1,dense,2,30.0,primary_well_conditioned,1.0141709435901629e-15,1.4210854715202004e-14,0.0,0.0,True
pilot,1,dense,3,30.0,primary_well_conditioned,9.019139473378313e-16,1.0658141036401503e-14,0.0,0.0,True
pilot,1,dense,4,30.0,primary_well_conditioned,1.2682213359689189e-15,1.2434497875801753e-14,0.0,0.0,True
pilot,1,dense,5,30.0,primary_well_conditioned,9.817676620261293e-16,1.2434497875801753e-14,0.0,0.0,True
pilot,1,dense,6,30.0,primary_well_conditioned,1.4155343603188339e-15,1.1546319456101628e-14,0.0,0.0,True
pilot,1,dense,7,30.0,primary_well_conditioned,1.0166482924609216e-15,1.509903313490213e-14,0.0,0.0,True
pilot,1,dense,8,30.0,primary_well_conditioned,6.15328578404075e-16,1.0658141036401503e-14,0.0,0.0,True
pilot,1,dense,9,30.0,primary_well_conditioned,1.0527533029442807e-15,1.4654943925052066e-14,0.0,0.0,True
pilot,1,dense,10,30.0,primary_well_conditioned,1.0961804095657056e-15,1.5987211554602254e-14,0.0,0.0,True
pilot,1,dense,11,30.0,primary_well_conditioned,1.041910586755011e-15,9.547918011776346e-15,0.0,0.0,True
pilot,1,dense,12,30.0,primary_well_conditioned,1.0842182509154366e-15,1.27675647831893e-14,0.0,0.0,True
pilot,1,dense,13,30.0,primary_well_conditioned,8.994632504502805e-16,8.881784197001252e-15,0.0,0.0,True
pilot,1,dense,14,30.0,primary_well_conditioned,9.541514452422155e-16,9.769962616701378e-15,0.0,0.0,True
pilot,1,dense,15,30.0,primary_well_conditioned,9.780108847733566e-16,1.0658141036401503e-14,0.0,0.0,True
pilot,1,dense,16,30.0,primary_well_conditioned,1.0659210225046314e-15,1.0658141036401503e-14,0.0,0.0,True
pilot,1,dense,17,30.0,primary_well_conditioned,9.854263197183871e-16,1.4210854715202004e-14,0.0,0.0,True
pilot,1,dense,18,30.0,primary_well_conditioned,1.0479198526847156e-15,1.1102230246251565e-14,0.0,0.0,True
pilot,1,dense,19,30.0,primary_well_conditioned,1.1831664943666258e-15,1.0658141036401503e-14,0.0,0.0,True
pilot,1,ill_conditioned,0,100000000.0,ill_conditioned_boundary,3.023607890692452e-09,1.487854767168173e-08,0.0,0.0,True
pilot,1,ill_conditioned,1,100000000.0,ill_conditioned_boundary,2.7540035325004413e-09,2.2216894990378933e-08,0.0,0.0,True
pilot,1,ill_conditioned,2,100000000.0,ill_conditioned_boundary,2.0860390440377017e-09,1.7752672221149624e-08,0.0,0.0,True
pilot,1,ill_conditioned,3,100000000.0,ill_conditioned_boundary,2.7695264343599115e-09,2.393052866977996e-08,0.0,0.0,True
pilot,1,ill_conditioned,4,100000000.0,ill_conditioned_boundary,3.55339727659639e-09,4.069540338047517e-08,0.0,0.0,True
pilot,1,ill_conditioned,5,100000000.0,ill_conditioned_boundary,2.7301552473510308e-09,2.248595842857526e-08,0.0,0.0,True
pilot,1,ill_conditioned,6,100000000.0,ill_conditioned_boundary,2.3491269673236187e-09,3.390792890911598e-08,0.0,0.0,True
pilot,1,ill_conditioned,7,100000000.0,ill_conditioned_boundary,2.7716602493509296e-09,1.627423817929241e-08,0.0,0.0,True
pilot,1,ill_conditioned,8,100000000.0,ill_conditioned_boundary,2.2755724076023053e-09,1.56103487913839e-08,0.0,0.0,True
pilot,1,ill_conditioned,9,100000000.0,ill_conditioned_boundary,3.078292677404223e-09,2.663292686388985e-08,0.0,0.0,True
pilot,1,ill_conditioned,10,100000000.0,ill_conditioned_boundary,2.788091235581794e-09,2.0320636284765214e-08,0.0,0.0,True
pilot,1,ill_conditioned,11,100000000.0,ill_conditioned_boundary,2.8540724372221653e-09,2.1562129859376e-08,0.0,0.0,True
pilot,1,ill_conditioned,12,100000000.0,ill_conditioned_boundary,3.4715573562039778e-09,3.323514707886943e-08,0.0,0.0,True
pilot,1,ill_conditioned,13,100000000.0,ill_conditioned_boundary,2.6360641920306837e-09,2.647981034442637e-08,0.0,0.0,True
pilot,1,ill_conditioned,14,100000000.0,ill_conditioned_boundary,2.0923209450520053e-09,1.637904034623716e-08,0.0,0.0,True
pilot,1,ill_conditioned,15,100000000.0,ill_conditioned_boundary,3.2425601922386744e-09,2.4967167222555986e-08,0.0,0.0,True
pilot,1,ill_conditioned,16,100000000.0,ill_conditioned_boundary,2.89863802984789e-09,2.4974437629055046e-08,0.0,0.0,True
pilot,1,ill_conditioned,17,100000000.0,ill_conditioned_boundary,2.869034163378413e-09,2.514011310239539e-08,0.0,0.0,True
pilot,1,ill_conditioned,18,100000000.0,ill_conditioned_boundary,3.4346622593923857e-09,3.886911459360931e-08,0.0,0.0,True
pilot,1,ill_conditioned,19,100000000.0,ill_conditioned_boundary,2.449204239606383e-09,2.215328365196001e-08,0.0,0.0,True
pilot,2,orthogonal,0,1.0,primary_well_conditioned,1.950614504254519e-16,7.105427357601002e-15,0.0,0.0,True
pilot,2,orthogonal,1,1.0,primary_well_conditioned,2.3249541311969e-16,8.881784197001252e-15,0.0,0.0,True
pilot,2,orthogonal,2,1.0,primary_well_conditioned,1.9889338928258114e-16,4.440892098500626e-15,0.0,0.0,True
pilot,2,orthogonal,3,1.0,primary_well_conditioned,1.7580323786390854e-16,5.329070518200751e-15,0.0,0.0,True
pilot,2,orthogonal,4,1.0,primary_well_conditioned,2.2685326441434314e-16,5.329070518200751e-15,0.0,0.0,True
pilot,2,orthogonal,5,1.0,primary_well_conditioned,1.899215250639155e-16,5.329070518200751e-15,0.0,0.0,True
pilot,2,orthogonal,6,1.0,primary_well_conditioned,1.8382754972680748e-16,5.329070518200751e-15,0.0,0.0,True
pilot,2,orthogonal,7,1.0,primary_well_conditioned,2.6442968770905884e-16,6.217248937900877e-15,0.0,0.0,True
pilot,2,orthogonal,8,1.0,primary_well_conditioned,1.7601240421467907e-16,5.329070518200751e-15,0.0,0.0,True
pilot,2,orthogonal,9,1.0,primary_well_conditioned,1.8769149722635076e-16,4.440892098500626e-15,0.0,0.0,True
pilot,2,orthogonal,10,1.0,primary_well_conditioned,1.970124661246298e-16,4.440892098500626e-15,0.0,0.0,True
pilot,2,orthogonal,11,1.0,primary_well_conditioned,2.102118623642876e-16,5.329070518200751e-15,0.0,0.0,True
pilot,2,orthogonal,12,1.0,primary_well_conditioned,1.7892663620120076e-16,7.105427357601002e-15,0.0,0.0,True
pilot,2,orthogonal,13,1.0,primary_well_conditioned,1.9166595217867527e-16,7.105427357601002e-15,0.0,0.0,True
pilot,2,orthogonal,14,1.0,primary_well_conditioned,2.0681240455419048e-16,7.105427357601002e-15,0.0,0.0,True
pilot,2,orthogonal,15,1.0,primary_well_conditioned,2.2934200097538956e-16,5.329070518200751e-15,0.0,0.0,True
pilot,2,orthogonal,16,1.0,primary_well_conditioned,1.8453404808505945e-16,4.440892098500626e-15,0.0,0.0,True
pilot,2,orthogonal,17,1.0,primary_well_conditioned,1.8286425990642012e-16,5.329070518200751e-15,0.0,0.0,True
pilot,2,orthogonal,18,1.0,primary_well_conditioned,1.933058911001052e-16,5.329070518200751e-15,0.0,0.0,True
