summary_type,scope,n_models,width,method,baseline,n_rows,n_seeds,mean_accuracy,accuracy_standard_error,mean_loss,mean_merge_degradation,mean_accuracy_delta_vs_c2m3,mean_accuracy_delta_vs_greedy_soup,symmetry_status,is_single_model,capacity_matched_to_weight_average,comparison,claim_label,n_pairs,paired_mean_accuracy_delta,paired_accuracy_delta_ci_low,paired_accuracy_delta_ci_high,paired_mean_loss_delta,accuracy_wins,accuracy_ties,accuracy_losses,sign_test_two_sided_p,fixed_settings_positive,fixed_settings_total,selector_no_test_leakage,selector_choice_counts,selector_behavior_reference,selector_chosen_test_better,selector_chosen_test_tied,selector_chosen_test_worse,mean_selected_alpha,fraction_alpha_zero,fraction_alpha_one_or_more,mean_finite_selected_tau,fraction_tau_infinite,soup_mean_ingredient_count,selected_type_examples,target,predictor,pearson,spearman,claim,claim_decision,claim_reason
method_summary,fixed_setting,3,16,monomial_scaled_greedy_soup,,20.0,20.0,0.827975,0.0027459431799235056,0.8524695265102386,0.0018699999999999938,0.07959499999999997,0.0,exact_relu_positive_scale_soup,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
method_summary,fixed_setting,3,16,optimized_monomial_greedy_soup,,20.0,20.0,0.827975,0.0027459431799235056,0.8524695281553267,0.0018699999999999938,0.07959499999999997,0.0,optimized_exact_relu_positive_scale_soup,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
method_summary,fixed_setting,3,16,optimized_monomial_scale,,20.0,20.0,0.7565799999999999,0.005217176086331518,0.9486828126430513,0.07326499999999997,0.00819999999999999,-0.07139499999999999,validation_optimized_exact_relu_positive_scale,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
method_summary,fixed_setting,3,16,randomly_augmented_candidate_union,,20.0,20.0,0.8273149999999999,0.0025626186750439886,0.8894816494607927,0.002529999999999993,0.07893499999999998,-0.0006599999999999995,validation_selected_augmented_union_single_model_soup,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
method_summary,fixed_setting,3,16,shrinkage_monomial_greedy_soup,,20.0,20.0,0.827975,0.0027459431799235056,0.8524695272827147,0.0018699999999999938,0.07959499999999997,0.0,exact_relu_positive_scale_soup,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
method_summary,fixed_setting,3,16,shrinkage_monomial_scale,,20.0,20.0,0.777515,0.0036649210158790028,1.097390399184227,0.052329999999999974,0.029134999999999987,-0.050459999999999984,validation_selected_exact_relu_positive_scale,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
method_summary,fixed_setting,3,16,union_candidate_soup,,20.0,20.0,0.82746,0.0027143711106471396,0.8651286400842668,0.002384999999999987,0.07907999999999997,-0.0005149999999999932,validation_selected_union_candidate_single_model_soup,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
method_summary,fixed_setting,3,16,validated_ladder_selector,,20.0,20.0,0.7716250000000001,0.004914103628708314,1.1043097082233428,0.05821999999999998,0.02324499999999998,-0.05634999999999999,validation_selected_exact_relu_single_model,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
method_summary,fixed_setting,3,16,weight_average,,20.0,20.0,0.551755,0.021345855600462336,1.6419831711864472,0.27809000000000006,-0.19662500000000002,-0.27622,ordinary_unaligned_single_model,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
method_summary,fixed_setting,3,32,c2m3_greedy_soup,,20.0,20.0,0.86173,0.0009786698814422074,0.613372086122036,0.001524999999999993,0.0346,-0.0004649999999999987,exact_relu_permutation_soup,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
method_summary,fixed_setting,3,32,c2m3_permutation,,20.0,20.0,0.82713,0.0040283671760731,0.8061454037284852,0.03612499999999999,0.0,-0.035065,exact_relu_permutation_symmetry,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
