setting_id,group,seed,method,implementation,accuracy,loss,ece,action_accuracy,downstream_task_accuracy,multiplication_error,trainable_parameters,stored_parameters,training_words,generator_supervision,multiplication_supervision,optimization_epochs,training_time_seconds,logits_sha256,label_permutation_hash_passed,execution_commit,source_sha256,command
D4_seed0,D4,0,generic_moe,GenericMoE,0.18638392857142858,7.591944167562644,0.6912958150124136,0.18638392857142858,0.18638392857142858,0.8136160714285714,8754,8754,2048,2048,0,20,3.2524478749837726,4b9c91b5a54ac1d2851992df174d2a8f671fb0d2e29880223be0f8ff2ec91a03,True,1237f70e2276c249ee5cbc1eedb977fc1043db26,28bc45bbaf750e4314320763ced44147ee70586c962b671592f1c2b59da07e3f,python experiments/learned_compositional_baselines.py
D4_seed0,D4,0,generic_matrix_action_model,MatrixActionModel,0.5345982142857143,114.56288742484331,0.19796131093295577,0.5345982142857143,0.5345982142857143,0.4654017857142857,2200,2200,2048,2048,0,20,3.679980665910989,4b9c91b5a54ac1d2851992df174d2a8f671fb0d2e29880223be0f8ff2ec91a03,True,1237f70e2276c249ee5cbc1eedb977fc1043db26,28bc45bbaf750e4314320763ced44147ee70586c962b671592f1c2b59da07e3f,python experiments/learned_compositional_baselines.py
D4_seed0,D4,0,lookup_table,executed_training_word_dictionary,0.10602678571428571,3.696524695301887,0.7803334378275983,0.10602678571428571,0.10602678571428571,0.8939732142857143,0,0,2048,2048,0,0,0.0,4b9c91b5a54ac1d2851992df174d2a8f671fb0d2e29880223be0f8ff2ec91a03,True,1237f70e2276c249ee5cbc1eedb977fc1043db26,28bc45bbaf750e4314320763ced44147ee70586c962b671592f1c2b59da07e3f,python experiments/learned_compositional_baselines.py
Q8_seed0,Q8,0,exact_structured_retransport,executed_exact_word_reduction,1.0,-0.0,0.0,1.0,1.0,0.0,0,0,2048,2048,64,0,0.0,581d772a4a299c4dd2ea42642cdd11b5aac81e9ba09d5602dd396179f5a957db,True,1237f70e2276c249ee5cbc1eedb977fc1043db26,28bc45bbaf750e4314320763ced44147ee70586c962b671592f1c2b59da07e3f,python experiments/learned_compositional_baselines.py
Q8_seed0,Q8,0,symbolic_word_reduction_oracle,executed_exact_word_reduction,1.0,-0.0,0.0,1.0,1.0,0.0,0,0,2048,2048,64,0,0.0,581d772a4a299c4dd2ea42642cdd11b5aac81e9ba09d5602dd396179f5a957db,True,1237f70e2276c249ee5cbc1eedb977fc1043db26,28bc45bbaf750e4314320763ced44147ee70586c962b671592f1c2b59da07e3f,python experiments/learned_compositional_baselines.py
Q8_seed0,Q8,0,learned_cayley_table_model,LearnedCayleyTable,0.13727678571428573,2.072454620477295,0.06689935262621516,0.13727678571428573,0.13727678571428573,0.8627232142857143,512,512,2048,2048,64,20,4.924606624990702,581d772a4a299c4dd2ea42642cdd11b5aac81e9ba09d5602dd396179f5a957db,True,1237f70e2276c249ee5cbc1eedb977fc1043db26,28bc45bbaf750e4314320763ced44147ee70586c962b671592f1c2b59da07e3f,python experiments/learned_compositional_baselines.py
Q8_seed0,Q8,0,differentiable_finite_state_automaton,DifferentiableAutomaton,0.5078125,1.924749996319376,0.34808321852868734,0.5078125,0.5078125,0.4921875,512,512,2048,2048,64,20,5.3599352079909295,581d772a4a299c4dd2ea42642cdd11b5aac81e9ba09d5602dd396179f5a957db,True,1237f70e2276c249ee5cbc1eedb977fc1043db26,28bc45bbaf750e4314320763ced44147ee70586c962b671592f1c2b59da07e3f,python experiments/learned_compositional_baselines.py
Q8_seed0,Q8,0,group_equivariant_recurrent_network,ExactRegularRNN,0.8549107142857143,0.7840048915359296,0.38583297592248106,0.8549107142857143,0.8549107142857143,0.1450892857142857,64,64,2048,2048,64,20,1.4996243750210851,581d772a4a299c4dd2ea42642cdd11b5aac81e9ba09d5602dd396179f5a957db,True,1237f70e2276c249ee5cbc1eedb977fc1043db26,28bc45bbaf750e4314320763ced44147ee70586c962b671592f1c2b59da07e3f,python experiments/learned_compositional_baselines.py
Q8_seed0,Q8,0,group_equivariant_transformer,EquivariantTransformer,0.11383928571428571,6.742248798174982,0.7053970565475853,0.11383928571428571,0.11383928571428571,0.8861607142857143,5552,5552,2048,2048,0,20,16.152277041925117,581d772a4a299c4dd2ea42642cdd11b5aac81e9ba09d5602dd396179f5a957db,True,1237f70e2276c249ee5cbc1eedb977fc1043db26,28bc45bbaf750e4314320763ced44147ee70586c962b671592f1c2b59da07e3f,python experiments/learned_compositional_baselines.py
Q8_seed0,Q8,0,transformer_multiplication_augmentation,SequenceTransformer,0.10491071428571429,8.200023839555554,0.7398505252711673,0.10491071428571429,0.10491071428571429,0.8950892857142857,9448,9448,2048,2048,64,20,5.511316417017952,581d772a4a299c4dd2ea42642cdd11b5aac81e9ba09d5602dd396179f5a957db,True,1237f70e2276c249ee5cbc1eedb977fc1043db26,28bc45bbaf750e4314320763ced44147ee70586c962b671592f1c2b59da07e3f,python experiments/learned_compositional_baselines.py
Q8_seed0,Q8,0,ordinary_sequence_transformer,SequenceTransformer,0.11272321428571429,5.9896534261480605,0.6759317917222123,0.11272321428571429,0.11272321428571429,0.8872767857142857,9448,9448,2048,2048,0,20,3.271420915843919,581d772a4a299c4dd2ea42642cdd11b5aac81e9ba09d5602dd396179f5a957db,True,1237f70e2276c249ee5cbc1eedb977fc1043db26,28bc45bbaf750e4314320763ced44147ee70586c962b671592f1c2b59da07e3f,python experiments/learned_compositional_baselines.py
Q8_seed0,Q8,0,sequence_mlp,SequenceMLP,0.14732142857142858,7.1800517932386105,0.6299727838521773,0.14732142857142858,0.14732142857142858,0.8526785714285714,6320,6320,2048,2048,0,20,1.7597152078524232,581d772a4a299c4dd2ea42642cdd11b5aac81e9ba09d5602dd396179f5a957db,True,1237f70e2276c249ee5cbc1eedb977fc1043db26,28bc45bbaf750e4314320763ced44147ee70586c962b671592f1c2b59da07e3f,python experiments/learned_compositional_baselines.py
Q8_seed0,Q8,0,generic_moe,GenericMoE,0.140625,10.700486222221233,0.6507818424211139,0.140625,0.140625,0.859375,8754,8754,2048,2048,0,20,2.937599459197372,581d772a4a299c4dd2ea42642cdd11b5aac81e9ba09d5602dd396179f5a957db,True,1237f70e2276c249ee5cbc1eedb977fc1043db26,28bc45bbaf750e4314320763ced44147ee70586c962b671592f1c2b59da07e3f,python experiments/learned_compositional_baselines.py
Q8_seed0,Q8,0,generic_matrix_action_model,MatrixActionModel,0.35825892857142855,104.78530725392682,0.3500924608041878,0.35825892857142855,0.35825892857142855,0.6417410714285714,2200,2200,2048,2048,0,20,3.7136957908514887,581d772a4a299c4dd2ea42642cdd11b5aac81e9ba09d5602dd396179f5a957db,True,1237f70e2276c249ee5cbc1eedb977fc1043db26,28bc45bbaf750e4314320763ced44147ee70586c962b671592f1c2b59da07e3f,python experiments/learned_compositional_baselines.py
Q8_seed0,Q8,0,lookup_table,executed_training_word_dictionary,0.11272321428571429,3.669738981016173,0.7736370092561697,0.11272321428571429,0.11272321428571429,0.8872767857142857,0,0,2048,2048,0,0,0.0,581d772a4a299c4dd2ea42642cdd11b5aac81e9ba09d5602dd396179f5a957db,True,1237f70e2276c249ee5cbc1eedb977fc1043db26,28bc45bbaf750e4314320763ced44147ee70586c962b671592f1c2b59da07e3f,python experiments/learned_compositional_baselines.py
A4_seed0,A4,0,exact_structured_retransport,executed_exact_word_reduction,1.0,-0.0,0.0,1.0,1.0,0.0,0,0,2048,2048,144,0,0.0,34d2db39ab62927b72680016f14cffa27ebb918dfabaaa1ee081216b627fc0c8,True,1237f70e2276c249ee5cbc1eedb977fc1043db26,28bc45bbaf750e4314320763ced44147ee70586c962b671592f1c2b59da07e3f,python experiments/learned_compositional_baselines.py
