collection,layer,gauge_family,inverse_consistency,cycle_residual,centrality,hodge_exact,hodge_coexact,hodge_harmonic,distance_to_coboundaries,residual_rank
2,block3,channel_permutation,0.0,0.8660254037844386,0.5773502691896258,0.6977407149243606,0.716350399411379,1.5923291471832308e-16,0.07511565157216644,0
2,block3,positive_monomial,0.7375590931094428,0.88064923646962,0.036172547713316315,0.7702174224922244,0.6377814061960685,1.6279396526264158e-16,0.06885581197779067,24
2,block3,orthogonal_procrustes,3.9074534281798914e-15,0.4742633541252116,0.45699531719204706,0.8165333505062902,0.5772982656400175,1.623719785255139e-16,0.0705158550101465,18
2,block3,block_orthogonal,2.5349323690218826e-15,0.6806548627270551,0.6767120736425805,0.7676378231232,0.6408838994004097,1.7179261007041232e-16,0.07137313764168503,18
2,block3,cca_whitened,1.0119228000782476e-14,0.7241719929071511,1.1520250652684996,0.7816124444162212,0.6237643679577246,1.7213265056730776e-16,0.13832610348251606,11
2,block3,low_rank_subspace,1.0993607866320243,1.0984975345609336,0.5417202136201553,0.8641557717886021,0.5032244052949403,1.5274820658844607e-16,0.10700058870661508,24
2,block4,channel_permutation,0.0,1.1902380714238086,1.118033988749895,0.7118684968143743,0.702312781631691,1.52698282135885e-16,0.10276839296492182,6
2,block4,positive_monomial,0.8871503954727844,0.9623508997227781,0.016668769717989813,0.8360980448274405,0.5485800392246614,1.3427916761203463e-16,0.07716020470837724,24
2,block4,orthogonal_procrustes,7.834280454632001e-15,0.6664656711179748,0.7627166935941229,0.8341797482101995,0.5514926542357286,1.6919661443400767e-16,0.07867852840423585,13
2,block4,block_orthogonal,1.4594284465173698e-15,1.0163947817245158,1.0388335354178742,0.7284458232530183,0.685103410139836,1.581325611833113e-16,0.09825926813626046,15
2,block4,cca_whitened,1.313013809818818e-14,1.0682094043451713,1.7934440897910642,0.8511106578538981,0.5249863313339738,1.665691479691346e-16,0.13876926757926208,12
2,block4,low_rank_subspace,0.9970303218920207,1.0208948679975243,0.3109814986372611,0.8694382190402025,0.49404168171542084,1.544711029016219e-16,0.10586332421483538,24
2,penultimate,channel_permutation,0.0,1.1902380714238086,1.118033988749895,0.7118684968143743,0.702312781631691,1.52698282135885e-16,0.10276839296492182,6
2,penultimate,positive_monomial,0.8871503954727844,0.9623508997227781,0.016668769717989813,0.8360980448274405,0.5485800392246614,1.3427916761203463e-16,0.07716020470837724,24
2,penultimate,orthogonal_procrustes,7.834280454632001e-15,0.6664656711179748,0.7627166935941229,0.8341797482101995,0.5514926542357286,1.6919661443400767e-16,0.07867852840423585,13
2,penultimate,block_orthogonal,1.4594284465173698e-15,1.0163947817245158,1.0388335354178742,0.7284458232530183,0.685103410139836,1.581325611833113e-16,0.09825926813626046,15
