setting_id,collection,architecture,method,implementation,accuracy,loss,ece,training_examples_per_specialist,transition_samples,router_samples,selector_samples,calibration_samples,test_samples,trainable_parameters,stored_parameters,training_time_seconds,context_mode,certificate_activated,output_type,logits_sha256,label_permutation_hash_passed,execution_commit,source_sha256,command,seed
CIFAR10_collection_2,2,torchvision_resnet18_imagenet_pretrained,c2m3_internal_activation_alignment,AlignedFeatures,0.6225,1.0772790254966866,0.07247903923792941,10000,512,512,512,512,2000,0,44726568,33.47814320772886,none,False,single_model,f0f6cc5ea1173c259f064fbc0e598c0ad7d6a1c25ba138d549e184a453d390a4,True,1237f70e2276c249ee5cbc1eedb977fc1043db26,4a63081894c0c7ff36950ae15cb56111d9236da93acf33eb6039ff6a05c6b3e1,python experiments/full_model_hidden_geometry.py,2
CIFAR10_collection_2,2,torchvision_resnet18_imagenet_pretrained,regmean_internal_matched_average,ResNet,0.6225,1.1026960626204396,0.07574013495004368,10000,512,512,512,512,2000,11181642,11181642,33.47814320772886,none,False,single_model,f0f6cc5ea1173c259f064fbc0e598c0ad7d6a1c25ba138d549e184a453d390a4,True,1237f70e2276c249ee5cbc1eedb977fc1043db26,4a63081894c0c7ff36950ae15cb56111d9236da93acf33eb6039ff6a05c6b3e1,python experiments/full_model_hidden_geometry.py,2
CIFAR10_collection_2,2,torchvision_resnet18_imagenet_pretrained,representation_alignment_merge,AlignedFeatures,0.6225,1.0772790254966866,0.07247903923792941,10000,512,512,512,512,2000,0,44726568,33.47814320772886,none,False,single_model,f0f6cc5ea1173c259f064fbc0e598c0ad7d6a1c25ba138d549e184a453d390a4,True,1237f70e2276c249ee5cbc1eedb977fc1043db26,4a63081894c0c7ff36950ae15cb56111d9236da93acf33eb6039ff6a05c6b3e1,python experiments/full_model_hidden_geometry.py,2
CIFAR10_collection_2,2,torchvision_resnet18_imagenet_pretrained,task_arithmetic,ResNet,0.6225,1.1026960626204396,0.07574013495004368,10000,512,512,512,512,2000,11181642,11181642,33.47814320772886,none,False,single_model,f0f6cc5ea1173c259f064fbc0e598c0ad7d6a1c25ba138d549e184a453d390a4,True,1237f70e2276c249ee5cbc1eedb977fc1043db26,4a63081894c0c7ff36950ae15cb56111d9236da93acf33eb6039ff6a05c6b3e1,python experiments/full_model_hidden_geometry.py,2
CIFAR10_collection_2,2,torchvision_resnet18_imagenet_pretrained,ties,ResNet,0.589,1.2056931331447038,0.08143800916970192,10000,512,512,512,512,2000,11181642,11181642,33.47814320772886,none,False,single_model,f0f6cc5ea1173c259f064fbc0e598c0ad7d6a1c25ba138d549e184a453d390a4,True,1237f70e2276c249ee5cbc1eedb977fc1043db26,4a63081894c0c7ff36950ae15cb56111d9236da93acf33eb6039ff6a05c6b3e1,python experiments/full_model_hidden_geometry.py,2
CIFAR10_collection_2,2,torchvision_resnet18_imagenet_pretrained,dare,ResNet,0.6025,1.144123858125965,0.058729711835787554,10000,512,512,512,512,2000,11181642,11181642,33.47814320772886,none,False,single_model,f0f6cc5ea1173c259f064fbc0e598c0ad7d6a1c25ba138d549e184a453d390a4,True,1237f70e2276c249ee5cbc1eedb977fc1043db26,4a63081894c0c7ff36950ae15cb56111d9236da93acf33eb6039ff6a05c6b3e1,python experiments/full_model_hidden_geometry.py,2
CIFAR10_collection_2,2,torchvision_resnet18_imagenet_pretrained,generic_low_rank_merge,AlignedFeatures,0.6225,1.0772790254966866,0.07247903923792941,10000,512,512,512,512,2000,0,44726568,33.47814320772886,none,False,single_model,f0f6cc5ea1173c259f064fbc0e598c0ad7d6a1c25ba138d549e184a453d390a4,True,1237f70e2276c249ee5cbc1eedb977fc1043db26,4a63081894c0c7ff36950ae15cb56111d9236da93acf33eb6039ff6a05c6b3e1,python experiments/full_model_hidden_geometry.py,2
CIFAR10_collection_2,2,torchvision_resnet18_imagenet_pretrained,generic_router,Router,0.635,1.0571683847078879,0.044016531076818737,10000,512,512,512,512,2000,164,44726732,38.86523462366313,none,False,router,f0f6cc5ea1173c259f064fbc0e598c0ad7d6a1c25ba138d549e184a453d390a4,True,1237f70e2276c249ee5cbc1eedb977fc1043db26,4a63081894c0c7ff36950ae15cb56111d9236da93acf33eb6039ff6a05c6b3e1,python experiments/full_model_hidden_geometry.py,2
CIFAR10_collection_2,2,torchvision_resnet18_imagenet_pretrained,strict_synchronization,AlignedFeatures,0.6225,1.0772790254966866,0.07247903923792941,10000,512,512,512,512,2000,0,44726568,33.47814320772886,none,False,single_model,f0f6cc5ea1173c259f064fbc0e598c0ad7d6a1c25ba138d549e184a453d390a4,True,1237f70e2276c249ee5cbc1eedb977fc1043db26,4a63081894c0c7ff36950ae15cb56111d9236da93acf33eb6039ff6a05c6b3e1,python experiments/full_model_hidden_geometry.py,2
CIFAR10_collection_2,2,torchvision_resnet18_imagenet_pretrained,hodge_gated_ordinary_fallback,ResNet,0.627,1.0711381607162338,0.03859646477551754,10000,512,512,512,512,2000,11181642,11181642,33.47814320772886,none,False,single_model,f0f6cc5ea1173c259f064fbc0e598c0ad7d6a1c25ba138d549e184a453d390a4,True,1237f70e2276c249ee5cbc1eedb977fc1043db26,4a63081894c0c7ff36950ae15cb56111d9236da93acf33eb6039ff6a05c6b3e1,python experiments/full_model_hidden_geometry.py,2
CIFAR10_collection_2,2,torchvision_resnet18_imagenet_pretrained,structured_retransport_certified_only,ResNet,0.627,1.0711381607162338,0.03859646477551754,10000,512,512,512,512,2000,11181642,11181642,33.47814320772886,none,False,single_model,f0f6cc5ea1173c259f064fbc0e598c0ad7d6a1c25ba138d549e184a453d390a4,True,1237f70e2276c249ee5cbc1eedb977fc1043db26,4a63081894c0c7ff36950ae15cb56111d9236da93acf33eb6039ff6a05c6b3e1,python experiments/full_model_hidden_geometry.py,2
CIFAR10_collection_2,2,torchvision_resnet18_imagenet_pretrained,ensemble_reference,Ensemble,0.621,1.0987148898035497,0.08005378515976933,10000,512,512,512,512,2000,0,44726568,33.47814320772886,none,False,ensemble,f0f6cc5ea1173c259f064fbc0e598c0ad7d6a1c25ba138d549e184a453d390a4,True,1237f70e2276c249ee5cbc1eedb977fc1043db26,4a63081894c0c7ff36950ae15cb56111d9236da93acf33eb6039ff6a05c6b3e1,python experiments/full_model_hidden_geometry.py,2
CIFAR10_collection_3,3,torchvision_resnet18_imagenet_pretrained,weight_average,ResNet,0.618,1.0875606289925859,0.0463325843506323,10000,512,512,512,512,2000,11181642,11181642,43.909182833274826,none,False,single_model,85cecbba05b65ee37edf32d9e3426259b4edb7a6b62fea1ade4f70a977857fdd,True,1237f70e2276c249ee5cbc1eedb977fc1043db26,4a63081894c0c7ff36950ae15cb56111d9236da93acf33eb6039ff6a05c6b3e1,python experiments/full_model_hidden_geometry.py,3
CIFAR10_collection_3,3,torchvision_resnet18_imagenet_pretrained,greedy_soup,ResNet,0.632,1.0702048908206494,0.023255799327938493,10000,512,512,512,512,2000,11181642,11181642,43.909182833274826,none,False,single_model,85cecbba05b65ee37edf32d9e3426259b4edb7a6b62fea1ade4f70a977857fdd,True,1237f70e2276c249ee5cbc1eedb977fc1043db26,4a63081894c0c7ff36950ae15cb56111d9236da93acf33eb6039ff6a05c6b3e1,python experiments/full_model_hidden_geometry.py,3
CIFAR10_collection_3,3,torchvision_resnet18_imagenet_pretrained,git_rebasin_internal_activation_alignment,AlignedFeatures,0.617,1.0922342227102668,0.06940462720349201,10000,512,512,512,512,2000,0,44726568,43.909182833274826,none,False,single_model,85cecbba05b65ee37edf32d9e3426259b4edb7a6b62fea1ade4f70a977857fdd,True,1237f70e2276c249ee5cbc1eedb977fc1043db26,4a63081894c0c7ff36950ae15cb56111d9236da93acf33eb6039ff6a05c6b3e1,python experiments/full_model_hidden_geometry.py,3
