group,method,target_storage_reduction,runs,accuracy,retained_teacher_gain_fraction,measured_storage_reduction,latency_ms_batch128
S3,pruned_structured_student,0.5,25,1.0,nan,-3.2164738696118076,0.45717171393334866
S3,pruned_structured_student,0.75,25,0.996015625,nan,-2.818978103915731,0.45747760217636824
S3,quantized_structured_student,0.25,25,1.0,nan,-1.3951698921986275,0.4534116620197892
S3,quantized_structured_student,0.5,25,0.99796875,nan,-1.3582258052632152,0.44826753437519073
S3,quantized_structured_student,0.75,25,0.97890625,nan,-1.320266944896991,0.45148756355047226
S3,shared_canonical_backbone_group_head,0.25,25,1.0,nan,-0.7425285946925934,0.4881991585716605
S3,shared_canonical_backbone_group_head,0.5,25,1.0,nan,-0.6018950982629205,0.4600175330415368
S3,shared_canonical_backbone_group_head,0.75,25,0.999453125,nan,-0.45324770393819497,0.44885507319122553
S3,tensor_factorized_equivariant_head,0.25,25,1.0,nan,-0.7432583915471608,0.4554999340325594
S3,tensor_factorized_equivariant_head,0.5,25,0.999921875,nan,-0.6018319894070211,0.45082504861056805
S3,tensor_factorized_equivariant_head,0.75,25,0.9953125,nan,-0.45320024834560835,0.44714007526636124
