setting_id,selector,resample_choices,modal_fraction,unique_choices
post_iclr_v2_mnist_mlp_N4_W32_S9302,A3,"[""union_gauge_soup"", ""union_gauge_soup"", ""union_gauge_soup"", ""union_gauge_soup"", ""individual_3""]",0.8,2
post_iclr_v2_mnist_mlp_N4_W32_S9302,A4,"[""greedy_soup"", ""greedy_soup"", ""greedy_soup"", ""greedy_soup"", ""individual_3""]",0.8,2
post_iclr_v2_mnist_mlp_N4_W32_S9302,A5,"[""union_gauge_soup"", ""union_gauge_soup"", ""union_gauge_soup"", ""union_gauge_soup"", ""individual_3""]",0.8,2
post_iclr_v2_mnist_mlp_N4_W64_S9302,A0,"[""individual_2"", ""individual_2"", ""greedy_soup"", ""greedy_soup"", ""individual_2""]",0.6,2
post_iclr_v2_mnist_mlp_N4_W64_S9302,A1,"[""individual_2"", ""individual_2"", ""greedy_soup"", ""official_git_rebasin"", ""individual_2""]",0.6,3
post_iclr_v2_mnist_mlp_N4_W64_S9302,A2,"[""individual_2"", ""individual_2"", ""greedy_soup"", ""greedy_soup"", ""individual_2""]",0.6,2
post_iclr_v2_mnist_mlp_N4_W64_S9302,A3,"[""individual_2"", ""individual_2"", ""greedy_soup"", ""greedy_soup"", ""individual_2""]",0.6,2
post_iclr_v2_mnist_mlp_N4_W64_S9302,A4,"[""individual_2"", ""individual_2"", ""greedy_soup"", ""greedy_soup"", ""individual_2""]",0.6,2
post_iclr_v2_mnist_mlp_N4_W64_S9302,A5,"[""individual_2"", ""individual_2"", ""greedy_soup"", ""official_git_rebasin"", ""individual_2""]",0.6,3
post_iclr_v2_mnist_mlp_N3_W32_S9303,A0,"[""greedy_soup"", ""greedy_soup"", ""greedy_soup"", ""greedy_soup"", ""greedy_soup""]",1.0,1
post_iclr_v2_mnist_mlp_N3_W32_S9303,A1,"[""greedy_soup"", ""greedy_soup"", ""greedy_soup"", ""greedy_soup"", ""greedy_soup""]",1.0,1
post_iclr_v2_mnist_mlp_N3_W32_S9303,A2,"[""greedy_soup"", ""greedy_soup"", ""greedy_soup"", ""greedy_soup"", ""greedy_soup""]",1.0,1
post_iclr_v2_mnist_mlp_N3_W32_S9303,A3,"[""permutation_gauge_soup"", ""monomial_gauge_soup"", ""monomial_gauge_soup"", ""union_gauge_soup"", ""union_gauge_soup""]",0.4,3
post_iclr_v2_mnist_mlp_N3_W32_S9303,A4,"[""greedy_soup"", ""greedy_soup"", ""greedy_soup"", ""greedy_soup"", ""greedy_soup""]",1.0,1
post_iclr_v2_mnist_mlp_N3_W32_S9303,A5,"[""permutation_gauge_soup"", ""monomial_gauge_soup"", ""monomial_gauge_soup"", ""union_gauge_soup"", ""union_gauge_soup""]",0.4,3
post_iclr_v2_mnist_mlp_N3_W64_S9303,A0,"[""greedy_soup"", ""greedy_soup"", ""greedy_soup"", ""greedy_soup"", ""greedy_soup""]",1.0,1
post_iclr_v2_mnist_mlp_N3_W64_S9303,A1,"[""greedy_soup"", ""greedy_soup"", ""greedy_soup"", ""official_c2m3"", ""greedy_soup""]",0.8,2
post_iclr_v2_mnist_mlp_N3_W64_S9303,A2,"[""greedy_soup"", ""greedy_soup"", ""greedy_soup"", ""greedy_soup"", ""greedy_soup""]",1.0,1
post_iclr_v2_mnist_mlp_N3_W64_S9303,A3,"[""greedy_soup"", ""monomial_gauge_soup"", ""greedy_soup"", ""monomial_gauge_soup"", ""permutation_gauge_soup""]",0.4,3
post_iclr_v2_mnist_mlp_N3_W64_S9303,A4,"[""greedy_soup"", ""greedy_soup"", ""greedy_soup"", ""official_c2m3"", ""greedy_soup""]",0.8,2
post_iclr_v2_mnist_mlp_N3_W64_S9303,A5,"[""greedy_soup"", ""monomial_gauge_soup"", ""greedy_soup"", ""official_c2m3"", ""permutation_gauge_soup""]",0.4,4
post_iclr_v2_mnist_mlp_N4_W32_S9303,A0,"[""greedy_soup"", ""individual_3"", ""greedy_soup"", ""greedy_soup"", ""greedy_soup""]",0.8,2
post_iclr_v2_mnist_mlp_N4_W32_S9303,A1,"[""greedy_soup"", ""individual_3"", ""greedy_soup"", ""greedy_soup"", ""greedy_soup""]",0.8,2
post_iclr_v2_mnist_mlp_N4_W32_S9303,A2,"[""greedy_soup"", ""individual_3"", ""greedy_soup"", ""greedy_soup"", ""greedy_soup""]",0.8,2
post_iclr_v2_mnist_mlp_N4_W32_S9303,A3,"[""greedy_soup"", ""individual_3"", ""monomial_gauge_soup"", ""monomial_gauge_soup"", ""greedy_soup""]",0.4,3
post_iclr_v2_mnist_mlp_N4_W32_S9303,A4,"[""greedy_soup"", ""individual_3"", ""greedy_soup"", ""greedy_soup"", ""greedy_soup""]",0.8,2
post_iclr_v2_mnist_mlp_N4_W32_S9303,A5,"[""greedy_soup"", ""individual_3"", ""monomial_gauge_soup"", ""monomial_gauge_soup"", ""greedy_soup""]",0.4,3
post_iclr_v2_mnist_mlp_N4_W64_S9303,A0,"[""individual_3"", ""individual_3"", ""greedy_soup"", ""greedy_soup"", ""individual_1""]",0.4,3
post_iclr_v2_mnist_mlp_N4_W64_S9303,A1,"[""individual_3"", ""official_c2m3"", ""greedy_soup"", ""greedy_soup"", ""official_c2m3""]",0.4,3
post_iclr_v2_mnist_mlp_N4_W64_S9303,A2,"[""individual_3"", ""individual_3"", ""greedy_soup"", ""greedy_soup"", ""individual_1""]",0.4,3
post_iclr_v2_mnist_mlp_N4_W64_S9303,A3,"[""monomial_gauge_soup"", ""monomial_gauge_soup"", ""monomial_gauge_soup"", ""permutation_gauge_soup"", ""monomial_gauge_soup""]",0.8,2
post_iclr_v2_mnist_mlp_N4_W64_S9303,A4,"[""individual_3"", ""individual_3"", ""greedy_soup"", ""greedy_soup"", ""individual_1""]",0.4,3
post_iclr_v2_mnist_mlp_N4_W64_S9303,A5,"[""monomial_gauge_soup"", ""monomial_gauge_soup"", ""monomial_gauge_soup"", ""permutation_gauge_soup"", ""monomial_gauge_soup""]",0.8,2
post_iclr_v2_mnist_mlp_N3_W32_S9304,A0,"[""greedy_soup"", ""greedy_soup"", ""greedy_soup"", ""greedy_soup"", ""greedy_soup""]",1.0,1
post_iclr_v2_mnist_mlp_N3_W32_S9304,A1,"[""greedy_soup"", ""greedy_soup"", ""greedy_soup"", ""greedy_soup"", ""greedy_soup""]",1.0,1
post_iclr_v2_mnist_mlp_N3_W32_S9304,A2,"[""greedy_soup"", ""greedy_soup"", ""greedy_soup"", ""greedy_soup"", ""greedy_soup""]",1.0,1
post_iclr_v2_mnist_mlp_N3_W32_S9304,A3,"[""greedy_soup"", ""greedy_soup"", ""greedy_soup"", ""greedy_soup"", ""greedy_soup""]",1.0,1
post_iclr_v2_mnist_mlp_N3_W32_S9304,A4,"[""greedy_soup"", ""greedy_soup"", ""greedy_soup"", ""greedy_soup"", ""greedy_soup""]",1.0,1
post_iclr_v2_mnist_mlp_N3_W32_S9304,A5,"[""greedy_soup"", ""greedy_soup"", ""greedy_soup"", ""greedy_soup"", ""greedy_soup""]",1.0,1
post_iclr_v2_mnist_mlp_N3_W64_S9304,A0,"[""individual_2"", ""greedy_soup"", ""individual_2"", ""greedy_soup"", ""greedy_soup""]",0.6,2
post_iclr_v2_mnist_mlp_N3_W64_S9304,A1,"[""individual_2"", ""greedy_soup"", ""individual_2"", ""official_c2m3"", ""greedy_soup""]",0.4,3
post_iclr_v2_mnist_mlp_N3_W64_S9304,A2,"[""individual_2"", ""greedy_soup"", ""individual_2"", ""positive_monomial_gauge_merge"", ""greedy_soup""]",0.4,3
post_iclr_v2_mnist_mlp_N3_W64_S9304,A3,"[""union_gauge_soup"", ""union_gauge_soup"", ""individual_2"", ""positive_monomial_gauge_merge"", ""union_gauge_soup""]",0.6,3
post_iclr_v2_mnist_mlp_N3_W64_S9304,A4,"[""individual_2"", ""greedy_soup"", ""individual_2"", ""official_c2m3"", ""greedy_soup""]",0.4,3
post_iclr_v2_mnist_mlp_N3_W64_S9304,A5,"[""union_gauge_soup"", ""union_gauge_soup"", ""individual_2"", ""positive_monomial_gauge_merge"", ""union_gauge_soup""]",0.6,3
post_iclr_v2_mnist_mlp_N4_W32_S9304,A0,"[""greedy_soup"", ""greedy_soup"", ""greedy_soup"", ""greedy_soup"", ""greedy_soup""]",1.0,1
post_iclr_v2_mnist_mlp_N4_W32_S9304,A1,"[""greedy_soup"", ""greedy_soup"", ""greedy_soup"", ""greedy_soup"", ""greedy_soup""]",1.0,1
post_iclr_v2_mnist_mlp_N4_W32_S9304,A2,"[""greedy_soup"", ""greedy_soup"", ""greedy_soup"", ""greedy_soup"", ""greedy_soup""]",1.0,1
post_iclr_v2_mnist_mlp_N4_W32_S9304,A3,"[""union_gauge_soup"", ""union_gauge_soup"", ""union_gauge_soup"", ""permutation_gauge_soup"", ""union_gauge_soup""]",0.8,2
post_iclr_v2_mnist_mlp_N4_W32_S9304,A4,"[""greedy_soup"", ""greedy_soup"", ""greedy_soup"", ""greedy_soup"", ""greedy_soup""]",1.0,1
post_iclr_v2_mnist_mlp_N4_W32_S9304,A5,"[""union_gauge_soup"", ""union_gauge_soup"", ""union_gauge_soup"", ""permutation_gauge_soup"", ""union_gauge_soup""]",0.8,2
post_iclr_v2_mnist_mlp_N4_W64_S9304,A0,"[""individual_2"", ""greedy_soup"", ""individual_2"", ""greedy_soup"", ""individual_3""]",0.4,3
post_iclr_v2_mnist_mlp_N4_W64_S9304,A1,"[""individual_2"", ""greedy_soup"", ""individual_2"", ""greedy_soup"", ""individual_3""]",0.4,3
post_iclr_v2_mnist_mlp_N4_W64_S9304,A2,"[""individual_2"", ""greedy_soup"", ""individual_2"", ""greedy_soup"", ""individual_3""]",0.4,3
post_iclr_v2_mnist_mlp_N4_W64_S9304,A3,"[""individual_2"", ""permutation_gauge_soup"", ""individual_2"", ""monomial_gauge_soup"", ""monomial_gauge_soup""]",0.4,3
post_iclr_v2_mnist_mlp_N4_W64_S9304,A4,"[""individual_2"", ""greedy_soup"", ""individual_2"", ""greedy_soup"", ""individual_3""]",0.4,3
post_iclr_v2_mnist_mlp_N4_W64_S9304,A5,"[""individual_2"", ""permutation_gauge_soup"", ""individual_2"", ""monomial_gauge_soup"", ""monomial_gauge_soup""]",0.4,3
post_iclr_v2_mnist_mlp_N3_W32_S9305,A0,"[""individual_0"", ""greedy_soup"", ""individual_0"", ""individual_0"", ""greedy_soup""]",0.6,2
post_iclr_v2_mnist_mlp_N3_W32_S9305,A1,"[""individual_0"", ""official_git_rebasin"", ""individual_0"", ""individual_0"", ""official_git_rebasin""]",0.6,2
post_iclr_v2_mnist_mlp_N3_W32_S9305,A2,"[""individual_0"", ""greedy_soup"", ""individual_0"", ""individual_0"", ""greedy_soup""]",0.6,2
post_iclr_v2_mnist_mlp_N3_W32_S9305,A3,"[""individual_0"", ""greedy_soup"", ""individual_0"", ""individual_0"", ""greedy_soup""]",0.6,2
post_iclr_v2_mnist_mlp_N3_W32_S9305,A4,"[""individual_0"", ""official_git_rebasin"", ""individual_0"", ""individual_0"", ""official_git_rebasin""]",0.6,2
post_iclr_v2_mnist_mlp_N3_W32_S9305,A5,"[""individual_0"", ""official_git_rebasin"", ""individual_0"", ""individual_0"", ""official_git_rebasin""]",0.6,2
post_iclr_v2_mnist_mlp_N3_W64_S9305,A0,"[""greedy_soup"", ""greedy_soup"", ""greedy_soup"", ""greedy_soup"", ""greedy_soup""]",1.0,1
post_iclr_v2_mnist_mlp_N3_W64_S9305,A1,"[""greedy_soup"", ""greedy_soup"", ""greedy_soup"", ""greedy_soup"", ""greedy_soup""]",1.0,1
post_iclr_v2_mnist_mlp_N3_W64_S9305,A2,"[""greedy_soup"", ""greedy_soup"", ""greedy_soup"", ""greedy_soup"", ""greedy_soup""]",1.0,1
post_iclr_v2_mnist_mlp_N3_W64_S9305,A3,"[""greedy_soup"", ""permutation_gauge_soup"", ""permutation_gauge_soup"", ""greedy_soup"", ""monomial_gauge_soup""]",0.4,3
post_iclr_v2_mnist_mlp_N3_W64_S9305,A4,"[""greedy_soup"", ""greedy_soup"", ""greedy_soup"", ""greedy_soup"", ""greedy_soup""]",1.0,1
post_iclr_v2_mnist_mlp_N3_W64_S9305,A5,"[""greedy_soup"", ""permutation_gauge_soup"", ""permutation_gauge_soup"", ""greedy_soup"", ""monomial_gauge_soup""]",0.4,3
post_iclr_v2_mnist_mlp_N4_W32_S9305,A0,"[""greedy_soup"", ""individual_3"", ""greedy_soup"", ""greedy_soup"", ""greedy_soup""]",0.8,2
post_iclr_v2_mnist_mlp_N4_W32_S9305,A1,"[""greedy_soup"", ""individual_3"", ""greedy_soup"", ""greedy_soup"", ""greedy_soup""]",0.8,2
post_iclr_v2_mnist_mlp_N4_W32_S9305,A2,"[""greedy_soup"", ""individual_3"", ""greedy_soup"", ""greedy_soup"", ""greedy_soup""]",0.8,2
post_iclr_v2_mnist_mlp_N4_W32_S9305,A3,"[""monomial_gauge_soup"", ""individual_3"", ""monomial_gauge_soup"", ""monomial_gauge_soup"", ""monomial_gauge_soup""]",0.8,2
post_iclr_v2_mnist_mlp_N4_W32_S9305,A4,"[""greedy_soup"", ""individual_3"", ""greedy_soup"", ""greedy_soup"", ""greedy_soup""]",0.8,2
post_iclr_v2_mnist_mlp_N4_W32_S9305,A5,"[""monomial_gauge_soup"", ""individual_3"", ""monomial_gauge_soup"", ""monomial_gauge_soup"", ""monomial_gauge_soup""]",0.8,2
post_iclr_v2_mnist_mlp_N4_W64_S9305,A0,"[""greedy_soup"", ""individual_0"", ""greedy_soup"", ""individual_0"", ""individual_0""]",0.6,2
post_iclr_v2_mnist_mlp_N4_W64_S9305,A1,"[""official_git_rebasin"", ""individual_0"", ""greedy_soup"", ""individual_0"", ""individual_0""]",0.6,3
post_iclr_v2_mnist_mlp_N4_W64_S9305,A2,"[""greedy_soup"", ""individual_0"", ""greedy_soup"", ""individual_0"", ""individual_0""]",0.6,2
post_iclr_v2_mnist_mlp_N4_W64_S9305,A3,"[""union_gauge_soup"", ""individual_0"", ""union_gauge_soup"", ""individual_0"", ""individual_0""]",0.6,2
post_iclr_v2_mnist_mlp_N4_W64_S9305,A4,"[""greedy_soup"", ""individual_0"", ""greedy_soup"", ""individual_0"", ""individual_0""]",0.6,2
post_iclr_v2_mnist_mlp_N4_W64_S9305,A5,"[""union_gauge_soup"", ""individual_0"", ""union_gauge_soup"", ""individual_0"", ""individual_0""]",0.6,2
post_iclr_v2_mnist_mlp_N3_W32_S9306,A0,"[""individual_0"", ""greedy_soup"", ""individual_0"", ""greedy_soup"", ""greedy_soup""]",0.6,2
post_iclr_v2_mnist_mlp_N3_W32_S9306,A1,"[""individual_0"", ""greedy_soup"", ""individual_0"", ""greedy_soup"", ""greedy_soup""]",0.6,2
post_iclr_v2_mnist_mlp_N3_W32_S9306,A2,"[""individual_0"", ""greedy_soup"", ""individual_0"", ""greedy_soup"", ""greedy_soup""]",0.6,2
post_iclr_v2_mnist_mlp_N3_W32_S9306,A3,"[""individual_0"", ""permutation_gauge_soup"", ""individual_0"", ""permutation_gauge_soup"", ""permutation_gauge_soup""]",0.6,2
post_iclr_v2_mnist_mlp_N3_W32_S9306,A4,"[""individual_0"", ""greedy_soup"", ""individual_0"", ""greedy_soup"", ""greedy_soup""]",0.6,2
post_iclr_v2_mnist_mlp_N3_W32_S9306,A5,"[""individual_0"", ""permutation_gauge_soup"", ""individual_0"", ""permutation_gauge_soup"", ""permutation_gauge_soup""]",0.6,2
post_iclr_v2_mnist_mlp_N3_W64_S9306,A0,"[""greedy_soup"", ""greedy_soup"", ""greedy_soup"", ""greedy_soup"", ""greedy_soup""]",1.0,1
post_iclr_v2_mnist_mlp_N3_W64_S9306,A1,"[""greedy_soup"", ""official_git_rebasin"", ""official_git_rebasin"", ""official_c2m3"", ""official_c2m3""]",0.4,3
post_iclr_v2_mnist_mlp_N3_W64_S9306,A2,"[""greedy_soup"", ""greedy_soup"", ""greedy_soup"", ""greedy_soup"", ""greedy_soup""]",1.0,1
post_iclr_v2_mnist_mlp_N3_W64_S9306,A3,"[""union_gauge_soup"", ""union_gauge_soup"", ""greedy_soup"", ""greedy_soup"", ""union_gauge_soup""]",0.6,2
post_iclr_v2_mnist_mlp_N3_W64_S9306,A4,"[""greedy_soup"", ""official_git_rebasin"", ""official_git_rebasin"", ""official_c2m3"", ""official_c2m3""]",0.4,3
post_iclr_v2_mnist_mlp_N3_W64_S9306,A5,"[""union_gauge_soup"", ""official_git_rebasin"", ""official_git_rebasin"", ""official_c2m3"", ""official_c2m3""]",0.4,3
post_iclr_v2_mnist_mlp_N4_W32_S9306,A0,"[""greedy_soup"", ""greedy_soup"", ""greedy_soup"", ""greedy_soup"", ""greedy_soup""]",1.0,1
