setting_id,seed,n_models,width,sync_disagreement,diagnostic_threshold,train_size,validation_size,test_size,training_seconds,candidate_count,failed_candidates,split_sha256
post_iclr_v2_mnist_mlp_N3_W32_S9307,9307,3,32,0.1840277777777778,0.22743055555555555,4000,1000,10000,1.2881363751366735,19,0,b640387caa432ca845496fafc18f8f21af1f7adb1cafde496f85906ea9aa1112
post_iclr_v2_mnist_mlp_N3_W64_S9307,9307,3,64,0.17708333333333334,0.22743055555555555,4000,1000,10000,1.3345787078142166,19,0,b640387caa432ca845496fafc18f8f21af1f7adb1cafde496f85906ea9aa1112
post_iclr_v2_mnist_mlp_N4_W32_S9307,9307,4,32,0.265625,0.22743055555555555,4000,1000,10000,1.68319133319892,20,0,b640387caa432ca845496fafc18f8f21af1f7adb1cafde496f85906ea9aa1112
post_iclr_v2_mnist_mlp_N4_W64_S9307,9307,4,64,0.3154296875,0.22743055555555555,4000,1000,10000,1.7218239998910576,20,0,b640387caa432ca845496fafc18f8f21af1f7adb1cafde496f85906ea9aa1112
post_iclr_v2_mnist_mlp_N3_W32_S9308,9308,3,32,0.1840277777777778,0.22743055555555555,4000,1000,10000,1.3915005419403315,19,0,66b65c6f81347d568b9b3914d7e90a3470bd40d677b24e4e505a39836aba89de
post_iclr_v2_mnist_mlp_N3_W64_S9308,9308,3,64,0.16493055555555555,0.22743055555555555,4000,1000,10000,1.2901942918542773,19,0,66b65c6f81347d568b9b3914d7e90a3470bd40d677b24e4e505a39836aba89de
post_iclr_v2_mnist_mlp_N4_W32_S9308,9308,4,32,0.267578125,0.22743055555555555,4000,1000,10000,1.6725827499758452,20,0,66b65c6f81347d568b9b3914d7e90a3470bd40d677b24e4e505a39836aba89de
post_iclr_v2_mnist_mlp_N4_W64_S9308,9308,4,64,0.2958984375,0.22743055555555555,4000,1000,10000,1.8387428340502083,20,0,66b65c6f81347d568b9b3914d7e90a3470bd40d677b24e4e505a39836aba89de
post_iclr_v2_mnist_mlp_N3_W32_S9309,9309,3,32,0.19444444444444445,0.22743055555555555,4000,1000,10000,1.3785013749729842,19,0,dff173ea696d2358794f8a88177b858469ddb7e98caa77dee01e473999d519d1
post_iclr_v2_mnist_mlp_N3_W64_S9309,9309,3,64,0.1701388888888889,0.22743055555555555,4000,1000,10000,1.3113917908631265,19,0,dff173ea696d2358794f8a88177b858469ddb7e98caa77dee01e473999d519d1
post_iclr_v2_mnist_mlp_N4_W32_S9309,9309,4,32,0.29296875,0.22743055555555555,4000,1000,10000,1.6971087499987334,20,0,dff173ea696d2358794f8a88177b858469ddb7e98caa77dee01e473999d519d1
post_iclr_v2_mnist_mlp_N4_W64_S9309,9309,4,64,0.2861328125,0.22743055555555555,4000,1000,10000,1.7458442079368979,20,0,dff173ea696d2358794f8a88177b858469ddb7e98caa77dee01e473999d519d1
