seed,method,condition,examples,task_accuracy
20,random_chart_control,seen_rotations,250,0.2759999930858612
20,wrong_group_action_control,ambiguous_symmetric_inputs,250,0.14399999380111694
20,wrong_group_action_control,blur,250,0.0560000017285347
20,wrong_group_action_control,chart_distribution_shift,250,0.10000000149011612
20,wrong_group_action_control,gaussian_corruption,250,0.10000000149011612
20,wrong_group_action_control,heldout_compositions,250,0.05999999865889549
20,wrong_group_action_control,heldout_reflections,250,0.03999999910593033
20,wrong_group_action_control,heldout_rotations,250,0.11599999666213989
20,wrong_group_action_control,seen_rotations,250,0.1120000034570694
20,wrong_multiplication_order_control,ambiguous_symmetric_inputs,250,0.36000001430511475
20,wrong_multiplication_order_control,blur,250,0.5600000023841858
20,wrong_multiplication_order_control,chart_distribution_shift,250,0.4440000057220459
20,wrong_multiplication_order_control,gaussian_corruption,250,0.5320000052452087
20,wrong_multiplication_order_control,heldout_compositions,250,0.4480000138282776
20,wrong_multiplication_order_control,heldout_reflections,250,0.3319999873638153
20,wrong_multiplication_order_control,heldout_rotations,250,0.6880000233650208
20,wrong_multiplication_order_control,seen_rotations,250,0.7279999852180481
20,ensemble_reference,ambiguous_symmetric_inputs,250,0.19200000166893005
20,ensemble_reference,blur,250,0.2639999985694885
20,ensemble_reference,chart_distribution_shift,250,0.14399999380111694
20,ensemble_reference,gaussian_corruption,250,0.2840000092983246
20,ensemble_reference,heldout_compositions,250,0.20000000298023224
20,ensemble_reference,heldout_reflections,250,0.10000000149011612
20,ensemble_reference,heldout_rotations,250,0.18000000715255737
20,ensemble_reference,seen_rotations,250,0.4959999918937683
20,generic_low_rank_context_adapter,ambiguous_symmetric_inputs,250,0.2800000011920929
20,generic_low_rank_context_adapter,blur,250,0.3160000145435333
20,generic_low_rank_context_adapter,chart_distribution_shift,250,0.15600000321865082
20,generic_low_rank_context_adapter,gaussian_corruption,250,0.31200000643730164
20,generic_low_rank_context_adapter,heldout_compositions,250,0.20000000298023224
20,generic_low_rank_context_adapter,heldout_reflections,250,0.21199999749660492
20,generic_low_rank_context_adapter,heldout_rotations,250,0.1679999977350235
20,generic_low_rank_context_adapter,seen_rotations,250,0.5640000104904175
21,single_canonical_raw,ambiguous_symmetric_inputs,250,0.35199999809265137
21,single_canonical_raw,blur,250,0.25999999046325684
21,single_canonical_raw,chart_distribution_shift,250,0.1120000034570694
21,single_canonical_raw,gaussian_corruption,250,0.25600001215934753
21,single_canonical_raw,heldout_compositions,250,0.2919999957084656
21,single_canonical_raw,heldout_reflections,250,0.09200000017881393
21,single_canonical_raw,heldout_rotations,250,0.15199999511241913
21,single_canonical_raw,seen_rotations,250,0.4519999921321869
21,d4_test_time_augmentation,ambiguous_symmetric_inputs,250,0.3400000035762787
21,d4_test_time_augmentation,blur,250,0.30000001192092896
21,d4_test_time_augmentation,chart_distribution_shift,250,0.35199999809265137
21,d4_test_time_augmentation,gaussian_corruption,250,0.20399999618530273
21,d4_test_time_augmentation,heldout_compositions,250,0.335999995470047
21,d4_test_time_augmentation,heldout_reflections,250,0.3840000033378601
21,d4_test_time_augmentation,heldout_rotations,250,0.3160000145435333
21,d4_test_time_augmentation,seen_rotations,250,0.36399999260902405
21,direct_d4_equivariant_task_classifier,ambiguous_symmetric_inputs,250,0.6039999723434448
21,direct_d4_equivariant_task_classifier,blur,250,0.6679999828338623
21,direct_d4_equivariant_task_classifier,chart_distribution_shift,250,0.628000020980835
21,direct_d4_equivariant_task_classifier,gaussian_corruption,250,0.5559999942779541
21,direct_d4_equivariant_task_classifier,heldout_compositions,250,0.6840000152587891
21,direct_d4_equivariant_task_classifier,heldout_reflections,250,0.6959999799728394
21,direct_d4_equivariant_task_classifier,heldout_rotations,250,0.6320000290870667
21,direct_d4_equivariant_task_classifier,seen_rotations,250,0.6800000071525574
21,ordinary_chart_soft_moe,ambiguous_symmetric_inputs,250,0.2680000066757202
21,ordinary_chart_soft_moe,blur,250,0.2720000147819519
21,ordinary_chart_soft_moe,chart_distribution_shift,250,0.14000000059604645
21,ordinary_chart_soft_moe,gaussian_corruption,250,0.2199999988079071
21,ordinary_chart_soft_moe,heldout_compositions,250,0.23600000143051147
21,ordinary_chart_soft_moe,heldout_reflections,250,0.19599999487400055
21,ordinary_chart_soft_moe,heldout_rotations,250,0.18400000035762787
21,ordinary_chart_soft_moe,seen_rotations,250,0.3880000114440918
21,d4_chart_soft_moe,ambiguous_symmetric_inputs,250,0.37599998712539673
21,d4_chart_soft_moe,blur,250,0.5360000133514404
21,d4_chart_soft_moe,chart_distribution_shift,250,0.5879999995231628
21,d4_chart_soft_moe,gaussian_corruption,250,0.4880000054836273
21,d4_chart_soft_moe,heldout_compositions,250,0.6039999723434448
21,d4_chart_soft_moe,heldout_reflections,250,0.5600000023841858
21,d4_chart_soft_moe,heldout_rotations,250,0.5839999914169312
21,d4_chart_soft_moe,seen_rotations,250,0.5680000185966492
21,d4_chart_hard_branch_selection,ambiguous_symmetric_inputs,250,0.36399999260902405
21,d4_chart_hard_branch_selection,blur,250,0.5479999780654907
21,d4_chart_hard_branch_selection,chart_distribution_shift,250,0.6000000238418579
21,d4_chart_hard_branch_selection,gaussian_corruption,250,0.5320000052452087
21,d4_chart_hard_branch_selection,heldout_compositions,250,0.6200000047683716
