evidence_label,mode,seed,node,task_order,parent,appended_task,depth,training_examples_per_edge,epochs_per_edge,optimizer_steps_this_edge,edge_training_seconds,final_training_loss,validation_mean_accuracy,validation_worst_accuracy,validation_a_accuracy,validation_b_accuracy,validation_c_accuracy,first_task_forgetting,state_sha256,checkpoint_sha256,trainable_parameters,adapter_total_parameters,frozen_encoder_parameters,stored_bytes,source_m0_path,source_m0_sha256,test_mean_accuracy,test_worst_domain_accuracy,test_mean_nll,test_mean_brier,test_mean_ece,test_a_accuracy,test_a_nll,test_a_brier,test_a_ece,test_b_accuracy,test_b_nll,test_b_brier,test_b_ece,test_c_accuracy,test_c_nll,test_c_brier,test_c_ece
natural_model_lineage,scored_after_logit_hash,0,M_ABC,ABC,M_AB,C,3,2500,12,120,0.03373999986797571,0.7881864309310913,0.4791666666666667,0.224609375,0.224609375,0.541015625,0.671875,0.240234375,7def9d6dee74309e0fdc68e5f488c555294d090d6de8d76b5178122170fa3186,975d31a187f8786abf946c4d491954ee75c9dfe6252c9e1dcb2b0bdf5fef6f20,1162,1162,11176512,4648,,,0.47966668009757996,0.23800000548362732,1.64873210589091,0.6847445766131083,0.1272456802544184,0.23800000548362732,2.602036714553833,0.985874354839325,0.2987438076233957,0.5400000214576721,1.3324079513549805,0.6038206815719604,0.05346491720410995,0.6610000133514404,1.011751651763916,0.46453869342803955,0.02952831593574956
natural_model_lineage,scored_after_logit_hash,0,M_ACB,ACB,M_AC,B,3,2500,12,120,0.03223837516270578,1.032472848892212,0.4895833333333333,0.2578125,0.2578125,0.57421875,0.63671875,0.20703125,02afc1d6bd57cfe60618f895e81cf769ce3c08e0e68a9dccdaa21bc4e71111ee,d15ee426807c196412e3e37392e03be9cb839e1221ae4e51540a2bd27597a932,1162,1162,11176512,4648,,,0.4856666723887126,0.28299999237060547,1.6138137181599934,0.6756581862767538,0.1212630733983436,0.28299999237060547,2.3108651638031006,0.9084556698799133,0.23269800702109933,0.5630000233650208,1.268061637878418,0.5730084180831909,0.0415289273369126,0.6110000014305115,1.262514352798462,0.545510470867157,0.08956228583701886
natural_model_lineage,scored_after_logit_hash,0,M_BAC,BAC,M_BA,C,3,2500,12,120,0.03306470811367035,0.8023557066917419,0.4895833333333333,0.24609375,0.24609375,0.541015625,0.681640625,0.03515625,d4f2d255c9f43dc61df3b3b3d25c6a1b48e27d534d292012cecc4d58cba82047,4d4f23be7a82a97b91f815253b60c3d38c5a130b5281e49b8d178933a7c8962f,1162,1162,11176512,4648,,,0.4913333257039388,0.2680000066757202,1.567050814628601,0.6647474567095438,0.10406671402355035,0.2680000066757202,2.3714845180511475,0.9350848197937012,0.23569393786601722,0.5389999747276306,1.319235920906067,0.596589982509613,0.05425855430075899,0.6669999957084656,1.0104320049285889,0.4625675678253174,0.022247649903874844
natural_model_lineage,scored_after_logit_hash,0,M_BCA,BCA,M_BC,A,3,2500,12,120,0.03190537495538592,1.492234468460083,0.5091145833333334,0.455078125,0.455078125,0.501953125,0.5703125,0.07421875,54310d224a14d44515b1f0552d38f7b7323fdc9336d002d6a8f51dc8e811f919,606229ddc65241221f0726c473eb9c26ac7b8f4ec68999e818cb5a8d166a909e,1162,1162,11176512,4648,,,0.4976666768391927,0.4169999957084656,1.5577837626139324,0.6588608622550964,0.09391475642526832,0.4169999957084656,1.6173738241195679,0.7112255692481995,0.022122274021967314,0.5210000276565552,1.5607500076293945,0.6490353941917419,0.1053146515332628,0.5550000071525574,1.4952274560928345,0.6163216233253479,0.15430734372057486
natural_model_lineage,scored_after_logit_hash,0,M_CAB,CAB,M_CA,B,3,2500,12,120,0.03227491700090468,1.0378239154815674,0.4934895833333333,0.2734375,0.2734375,0.572265625,0.634765625,0.029296875,b3d40cebdc4bb9f2547c4ba6940a2700c0a518e502d4498af296e2fd73d45b75,83a13ca137581c39a1c17f6d45407c1aab7d4f7012b4ff5c08317d2528dd27b2,1162,1162,11176512,4648,,,0.4913333257039388,0.3059999942779541,1.5783846775690715,0.6666984558105469,0.11355987119895872,0.3059999942779541,2.1886208057403564,0.8766445517539978,0.195008804788813,0.5649999976158142,1.2685290575027466,0.5733721852302551,0.048772350419312716,0.6029999852180481,1.2780041694641113,0.5500786304473877,0.09689845838875044
natural_model_lineage,scored_after_logit_hash,0,M_CBA,CBA,M_CB,A,3,2500,12,120,0.033670791890472174,1.4796558618545532,0.4986979166666667,0.45703125,0.45703125,0.5078125,0.53125,0.1328125,3c00e76703dea289abfbd9f28aaa35139e3abc77c0909fdc63b0b2c1b3d07ed7,8e25f96648c77f21fbde6a42228a758901bb5c2d96c36be30fd9dbd663ae0bf7,1162,1162,11176512,4648,,,0.5016666650772095,0.4259999990463257,1.5883604288101196,0.6662573417027792,0.09490940876033467,0.4259999990463257,1.608850121498108,0.7097060084342957,0.025297615822637454,0.531000018119812,1.556580662727356,0.6473458409309387,0.09815517102833837,0.5479999780654907,1.599650502204895,0.641720175743103,0.1612754394300282
natural_model_lineage,scored_after_logit_hash,1,M0,,,,0,0,0,0,0.0,,0.4615885416666667,0.212890625,0.212890625,0.55078125,0.62109375,,96b861c72e0993cdd333a7aa6f5f05caf9693f3f6ecc96db827a15219b9f4cca,74610d05831094341730a50eda8bc8b70efe31fa3fda04ee9565cf0162378e3b,1162,1162,11176512,4648,/Users/tinggong/Documents/Codex/2026-07-19/holonomy-applications/work/TwistedMerge-holonomy-applications/reports/tmp/holonomy_applications/shared_corpus_confirmatory/adapter_seed_1.pt,37b4196d479bba7914d08956795bc535f2ca78bc6b2efcb57989e0f00e3b88c7,0.45666666825612384,0.24500000476837158,1.6628541151682537,0.7026564081509908,0.132296379757463,0.24500000476837158,2.431964874267578,0.9628998637199402,0.27047212622710504,0.5149999856948853,1.3526074886322021,0.6172209978103638,0.06262153765419498,0.6100000143051147,1.2039899826049805,0.5278483629226685,0.06379547539108898
natural_model_lineage,scored_after_logit_hash,1,M_A,A,M0,A,1,2500,12,120,0.048082667170092463,1.5309866666793823,0.486328125,0.443359375,0.443359375,0.490234375,0.525390625,0.0,e64cfd42a18ff998d5cb3386dfcf615c78df328b80b451b354235fb6b8364a49,77c640c3f60bb2bc5717d7d460af0f58a527e63ecfcdc5add85b0936fbef46c1,1162,1162,11176512,4648,,,0.4830000003178914,0.41100001335144043,1.6194368600845337,0.6802758375803629,0.10265415611017185,0.41100001335144043,1.6236380338668823,0.7136266827583313,0.017450997067498975,0.5230000019073486,1.53519868850708,0.6446418166160583,0.09324634783843067,0.5149999856948853,1.6994738578796387,0.6825590133666992,0.1972651234245859
natural_model_lineage,scored_after_logit_hash,1,M_B,B,M0,B,1,2500,12,120,0.03376637492328882,1.291664958000183,0.4869791666666667,0.259765625,0.259765625,0.58203125,0.619140625,0.0,4146a7d0dd9024c9161b95320b4f63dcf135f86a03026df03427e178675e5d47,fd47294dcdea6bcaae55e72c355f597ad38b32fd635ab21cf36a750c34d422af,1162,1162,11176512,4648,,,0.47966666022936505,0.2800000011920929,1.6479286352793376,0.6859650611877441,0.13487452397142383,0.2800000011920929,2.3557639122009277,0.9234017729759216,0.2429727590897528,0.5649999976158142,1.2670905590057373,0.5722582936286926,0.05334957600643975,0.593999981880188,1.3209314346313477,0.5622351169586182,0.1083012368180789
natural_model_lineage,scored_after_logit_hash,1,M_C,C,M0,C,1,2500,12,120,0.03664429183118045,0.7970871329307556,0.462890625,0.2109375,0.2109375,0.515625,0.662109375,0.0,a20b22ba420afa99f14ebdaeb4b962afa161d930d670911354c0b787efb69e80,cd95530122680769472acce01a42f7b0cc22ca1ef6898ef37a70e6c2e226b566,1162,1162,11176512,4648,,,0.4739999969800313,0.23199999332427979,1.6775424480438232,0.6935731569925944,0.12817488160847765,0.23199999332427979,2.651014804840088,0.9952616095542908,0.2991337956118514,0.5320000052452087,1.3566913604736328,0.6153874397277832,0.057443038502242416,0.6579999923706055,1.024921178817749,0.47007042169570923,0.027947810711339116
