seed,branch_family,method,trainable_parameters,total_parameters_including_frozen_encoder,branch_count,inference_multiplier,stored_bytes,transport_fit_cost_seconds,transport_analysis_seconds_shared_seed,synchronization_cost_seconds,merge_cost_seconds,peak_memory_bytes,inference_latency_seconds,validation_evaluation_count,additional_training_control
1,BC,fallback_only_policy,1162,11177674,1,1.0,4648,14.745889860981455,44.23766958294436,0.0,0.0,758497280,3.3888655404249825e-05,4,False
1,BC,joint_sequential_adaptation_oracle,1162,11177674,1,1.0,4648,0.0,44.23766958294436,0.0,0.0,758497280,3.404170274734497e-05,2,True
1,BC,prediction_ensemble_upper_bound,2324,11178836,2,2.0,9296,0.0,44.23766958294436,0.0,0.0,758497280,7.033332561453183e-05,0,False
2,AB,raw_parameter_average,1162,11177674,1,1.0,4648,0.0,44.05154270795174,0.0,0.003396041924133897,758497280,3.241670007507006e-05,0,False
2,AB,pairwise_reference_alignment,1162,11177674,1,1.0,4648,14.683847569317246,44.05154270795174,0.0,0.002961875172331929,758497280,3.213901072740555e-05,0,False
2,AB,ordinary_global_synchronization,1162,11177674,1,1.0,4648,14.683847569317246,44.05154270795174,0.007019917014986277,0.0008977078832685947,758497280,3.2027640069524445e-05,0,False
2,AB,validation_selected_interpolation,1162,11177674,1,1.0,4648,0.0,44.05154270795174,0.0,0.019692374859005213,758497280,3.1999933222929634e-05,11,False
2,AB,cycle_aware_synchronization,1162,11177674,1,1.0,4648,14.683847569317246,44.05154270795174,0.018579958006739616,0.0,758497280,3.183330409228802e-05,0,False
2,AB,fallback_only_policy,1162,11177674,1,1.0,4648,14.683847569317246,44.05154270795174,0.0,0.0,758497280,3.180567485590776e-05,4,False
2,AB,joint_sequential_adaptation_oracle,1162,11177674,1,1.0,4648,0.0,44.05154270795174,0.0,0.0,758497280,3.2125040888786316e-05,2,True
2,AB,prediction_ensemble_upper_bound,2324,11178836,2,2.0,9296,0.0,44.05154270795174,0.0,0.0,758497280,6.848596967756748e-05,0,False
2,AC,raw_parameter_average,1162,11177674,1,1.0,4648,0.0,44.05154270795174,0.0,0.00045233406126499176,758497280,3.523604633907477e-05,0,False
2,AC,pairwise_reference_alignment,1162,11177674,1,1.0,4648,14.683847569317246,44.05154270795174,0.0,0.0011114580556750298,758497280,3.461097367107868e-05,0,False
2,AC,ordinary_global_synchronization,1162,11177674,1,1.0,4648,14.683847569317246,44.05154270795174,0.0064303327817469835,0.0008866251446306705,758497280,3.448602122565111e-05,0,False
2,AC,validation_selected_interpolation,1162,11177674,1,1.0,4648,0.0,44.05154270795174,0.0,0.01878679101355374,758497280,3.468066764374574e-05,11,False
2,AC,cycle_aware_synchronization,1162,11177674,1,1.0,4648,14.683847569317246,44.05154270795174,0.017595750046893954,0.0,758497280,3.4416637693842254e-05,0,False
2,AC,fallback_only_policy,1162,11177674,1,1.0,4648,14.683847569317246,44.05154270795174,0.0,0.0,758497280,3.4346943721175194e-05,4,False
2,AC,joint_sequential_adaptation_oracle,1162,11177674,1,1.0,4648,0.0,44.05154270795174,0.0,0.0,758497280,3.5860963786641754e-05,2,True
2,AC,prediction_ensemble_upper_bound,2324,11178836,2,2.0,9296,0.0,44.05154270795174,0.0,0.0,758497280,7.168071654935677e-05,0,False
2,BC,raw_parameter_average,1162,11177674,1,1.0,4648,0.0,44.05154270795174,0.0,0.0004759589210152626,758497280,3.619461009899775e-05,0,False
2,BC,pairwise_reference_alignment,1162,11177674,1,1.0,4648,14.683847569317246,44.05154270795174,0.0,0.0011675001587718725,758497280,3.448602122565111e-05,0,False
2,BC,ordinary_global_synchronization,1162,11177674,1,1.0,4648,14.683847569317246,44.05154270795174,0.006824124837294221,0.0009665829129517078,758497280,3.5013615464170776e-05,0,False
2,BC,validation_selected_interpolation,1162,11177674,1,1.0,4648,0.0,44.05154270795174,0.0,0.018558625131845474,758497280,3.4555637588103615e-05,11,False
2,BC,cycle_aware_synchronization,1162,11177674,1,1.0,4648,14.683847569317246,44.05154270795174,0.018043291056528687,0.0,758497280,3.50693395982186e-05,0,False
2,BC,fallback_only_policy,1162,11177674,1,1.0,4648,14.683847569317246,44.05154270795174,0.0,0.0,758497280,3.483332693576813e-05,4,False
2,BC,joint_sequential_adaptation_oracle,1162,11177674,1,1.0,4648,0.0,44.05154270795174,0.0,0.0,758497280,3.477768041193485e-05,2,True
2,BC,prediction_ensemble_upper_bound,2324,11178836,2,2.0,9296,0.0,44.05154270795174,0.0,0.0,758497280,7.048598490655422e-05,0,False
