seed,layer,source,target,path_relation,method,selected,fit_residual,transport_validation_residual,transport_test_residual,condition_number,effective_rank,singular_value_spread,inverse_consistency,bootstrap_instability_mean,bootstrap_instability_ci_low,bootstrap_instability_ci_high
1,adapter,M_AB,M_B,loop_closing,ridge_linear,True,0.10687967965281496,0.11213286522505729,0.10818851295691635,111638045350.12555,4,1.1325227341956368,0.9683551512274549,0.013637713677290093,0.009949236596464722,0.018749654787601697
1,adapter,M_AB,M_B,loop_closing,low_rank_residual,False,0.12501430087093302,0.1266889234448184,0.12145484894425311,182410454.83070967,60,1.0455382023408188,,,,
1,adapter,M_AB,M_B,loop_closing,whitened_cca,False,0.10772129999178041,0.11309111557970736,0.10904023535842383,1.2594485257405468,64,0.24645469387782093,,,,
1,adapter,M_B,M_AB,loop_closing,orthogonal_procrustes,False,0.11409472279046651,0.11916247960026274,0.11442982095880486,1.0000000000000013,64,1.3322676295501878e-15,,,,
1,adapter,M_B,M_AB,loop_closing,ridge_linear,True,0.09798680739067865,0.10349574158772448,0.09976420693675404,92777180861.15587,4,1.0502183517609933,0.9683554771221149,0.012756342879232491,0.009724356971603353,0.017529768817202262
1,adapter,M_B,M_AB,loop_closing,low_rank_residual,False,0.12511075072156,0.12818460239863386,0.12305538604929031,178295585.9640353,60,1.0148931436080944,,,,
1,adapter,M_B,M_AB,loop_closing,whitened_cca,False,0.09864210306057886,0.10417229274334897,0.10046700060475702,1.259448525740503,64,0.21686271877974317,,,,
1,adapter,M_AC,M_C,loop_closing,orthogonal_procrustes,False,0.16149826157346714,0.16872893193779395,0.16288768295723763,1.0000000000000013,64,1.3322676295501878e-15,,,,
1,adapter,M_AC,M_C,loop_closing,ridge_linear,True,0.14562277951125913,0.15187499651582612,0.14976931955899977,16395214834.976948,4,1.185049668436687,0.968569147664826,0.01775187797413796,0.013432395782973146,0.02503747787668217
1,adapter,M_AC,M_C,loop_closing,low_rank_residual,False,0.17561444914716465,0.17837457658585512,0.17560160627018742,196539105.762896,60,1.0508356770298564,,,,
1,adapter,M_AC,M_C,loop_closing,whitened_cca,False,0.147919331388907,0.15395619218307674,0.15219191211759958,1.357742632657413,64,0.3369503948209214,,,,
1,adapter,M_C,M_AC,loop_closing,orthogonal_procrustes,False,0.16107465401367896,0.1704993877048987,0.16438455496591695,1.0000000000000016,64,1.4432899320127035e-15,,,,
1,adapter,M_C,M_AC,loop_closing,ridge_linear,True,0.13045880275565444,0.13725191746007862,0.1358209687455568,13896320622.832594,4,1.056069544257763,0.9685832106358107,0.016297803729226446,0.012197045447584655,0.021521970905148347
1,adapter,M_C,M_AC,loop_closing,low_rank_residual,False,0.1786857228235972,0.18504572684540352,0.18156602112169593,190732393.77361128,60,1.0175588995478626,,,,
1,adapter,M_C,M_AC,loop_closing,whitened_cca,False,0.13215811766870836,0.13913479364327622,0.13749263280778234,1.3577426326573692,64,0.2797421915138706,,,,
1,adapter,M_BC,M_C,loop_closing,orthogonal_procrustes,False,0.08186439214304035,0.08623322473794186,0.08230244028397365,1.0000000000000013,64,1.2212453270876722e-15,,,,
1,adapter,M_BC,M_C,loop_closing,ridge_linear,True,0.07692314440433837,0.08094157033033411,0.07780206499683584,724449073570.3351,4,1.025303020068047,0.9682513867861066,0.009909633618880687,0.0076434982029278346,0.013291134004053155
1,adapter,M_BC,M_C,loop_closing,low_rank_residual,False,0.08569462179964979,0.08943136381160871,0.0855111718951686,170950082.77941898,60,1.0079232351411782,,,,
1,adapter,M_BC,M_C,loop_closing,whitened_cca,False,0.07700560883833166,0.08102769337293034,0.07783330257008242,1.0738503384115068,64,0.0708695576674907,,,,
1,adapter,M_C,M_BC,loop_closing,orthogonal_procrustes,False,0.08053217034661767,0.0847887085863629,0.08108058755520323,1.0000000000000013,64,1.2212453270876722e-15,,,,
1,adapter,M_C,M_BC,loop_closing,ridge_linear,True,0.07628605353425524,0.08048684115337726,0.07721571101183669,129155460641.46709,4,1.0391977253849454,0.9682509208397105,0.009485796227580175,0.007334905467393077,0.01306576775473389
1,adapter,M_C,M_BC,loop_closing,low_rank_residual,False,0.08358836994841001,0.08727361849506286,0.08369905815665434,174778131.3006552,60,1.0069644490604188,,,,
1,adapter,M_C,M_BC,loop_closing,whitened_cca,False,0.07636661955512553,0.08055089168324482,0.07734262943762896,1.0738503384114988,64,0.07166407491020832,,,,
1,adapter,M_ABC,M_BAC,same_depth_closing,orthogonal_procrustes,False,0.13943266766274764,0.14344932255801074,0.14343965528497213,1.0000000000000016,64,1.5543122344752192e-15,,,,
