seed,order_family,loop_id,left_node,right_node,left_mean_accuracy,right_mean_accuracy,absolute_mean_accuracy_delta,absolute_worst_accuracy_delta,left_first_task_forgetting,right_first_task_forgetting,absolute_forgetting_delta,prediction_disagreement,feature_discrepancy,absolute_ece_delta,parameter_distance,pairwise_transport_residual,inverse_consistency,loop_identity_distance,loop_spectral_radius,loop_singular_spread,loop_commutator_max,loop_stable_nonidentity,order_sensitivity_score
1,AC_vs_CA,1:AC_square,M_AC,M_CA,0.48266666134198505,0.4923333426316579,0.009666681289672852,0.1629999876022339,0.1550000011920929,0.11399996280670166,0.041000038385391235,0.4326666593551636,0.26358863711357117,0.0011235572116371911,0.277644518718708,1.5517583422563856e-07,1.1303143540424983e-14,2.3420143870433644e-14,1.000000000000006,8.315570454442422e-14,9.475370054363914e-15,False,0.11874865758189818
1,BC_vs_CB,1:BC_square,M_BC,M_CB,0.47333334386348724,0.4826666812102,0.009333337346712767,0.04600001871585846,0.02899998426437378,0.05299997329711914,0.02399998903274536,0.2776666581630707,0.18067185580730438,0.0025085344968829304,0.2059143623706851,1.4880276855680247e-07,1.262756083200878e-14,2.247238313746536e-14,1.0000000000000053,7.771561172376096e-14,9.497474392499226e-15,False,0.06853224272194527
1,ABC_vs_BAC,1:swap_ABC_BAC,M_ABC,M_BAC,0.47699999809265137,0.4879999856154124,0.010999987522761046,0.0169999897480011,0.17000001668930054,0.018000006675720215,0.15200001001358032,0.08966666460037231,0.09661313146352768,0.020592009784498558,0.1519599261926004,1.4711555497180887e-07,1.1717423069830372e-14,3.542978037412762e-14,1.0000000000000089,1.5554224574998443e-13,9.531561595923067e-15,False,0.06250211362092785
1,ABC_vs_ACB,1:swap_ABC_ACB,M_ABC,M_ACB,0.47699999809265137,0.48633333047231037,0.009333332379658998,0.041999995708465576,0.17000001668930054,0.12800002098083496,0.041999995708465576,0.2800000011920929,0.19811776280403137,0.0019620961393229663,0.21719071397111372,1.4898928418564348e-07,1.0723698524367958e-14,3.2497121514663837e-14,1.0000000000000107,1.2367884494324244e-13,9.551112855780551e-15,False,0.07315565627418431
1,ACB_vs_CAB,1:swap_ACB_CAB,M_ACB,M_CAB,0.48633333047231037,0.4966666599114736,0.010333329439163208,0.02400001883506775,0.12800002098083496,0.04500001668930054,0.08300000429153442,0.05900000035762787,0.0862961933016777,0.0199865671020234,0.13013829874002916,1.479324244835216e-07,1.1073466621652715e-14,3.2251652578146174e-14,1.0000000000000064,1.0647038806155251e-13,9.417257638845266e-15,False,0.04510103481158876
1,BAC_vs_BCA,1:swap_BAC_BCA,M_BAC,M_BCA,0.4879999856154124,0.4910000065962474,0.003000020980834961,0.1510000228881836,0.018000006675720215,0.042999982833862305,0.02499997615814209,0.4413333237171173,0.26026007533073425,0.0016466522502014413,0.2749113698782375,1.596857234475022e-07,1.1371583609454866e-14,3.291843933932424e-14,1.0000000000000089,1.397770788003072e-13,9.447840693116023e-15,False,0.11174855751190012
1,BCA_vs_CBA,1:swap_BCA_CBA,M_BCA,M_CBA,0.4910000065962474,0.4906666775544484,0.0003333290417989465,0.009000003337860107,0.042999982833862305,0.12999999523162842,0.08700001239776611,0.11733333021402359,0.10585898160934448,0.0012260433237921975,0.157267458155074,1.5755373933172033e-07,1.1569393750601436e-14,3.483469415952253e-14,1.0000000000000073,1.3800072196090696e-13,9.23957195886134e-15,False,0.0474619698607865
1,CAB_vs_CBA,1:swap_CAB_CBA,M_CAB,M_CBA,0.4966666599114736,0.4906666775544484,0.0059999823570251465,0.11100000143051147,0.04500001668930054,0.12999999523162842,0.08499997854232788,0.3733333349227905,0.2336747646331787,0.004229349030841448,0.260262468714392,1.5760259169926102e-07,1.1847653767937467e-14,3.499803419260138e-14,1.0000000000000095,1.199040866595169e-13,9.497474392499226e-15,False,0.10781187533606544
2,AB_vs_BA,2:AB_square,M_AB,M_BA,0.49033334851264954,0.49299998084704083,0.0026666323343912945,0.10699999332427979,0.10499998927116394,0.028000056743621826,0.07699993252754211,0.36133334040641785,0.23240141570568085,0.013734994579863269,0.26394183476548855,1.517626761556152e-07,1.1867720734439868e-14,2.2758104165157468e-14,1.0000000000000087,8.348877145181177e-14,9.798124098726212e-15,False,0.10371888325208088
2,AC_vs_CA,2:AC_square,M_AC,M_CA,0.4856666525204976,0.5006666680177053,0.015000015497207697,0.1730000078678131,0.16600000858306885,0.10600000619888306,0.06000000238418579,0.4206666648387909,0.2589509189128876,0.026471879430270448,0.2830994159904628,1.5076751595697158e-07,1.2132554965333077e-14,2.0900736201778365e-14,1.0000000000000064,7.37188088351104e-14,9.891234834505845e-15,False,0.12609091122925226
2,BC_vs_CB,2:BC_square,M_BC,M_CB,0.4756666620572408,0.48033331831296283,0.004666656255722046,0.03999999165534973,0.020000040531158447,0.05200004577636719,0.03200000524520874,0.26633334159851074,0.17950445413589478,0.0016180797077443576,0.20731536572295117,1.456155197081311e-07,1.2910545784685326e-14,2.0541119002767987e-14,1.0000000000000062,6.084022174945858e-14,9.493248162720748e-15,False,0.06631866742149246
2,ABC_vs_BAC,2:swap_ABC_BAC,M_ABC,M_BAC,0.47733334203561145,0.4860000014305115,0.008666659394900023,0.015000000596046448,0.18199999630451202,0.01100003719329834,0.17099995911121368,0.09366666525602341,0.09127084910869598,0.007969702486055524,0.14264131574864158,1.45265620134144e-07,1.1590756041457929e-14,2.94593313879856e-14,1.00000000000001,9.447997939560082e-14,9.891234834505845e-15,False,0.0641705987117779
2,ABC_vs_ACB,2:swap_ABC_ACB,M_ABC,M_ACB,0.47733334203561145,0.4820000131924947,0.00466667115688324,0.047999992966651917,0.18199999630451202,0.1340000033378601,0.047999992966651917,0.2736666798591614,0.1923033893108368,0.003117106717885093,0.21779976087560537,1.4874220951255736e-07,1.1796471238521247e-14,2.825775672578647e-14,1.0000000000000067,9.71445146547012e-14,9.753167016394804e-15,False,0.07319359842963988
2,ACB_vs_CAB,2:swap_ACB_CAB,M_ACB,M_CAB,0.4820000131924947,0.4919999937216441,0.00999998052914941,0.029000014066696167,0.1340000033378601,0.061000049114227295,0.07299995422363281,0.05533333495259285,0.08267469704151154,0.015172373745978504,0.1364710280354419,1.4710806230297165e-07,1.2221933357995815e-14,2.8704342886246315e-14,1.000000000000008,1.071365218763276e-13,9.748571710736624e-15,False,0.043332250875065426
2,BAC_vs_BCA,2:swap_BAC_BCA,M_BAC,M_BCA,0.4860000014305115,0.4990000029404958,0.013000001509984316,0.1730000078678131,0.01100003719329834,0.0350000262260437,0.02399998903274536,0.4233333468437195,0.25562164187431335,0.02263861340664637,0.2747488336296674,1.5183043349664754e-07,1.1114444369908065e-14,2.923704056387837e-14,1.000000000000013,9.947598300641403e-14,9.535158089763451e-15,False,0.11790002642444494
2,BCA_vs_CBA,2:swap_BCA_CBA,M_BCA,M_CBA,0.4990000029404958,0.4936666587988536,0.005333344141642216,0.0040000081062316895,0.0350000262260437,0.12200003862380981,0.08700001239776611,0.10433333367109299,0.09990943223237991,0.0029131289532718513,0.15830994858332428,1.5203104724779518e-07,1.1719950171828654e-14,2.889232380166843e-14,1.000000000000007,8.171241461241152e-14,9.345043094645754e-15,False,0.0462960816134294
2,CAB_vs_CBA,2:swap_CAB_CBA,M_CAB,M_CBA,0.4919999937216441,0.4936666587988536,0.0016666650772094727,0.10699999332427979,0.061000049114227295,0.12200003862380981,0.06099998950958252,0.367333322763443,0.23446495831012726,0.009405706475566447,0.262432869452564,1.5297516906850573e-07,1.251405977825989e-14,2.949765945413687e-14,1.000000000000012,9.170442183403793e-14,9.718536351551265e-15,False,0.10069079268360376
