setting_id,dataset,seed,method,accuracy,loss,ece,chart_accuracy,trainable_parameters,stored_parameters,branch_count,latency_ms,peak_memory_mb,router_examples,selector_examples,test_examples,leakage_hash_passed,logits_sha256
CIFAR10_s1,CIFAR10,1,twistedmerge_hodge_lr,0.2635,2.246394381072213,0.14771800198710616,nan,0,1170,1,0.018832972273230553,1009.5625,500,500,2000,True,756fe5e9b3bbf1bcc404f4100fa499645f4ef0f70aa5e0411841bb3887ce82f5
CIFAR10_s1,CIFAR10,1,canonicalize_pool_retransport,0.31,2.226909201426489,0.1936043098747561,nan,0,1170,1,0.019041122868657112,1009.5625,500,500,2000,True,756fe5e9b3bbf1bcc404f4100fa499645f4ef0f70aa5e0411841bb3887ce82f5
CIFAR10_s1,CIFAR10,1,random_group_law_control,0.2255,2.2601778379348243,0.11071049622209812,nan,0,1170,1,0.018833205103874207,1009.5625,500,500,2000,True,756fe5e9b3bbf1bcc404f4100fa499645f4ef0f70aa5e0411841bb3887ce82f5
CIFAR10_s1,CIFAR10,1,wrong_action_control,0.2185,2.258331559874499,0.10375794695872528,nan,0,1170,1,0.019124941900372505,1009.5625,500,500,2000,True,756fe5e9b3bbf1bcc404f4100fa499645f4ef0f70aa5e0411841bb3887ce82f5
CIFAR10_s1,CIFAR10,1,ensemble_reference,0.2575,2.2564766318727743,0.14655769468942492,nan,0,1170,8,0.01937500201165676,1009.5625,500,500,2000,True,756fe5e9b3bbf1bcc404f4100fa499645f4ef0f70aa5e0411841bb3887ce82f5
CIFAR10_s2,CIFAR10,2,context_blind_synchronization,0.2375,2.2558755014409937,0.12313192983834559,0.1835,520,1170,1,0.0594588927924633,1009.5625,500,500,2000,True,7243290f7ecf31518570a5661279dbe4cadde0338d81d2dce90cea7c7ff00389
CIFAR10_s2,CIFAR10,2,generic_image_context_predictor,0.285,2.2537632870704747,0.1744459476434128,0.1835,520,1170,1,0.02079200930893421,1009.5625,500,500,2000,True,7243290f7ecf31518570a5661279dbe4cadde0338d81d2dce90cea7c7ff00389
CIFAR10_s2,CIFAR10,2,generic_mixture_of_experts,0.285,2.2537632870704747,0.1744459476434128,0.1835,520,1170,8,0.017832964658737183,1009.5625,500,500,2000,True,7243290f7ecf31518570a5661279dbe4cadde0338d81d2dce90cea7c7ff00389
CIFAR10_s2,CIFAR10,2,generic_low_rank_context_adapter,0.2735,2.254406010317143,0.16189403712208875,0.1835,520,1170,1,0.020249979570508003,1009.5625,500,500,2000,True,7243290f7ecf31518570a5661279dbe4cadde0338d81d2dce90cea7c7ff00389
CIFAR10_s2,CIFAR10,2,structured_group_router,0.262,2.249637992685624,0.1470052453149942,0.1835,520,1170,8,0.0177919864654541,1009.5625,500,500,2000,True,7243290f7ecf31518570a5661279dbe4cadde0338d81d2dce90cea7c7ff00389
CIFAR10_s2,CIFAR10,2,twistedmerge_hodge_lr,0.262,2.249637992685624,0.1470052453149942,nan,0,1170,1,0.017832964658737183,1009.5625,500,500,2000,True,7243290f7ecf31518570a5661279dbe4cadde0338d81d2dce90cea7c7ff00389
CIFAR10_s2,CIFAR10,2,canonicalize_pool_retransport,0.3265,2.227316526446001,0.21088104957410775,nan,0,1170,1,0.01812516711652279,1009.5625,500,500,2000,True,7243290f7ecf31518570a5661279dbe4cadde0338d81d2dce90cea7c7ff00389
CIFAR10_s2,CIFAR10,2,random_group_law_control,0.2235,2.258150540798921,0.10913499181497897,nan,0,1170,1,0.01800013706088066,1009.5625,500,500,2000,True,7243290f7ecf31518570a5661279dbe4cadde0338d81d2dce90cea7c7ff00389
CIFAR10_s2,CIFAR10,2,wrong_action_control,0.236,2.2567275903548807,0.12146315474900503,nan,0,1170,1,0.017958926036953926,1009.5625,500,500,2000,True,7243290f7ecf31518570a5661279dbe4cadde0338d81d2dce90cea7c7ff00389
CIFAR10_s2,CIFAR10,2,ensemble_reference,0.281,2.2544003896554123,0.17047952875545225,nan,0,1170,8,0.017916085198521614,1009.5625,500,500,2000,True,7243290f7ecf31518570a5661279dbe4cadde0338d81d2dce90cea7c7ff00389
