setting_id,null,permutation,residual,observed_residual,threshold_95
MNIST_mlp_4_shared_base_specialization_s10,edge_map_shuffle,23,0.1875572072184064,0.05888403541340326,0.4536661663861451
MNIST_mlp_4_shared_base_specialization_s10,edge_map_shuffle,24,0.8820868908684186,0.05888403541340326,0.4536661663861451
MNIST_mlp_4_shared_base_specialization_s10,edge_map_shuffle,25,0.055395018005629536,0.05888403541340326,0.4536661663861451
MNIST_mlp_4_shared_base_specialization_s10,edge_map_shuffle,26,0.11550519358079517,0.05888403541340326,0.4536661663861451
MNIST_mlp_4_shared_base_specialization_s10,edge_map_shuffle,27,0.04728736294181313,0.05888403541340326,0.4536661663861451
MNIST_mlp_4_shared_base_specialization_s10,edge_map_shuffle,28,0.14717877893301506,0.05888403541340326,0.4536661663861451
MNIST_mlp_4_shared_base_specialization_s10,edge_map_shuffle,29,0.1629947679452597,0.05888403541340326,0.4536661663861451
MNIST_mlp_4_shared_base_specialization_s10,edge_map_shuffle,30,0.1521464124476538,0.05888403541340326,0.4536661663861451
MNIST_mlp_4_shared_base_specialization_s10,edge_map_shuffle,31,0.030968478756639516,0.05888403541340326,0.4536661663861451
MNIST_mlp_4_shared_base_specialization_s10,edge_map_shuffle,32,0.1681309652938424,0.05888403541340326,0.4536661663861451
MNIST_mlp_4_shared_base_specialization_s10,edge_map_shuffle,33,0.25547646460784235,0.05888403541340326,0.4536661663861451
MNIST_mlp_4_shared_base_specialization_s10,edge_map_shuffle,34,0.4536661663861451,0.05888403541340326,0.4536661663861451
MNIST_mlp_4_shared_base_specialization_s10,edge_map_shuffle,35,0.06298410197391943,0.05888403541340326,0.4536661663861451
MNIST_mlp_4_shared_base_specialization_s10,edge_map_shuffle,36,0.20117275871255683,0.05888403541340326,0.4536661663861451
MNIST_mlp_4_shared_base_specialization_s10,edge_map_shuffle,37,0.14325362535758782,0.05888403541340326,0.4536661663861451
MNIST_mlp_4_shared_base_specialization_s10,edge_map_shuffle,38,0.19451396644894234,0.05888403541340326,0.4536661663861451
MNIST_mlp_4_shared_base_specialization_s10,edge_map_shuffle,39,0.10678047803671172,0.05888403541340326,0.4536661663861451
MNIST_mlp_4_shared_base_specialization_s10,edge_map_shuffle,40,0.08078071863651959,0.05888403541340326,0.4536661663861451
MNIST_mlp_4_shared_base_specialization_s10,edge_map_shuffle,41,0.1458305646228789,0.05888403541340326,0.4536661663861451
MNIST_mlp_4_shared_base_specialization_s10,edge_map_shuffle,42,0.08483363677122568,0.05888403541340326,0.4536661663861451
