group,word_length,method,task_accuracy,action_accuracy,multiplication_error,trainable_parameters
S3,6,small_sequence_transformer,0.16851150228789016,0.16851150228789016,0.8314884977121098,102.0
S3,6,twistedmerge_structured_action,1.0,1.0,0.0,0.0
S3,7,generic_mixture_of_experts,0.1636810547132604,0.1636810547132604,0.8363189452867396,102.0
S3,7,learned_matrix_action,0.1636810547132604,0.1636810547132604,0.8363189452867396,102.0
S3,7,lookup_table_diagnostic,0.16858480591707345,0.16858480591707345,0.8314151940829266,102.0
S3,7,low_rank_context_adapter,0.1636810547132604,0.1636810547132604,0.8363189452867396,102.0
S3,7,sequence_mlp,0.16607207347721709,0.16607207347721709,0.8339279265227828,102.0
S3,7,small_sequence_transformer,0.16607207347721709,0.16607207347721709,0.8339279265227828,102.0
S3,7,twistedmerge_structured_action,1.0,1.0,0.0,0.0
S3,8,generic_mixture_of_experts,0.16061075289893326,0.16061075289893326,0.8393892471010668,102.0
S3,8,learned_matrix_action,0.16061075289893326,0.16061075289893326,0.8393892471010668,102.0
S3,8,lookup_table_diagnostic,0.16089534461561408,0.16089534461561408,0.839104655384386,102.0
S3,8,low_rank_context_adapter,0.16061075289893326,0.16061075289893326,0.8393892471010668,102.0
S3,8,sequence_mlp,0.16065539538954107,0.16065539538954107,0.8393446046104589,102.0
S3,8,small_sequence_transformer,0.16065539538954107,0.16065539538954107,0.8393446046104589,102.0
S3,8,twistedmerge_structured_action,1.0,1.0,0.0,0.0
