seed,epsilon,mode,location,max_absolute_activation_error,mean_absolute_activation_error
1,1e-05,eval,layer3.0.after_residual,8.58306884765625e-06,8.542548357581836e-07
1,1e-05,eval,layer3.1.after_residual,1.0013580322265625e-05,1.1059337339247577e-06
1,1e-05,eval,layer4.0.after_residual,5.364418029785156e-06,5.857955329702236e-07
1,1e-05,eval,layer4.1.after_residual,5.185604095458984e-06,6.136514230092871e-07
1,1e-05,train,stem,0.0,0.0
1,1e-05,train,layer1.0.after_residual,6.318092346191406e-06,7.976154847710859e-07
1,1e-05,train,layer1.1.after_residual,9.775161743164062e-06,1.2958682873431826e-06
1,1e-05,train,layer2.0.after_residual,1.1086463928222656e-05,9.503661431153887e-07
1,1e-05,train,layer2.1.after_residual,1.6570091247558594e-05,1.6208546185225714e-06
1,1e-05,train,layer3.0.after_residual,2.0623207092285156e-05,1.6827357285364997e-06
1,1e-05,train,layer3.1.after_residual,2.2172927856445312e-05,2.7240737381362123e-06
1,1e-05,train,layer4.0.after_residual,0.00013566017150878906,4.8614974730298854e-06
1,1e-05,train,layer4.1.after_residual,0.0006396770477294922,1.1881275895575527e-05
1,0.1,eval,stem,0.0,0.0
1,0.1,eval,layer1.0.after_residual,2.7418136596679688e-06,3.3033063573384425e-07
1,0.1,eval,layer1.1.after_residual,4.589557647705078e-06,5.162589786777971e-07
1,0.1,eval,layer2.0.after_residual,6.020069122314453e-06,4.417703962644737e-07
1,0.1,eval,layer2.1.after_residual,7.68899917602539e-06,6.751723731213133e-07
1,0.1,eval,layer3.0.after_residual,6.079673767089844e-06,4.926509973302018e-07
1,0.1,eval,layer3.1.after_residual,6.079673767089844e-06,6.219863166734285e-07
1,0.1,eval,layer4.0.after_residual,3.0994415283203125e-06,3.1818757406654186e-07
1,0.1,eval,layer4.1.after_residual,3.2186508178710938e-06,3.300766024949553e-07
1,0.1,train,stem,0.0,0.0
1,0.1,train,layer1.0.after_residual,4.887580871582031e-06,6.861336032670806e-07
1,0.1,train,layer1.1.after_residual,1.0013580322265625e-05,1.138267634814838e-06
1,0.1,train,layer2.0.after_residual,1.1682510375976562e-05,9.364507604914252e-07
1,0.1,train,layer2.1.after_residual,1.52587890625e-05,1.5145132010729867e-06
1,0.1,train,layer3.0.after_residual,1.582503318786621e-05,1.448097236789181e-06
1,0.1,train,layer3.1.after_residual,2.0742416381835938e-05,2.3127151962398784e-06
1,0.1,train,layer4.0.after_residual,2.1159648895263672e-05,2.089875124511309e-06
1,0.1,train,layer4.1.after_residual,2.5212764739990234e-05,2.805356416502036e-06
