seed,epsilon,strategy,strategy_label,mode,max_absolute_logit_error,mean_absolute_logit_error,relative_output_error,prediction_disagreement,evaluation_seconds,purported_exact,exactness_tolerance,exactness_status,batches,batch_size,parameter_count,parameter_count_unchanged,capacity
1,1e-05,no_batchnorm_control,exact positive Conv-ReLU-Conv gauge without BatchNorm,eval,5.960464477539063e-08,6.12053563386894e-09,5.42073980100214e-08,0.0,0.0010250830091536045,True,5e-06,exact_within_float32_tolerance,2,4,1898,True,same_architecture_same_parameter_count
1,1e-05,no_batchnorm_control,exact positive Conv-ReLU-Conv gauge without BatchNorm,train,5.960464477539063e-08,6.12053563386894e-09,5.42073980100214e-08,0.0,0.0009362921118736267,True,5e-06,exact_within_float32_tolerance,2,4,1898,True,same_architecture_same_parameter_count
1,0.1,permutation,exact compatible channel permutation,eval,7.897615432739258e-07,2.932065399363637e-07,1.6390618999840897e-06,0.0,0.02456745901145041,True,5e-05,exact_within_float32_tolerance,2,4,11181642,True,same_architecture_same_parameter_count
1,0.1,permutation,exact compatible channel permutation,train,6.884336471557617e-06,1.986109509743983e-06,8.537391613881268e-06,0.0,0.02641120902262628,True,0.0002,exact_within_float32_tolerance,2,4,11181642,True,same_architecture_same_parameter_count
1,0.1,frozen,scaled Conv; original frozen statistics and affine parameters,eval,0.3244277238845825,0.12566986680030823,0.7025105602800192,0.625,0.02348229195922613,False,nan,not_purported_exact,2,4,11181642,True,same_architecture_same_parameter_count
1,0.1,frozen,scaled Conv; original frozen statistics and affine parameters,train,0.6400705575942993,0.16179867088794708,0.6954997240579924,0.25,0.026105291908606887,False,nan,not_purported_exact,2,4,11181642,True,same_architecture_same_parameter_count
1,0.1,running,scaled Conv and running statistics only,eval,0.09583040326833725,0.029453683644533157,0.16464984268910418,0.125,0.023326874943450093,False,nan,not_purported_exact,2,4,11181642,True,same_architecture_same_parameter_count
1,0.1,running,scaled Conv and running statistics only,train,0.6400705575942993,0.16179867088794708,0.6954997240579924,0.25,0.026382082840427756,False,nan,not_purported_exact,2,4,11181642,True,same_architecture_same_parameter_count
1,0.1,affine,scaled Conv and affine compensation with original frozen statistics,eval,8.195638656616211e-07,2.566142995874543e-07,1.4345066161763854e-06,0.0,0.02348058414645493,True,5e-05,exact_within_float32_tolerance,2,4,11181642,True,same_architecture_same_parameter_count
1,0.1,affine,scaled Conv and affine compensation with original frozen statistics,train,1.015385389328003,0.2891382575035095,1.2428753413405196,0.75,0.026529124937951565,False,nan,not_purported_exact,2,4,11181642,True,same_architecture_same_parameter_count
1,0.1,running_affine,"scaled Conv, transformed running statistics, and epsilon-aware affine compensation",eval,7.450580596923828e-07,2.245302255232673e-07,1.2551525560442682e-06,0.0,0.024027958046644926,True,5e-05,exact_within_float32_tolerance,2,4,11181642,True,same_architecture_same_parameter_count
1,0.1,running_affine,"scaled Conv, transformed running statistics, and epsilon-aware affine compensation",train,0.6106005311012268,0.19581833481788635,0.8417349603919453,0.625,0.026285332860425115,False,nan,not_purported_exact,2,4,11181642,True,same_architecture_same_parameter_count
1,0.1,post_merge_recalibration,scaled Conv with short BatchNorm recalibration,eval,0.2696176767349243,0.07737012207508087,0.43250883598267037,0.625,0.023355290992185473,False,nan,not_purported_exact,2,4,11181642,True,same_architecture_same_parameter_count
1,0.1,post_merge_recalibration,scaled Conv with short BatchNorm recalibration,train,0.6400705575942993,0.16179867088794708,0.6954997240579924,0.25,0.026057125069200993,False,nan,not_purported_exact,2,4,11181642,True,same_architecture_same_parameter_count
1,0.1,complete_recomputation,scaled Conv with complete target-BatchNorm statistic recomputation,eval,0.09583062678575516,0.029453670606017113,0.16464976980213897,0.125,0.02752141607925296,False,nan,not_purported_exact,2,4,11181642,True,same_architecture_same_parameter_count
1,0.1,complete_recomputation,scaled Conv with complete target-BatchNorm statistic recomputation,train,0.6400705575942993,0.16179867088794708,0.6954997240579924,0.25,0.029996959026902914,False,nan,not_purported_exact,2,4,11181642,True,same_architecture_same_parameter_count
1,0.1,no_batchnorm_control,exact positive Conv-ReLU-Conv gauge without BatchNorm,eval,5.960464477539063e-08,6.12053563386894e-09,5.42073980100214e-08,0.0,0.0014617911074310541,True,5e-06,exact_within_float32_tolerance,2,4,1898,True,same_architecture_same_parameter_count
1,0.1,no_batchnorm_control,exact positive Conv-ReLU-Conv gauge without BatchNorm,train,5.960464477539063e-08,6.12053563386894e-09,5.42073980100214e-08,0.0,0.001311040949076414,True,5e-06,exact_within_float32_tolerance,2,4,1898,True,same_architecture_same_parameter_count
