phase,group,width,noise,context_budget,method,accuracy,loss,ece,trainable_parameters,latency_ms
discovery,D4,32,0.5,16,shuffled_context_control,0.12266666666666666,2.5130778551321713,0.24349120769796037,0.0,0.00808399636298418
discovery,D4,32,0.5,16,structured_learned_router,0.2808333333333333,2.252904114153853,0.12409498660988497,72.0,0.008145347237586975
discovery,D4,32,0.5,16,supplied_context_structured_retransport,0.5646666666666667,1.777463837049482,0.2192321485789072,0.0,0.008145580068230629
discovery,D4,32,0.5,16,twistedmerge_hodge_lr,0.5646666666666667,1.777463837049482,0.21923214857890727,56.0,0.008187489584088326
discovery,D4,32,0.5,64,c2m3_strict_synchronization,0.1775,2.4201352120573274,0.18862258324494038,0.0,0.008124974556267262
discovery,D4,32,0.5,64,generic_linear,0.12516666666666668,2.172715457915276,0.10150465016725921,328.0,0.00810413621366024
discovery,D4,32,0.5,64,generic_low_rank_context_adapter,0.13641666666666669,2.5385449789095595,0.24635152766261975,392.0,0.008124974556267262
discovery,D4,32,0.5,64,generic_mixture_of_experts,0.37483333333333335,2.034688126241478,0.23461152468828975,72.0,0.008062575943768024
discovery,D4,32,0.5,64,generic_two_layer_mlp,0.11741666666666666,2.1020284558761255,0.049008192158799,792.0,0.008082948625087738
discovery,D4,32,0.5,64,learned_matrix_context_action,0.195,2.3681281790694966,0.18626076631771982,520.0,0.008124392479658127
discovery,D4,32,0.5,64,shuffled_context_control,0.12683333333333333,2.5034494227569413,0.23862139706697594,0.0,0.008146045729517937
discovery,D4,32,0.5,64,structured_learned_router,0.4328333333333333,2.0012654453546093,0.130316584822662,72.0,0.008125090971589088
discovery,D4,32,0.5,64,supplied_context_structured_retransport,0.5685,1.777431934033314,0.2174003215672089,0.0,0.008062459528446198
discovery,D4,32,0.5,64,twistedmerge_hodge_lr,0.5685,1.777431934033314,0.2174003215672089,56.0,0.008166534826159477
discovery,D4,32,0.5,256,c2m3_strict_synchronization,0.1775,2.4201352120573274,0.18862258324494038,0.0,0.008167000487446785
discovery,D4,32,0.5,256,generic_linear,0.12341666666666666,2.0921839760619587,0.032434629109732833,328.0,0.00816606916487217
discovery,D4,32,0.5,256,generic_low_rank_context_adapter,0.14441666666666667,2.323678008253738,0.1741222904977516,392.0,0.008125090971589088
discovery,D4,32,0.5,256,generic_mixture_of_experts,0.45325,2.034020099776213,0.31464823847324386,72.0,0.008353963494300842
discovery,D4,32,0.5,256,generic_two_layer_mlp,0.11933333333333333,2.0852718011425715,0.023871346890962594,792.0,0.008124974556267262
discovery,D4,32,0.5,256,learned_matrix_context_action,0.27258333333333334,2.0124453974294125,0.03970987120469187,520.0,0.008187489584088326
discovery,D4,32,0.5,256,shuffled_context_control,0.12808333333333333,2.511931048837308,0.2374059472610309,0.0,0.008187489584088326
discovery,D4,32,0.5,256,structured_learned_router,0.5421666666666667,1.8180211048936308,0.1962544328538963,72.0,0.008187489584088326
discovery,D4,32,0.5,256,supplied_context_structured_retransport,0.56025,1.7902440389523988,0.2114602884540461,0.0,0.008166534826159477
discovery,D4,32,0.5,256,twistedmerge_hodge_lr,0.56025,1.7902440389523988,0.2114602884540461,56.0,0.008187023922801018
discovery,D4,32,0.5,1024,c2m3_strict_synchronization,0.1775,2.4201352120573274,0.18862258324494038,0.0,0.008146045729517937
discovery,D4,32,0.5,1024,generic_linear,0.11991666666666667,2.0835454039550645,0.02051093308678819,328.0,0.008207978680729866
discovery,D4,32,0.5,1024,generic_low_rank_context_adapter,0.14275,2.3033652706695515,0.16633442495303738,392.0,0.008082948625087738
discovery,D4,32,0.5,1024,generic_mixture_of_experts,0.48591666666666666,2.0333919442327426,0.3478283989168786,72.0,0.008146045729517937
discovery,D4,32,0.5,1024,generic_two_layer_mlp,0.11508333333333334,2.0822087192664975,0.019709674487315854,792.0,0.00818807166069746
discovery,D4,32,0.5,1024,learned_matrix_context_action,0.35583333333333333,1.8961987919326861,0.11259476986341518,520.0,0.008124974556267262
discovery,D4,32,0.5,1024,shuffled_context_control,0.12983333333333333,2.499112423138833,0.2365886548701625,0.0,0.008104485459625721
discovery,D4,32,0.5,1024,structured_learned_router,0.5658333333333333,1.7708832019678613,0.212642939818787,72.0,0.008125090971589088
discovery,D4,32,0.5,1024,supplied_context_structured_retransport,0.5658333333333333,1.7708832019678613,0.212642939818787,0.0,0.008187023922801018
discovery,D4,32,0.5,1024,twistedmerge_hodge_lr,0.5658333333333333,1.7708832019678613,0.212642939818787,56.0,0.008104019798338413
discovery,D4,32,1.0,16,c2m3_strict_synchronization,0.1775,2.4201352120573274,0.18862258324494038,0.0,0.008229515515267849
discovery,D4,32,1.0,16,generic_linear,0.11866666666666667,2.127446122316025,0.07955306880238007,328.0,0.008187489584088326
discovery,D4,32,1.0,16,generic_low_rank_context_adapter,0.14475,2.4775941654218006,0.2273326449631456,392.0,0.008333008736371994
discovery,D4,32,1.0,16,generic_mixture_of_experts,0.11608333333333334,2.08788704017143,0.02822289632017671,72.0,0.00814592931419611
discovery,D4,32,1.0,16,generic_two_layer_mlp,0.123,2.2198299988530525,0.14063638376175677,792.0,0.008146045729517937
discovery,D4,32,1.0,16,learned_matrix_context_action,0.12308333333333332,2.2374163019242026,0.12112801119766366,520.0,0.008333474397659302
discovery,D4,32,1.0,16,shuffled_context_control,0.12333333333333334,2.5166228365540597,0.2422059923121746,0.0,0.008166534826159477
