setting_id,dataset,architecture,model_count,relation,seed,method,accuracy,loss,ece,merge_degradation,calibration_samples,selector_validation_samples,test_samples,training_examples_per_local_model,training_time_seconds,inference_time_seconds,trainable_parameters,stored_parameters,branch_count,peak_memory_mb,lift_activated,leakage_hash_passed,logits_sha256
MNIST_mlp_4_independent_seeds_s2,MNIST,mlp,4,independent_seeds,2,strict_synchronization,0.896,0.3900021509915282,0.07892050716265817,0.007499999999999951,500,500,2000,5000,0.0,0.02050904231145978,0,50890,1,475.8125,False,True,a370d378f3e9945411dc66b4f891096e6aa586448e4e796a78e292dbf42e41e3
MNIST_mlp_4_independent_seeds_s2,MNIST,mlp,4,independent_seeds,2,generic_low_rank_correction,0.7695,0.7572017347611364,0.11261940855457925,0.134,500,500,2000,5000,0.0,0.02050904231145978,110,50890,1,475.8125,False,True,a370d378f3e9945411dc66b4f891096e6aa586448e4e796a78e292dbf42e41e3
MNIST_mlp_4_independent_seeds_s2,MNIST,mlp,4,independent_seeds,2,twistedmerge_hodge_lr,0.896,0.3900021509915282,0.07892050716265817,0.007499999999999951,500,500,2000,5000,0.0,0.02050904231145978,110,50890,1,475.8125,False,True,a370d378f3e9945411dc66b4f891096e6aa586448e4e796a78e292dbf42e41e3
MNIST_mlp_4_independent_seeds_s2,MNIST,mlp,4,independent_seeds,2,ensemble_reference,0.9035,0.36898013949394226,0.07806675890088077,0.0,500,500,2000,5000,0.0,0.02050904231145978,0,203560,4,475.8125,False,True,a370d378f3e9945411dc66b4f891096e6aa586448e4e796a78e292dbf42e41e3
MNIST_mlp_3_shared_base_specialization_s0,MNIST,mlp,3,shared_base_specialization,0,weight_average,0.891,0.3623858094215393,0.014590608581900599,-0.0010000000000000009,500,500,2000,5000,0.0,0.014665334019809961,0,50890,1,475.8125,False,True,8f7d751a322820287a0bd795d22c84b8d86c7cedb968b636f9aabfa584aeeba4
MNIST_mlp_3_shared_base_specialization_s0,MNIST,mlp,3,shared_base_specialization,0,strict_synchronization,0.8905,0.3705371133217675,0.04873653801451685,-0.0004999999999999449,500,500,2000,5000,0.0,0.014665334019809961,0,50890,1,475.8125,False,True,8f7d751a322820287a0bd795d22c84b8d86c7cedb968b636f9aabfa584aeeba4
MNIST_mlp_3_shared_base_specialization_s0,MNIST,mlp,3,shared_base_specialization,0,generic_low_rank_correction,0.6625,0.8505967317738564,0.04812347240364462,0.22750000000000004,500,500,2000,5000,0.0,0.014665334019809961,110,50890,1,475.8125,False,True,8f7d751a322820287a0bd795d22c84b8d86c7cedb968b636f9aabfa584aeeba4
MNIST_mlp_3_shared_base_specialization_s0,MNIST,mlp,3,shared_base_specialization,0,twistedmerge_hodge_lr,0.8905,0.3705371133217675,0.04873653801451685,-0.0004999999999999449,500,500,2000,5000,0.0,0.014665334019809961,110,50890,1,475.8125,False,True,8f7d751a322820287a0bd795d22c84b8d86c7cedb968b636f9aabfa584aeeba4
MNIST_mlp_3_shared_base_specialization_s0,MNIST,mlp,3,shared_base_specialization,0,ensemble_reference,0.89,0.3680504560470581,0.021879423677921273,0.0,500,500,2000,5000,0.0,0.014665334019809961,0,152670,3,475.8125,False,True,8f7d751a322820287a0bd795d22c84b8d86c7cedb968b636f9aabfa584aeeba4
MNIST_mlp_4_shared_base_specialization_s0,MNIST,mlp,4,shared_base_specialization,0,weight_average,0.9005,0.348275750875473,0.02781213817000387,-0.0024999999999999467,500,500,2000,5000,0.0,0.020215375814586878,0,50890,1,475.8125,False,True,a68730aa02a2143fabf030b413c81cb6d9c54085c758c55488aed6b5196f9236
MNIST_mlp_4_shared_base_specialization_s0,MNIST,mlp,4,shared_base_specialization,0,strict_synchronization,0.894,0.35890865350798423,0.046778796235076026,0.0040000000000000036,500,500,2000,5000,0.0,0.020215375814586878,0,50890,1,475.8125,False,True,a68730aa02a2143fabf030b413c81cb6d9c54085c758c55488aed6b5196f9236
MNIST_mlp_4_shared_base_specialization_s0,MNIST,mlp,4,shared_base_specialization,0,generic_low_rank_correction,0.664,0.8401784963423707,0.051913975359866464,0.23399999999999999,500,500,2000,5000,0.0,0.020215375814586878,110,50890,1,475.8125,False,True,a68730aa02a2143fabf030b413c81cb6d9c54085c758c55488aed6b5196f9236
MNIST_mlp_4_shared_base_specialization_s0,MNIST,mlp,4,shared_base_specialization,0,twistedmerge_hodge_lr,0.894,0.35890865350798423,0.046778796235076026,0.0040000000000000036,500,500,2000,5000,0.0,0.020215375814586878,110,50890,1,475.8125,False,True,a68730aa02a2143fabf030b413c81cb6d9c54085c758c55488aed6b5196f9236
MNIST_mlp_4_shared_base_specialization_s0,MNIST,mlp,4,shared_base_specialization,0,ensemble_reference,0.898,0.35118818283081055,0.025391328036785142,0.0,500,500,2000,5000,0.0,0.020215375814586878,0,203560,4,475.8125,False,True,a68730aa02a2143fabf030b413c81cb6d9c54085c758c55488aed6b5196f9236
MNIST_mlp_3_shared_base_specialization_s1,MNIST,mlp,3,shared_base_specialization,1,weight_average,0.877,0.3935083746910095,0.011412559553980807,-0.0015000000000000568,500,500,2000,5000,0.0,0.014546458143740892,0,50890,1,475.8125,False,True,65e8d226ea5753649f22c3c1ff567160e99325215948101b3fc4b85edb2ef201
MNIST_mlp_3_shared_base_specialization_s1,MNIST,mlp,3,shared_base_specialization,1,strict_synchronization,0.883,0.3819012198716882,0.03754984786418236,-0.007500000000000062,500,500,2000,5000,0.0,0.014546458143740892,0,50890,1,475.8125,False,True,65e8d226ea5753649f22c3c1ff567160e99325215948101b3fc4b85edb2ef201
MNIST_mlp_3_shared_base_specialization_s1,MNIST,mlp,3,shared_base_specialization,1,generic_low_rank_correction,0.8115,0.6343561322818274,0.08999660208669699,0.06399999999999995,500,500,2000,5000,0.0,0.014546458143740892,110,50890,1,475.8125,False,True,65e8d226ea5753649f22c3c1ff567160e99325215948101b3fc4b85edb2ef201
MNIST_mlp_3_shared_base_specialization_s1,MNIST,mlp,3,shared_base_specialization,1,twistedmerge_hodge_lr,0.883,0.3819012198716882,0.03754984786418236,-0.007500000000000062,500,500,2000,5000,0.0,0.014546458143740892,110,50890,1,475.8125,False,True,65e8d226ea5753649f22c3c1ff567160e99325215948101b3fc4b85edb2ef201
