phase,seed,method,batch_size,complete_path_latency_ms,latency_q1_ms,latency_q3_ms,stored_bytes,trainable_parameters
discovery,2,generic_moe,128,256.6074999049306,255.9020834742114,261.721333488822,266240,66560
discovery,2,generic_low_rank_context_adapter,128,13.17062508314848,12.912854552268982,13.636166579090059,94296,23574
discovery,2,d4_equivariant_chart_soft_routing,128,237.21437505446374,220.27550009079278,247.57210398092866,247876,61969
discovery,2,inferred_canonicalize_pool_retransport,128,477.4270828347653,475.2426453633234,480.8711875230074,247876,61969
discovery,2,d4_equivariant_task_classifier,128,21.277959225699306,20.879292162135243,21.34987514000386,47640,11910
discovery,2,d4_test_time_augmentation,128,41.887832805514336,41.23997886199504,45.986353885382414,58888,14722
discovery,2,one_canonical_after_inferred_inverse,128,308.26875008642673,299.5558539405465,308.7056460790336,71212,17803
discovery,2,supplied_chart_oracle,128,256.5087080001831,248.36981249973178,265.8953539794311,235552,58888
discovery,2,random_action_control,128,253.1549169216305,246.96316686458886,253.23454150930047,235552,58888
discovery,2,wrong_action_control,128,231.9104999769479,192.26970802992582,248.7467915052548,247876,61969
discovery,2,ensemble_reference,128,14.36270889826119,14.213916962035,15.39954193867743,235552,58888
discovery,3,context_blind_expert_average,128,250.38499990478158,248.3332914998755,260.6787499971688,235552,58888
discovery,3,generic_moe,128,269.89587489515543,266.9309788616374,270.67779190838337,266240,66560
discovery,3,generic_low_rank_context_adapter,128,12.090666918084025,11.87900046352297,13.044103980064392,94296,23574
discovery,3,d4_equivariant_chart_soft_routing,128,240.01429206691682,235.97675003111362,240.05472904536873,247876,61969
discovery,3,inferred_canonicalize_pool_retransport,128,475.3856249153614,471.9092078739777,484.26291695795953,247876,61969
discovery,3,d4_equivariant_task_classifier,128,22.85049995407462,21.816812455654144,22.86231250036508,47640,11910
discovery,3,d4_test_time_augmentation,128,46.14254180341959,44.14847947191447,48.12385397963226,58888,14722
discovery,3,one_canonical_after_inferred_inverse,128,175.32725003547966,173.63291652873158,180.56927109137177,71212,17803
discovery,3,supplied_chart_oracle,128,251.5640410128981,213.16783293150365,256.99410401284695,235552,58888
discovery,3,random_action_control,128,243.67245798930526,240.42199994437397,249.42072900012136,235552,58888
discovery,3,wrong_action_control,128,226.873624837026,222.3383749369532,233.6521039251238,247876,61969
discovery,3,ensemble_reference,128,22.39229204133153,21.698312484659255,23.55077094398439,235552,58888
discovery,4,context_blind_expert_average,128,250.30175014398992,249.56085451412946,251.7208334757015,235552,58888
discovery,4,generic_moe,128,256.03579194284976,255.94275002367795,259.022583370097,266240,66560
discovery,4,generic_low_rank_context_adapter,128,11.665667174383998,11.17387565318495,12.919042026624084,94296,23574
discovery,4,d4_equivariant_chart_soft_routing,128,222.03620802611113,221.96324996184558,234.41793699748814,247876,61969
discovery,4,inferred_canonicalize_pool_retransport,128,477.7393329422921,472.67535398714244,484.58487493917346,247876,61969
discovery,4,d4_equivariant_task_classifier,128,20.972833037376404,20.92156244907528,21.303687477484345,47640,11910
discovery,4,d4_test_time_augmentation,128,49.243499990552664,45.79704150091857,53.01375000271946,58888,14722
discovery,4,one_canonical_after_inferred_inverse,128,307.21841705963016,288.62195857800543,308.27104148920625,71212,17803
discovery,4,supplied_chart_oracle,128,269.33554094284773,255.55837503634393,270.05481254309416,235552,58888
discovery,4,random_action_control,128,264.03158414177597,263.1199585739523,265.48912562429905,235552,58888
discovery,4,wrong_action_control,128,245.0680839829147,221.90843801945448,250.18762541003525,247876,61969
discovery,4,ensemble_reference,128,20.654750056564808,20.067416480742395,20.790250040590763,235552,58888
