strategy,mode,epsilon,n_seeds,n_rows,max_overall_logit_error,mean_max_logit_error,mean_absolute_logit_error,mean_relative_output_error,max_prediction_disagreement,purported_exact,all_exactness_checks_passed,capacity
running,train,0.001,5,5,0.04785710573196411,0.04020496308803558,0.00974616575986147,0.016982341770749247,0.0625,False,False,same_architecture_same_parameter_count
affine,eval,0.001,5,5,2.652406692504883e-06,1.6886740922927857e-06,4.6443107066806987e-07,1.2574370647080656e-06,0.0,True,True,same_architecture_same_parameter_count
affine,train,0.001,5,5,2.4093704223632812,2.076432943344116,0.5338395118713379,0.9272800263035508,0.875,False,False,same_architecture_same_parameter_count
running_affine,eval,0.001,5,5,2.384185791015625e-06,1.8596649169921875e-06,4.6494679395436833e-07,1.2587763933559672e-06,0.0,True,True,same_architecture_same_parameter_count
running_affine,train,0.001,5,5,0.41295626759529114,0.3076374173164368,0.08662735074758529,0.1520654708132037,0.25,False,False,same_architecture_same_parameter_count
post_merge_recalibration,eval,0.001,5,5,0.371757447719574,0.3495011806488037,0.09688890427350998,0.2627661338328388,0.6875,False,False,same_architecture_same_parameter_count
post_merge_recalibration,train,0.001,5,5,0.04785710573196411,0.04020496308803558,0.00974616575986147,0.016982341770749247,0.0625,False,False,same_architecture_same_parameter_count
complete_recomputation,eval,0.001,5,5,0.042734742164611816,0.026979398727416993,0.006684134434908629,0.018077545513470544,0.0625,False,False,same_architecture_same_parameter_count
complete_recomputation,train,0.001,5,5,0.04785710573196411,0.04020496308803558,0.00974616575986147,0.016982341770749247,0.0625,False,False,same_architecture_same_parameter_count
no_batchnorm_control,eval,0.001,5,5,5.960464477539063e-08,4.470348358154297e-08,4.765825067920559e-09,3.718275735955352e-08,0.0,True,True,same_architecture_same_parameter_count
no_batchnorm_control,train,0.001,5,5,5.960464477539063e-08,4.470348358154297e-08,4.765825067920559e-09,3.718275735955352e-08,0.0,True,True,same_architecture_same_parameter_count
permutation,eval,0.1,5,5,1.1771917343139648e-06,1.011788845062256e-06,2.6394642134164313e-07,1.2579645918230501e-06,0.0,True,True,same_architecture_same_parameter_count
permutation,train,0.1,5,5,9.402632713317871e-06,8.323788642883301e-06,2.426312994430191e-06,6.892086302499985e-06,0.0,True,True,same_architecture_same_parameter_count
frozen,eval,0.1,5,5,0.45875224471092224,0.41428897976875306,0.12316681891679764,0.5866897886522684,0.625,False,False,same_architecture_same_parameter_count
frozen,train,0.1,5,5,0.6596611738204956,0.605657696723938,0.16827556788921355,0.47754579314625206,0.5,False,False,same_architecture_same_parameter_count
running,eval,0.1,5,5,0.20298708975315094,0.14589770436286925,0.039151381701231,0.1845978864960352,0.375,False,False,same_architecture_same_parameter_count
running,train,0.1,5,5,0.6596611738204956,0.605657696723938,0.16827556788921355,0.47754579314625206,0.5,False,False,same_architecture_same_parameter_count
affine,eval,0.1,5,5,1.1175870895385742e-06,9.506940841674804e-07,2.5658402478256905e-07,1.2259380508236012e-06,0.0,True,True,same_architecture_same_parameter_count
affine,train,0.1,5,5,1.227752447128296,1.102375292778015,0.31449339389801023,0.8940388559740814,0.8125,False,False,same_architecture_same_parameter_count
running_affine,eval,0.1,5,5,9.98377799987793e-07,8.97049903869629e-07,2.5008310160501425e-07,1.1905033079468807e-06,0.0,True,True,same_architecture_same_parameter_count
running_affine,train,0.1,5,5,0.7309926748275757,0.6518079280853272,0.19300576150417328,0.5512535544549567,0.625,False,False,same_architecture_same_parameter_count
post_merge_recalibration,eval,0.1,5,5,0.22853925824165344,0.1989573210477829,0.058096180111169814,0.27648644046914383,0.5,False,False,same_architecture_same_parameter_count
post_merge_recalibration,train,0.1,5,5,0.6596611738204956,0.605657696723938,0.16827556788921355,0.47754579314625206,0.5,False,False,same_architecture_same_parameter_count
complete_recomputation,eval,0.1,5,5,0.20298703014850616,0.14589781761169435,0.039151362329721454,0.18459780038423473,0.375,False,False,same_architecture_same_parameter_count
complete_recomputation,train,0.1,5,5,0.6596611738204956,0.605657696723938,0.16827556788921355,0.47754579314625206,0.5,False,False,same_architecture_same_parameter_count
no_batchnorm_control,eval,0.1,5,5,5.960464477539063e-08,4.470348358154297e-08,4.765825067920559e-09,3.718275735955352e-08,0.0,True,True,same_architecture_same_parameter_count
no_batchnorm_control,train,0.1,5,5,5.960464477539063e-08,4.470348358154297e-08,4.765825067920559e-09,3.718275735955352e-08,0.0,True,True,same_architecture_same_parameter_count
