seed,epsilon,mode,location,max_absolute_activation_error,mean_absolute_activation_error
2,1e-05,train,layer2.0.after_residual,1.3232231140136719e-05,1.059839974004717e-06
2,1e-05,train,layer2.1.after_residual,2.1338462829589844e-05,1.7767092685971875e-06
2,1e-05,train,layer3.0.after_residual,2.2858381271362305e-05,1.8865821402869187e-06
2,1e-05,train,layer3.1.after_residual,2.9206275939941406e-05,3.0373425943253096e-06
2,1e-05,train,layer4.0.after_residual,0.00020551681518554688,4.934531716571655e-06
2,1e-05,train,layer4.1.after_residual,0.00036835670471191406,1.200652422994608e-05
2,0.001,eval,stem,0.0,0.0
2,0.001,eval,layer1.0.after_residual,5.364418029785156e-06,5.397408813223592e-07
2,0.001,eval,layer1.1.after_residual,9.655952453613281e-06,7.856968977648648e-07
2,0.001,eval,layer2.0.after_residual,9.417533874511719e-06,7.051350507936149e-07
2,0.001,eval,layer2.1.after_residual,1.0728836059570312e-05,1.0697453944885638e-06
2,0.001,eval,layer3.0.after_residual,1.0251998901367188e-05,8.29524310574925e-07
2,0.001,eval,layer3.1.after_residual,1.0967254638671875e-05,1.0521755484660389e-06
2,0.001,eval,layer4.0.after_residual,5.0067901611328125e-06,5.615640930045629e-07
2,0.001,eval,layer4.1.after_residual,5.304813385009766e-06,5.752674496761756e-07
2,0.001,train,stem,0.0,0.0
2,0.001,train,layer1.0.after_residual,9.298324584960938e-06,9.95611799226026e-07
2,0.001,train,layer1.1.after_residual,1.2636184692382812e-05,1.487336930949823e-06
2,0.001,train,layer2.0.after_residual,1.6391277313232422e-05,1.0815226687554969e-06
2,0.001,train,layer2.1.after_residual,1.9609928131103516e-05,1.8141986402042676e-06
2,0.001,train,layer3.0.after_residual,2.2649765014648438e-05,1.8983032532560173e-06
2,0.001,train,layer3.1.after_residual,2.8818845748901367e-05,3.0370542845048476e-06
2,0.001,train,layer4.0.after_residual,0.000133514404296875,4.579027518047951e-06
2,0.001,train,layer4.1.after_residual,0.0003452301025390625,1.0436189768370241e-05
2,0.1,eval,stem,0.0,0.0
2,0.1,eval,layer1.0.after_residual,3.516674041748047e-06,3.9146974017967295e-07
2,0.1,eval,layer1.1.after_residual,5.245208740234375e-06,5.466456514113816e-07
2,0.1,eval,layer2.0.after_residual,5.4836273193359375e-06,4.513133546879544e-07
2,0.1,eval,layer2.1.after_residual,8.106231689453125e-06,6.658493134636956e-07
2,0.1,eval,layer3.0.after_residual,5.7220458984375e-06,4.865847813562141e-07
2,0.1,eval,layer3.1.after_residual,6.794929504394531e-06,6.047049510016222e-07
2,0.1,eval,layer4.0.after_residual,3.0994415283203125e-06,3.005686721735401e-07
2,0.1,eval,layer4.1.after_residual,3.2186508178710938e-06,3.092424094575108e-07
2,0.1,train,stem,0.0,0.0
2,0.1,train,layer1.0.after_residual,7.092952728271484e-06,8.384588454646291e-07
2,0.1,train,layer1.1.after_residual,1.1444091796875e-05,1.2941452496306738e-06
2,0.1,train,layer2.0.after_residual,1.2755393981933594e-05,1.0590002830213052e-06
2,0.1,train,layer2.1.after_residual,1.621246337890625e-05,1.745601821312448e-06
2,0.1,train,layer3.0.after_residual,1.6808509826660156e-05,1.717660779831931e-06
2,0.1,train,layer3.1.after_residual,2.288818359375e-05,2.6753141355584376e-06
2,0.1,train,layer4.0.after_residual,3.17692756652832e-05,2.4497737740603043e-06
2,0.1,train,layer4.1.after_residual,3.248453140258789e-05,3.348020982230082e-06
3,1e-05,eval,stem,0.0,0.0
3,1e-05,eval,layer1.0.after_residual,5.7220458984375e-06,5.295617029332789e-07
3,1e-05,eval,layer1.1.after_residual,9.298324584960938e-06,7.898335070422036e-07
3,1e-05,eval,layer2.0.after_residual,9.775161743164062e-06,7.775682888677693e-07
3,1e-05,eval,layer2.1.after_residual,1.3053417205810547e-05,1.1953216016991064e-06
3,1e-05,eval,layer3.0.after_residual,1.049041748046875e-05,9.091396577787236e-07
3,1e-05,eval,layer3.1.after_residual,1.1444091796875e-05,1.1694762633851497e-06
3,1e-05,eval,layer4.0.after_residual,5.4836273193359375e-06,6.565610419784207e-07
3,1e-05,eval,layer4.1.after_residual,5.7220458984375e-06,6.769483889002004e-07
3,1e-05,train,stem,0.0,0.0
3,1e-05,train,layer1.0.after_residual,6.9141387939453125e-06,9.27326368582726e-07
3,1e-05,train,layer1.1.after_residual,1.1920928955078125e-05,1.4152230960462475e-06
3,1e-05,train,layer2.0.after_residual,1.2159347534179688e-05,1.02692160908191e-06
3,1e-05,train,layer2.1.after_residual,1.728534698486328e-05,1.7686661522020586e-06
3,1e-05,train,layer3.0.after_residual,2.3812055587768555e-05,1.8179924836658756e-06
3,1e-05,train,layer3.1.after_residual,2.956390380859375e-05,3.035545887541957e-06
3,1e-05,train,layer4.0.after_residual,0.0001417398452758789,4.8479114411748014e-06
3,1e-05,train,layer4.1.after_residual,0.0009007453918457031,1.2169811270723585e-05
3,0.001,eval,stem,0.0,0.0
3,0.001,eval,layer1.0.after_residual,5.0067901611328125e-06,5.312444955052342e-07
3,0.001,eval,layer1.1.after_residual,8.463859558105469e-06,7.903570349299116e-07
3,0.001,eval,layer2.0.after_residual,8.821487426757812e-06,7.754400712656206e-07
3,0.001,eval,layer2.1.after_residual,1.0967254638671875e-05,1.1767007208618452e-06
3,0.001,eval,layer3.0.after_residual,1.0013580322265625e-05,9.118795674112334e-07
3,0.001,eval,layer3.1.after_residual,1.1682510375976562e-05,1.1774912991313613e-06
3,0.001,eval,layer4.0.after_residual,6.67572021484375e-06,6.730624591000378e-07
3,0.001,eval,layer4.1.after_residual,6.9141387939453125e-06,6.974110533519706e-07
3,0.001,train,stem,0.0,0.0
3,0.001,train,layer1.0.after_residual,8.344650268554688e-06,9.244957936971332e-07
3,0.001,train,layer1.1.after_residual,1.239776611328125e-05,1.4214942893886473e-06
3,0.001,train,layer2.0.after_residual,1.3113021850585938e-05,1.0330871873520664e-06
3,0.001,train,layer2.1.after_residual,1.71661376953125e-05,1.7434248320569168e-06
3,0.001,train,layer3.0.after_residual,2.0503997802734375e-05,1.8043565432890318e-06
3,0.001,train,layer3.1.after_residual,2.9474496841430664e-05,2.97761016554432e-06
3,0.001,train,layer4.0.after_residual,0.00010716915130615234,4.6571017264795955e-06
3,0.001,train,layer4.1.after_residual,0.00025177001953125,1.0605914212646894e-05
3,0.1,eval,stem,0.0,0.0
3,0.1,eval,layer1.0.after_residual,3.039836883544922e-06,3.855744807879091e-07
3,0.1,eval,layer1.1.after_residual,5.9604644775390625e-06,5.433863634607405e-07
3,0.1,eval,layer2.0.after_residual,7.62939453125e-06,4.93287586778024e-07
