setting_id,seed,chart_label_budget,method,chart_accuracy,task_accuracy,negative_log_likelihood,ece,classwise_ece,worst_condition_task_accuracy,trainable_parameters,stored_parameters,stored_bytes,training_time_seconds,chart_training_examples,validation_examples,calibration_examples,test_examples,logits_path,logits_sha256,label_permutation_hash_passed,execution_commit,source_sha256,command
FashionMNIST_sample_efficiency_seed40_budget256,40,256,augmentation_trained_ordinary_chart_cnn,0.23100000619888306,0.4,2.0620023517488515,0.11171270862981987,"[0.07700149893025922, 0.046010265209762605, 0.11368330175389797, 0.07315994644364858, 0.028377338376368414, 0.05431689817617531, 0.15684082912044242, 0.08469700310836902, 0.04403305718212744, 0.08112511811613524]",0.3240000009536743,24274,24274,97096,1.3819938751403242,256,500,500,2000,reports/tmp/chart_followup/logits/sample_efficiency_seed40_budget256.npz,e5fe60a0d6227aeb938d0481722b3dc849f276a867c7c59df7b15d5f9a43c918,True,11c8fb838cfa616d934dfc724777b3cd3fa6c05e,e74e7c1085b62425ff9a65c7d218559980407027a19eea4f64e05dcae2f02600,python experiments/chart_sample_efficiency.py
FashionMNIST_sample_efficiency_seed40_budget256,40,256,generic_low_rank_adapter,0.2485000044107437,0.422,1.6330045758137353,0.0962847798455746,"[0.04590151344324364, 0.06649843437106526, 0.024817238826888736, 0.017581887412716827, 0.021380687385881995, 0.03390697919395972, 0.012180192436068396, 0.028425520879715945, 0.030445621797865686, 0.04809302260099342]",0.36800000071525574,25490,25490,101960,0.5096201237756759,256,500,500,2000,reports/tmp/chart_followup/logits/sample_efficiency_seed40_budget256.npz,e5fe60a0d6227aeb938d0481722b3dc849f276a867c7c59df7b15d5f9a43c918,True,11c8fb838cfa616d934dfc724777b3cd3fa6c05e,e74e7c1085b62425ff9a65c7d218559980407027a19eea4f64e05dcae2f02600,python experiments/chart_sample_efficiency.py
FashionMNIST_sample_efficiency_seed40_budget256,40,256,structured_retransport,0.49000000953674316,0.3345,1.9412259326483157,0.159416668990072,"[0.030342061763093918, 0.05320371534382779, 0.044251736500125365, 0.044774617299236465, 0.06616946014071007, 0.1457039204569494, 0.11244752605981063, 0.08914266755018652, 0.07708408245978164, 0.08618888597351786]",0.25600001215934753,60925,60925,243700,4.292599335080013,256,500,500,2000,reports/tmp/chart_followup/logits/sample_efficiency_seed40_budget256.npz,e5fe60a0d6227aeb938d0481722b3dc849f276a867c7c59df7b15d5f9a43c918,True,11c8fb838cfa616d934dfc724777b3cd3fa6c05e,e74e7c1085b62425ff9a65c7d218559980407027a19eea4f64e05dcae2f02600,python experiments/chart_sample_efficiency.py
FashionMNIST_sample_efficiency_seed40_budget256,40,256,direct_d4_equivariant_task_cnn,,0.637,1.0886179698058167,0.07684835490563238,"[0.03651737003328451, 0.03291436961759803, 0.01939463758112703, 0.015013604027615864, 0.025468296682534867, 0.012084921350011647, 0.01906866993144135, 0.02692637142341802, 0.03911286865381292, 0.03559778459007492]",0.5360000133514404,11730,11730,46920,5.3862083337735385,0,500,500,2000,reports/tmp/chart_followup/logits/sample_efficiency_seed40_budget256.npz,e5fe60a0d6227aeb938d0481722b3dc849f276a867c7c59df7b15d5f9a43c918,True,11c8fb838cfa616d934dfc724777b3cd3fa6c05e,e74e7c1085b62425ff9a65c7d218559980407027a19eea4f64e05dcae2f02600,python experiments/chart_sample_efficiency.py
FashionMNIST_sample_efficiency_seed40_budget512,40,512,d4_equivariant_chart_cnn,0.6010000109672546,0.6055,1.207553374090093,0.063641218688607,"[0.06541245121983782, 0.02834989763069548, 0.07951118125413097, 0.024250842380916498, 0.023298480430031417, 0.015587603051704377, 0.07947182944437711, 0.017329752937187012, 0.03339046343984284, 0.022591712903847077]",0.36399999260902405,17407,17407,69628,3.285773709183559,512,500,500,2000,reports/tmp/chart_followup/logits/sample_efficiency_seed40_budget512.npz,bb20b990188422341ede847ce4e1c44b29c74b2c89cbfafbffa705366ca273d2,True,11c8fb838cfa616d934dfc724777b3cd3fa6c05e,e74e7c1085b62425ff9a65c7d218559980407027a19eea4f64e05dcae2f02600,python experiments/chart_sample_efficiency.py
FashionMNIST_sample_efficiency_seed40_budget512,40,512,capacity_matched_ordinary_chart_cnn,0.4154999852180481,0.5195,1.6026502319792932,0.06875835579295174,"[0.08474238224064157, 0.05906916592771193, 0.10364111801632861, 0.026823680832951897, 0.020270807045991317, 0.019029695347284326, 0.09417069775646267, 0.0188187247985686, 0.04009702011115086, 0.03369095685047406]",0.328000009059906,24274,24274,97096,1.4382389590609819,512,500,500,2000,reports/tmp/chart_followup/logits/sample_efficiency_seed40_budget512.npz,bb20b990188422341ede847ce4e1c44b29c74b2c89cbfafbffa705366ca273d2,True,11c8fb838cfa616d934dfc724777b3cd3fa6c05e,e74e7c1085b62425ff9a65c7d218559980407027a19eea4f64e05dcae2f02600,python experiments/chart_sample_efficiency.py
FashionMNIST_sample_efficiency_seed40_budget512,40,512,augmentation_trained_ordinary_chart_cnn,0.3944999873638153,0.5155,1.6479356646438446,0.0728128851901099,"[0.08427267051558102, 0.06073033158420683, 0.10386614445518333, 0.038436241231049856, 0.020339829963967517, 0.02144037580128857, 0.0991799035431083, 0.02748371122817729, 0.04005103275446785, 0.03797554171679266]",0.3319999873638153,24274,24274,97096,1.500936542171985,512,500,500,2000,reports/tmp/chart_followup/logits/sample_efficiency_seed40_budget512.npz,bb20b990188422341ede847ce4e1c44b29c74b2c89cbfafbffa705366ca273d2,True,11c8fb838cfa616d934dfc724777b3cd3fa6c05e,e74e7c1085b62425ff9a65c7d218559980407027a19eea4f64e05dcae2f02600,python experiments/chart_sample_efficiency.py
FashionMNIST_sample_efficiency_seed40_budget512,40,512,generic_low_rank_adapter,0.4154999852180481,0.4645,1.479697929135327,0.037476684507454915,"[0.056597458883615746, 0.05224275547332541, 0.01572874974411072, 0.038096855439418376, 0.027053240409624733, 0.029420764664658136, 0.045081305017653416, 0.0211819167991381, 0.02781079344124199, 0.02915200004518907]",0.36800000071525574,25490,25490,101960,0.8819476247299463,512,500,500,2000,reports/tmp/chart_followup/logits/sample_efficiency_seed40_budget512.npz,bb20b990188422341ede847ce4e1c44b29c74b2c89cbfafbffa705366ca273d2,True,11c8fb838cfa616d934dfc724777b3cd3fa6c05e,e74e7c1085b62425ff9a65c7d218559980407027a19eea4f64e05dcae2f02600,python experiments/chart_sample_efficiency.py
FashionMNIST_sample_efficiency_seed40_budget512,40,512,structured_retransport,0.6010000109672546,0.397,1.739810793458988,0.1655325567998252,"[0.047251016475219676, 0.03237896718637499, 0.05220004826751104, 0.05336416883317406, 0.07096733515536362, 0.16592316963493645, 0.10473451419839687, 0.08899498133801784, 0.053154735025699035, 0.08623969332575092]",0.3199999928474426,60925,60925,243700,5.213285043137148,512,500,500,2000,reports/tmp/chart_followup/logits/sample_efficiency_seed40_budget512.npz,bb20b990188422341ede847ce4e1c44b29c74b2c89cbfafbffa705366ca273d2,True,11c8fb838cfa616d934dfc724777b3cd3fa6c05e,e74e7c1085b62425ff9a65c7d218559980407027a19eea4f64e05dcae2f02600,python experiments/chart_sample_efficiency.py
FashionMNIST_sample_efficiency_seed40_budget512,40,512,direct_d4_equivariant_task_cnn,,0.637,1.0886179698058167,0.07684835490563238,"[0.03651737003328451, 0.03291436961759803, 0.01939463758112703, 0.015013604027615864, 0.025468296682534867, 0.012084921350011647, 0.01906866993144135, 0.02692637142341802, 0.03911286865381292, 0.03559778459007492]",0.5360000133514404,11730,11730,46920,5.3862083337735385,0,500,500,2000,reports/tmp/chart_followup/logits/sample_efficiency_seed40_budget512.npz,bb20b990188422341ede847ce4e1c44b29c74b2c89cbfafbffa705366ca273d2,True,11c8fb838cfa616d934dfc724777b3cd3fa6c05e,e74e7c1085b62425ff9a65c7d218559980407027a19eea4f64e05dcae2f02600,python experiments/chart_sample_efficiency.py
