seed,order_family,loop_id,left_node,right_node,left_mean_accuracy,right_mean_accuracy,absolute_mean_accuracy_delta,absolute_worst_accuracy_delta,left_first_task_forgetting,right_first_task_forgetting,absolute_forgetting_delta,prediction_disagreement,feature_discrepancy,absolute_ece_delta,parameter_distance,pairwise_transport_residual,inverse_consistency,loop_identity_distance,loop_spectral_radius,loop_singular_spread,loop_commutator_max,loop_stable_nonidentity,order_sensitivity_score
3,BAC_vs_BCA,3:swap_BAC_BCA,M_BAC,M_BCA,0.49133331576983136,0.5036666591962179,0.012333343426386534,0.16300001740455627,0.013999998569488525,0.02799999713897705,0.013999998569488525,0.4230000078678131,0.24757608771324158,0.0097838410414018,0.26717656330580886,1.506333571861163e-07,1.1850537015652814e-14,3.7859612121272334e-14,1.000000000000014,2.0972112935169207e-13,9.796687652699315e-15,False,0.11227596679900273
3,BCA_vs_CBA,3:swap_BCA_CBA,M_BCA,M_CBA,0.5036666591962179,0.4966666599114736,0.006999999284744318,0.0010000169277191162,0.02799999713897705,0.11599999666213989,0.08799999952316284,0.11033333092927933,0.12046889215707779,0.005778129583025773,0.1629500336285902,1.533070129464851e-07,1.2530170279061999e-14,4.0153287053988655e-14,1.0000000000000113,2.23487894857044e-13,9.625225338123851e-15,False,0.04897978395129679
3,CAB_vs_CBA,3:swap_CAB_CBA,M_CAB,M_CBA,0.49266666173934937,0.4966666599114736,0.003999998172124208,0.10899999737739563,0.05199998617172241,0.11599999666213989,0.06400001049041748,0.36266666650772095,0.24623015522956848,0.004444344259657854,0.26072429907035644,1.5065445012284628e-07,1.2125022041823903e-14,3.6055319376670534e-14,1.000000000000009,1.8185453143360064e-13,9.419846815047911e-15,False,0.10238714332643398
4,AB_vs_BA,4:AB_square,M_AB,M_BA,0.4910000065962474,0.49166664481163025,0.0006666382153828754,0.10799998044967651,0.10400000214576721,0.0350000262260437,0.06899997591972351,0.3659999966621399,0.2214871644973755,0.004918832559875838,0.27215474156664554,1.438399184086494e-07,1.2552080696151791e-14,2.0123748613649014e-14,1.0000000000000067,5.984102102729594e-14,9.774190785116604e-15,False,0.1012751115027482
4,AC_vs_CA,4:AC_square,M_AC,M_CA,0.4803333431482315,0.500000019868215,0.019666676719983456,0.1810000091791153,0.16700001060962677,0.10499995946884155,0.06200005114078522,0.43566668033599854,0.2498432993888855,0.02241547054048472,0.28909315283690634,1.459543601802549e-07,1.1728861325990945e-14,2.0397525344761792e-14,1.0000000000000062,6.072919944699606e-14,9.800430524732353e-15,False,0.13039047007788032
4,BC_vs_CB,4:BC_square,M_BC,M_CB,0.47766665120919544,0.482999990383784,0.005333339174588558,0.040000006556510925,0.017000019550323486,0.046999990940093994,0.029999971389770508,0.26600000262260437,0.1782982051372528,0.0051927439963037475,0.21218764809881555,1.4054005131081394e-07,1.2245793331485573e-14,1.933104580287557e-14,1.0000000000000075,6.006306563222097e-14,9.52781174686401e-15,False,0.06634373608947217
4,ABC_vs_BAC,4:swap_ABC_BAC,M_ABC,M_BAC,0.4753333230813344,0.4896666705608368,0.014333347479502379,0.02799999713897705,0.18200001120567322,0.009000003337860107,0.1730000078678131,0.08766666799783707,0.08340303599834442,0.025123943523794864,0.14794359143058786,1.4045630611888988e-07,1.345050393421865e-14,2.7367770975311798e-14,1.0000000000000102,8.215650382226158e-14,9.800430524732353e-15,False,0.06866496853313687
4,ABC_vs_ACB,4:swap_ABC_ACB,M_ABC,M_ACB,0.4753333230813344,0.48499998450279236,0.009666661421457945,0.046999990940093994,0.18200001120567322,0.13500002026557922,0.046999990940093994,0.273333340883255,0.1839141696691513,0.011584545505077884,0.22126394432735066,1.4096610531125118e-07,1.2990384111549604e-14,2.770050882295613e-14,1.0000000000000113,1.0302869668521453e-13,9.53030824369468e-15,False,0.07420578297419143
4,ACB_vs_CAB,4:swap_ACB_CAB,M_ACB,M_CAB,0.48499998450279236,0.4960000018278758,0.011000017325083433,0.03600001335144043,0.13500002026557922,0.050999999046325684,0.08400002121925354,0.05999999865889549,0.0889105573296547,0.017960040568141267,0.13909718868349769,1.4066941276677206e-07,1.1958326388516259e-14,2.78241950180517e-14,1.0000000000000084,8.104628079763643e-14,9.234175236858297e-15,False,0.04846869593732153
4,BAC_vs_BCA,4:swap_BAC_BCA,M_BAC,M_BCA,0.4896666705608368,0.5033333400885264,0.013666669527689579,0.16600000858306885,0.009000003337860107,0.02899998426437378,0.019999980926513672,0.4313333332538605,0.2447497695684433,0.010575893594553548,0.28743804083039437,1.4686564489917393e-07,1.1342985426898932e-14,2.8336075085140166e-14,1.0000000000000093,8.804068585277491e-14,9.453945399035292e-15,False,0.11578787431604538
4,BCA_vs_CBA,4:swap_BCA_CBA,M_BCA,M_CBA,0.5033333400885264,0.4949999948342641,0.00833334525426227,0.0040000081062316895,0.02899998426437378,0.11500000953674316,0.08600002527236938,0.10966666787862778,0.11044854670763016,0.006188757570877598,0.16837298815416163,1.4791430198021132e-07,1.327716210399321e-14,2.935064154791034e-14,1.0000000000000084,9.447997939560082e-14,9.744143268095855e-15,False,0.048927861979291505
4,CAB_vs_CBA,4:swap_CAB_CBA,M_CAB,M_CBA,0.4960000018278758,0.4949999948342641,0.0010000069936116907,0.10699999332427979,0.050999999046325684,0.11500000953674316,0.06400001049041748,0.3633333444595337,0.22157801687717438,3.3506525748336347e-05,0.2671283563282758,1.4729218312442583e-07,1.109540981857476e-14,2.6474580976446155e-14,1.0000000000000104,7.249756350802272e-14,9.744143268095855e-15,False,0.09951438196597438
