family,metric,method,baseline,independent_training_group_count,paired_mean_delta,bootstrap_ci_low,bootstrap_ci_high,bootstrap_resamples,statistical_unit
dense,test_accuracy_change,oracle_alignment,naive_factor_average,3,0.09100000000000001,0.08888124999999998,0.09508124999999999,4000,independent_adapter_training_group
all_primary,relative_delta_change_from_unscrambled,naive_factor_average,naive_factor_average,3,0.0,0.0,0.0,4000,independent_adapter_training_group
all_primary,maximum_test_logit_change,naive_factor_average,naive_factor_average,3,0.0,0.0,0.0,4000,independent_adapter_training_group
all_primary,test_prediction_disagreement,naive_factor_average,naive_factor_average,3,0.0,0.0,0.0,4000,independent_adapter_training_group
all_primary,test_accuracy_change,naive_factor_average,naive_factor_average,3,0.0,0.0,0.0,4000,independent_adapter_training_group
all_primary,relative_delta_change_from_unscrambled,full_delta_svd,naive_factor_average,3,-3.3793966261593127,-3.5287661406137776,-3.0885140271603837,4000,independent_adapter_training_group
all_primary,maximum_test_logit_change,full_delta_svd,naive_factor_average,3,-2.479911746195326,-2.6444653163190583,-2.18052018377461,4000,independent_adapter_training_group
all_primary,test_prediction_disagreement,full_delta_svd,naive_factor_average,3,-0.17502569444444446,-0.17873541666666667,-0.17030625,4000,independent_adapter_training_group
all_primary,test_accuracy_change,full_delta_svd,naive_factor_average,3,0.032422222222222234,0.030125000000000002,0.03504791666666666,4000,independent_adapter_training_group
all_primary,relative_delta_change_from_unscrambled,canonical_svd_factor_average,naive_factor_average,3,-3.3793966261593127,-3.5287661406137776,-3.0885140271603837,4000,independent_adapter_training_group
all_primary,maximum_test_logit_change,canonical_svd_factor_average,naive_factor_average,3,-2.4799117461953295,-2.6444653163190623,-2.1805201837746133,4000,independent_adapter_training_group
all_primary,test_prediction_disagreement,canonical_svd_factor_average,naive_factor_average,3,-0.17502569444444446,-0.17873541666666667,-0.17030625,4000,independent_adapter_training_group
all_primary,test_accuracy_change,canonical_svd_factor_average,naive_factor_average,3,0.032422222222222234,0.030125000000000002,0.03504791666666666,4000,independent_adapter_training_group
all_primary,relative_delta_change_from_unscrambled,pairwise_reference_alignment,naive_factor_average,3,-3.3793966261593034,-3.528766140613769,-3.0885140271603735,4000,independent_adapter_training_group
all_primary,maximum_test_logit_change,pairwise_reference_alignment,naive_factor_average,3,-2.479911746195311,-2.6444653163190415,-2.1805201837745978,4000,independent_adapter_training_group
all_primary,test_prediction_disagreement,pairwise_reference_alignment,naive_factor_average,3,-0.17502569444444446,-0.17873541666666667,-0.17030625,4000,independent_adapter_training_group
all_primary,test_accuracy_change,pairwise_reference_alignment,naive_factor_average,3,0.032422222222222234,0.030125000000000002,0.03504791666666666,4000,independent_adapter_training_group
all_primary,relative_delta_change_from_unscrambled,global_synchronization,naive_factor_average,3,-3.3793966261592936,-3.528766140613753,-3.0885140271603664,4000,independent_adapter_training_group
all_primary,maximum_test_logit_change,global_synchronization,naive_factor_average,3,-2.4799117461952673,-2.644465316319025,-2.1805201837745116,4000,independent_adapter_training_group
all_primary,test_prediction_disagreement,global_synchronization,naive_factor_average,3,-0.17502569444444446,-0.17873541666666667,-0.17030625,4000,independent_adapter_training_group
all_primary,test_accuracy_change,global_synchronization,naive_factor_average,3,0.032422222222222234,0.030125000000000002,0.03504791666666666,4000,independent_adapter_training_group
all_primary,relative_delta_change_from_unscrambled,cycle_aware_alignment,naive_factor_average,3,-3.3793966261593127,-3.5287661406137776,-3.0885140271603837,4000,independent_adapter_training_group
all_primary,maximum_test_logit_change,cycle_aware_alignment,naive_factor_average,3,-2.479911746195326,-2.6444653163190583,-2.18052018377461,4000,independent_adapter_training_group
all_primary,test_prediction_disagreement,cycle_aware_alignment,naive_factor_average,3,-0.17502569444444446,-0.17873541666666667,-0.17030625,4000,independent_adapter_training_group
all_primary,test_accuracy_change,cycle_aware_alignment,naive_factor_average,3,0.032422222222222234,0.030125000000000002,0.03504791666666666,4000,independent_adapter_training_group
all_primary,relative_delta_change_from_unscrambled,oracle_alignment,naive_factor_average,3,-3.379396626159313,-3.528766140613778,-3.088514027160384,4000,independent_adapter_training_group
all_primary,maximum_test_logit_change,oracle_alignment,naive_factor_average,3,-2.4799117461953304,-2.6444653163190632,-2.180520183774614,4000,independent_adapter_training_group
all_primary,test_prediction_disagreement,oracle_alignment,naive_factor_average,3,-0.17502569444444446,-0.17873541666666667,-0.17030625,4000,independent_adapter_training_group
all_primary,test_accuracy_change,oracle_alignment,naive_factor_average,3,0.032422222222222234,0.030125000000000002,0.03504791666666666,4000,independent_adapter_training_group
