draw,family,cycle_residual
47,graph_topology_shuffle,1.3241122699224175
47,activation_bootstrap,1.4558464288711548
48,edge_shuffle,1.2955248355865479
48,matched_norm_coboundary,6.185390497984336e-16
48,matched_fit_random_gauge,1.222158836207898
48,graph_topology_shuffle,1.4105701257450076
48,activation_bootstrap,1.2705156803131104
49,edge_shuffle,1.2955248355865479
49,matched_norm_coboundary,5.744727961688604e-16
49,matched_fit_random_gauge,1.1782977431295707
49,graph_topology_shuffle,1.3988104959820062
49,activation_bootstrap,1.1808894872665405
50,edge_shuffle,1.2955248355865479
50,matched_norm_coboundary,5.045222858458172e-16
50,matched_fit_random_gauge,1.1704490696504344
50,graph_topology_shuffle,1.390295671273834
50,activation_bootstrap,1.087127447128296
51,edge_shuffle,1.2955248355865479
51,matched_norm_coboundary,5.599991032482108e-16
51,matched_fit_random_gauge,1.1996904734931804
51,graph_topology_shuffle,1.3935100837910697
51,activation_bootstrap,1.2538796663284302
52,edge_shuffle,1.4185959100723267
52,matched_norm_coboundary,6.193419098804303e-16
52,matched_fit_random_gauge,1.2509340426537796
52,graph_topology_shuffle,1.4816751969935251
52,activation_bootstrap,1.1456645727157593
53,edge_shuffle,1.3847516775131226
53,matched_norm_coboundary,6.221468196720641e-16
53,matched_fit_random_gauge,1.2253462056555118
53,graph_topology_shuffle,1.4787233449129578
53,activation_bootstrap,1.1081361770629883
54,edge_shuffle,1.4214595556259155
54,matched_norm_coboundary,4.852556094538601e-16
54,matched_fit_random_gauge,1.201456408395247
54,graph_topology_shuffle,1.39994015489352
54,activation_bootstrap,1.0091437101364136
55,edge_shuffle,1.4185959100723267
55,matched_norm_coboundary,4.889140552920634e-16
55,matched_fit_random_gauge,1.20584999211845
55,graph_topology_shuffle,1.3157364885925091
55,activation_bootstrap,1.1742627620697021
56,edge_shuffle,1.4185959100723267
56,matched_norm_coboundary,5.486735099896588e-16
56,matched_fit_random_gauge,1.1771699140528256
56,graph_topology_shuffle,1.397093983890241
56,activation_bootstrap,1.0389683246612549
57,edge_shuffle,1.3847516775131226
57,matched_norm_coboundary,6.064975258518417e-16
57,matched_fit_random_gauge,1.1992984831752995
57,graph_topology_shuffle,1.3772754376575906
57,activation_bootstrap,1.3099195957183838
58,edge_shuffle,1.41055166721344
58,matched_norm_coboundary,5.593016299724969e-16
58,matched_fit_random_gauge,1.2101350882536208
58,graph_topology_shuffle,1.3899339881051318
58,activation_bootstrap,1.2612712383270264
59,edge_shuffle,1.3847516775131226
59,matched_norm_coboundary,5.183602022978321e-16
59,matched_fit_random_gauge,1.1650474965804942
59,graph_topology_shuffle,1.3761809989761349
59,activation_bootstrap,1.1909862756729126
60,edge_shuffle,1.4188048839569092
60,matched_norm_coboundary,4.577031767843308e-16
60,matched_fit_random_gauge,1.175729562807975
60,graph_topology_shuffle,1.4530687433615372
60,activation_bootstrap,1.1951777935028076
61,edge_shuffle,1.4188048839569092
61,matched_norm_coboundary,5.106701457126277e-16
61,matched_fit_random_gauge,1.187615411985859
61,graph_topology_shuffle,1.4605724048450872
61,activation_bootstrap,1.1602883338928223
62,edge_shuffle,1.41055166721344
62,matched_norm_coboundary,6.275711215970199e-16
62,matched_fit_random_gauge,1.2020066168762642
62,graph_topology_shuffle,1.4154520698259858
62,activation_bootstrap,1.0266035795211792
63,edge_shuffle,1.41055166721344
63,matched_norm_coboundary,5.010642789232961e-16
63,matched_fit_random_gauge,1.1765118019408614
63,graph_topology_shuffle,1.4277263301711958
63,activation_bootstrap,1.281043529510498
