mask,chart,method,exact_equal,iou,dice,boundary_dice,hausdorff
arrow,1,random_chart,0.0,0.17779339424330434,0.3019093078800602,0.0,16.630865786510117
arrow,1,wrong_multiplication_table,0.0,0.2189090909147716,0.3591885441565681,0.0,14.953124061561475
arrow,2,correct_retransport,1.0,1.0,1.0,1.0,0.0
arrow,2,omit_output_retransport,0.0,0.39202657807813934,0.5632458233916274,0.0,13.649999999999977
arrow,2,inverse_output_action,1.0,1.0,1.0,1.0,0.0
arrow,2,wrong_reflection_rotation_order,1.0,1.0,1.0,1.0,0.0
arrow,2,random_chart,0.0,0.17779339424330434,0.3019093078800602,0.0,16.630865786510117
arrow,2,wrong_multiplication_table,0.0,0.2189090909147716,0.3591885441565681,0.0,14.953124061561475
arrow,3,correct_retransport,1.0,1.0,1.0,1.0,0.0
arrow,3,omit_output_retransport,0.0,0.2189090909147716,0.3591885441565681,0.0,14.953124061561475
arrow,3,inverse_output_action,0.0,0.39202657807813934,0.5632458233916274,0.0,13.649999999999977
arrow,3,wrong_reflection_rotation_order,0.0,0.39202657807813934,0.5632458233916274,0.0,13.649999999999977
arrow,3,random_chart,0.0,0.17779339424330434,0.3019093078800602,0.0,16.630865786510117
arrow,3,wrong_multiplication_table,0.0,0.2189090909147716,0.3591885441565681,0.0,14.953124061561475
arrow,4,correct_retransport,1.0,1.0,1.0,1.0,0.0
arrow,4,omit_output_retransport,0.0,0.6793587174380826,0.8090692124116404,0.0,8.0
arrow,4,inverse_output_action,1.0,1.0,1.0,1.0,0.0
arrow,4,wrong_reflection_rotation_order,1.0,1.0,1.0,1.0,0.0
arrow,4,random_chart,0.0,0.2189090909147716,0.3591885441565681,0.0,14.953124061561475
arrow,4,wrong_multiplication_table,0.0,0.2189090909147716,0.3591885441565681,0.0,14.953124061561475
arrow,5,correct_retransport,1.0,1.0,1.0,1.0,0.0
arrow,5,omit_output_retransport,0.0,0.29821843532689224,0.4594272076404569,0.0,13.40439751431988
arrow,5,inverse_output_action,1.0,1.0,1.0,1.0,0.0
arrow,5,wrong_reflection_rotation_order,0.0,0.39202657807813934,0.5632458233916274,0.0,13.649999999999977
arrow,5,random_chart,0.0,0.29821843532689224,0.4594272076404569,0.0,13.40439751431988
arrow,5,wrong_multiplication_table,0.0,0.2189090909147716,0.3591885441565681,0.0,14.953124061561475
